x_disc	y_disc_smoothed
  0.000000	   0.0323650642
  0.049749	   0.0879945239
  0.099497	   0.1421495803
  0.149246	   0.1948165263
  0.198995	   0.2459791409
  0.248744	   0.2956194124
  0.298492	   0.3437169819
  0.348241	   0.3902499674
  0.397990	   0.4351947172
  0.447739	   0.4785264280
  0.497487	   0.5202192667
  0.547236	   0.5602467265
  0.596985	   0.5985822735
  0.646734	   0.6351995345
  0.696482	   0.6700737169
  0.746231	   0.7031817773
  0.795980	   0.7345048619
  0.845729	   0.7640286676
  0.895477	   0.7917470721
  0.945226	   0.8176631354
  0.994975	   0.8417941478
  1.044724	   0.8641744209
  1.094472	   0.8848626871
  1.144221	   0.9039494463
  1.193970	   0.9215692934
  1.243719	   0.9379155923
  1.293467	   0.9532482759
  1.343216	   0.9678550288
  1.392965	   0.9818237795
  1.442714	   0.9945438477
  1.492462	   0.9961121189
  1.542211	   1.0018197445
  1.591960	   0.9981597766
  1.641709	   0.9974992670
  1.691457	   0.9893906470
  1.741206	   0.9821588746
  1.790955	   0.9702895480
  1.840704	   0.9567559171
  1.890452	   0.9415840900
  1.940201	   0.9224216963
  1.989950	   0.9041078969
  2.039698	   0.8802371564
  2.089447	   0.8586578148
  2.139196	   0.8310450350
  2.188945	   0.8058794366
  2.238693	   0.7753426640
  2.288442	   0.7462087032
  2.338191	   0.7132794141
  2.387940	   0.6798838486
  2.437688	   0.6447570376
  2.487437	   0.6070247445
  2.537186	   0.5696061624
  2.586935	   0.5277599328
  2.636683	   0.4877939506
  2.686432	   0.4423694317
  2.736181	   0.3996107958
  2.785930	   0.3514068485
  2.835678	   0.3057894757
  2.885427	   0.2557686620
  2.935176	   0.2075269167
  2.984925	   0.1566908461
  3.034673	   0.1064024910
  3.084422	   0.0556703929
  3.134171	   0.0042117255
  3.183920	  -0.0456724115
  3.233668	  -0.0972455772
  3.283417	  -0.1457603874
  3.333166	  -0.1963733332
  3.382915	  -0.2432164889
  3.432663	  -0.2919353848
  3.482412	  -0.3369751144
  3.532161	  -0.3831251185
  3.581910	  -0.4278511281
  3.631658	  -0.4747431547
  3.681407	  -0.5287475843
  3.731156	  -0.5824308411
  3.780905	  -0.6499597775
  3.830653	  -0.7112500781
  3.880402	  -0.7862575909
  3.930151	  -0.8491060182
  3.979899	  -0.9184517869
  4.029648	  -0.9719462244
  4.079397	  -1.0205198349
  4.129146	  -1.0521898879
  4.178894	  -1.0671415635
  4.228643	  -1.0660651036
  4.278392	  -1.0392441895
  4.328141	  -0.9981876224
  4.377889	  -0.9268641542
  4.427638	  -0.8432400689
  4.477387	  -0.7295831136
  4.527136	  -0.6053601639
  4.576884	  -0.4552222888
  4.626633	  -0.2960969513
  4.676382	  -0.1175717632
  4.726131	   0.0682457893
  4.775879	   0.2661655754
  4.825628	   0.4692400862
  4.875377	   0.6777161342
  4.925126	   0.8885198922
  4.974874	   1.0995569555
  5.024623	   1.3092923809
  5.074372	   1.5157450496
  5.124121	   1.7156884864
  5.173869	   1.9096639228
  5.223618	   2.0905045218
  5.273367	   2.2633722846
  5.323116	   2.4160151449
  5.372864	   2.5590919725
  5.422613	   2.6757542158
  5.472362	   2.7813427607
  5.522111	   2.8567942328
  5.571859	   2.9194978853
  5.621608	   2.9522235983
  5.671357	   2.9703495270
  5.721106	   2.9633304686
  5.770854	   2.9400559780
  5.820603	   2.9008235147
  5.870352	   2.8446648374
  5.920101	   2.7843253405
  5.969849	   2.7083697389
  6.019598	   2.6394691459
  6.069347	   2.5589107249
  6.119095	   2.4923572395
  6.168844	   2.4202766759
  6.218593	   2.3620865210
  6.268342	   2.3043839892
  6.318090	   2.2537403410
  6.367839	   2.2060342572
  6.417588	   2.1569631677
  6.467337	   2.1096214705
  6.517085	   2.0589483454
  6.566834	   2.0105302832
  6.616583	   1.9590627284
  6.666332	   1.9097889678
  6.716080	   1.8585395157
  6.765829	   1.8088199141
  6.815578	   1.7588658606
  6.865327	   1.7093263768
  6.915075	   1.6616455568
  6.964824	   1.6131071177
  7.014573	   1.5684323303
  7.064322	   1.5218410731
  7.114070	   1.4805722071
  7.163819	   1.4368920759
  7.213568	   1.3990906875
  7.263317	   1.3591794559
  7.313065	   1.3246491682
  7.362814	   1.2891449007
  7.412563	   1.2575780532
  7.462312	   1.2268229201
  7.512060	   1.1979754945
  7.561809	   1.1719971608
  7.611558	   1.1458451811
  7.661307	   1.1244037614
  7.711055	   1.1012377556
  7.760804	   1.0839311337
  7.810553	   1.0643603083
  7.860302	   1.0507659844
  7.910050	   1.0356268582
  7.959799	   1.0254481053
  8.009548	   1.0156376123
  8.059296	   1.0088184926
  8.109045	   1.0050923759
  8.158794	   1.0018714372
  8.208543	   1.0046594956
  8.258291	   1.0055450270
  8.308040	   1.0148322995
  8.357789	   1.0205001750
  8.407538	   1.0358076929
  8.457286	   1.0469419079
  8.507035	   1.0685528284
  8.556784	   1.0908773061
  8.606533	   1.1134262146
  8.656281	   1.1364015680
  8.706030	   1.1601618523
  8.755779	   1.1850037849
  8.805528	   1.2111365225
  8.855276	   1.2386992827
  8.905025	   1.2677805946
  8.954774	   1.2984342014
  9.004523	   1.3306876685
  9.054271	   1.3645512346
  9.104020	   1.4000209874
  9.153769	   1.4370844805
  9.203518	   1.4757218883
  9.253266	   1.5159097412
  9.303015	   1.5576213754
  9.352764	   1.6008292378
  9.402513	   1.6455051257
  9.452261	   1.6916213810
  9.502010	   1.7391511442
  9.551759	   1.7880687755
  9.601508	   1.8383502627
  9.651256	   1.8899731573
  9.701005	   1.9429171944
  9.750754	   1.9971639130
  9.800503	   2.0526973827
  9.850251	   2.1095035831
  9.900000	   2.1675709084
