x_query	y_span_0.2	y_span_0.4	y_span_0.6	y_span_0.8
             0.00012	             0.00806	             0.00008	            -0.14748	            -0.08082
            47.29316	            60.58591	            61.90676	            61.79625	            61.78937
            94.58621	           108.88287	           112.46447	           113.20138	           113.24337
           141.87926	           180.09068	           172.91573	           171.71509	           171.64972
           189.17230	           218.95617	           219.25934	           219.60063	           219.62924
           236.46535	           276.98958	           282.25496	           283.70092	           283.80034
           283.75840	           358.04561	           366.56912	           369.49969	           369.69905
           331.05144	           475.40799	           479.93310	           480.71454	           480.76134
           378.34449	           593.95240	           581.48442	           578.22371	           578.01020
           425.63754	           684.92759	           665.01425	           660.18132	           659.87227
           472.93058	           759.62002	           739.45297	           734.29314	           733.94313
           520.22363	           824.52904	           803.99894	           798.37011	           797.98871
           567.51668	           877.66711	           862.96015	           859.22401	           858.97377
           614.80972	           935.11742	           929.68621	           927.99322	           927.87387
           662.10277	          1002.71036	          1002.30136	          1001.95449	          1001.92822
           709.39581	          1076.88362	          1082.94795	          1084.41415	          1084.50991
           756.68886	          1164.31190	          1177.08995	          1180.31593	          1180.52690
           803.98191	          1265.94229	          1278.19257	          1280.87078	          1281.04214
           851.27495	          1366.35533	          1375.18119	          1377.05098	          1377.16931
           898.56800	          1462.88177	          1469.52236	          1470.89499	          1470.98015
           945.86105	          1558.83634	          1563.17466	          1563.66485	          1563.68591
           993.15409	          1654.52089	          1653.09052	          1651.92490	          1651.83172
          1040.44714	          1740.38839	          1733.89402	          1731.92185	          1731.78173
          1087.74019	          1816.37551	          1811.42852	          1810.22705	          1810.14507
          1135.03323	          1894.55854	          1894.24261	          1894.36166	          1894.37214
          1182.32628	          1981.82611	          1986.17682	          1987.52932	          1987.62499
          1229.61933	          2080.48945	          2088.56668	          2090.71994	          2090.86676
          1276.91237	          2191.23835	          2197.57605	          2198.79992	          2198.87573
          1324.20542	          2301.42230	          2300.79900	          2300.03651	          2299.97344
          1371.49847	          2399.70414	          2391.77710	          2389.11202	          2388.91808
          1418.79151	          2483.91762	          2470.28289	          2466.18239	          2465.88977
          1466.08456	          2555.88603	          2539.87733	          2535.40856	          2535.09453
          1513.37761	          2622.91281	          2608.71815	          2604.89807	          2604.63122
          1560.67065	          2692.87822	          2682.22725	          2679.38688	          2679.18842
          1607.96370	          2768.63758	          2761.64431	          2759.88997	          2759.77015
          1655.25675	          2852.40324	          2852.03934	          2852.36460	          2852.39318
          1702.54979	          2951.29282	          2959.68793	          2962.50379	          2962.70665
          1749.84284	          3067.30321	          3084.05777	          3089.15319	          3089.51443
          1797.13588	          3198.64260	          3222.47139	          3229.47019	          3229.96341
          1844.42893	          3343.32213	          3372.91989	          3381.46365	          3382.06393
          1891.72198	          3500.03606	          3534.26516	          3544.04416	          3544.72994
          1939.01502	          3667.98132	          3705.86258	          3716.60940	          3717.36206
          1986.30807	          3846.58648	          3887.26619	          3898.74669	          3899.54991
          2033.60112	          4035.30198	          4078.03283	          4090.04130	          4090.88073
          2080.89416	          4233.67402	          4277.79194	          4290.14512	          4291.00797
          2128.18721	          4441.33553	          4486.24082	          4498.77297	          4499.64767
          2175.48026	          4657.98825	          4703.13128	          4715.69035	          4716.56630
          2222.77330	          4883.39394	          4928.26369	          4940.70828	          4941.57562
          2270.06635	          5117.36941	          5161.48399	          5173.68078	          5174.53020
          2317.35940	          5359.78316	          5402.68175	          5414.50329	          5415.32591
          2364.65244	          5610.55269	          5651.78856	          5663.11140	          5663.89862
          2411.94549	          5869.66666	          5908.79975	          5919.50249	          5920.24584
          2459.23854	          6137.28761	          6173.87316	          6183.83340	          6184.52437
          2506.53158	          6413.63839	          6447.22272	          6456.31595	          6456.94587
          2553.82463	          6698.94858	          6729.06800	          6737.16726	          6737.72732
          2601.11768	          6993.45450	          7019.63443	          7026.61008	          7027.09127
          2648.41072	          7297.39910	          7319.15334	          7324.87278	          7325.26590
          2695.70377	          7611.03170	          7627.86179	          7632.18931	          7632.48494
          2742.99682	          7934.60754	          7946.00223	          7948.79883	          7948.98734
          2790.28986	          8268.38729	          8273.82208	          8274.94535	          8275.01687
          2837.58291	          8612.64406	          8611.58063	          8610.88454	          8610.82894
          2884.87596	          8967.69723	          8959.58197	          8956.91651	          8956.72340
          2932.16900	          9333.88308	          9318.14674	          9313.35776	          9313.01647
          2979.46205	          9711.53902	          9687.59683	          9680.52610	          9680.02567
          3026.75509	         10101.00262	         10068.25451	         10058.73972	         10058.06891
          3074.04814	         10502.61081	         10460.44163	         10448.32816	         10447.46378
          3121.34119	         10892.28118	         10789.45646	         10756.09736	         10753.68243
          3168.63423	         10954.57641	         10738.40648	         10680.48713	         10676.46392
          3215.92728	         10635.08336	         10422.35349	         10369.75224	         10366.15435
          3263.22033	         10315.18565	         10161.57548	         10123.79471	         10121.21068
          3310.51337	         10151.82049	         10043.10377	         10015.76111	         10013.88057
          3357.80642	         10118.53175	         10034.68628	         10013.04601	         10011.54829
          3405.09947	         10167.34930	         10096.21949	         10077.47635	         10076.17249
          3452.39251	         10265.84407	         10201.02012	         10183.69164	         10182.48181
          3499.68556	         10395.02603	         10333.17737	         10316.48902	         10315.32106
          3546.97861	         10543.89386	         10483.25958	         10466.80075	         10465.64702
          3594.27165	         10705.90435	         10645.53484	         10629.08466	         10627.93033
          3641.56470	         10877.02097	         10816.39975	         10799.83943	         10798.67655
          3688.85775	         11054.86856	         10992.50259	         10975.35245	         10974.13456
          3736.15079	         11231.99057	         11165.20548	         11146.69266	         11145.37594
          3783.44384	         11402.91502	         11330.51097	         11310.37118	         11308.93776
          3830.73689	         11568.05058	         11489.88051	         11468.09665	         11466.54558
          3878.02993	         11730.12298	         11646.36645	         11622.99471	         11621.33000
          3925.32298	         11891.74669	         11802.58818	         11777.68343	         11775.90899
          3972.61603	         12054.52361	         11960.07965	         11933.68023	         11931.79887
          4019.90907	         12219.02654	         12119.37479	         12091.51033	         12089.52430
          4067.20212	         12385.10975	         12280.33278	         12251.03470	         12248.94638
          4114.49517	         12552.23620	         12442.44915	         12411.75709	         12409.56943
          4161.78821	         12719.71457	         12605.07487	         12573.03868	         12570.75535
          4209.08126	         12886.84066	         12767.54601	         12734.22522	         12731.85055
          4256.37430	         13052.96895	         12929.25014	         12894.71204	         12892.25089
          4303.66735	         13217.54130	         13089.65356	         13053.97115	         13051.42876
          4350.96040	         13380.09230	         13248.30731	         13211.55728	         13208.93914
          4398.25344	         13540.24307	         13404.84233	         13367.10348	         13364.41523
          4445.54649	         13697.69059	         13558.96030	         13520.31229	         13517.55960
          4492.83954	         13852.19581	         13710.42307	         13670.94551	         13668.13405
          4540.13258	         14003.57249	         13859.04259	         13818.81439	         13815.94978
          4587.42563	         14151.67720	         14004.67183	         13963.77076	         13960.85853
          4634.71868	         14296.40086	         14147.19692	         14105.69934	         14102.74492
          4682.01172	         14437.66170	         14286.53057	         14244.51127	         14241.51998
          4729.30477	         14577.37884	         14423.20768	         14380.19178	         14377.16128
          4776.59782	         14711.89234	         14556.74770	         14513.50229	         14510.45622
          4823.89086	         14843.87633	         14688.46348	         14645.16970	         14642.12052
          4871.18391	         14973.10098	         14818.05527	         14774.87103	         14771.82952
          4918.47696	         15098.68252	         14944.62756	         14901.70378	         14898.68021
          4965.77000	         15219.61638	         15067.16449	         15024.64767	         15021.65202
          5013.06305	         15335.15062	         15184.86749	         15142.89319	         15139.93469
          5060.35610	         15444.94607	         15297.30628	         15255.98960	         15253.07613
          5107.64914	         15549.05513	         15404.41143	         15363.83997	         15360.97756
          5154.94219	         15647.80505	         15506.38061	         15466.61229	         15463.80497
          5202.23524	         15741.66533	         15603.56575	         15564.63107	         15561.88101
          5249.52828	         15831.14294	         15696.37940	         15658.28636	         15655.59422
          5296.82133	         15916.71696	         15785.23217	         15747.97206	         15745.33733
          5344.11437	         15998.80624	         15870.49813	         15834.05085	         15831.47225
          5391.40742	         16077.75930	         15952.49997	         15916.83854	         15914.31428
          5438.70047	         16153.85660	         16031.50635	         15996.60021	         15994.12829
          5485.99351	         16227.31844	         16107.73548	         16073.55293	         16071.13123
          5533.28656	         16298.31475	         16181.36139	         16147.87118	         16145.49761
          5580.57961	         16366.97448	         16252.52096	         16219.69330	         16217.36586
          5627.87265	         16433.39395	         16321.32043	         16289.12756	         16286.84438
          5675.16570	         16497.64376	         16387.84116	         16356.25767	         16354.01705
          5722.45875	         16559.77433	         16452.14453	         16421.14747	         16418.94785
          5769.75179	         16619.82042	         16514.27586	         16483.84469	         16481.68469
          5817.04484	         16677.80449	         16574.26765	         16544.38416	         16542.26255
          5864.33789	         16733.73946	         16632.14211	         16602.79030	         16600.70600
          5911.63093	         16787.63078	         16687.91326	         16659.07916	         16657.03124
          5958.92398	         16839.47807	         16741.58851	         16713.26004	         16711.24767
          6006.21703	         16889.27638	         16793.16997	         16765.33676	         16763.35926
          6053.51007	         16937.01718	         16842.65548	         16815.30875	         16813.36551
          6100.80312	         16982.68913	         16890.03947	         16863.17182	         16861.26237
          6148.09617	         17026.27867	         16935.31357	         16908.91891	         16907.04283
          6195.38921	         17067.76589	         16978.46255	         16952.53597	         16950.69295
          6242.68226	         17107.11337	         17019.45339	         16993.99105	         16992.18084
          6289.97531	         17144.28112	         17058.25004	         17033.24913	         17031.47154
          6337.26835	         17179.23085	         17094.81777	         17070.27635	         17068.53127
          6384.56140	         17211.92604	         17129.12323	         17105.04018	         17103.32755
          6431.85445	         17242.33203	         17161.13458	         17137.50949	         17135.82929
          6479.14749	         17270.41598	         17190.82150	         17167.65460	         17166.00686
          6526.44054	         17296.14693	         17218.15528	         17195.44735	         17193.83215
          6573.73358	         17319.49575	         17243.10877	         17220.86113	         17219.27857
          6621.02663	         17340.43514	         17265.65645	         17243.87084	         17242.32105
          6668.31968	         17358.93961	         17285.77435	         17264.45293	         17262.93607
          6715.61272	         17374.98541	         17303.44012	         17282.58537	         17281.10163
          6762.90577	         17388.55055	         17318.63293	         17298.24764	         17296.79723
          6810.19882	         17399.61468	         17331.33348	         17311.42071	         17310.00386
          6857.49186	         17408.15914	         17341.52399	         17322.08700	         17320.70394
          6904.78491	         17414.16682	         17349.18811	         17330.23037	         17328.88136
          6952.07796	         17417.62219	         17354.31095	         17335.83608	         17334.52137
          6999.37100	         17418.51122	         17356.87899	         17338.89073	         17337.61061
          7046.66405	         17416.82135	         17356.88009	         17339.38228	         17338.13702
          7093.95710	         17412.54143	         17354.30342	         17337.29998	         17336.08987
          7141.25014	         17405.66168	         17349.13944	         17332.63435	         17331.45966
          7188.54319	         17396.17366	         17341.37987	         17325.37712	         17324.23816
          7235.83624	         17384.07023	         17331.01764	         17315.52125	         17314.41829
          7283.12928	         17369.34548	         17318.04686	         17303.06082	         17301.99416
          7330.42233	         17351.99537	         17302.46341	         17287.99169	         17286.96162
          7377.71538	         17332.02379	         17284.27078	         17270.31725	         17269.32404
          7425.00842	         17309.43921	         17263.47690	         17250.04524	         17249.08916
          7472.30147	         17284.25032	         17240.08989	         17227.18362	         17226.26493
          7519.59452	         17256.46591	         17214.11800	         17201.74050	         17200.85943
          7566.88756	         17226.09491	         17185.56961	         17173.72408	         17172.88087
          7614.18061	         17193.14633	         17154.45319	         17143.14268	         17142.33756
          7661.47366	         17157.62927	         17120.77732	         17110.00474	         17109.23791
          7708.76670	         17119.55294	         17084.55068	         17074.31877	         17073.59043
          7756.05975	         17078.92660	         17045.78202	         17036.09338	         17035.40372
          7803.35279	         17035.75957	         17004.48016	         16995.33725	         16994.68644
          7850.64584	         16990.06124	         16960.65400	         16952.05912	         16951.44735
          7897.93889	         16941.84105	         16914.31250	         16906.26782	         16905.69524
          7945.23193	         16891.10849	         16865.46467	         16857.97223	         16857.43898
          7992.52498	         16837.87309	         16814.11958	         16807.18128	         16806.68750
          8039.81803	         16782.14440	         16760.28634	         16753.90394	         16753.44976
          8087.11107	         16723.93203	         16703.97410	         16698.14924	         16697.73479
          8134.40412	         16663.24560	         16645.19205	         16639.92626	         16639.55164
          8181.69717	         16600.09475	         16583.94942	         16579.24407	         16578.90940
          8228.99021	         16534.48914	         16520.25545	         16516.11183	         16515.81719
          8276.28326	         16466.43847	         16454.11943	         16450.53869	         16450.28417
          8323.57631	         16395.95241	         16385.55065	         16382.53383	         16382.31951
          8370.86935	         16323.04068	         16314.55843	         16312.10646	         16311.93241
          8418.16240	         16247.71297	         16241.15209	         16239.26580	         16239.13208
          8465.45545	         16169.97899	         16165.34099	         16164.02108	         16163.92776
          8512.74849	         16089.84846	         16087.13446	         16086.38155	         16086.32867
          8560.04154	         16007.33106	         16006.54187	         16006.35647	         16006.34406
          8607.33459	         15922.43651	         15923.57256	         15923.95508	         15923.98319
