mean	std	gene_id
        0.06363	             0.04508	NP_001000000.1
        0.20930	             0.13639	NP_001000001.1
        0.04489	             0.02372	NP_001000002.1
        0.07165	             0.04859	NP_001000007.1
        0.03584	             0.02882	NP_001000012.1
        0.04461	             0.04581	NP_001000013.1
        0.06308	             0.05954	NP_001000019.1
        0.06296	             0.04288	NP_001000021.1
        0.06194	             0.06879	NP_001000022.1
        0.09507	             0.08723	NP_001000023.1
        0.08318	             0.04872	NP_001000024.1
        0.18757	             0.11311	NP_001000025.1
        0.10895	             0.03917	NP_001000027.1
        0.01692	             0.00584	NP_001000034.1
        0.24478	             0.17004	NP_001000039.1
        0.52323	             0.36595	NP_001000040.1
        0.04401	             0.04390	NP_001000041.1
        0.03669	             0.01830	NP_001000042.1
        0.03066	             0.01543	NP_001000043.1
        0.08498	             0.08864	NP_001000044.1
        0.02543	             0.01162	NP_001000050.1
        0.03685	             0.02260	NP_001000052.1
        0.05832	             0.02845	NP_001000054.2
        0.04827	             0.01956	NP_001000059.1
        0.06901	             0.07401	NP_001000062.1
        0.25619	             0.28319	NP_001000066.1
        0.04206	             0.03113	NP_001000068.1
        0.09416	             0.12607	NP_001000072.1
        0.06225	             0.05855	NP_001000075.1
        0.04788	             0.01482	NP_001000077.1
        0.09243	             0.07002	NP_001000078.1
        0.03150	             0.02856	NP_001000079.1
        0.73151	             1.24181	NP_001000081.1
        0.15796	             0.18084	NP_001000083.1
        0.09159	             0.06515	NP_001000084.1
        0.06802	             0.04787	NP_001000085.1
        0.12585	             0.15803	NP_001000091.1
        0.04299	             0.03860	NP_001000096.1
        0.03799	             0.02325	NP_001000099.1
        0.07704	             0.07324	NP_001000100.1
        0.80662	             1.34003	NP_001000102.2
        0.23589	             0.31785	NP_001000103.1
        0.06093	             0.05039	NP_001000104.1
        0.04519	             0.03859	NP_001000105.1
        0.10404	             0.11979	NP_001000107.2
        0.06277	             0.06221	NP_001000108.1
        0.05065	             0.02716	NP_001000111.1
        0.10015	             0.05259	NP_001000116.1
        0.03365	             0.02391	NP_001000117.1
        0.16505	             0.12766	NP_001000118.1
        0.03701	             0.04120	NP_001000119.1
        0.03030	             0.01169	NP_001000120.1
        0.04426	             0.03916	NP_001000129.1
        0.33033	             0.37886	NP_001000130.1
        0.03404	             0.01874	NP_001000132.1
        0.04755	             0.03064	NP_001000135.1
        0.03199	             0.02206	NP_001000145.1
        0.05463	             0.01437	NP_001000146.1
        0.11201	             0.04063	NP_001000160.1
        0.08850	             0.07198	NP_001000161.1
        0.05464	             0.01891	NP_001000164.1
        0.20808	             0.07217	NP_001000165.1
        0.08430	             0.06271	NP_001000167.1
        0.14119	             0.17163	NP_001000168.1
        0.05601	             0.02818	NP_001000169.1
        0.12936	             0.10861	NP_001000170.1
        0.04150	             0.04044	NP_001000171.1
        0.08602	             0.08503	NP_001000176.1
        0.07327	             0.03424	NP_001000178.1
        0.11929	             0.06274	NP_001000188.1
        0.15597	             0.10334	NP_001000189.1
        0.03766	             0.01078	NP_001000190.1
        0.05440	             0.03520	NP_001000191.1
        0.09184	             0.08653	NP_001000192.1
        0.03180	             0.02740	NP_001000193.1
        0.03055	             0.01505	NP_001000194.1
        0.10128	             0.08035	NP_001000195.1
        0.06037	             0.04304	NP_001000196.1
        0.11925	             0.04122	NP_001000197.1
        0.04057	             0.01465	NP_001000198.1
        0.05360	             0.02594	NP_001000199.1
        0.03163	             0.02940	NP_001000200.1
        0.05596	             0.01456	NP_001000201.1
        0.14797	             0.08185	NP_001000202.1
        0.06174	             0.03034	NP_001000203.1
        0.12209	             0.03740	NP_001000204.1
        0.10908	             0.05282	NP_001000205.1
        0.10965	             0.06398	NP_001000207.1
        0.28169	             0.13168	NP_001000208.1
        0.05978	             0.04431	NP_001000209.1
        0.14787	             0.17684	NP_001000210.1
        0.09894	             0.04252	NP_001000211.1
        0.09531	             0.04940	NP_001000213.1
        0.10344	             0.09790	NP_001000223.1
        0.39261	             0.23536	NP_001000224.1
        0.04757	             0.02554	NP_001000231.1
        0.11626	             0.10170	NP_001000232.1
        0.09006	             0.05808	NP_001000235.1
        0.08313	             0.09286	NP_001000237.1
        0.29693	             0.32257	NP_001000238.1
        0.05363	             0.04269	NP_001000239.1
        0.07197	             0.03395	NP_001000241.1
        0.09197	             0.12430	NP_001000242.1
        0.04421	             0.02733	NP_001000243.1
        0.07169	             0.04563	NP_001000244.1
        0.13052	             0.12340	NP_001000245.1
        0.08964	             0.06885	NP_001000247.1
        0.22499	             0.09141	NP_001000248.1
        0.17573	             0.18512	NP_001000249.1
        0.03725	             0.01659	NP_001000250.1
        0.04034	             0.02400	NP_001000257.1
        0.06958	             0.06521	NP_001000261.1
        0.04060	             0.02296	NP_001000263.1
        0.21243	             0.20730	NP_001000264.1
        0.03851	             0.00900	NP_001000269.1
        0.21255	             0.04718	NP_001000271.1
        0.05180	             0.02856	NP_001000272.1
        0.22018	             0.05478	NP_001000274.1
        6.26751	             1.50178	NP_001000275.1
        1.48244	             0.36818	NP_001000276.1
        0.10094	             0.10106	NP_001000277.1
        0.09747	             0.06527	NP_001000279.1
        0.08042	             0.06037	NP_001000281.1
        0.09390	             0.03572	NP_001000282.1
        0.05076	             0.02918	NP_001000283.1
        0.03848	             0.01597	NP_001000284.1
        0.03725	             0.00785	NP_001000286.1
        0.05582	             0.01115	NP_001000287.1
        1.77675	             0.14286	NP_001000300.1
        0.06725	             0.06538	NP_001000302.1
        0.02908	             0.01728	NP_001000310.1
        0.03686	             0.01753	NP_001000311.1
        0.02786	             0.01325	NP_001000314.1
        0.05271	             0.06647	NP_001000322.1
        0.04814	             0.03431	NP_001000327.1
        0.03722	             0.02120	NP_001000354.1
        0.06010	             0.06013	NP_001000362.1
        0.06328	             0.02407	NP_001000363.1
        0.31087	             0.07537	NP_001000365.1
        0.10522	             0.05555	NP_001000366.1
        0.13749	             0.03054	NP_001000367.1
        0.07883	             0.04533	NP_001000378.1
        0.07088	             0.03678	NP_001000379.1
        0.93049	             0.40776	NP_001000380.1
        0.05450	             0.03682	NP_001000381.1
        0.04296	             0.01530	NP_001000382.1
        0.05971	             0.02343	NP_001000395.1
        0.16314	             0.11112	NP_001000397.1
        0.30306	             0.11028	NP_001000403.1
        0.03569	             0.01554	NP_001000405.1
        0.16966	             0.15522	NP_001000406.1
        0.05621	             0.02755	NP_001000407.1
        0.05438	             0.02630	NP_001000408.1
        0.24659	             0.29805	NP_001000409.1
        0.05195	             0.04189	NP_001000413.1
        0.06911	             0.05006	NP_001000415.1
        0.56172	             1.01508	NP_001000418.1
        0.05991	             0.06961	NP_001000421.1
        0.50340	             0.52889	NP_001000423.1
        0.77383	             0.47443	NP_001000424.1
        0.18784	             0.16367	NP_001000425.1
        0.03823	             0.02175	NP_001000428.1
        3.45195	             1.97849	NP_001000438.1
        0.19609	             0.08637	NP_001000439.1
       20.55651	            18.38960	NP_001000442.1
        0.04732	             0.03886	NP_001000443.1
        0.23780	             0.05849	NP_001000444.1
        0.08324	             0.07473	NP_001000445.1
        0.05060	             0.02693	NP_001000446.1
       13.49207	             7.65872	NP_001000447.1
        0.05692	             0.03095	NP_001000451.1
        0.21691	             0.25732	NP_001000455.1
        0.13757	             0.08230	NP_001000464.1
        1.01761	             0.08102	NP_001000465.1
        0.04775	             0.02488	NP_001000477.1
        0.05565	             0.03236	NP_001000482.1
        0.59288	             0.41589	NP_001000485.1
        0.02813	             0.01628	NP_001000488.1
        0.11449	             0.04444	NP_001000492.1
        0.40195	             0.35572	NP_001000493.1
        0.10497	             0.09924	NP_001000494.1
        0.07346	             0.07877	NP_001000496.1
        0.09042	             0.07370	NP_001000499.1
        0.09709	             0.10830	NP_001000500.1
        0.14133	             0.12402	NP_001000501.1
        0.25502	             0.10507	NP_001000502.1
        1.56329	             3.05165	NP_001000503.1
        0.04600	             0.04594	NP_001000504.1
        0.09557	             0.11275	NP_001000505.1
        0.15107	             0.11728	NP_001000506.1
        0.33903	             0.42157	NP_001000507.1
        0.27012	             0.21635	NP_001000508.1
        0.38617	             0.22251	NP_001000509.1
        0.23301	             0.36665	NP_001000510.1
        0.78595	             1.34668	NP_001000515.1
        0.04537	             0.03290	NP_001000517.1
        0.34261	             0.16563	NP_001000518.1
        0.05474	             0.02789	NP_001000519.1
        0.04686	             0.02021	NP_001000522.1
        0.28985	             0.43644	NP_001000523.1
        0.17510	             0.11797	NP_001000524.1
        0.13431	             0.08255	NP_001000525.2
        0.08008	             0.09430	NP_001000526.1
        0.09474	             0.04668	NP_001000529.2
        0.03338	             0.00728	NP_001000531.1
        0.03744	             0.03319	NP_001000532.1
        1.22346	             0.38087	NP_001000535.1
        0.03902	             0.01911	NP_001000537.1
        0.08577	             0.06662	NP_001000538.2
        0.16680	             0.06112	NP_001000540.1
        0.43491	             0.60533	NP_001000542.1
        0.04440	             0.01937	NP_001000544.1
        0.03773	             0.02474	NP_001000545.1
        0.03871	             0.02642	NP_001000546.1
        0.02780	             0.01419	NP_001000547.1
        0.03102	             0.01404	NP_001000548.1
        0.21573	             0.21063	NP_001000550.1
        0.03482	             0.01059	NP_001000551.1
        0.01927	             0.00397	NP_001000552.2
        0.04249	             0.01858	NP_001000553.1
        0.09998	             0.09834	NP_001000554.1
        0.08171	             0.05849	NP_001000557.1
        0.02939	             0.01531	NP_001000559.1
        0.16053	             0.05145	NP_001000564.1
