x	y_span_0.8
  0.000000	   1.0257983172
  0.049749	   1.0147115093
  0.099497	   1.0032690714
  0.149246	   0.9914762505
  0.198995	   0.9793387883
  0.248744	   0.9668626446
  0.298492	   0.9540540534
  0.348241	   0.9409193815
  0.397990	   0.9274651619
  0.447739	   0.9136980195
  0.497487	   0.8996246974
  0.547236	   0.8852520082
  0.596985	   0.8705868487
  0.646734	   0.8556361649
  0.696482	   0.8404069428
  0.746231	   0.8249061933
  0.795980	   0.8091409121
  0.845729	   0.7931180932
  0.895477	   0.7768446638
  0.945226	   0.7603275277
  0.994975	   0.7435734898
  1.044724	   0.7265893207
  1.094472	   0.7093816916
  1.144221	   0.6919572418
  1.193970	   0.6743225417
  1.243719	   0.6564841447
  1.293467	   0.6384485870
  1.343216	   0.6202224099
  1.392965	   0.6018121923
  1.442714	   0.5832245411
  1.492462	   0.5644661384
  1.542211	   0.5455437070
  1.591960	   0.5264640490
  1.641709	   0.5072340007
  1.691457	   0.4878604376
  1.741206	   0.4683502358
  1.790955	   0.4487102273
  1.840704	   0.4289471816
  1.890452	   0.4090677081
  1.940201	   0.3890782645
  1.989950	   0.3689850169
  2.039698	   0.3487938715
  2.089447	   0.3285103100
  2.139196	   0.3081394342
  2.188945	   0.2876857908
  2.238693	   0.2671534145
  2.288442	   0.2465456425
  2.338191	   0.2258651462
  2.387940	   0.2051137172
  2.437688	   0.1842922828
  2.487437	   0.1634006358
  2.537186	   0.1424374344
  2.586935	   0.1213998501
  2.636683	   0.1002835522
  2.686432	   0.0790822664
  2.736181	   0.0577877362
  2.785930	   0.0363892093
  2.835678	   0.0148733549
  2.885427	  -0.0067762870
  2.935176	  -0.0285794678
  2.984925	  -0.0505597793
  3.034673	  -0.0727449397
  3.084422	  -0.0951673143
  3.134171	  -0.1178643540
  3.183920	  -0.1408790686
  3.233668	  -0.1642605789
  3.283417	  -0.1880644602
  3.333166	  -0.2123531753
  3.382915	  -0.2371959307
  3.432663	  -0.2626682531
  3.482412	  -0.2888502128
  3.532161	  -0.3158231915
  3.581910	  -0.3436635356
  3.631658	  -0.3724322227
  3.681407	  -0.4021584112
  3.731156	  -0.4328163753
  3.780905	  -0.4642971039
  3.830653	  -0.4963841850
  3.880402	  -0.5287581881
  3.930151	  -0.5610818246
  3.979899	  -0.5885751145
  4.029648	  -0.6162628750
  4.079397	  -0.6407038322
  4.129146	  -0.6655120479
  4.178894	  -0.6865872008
