GeneID	Adipose_rep1	Adipose_rep2	Adipose_rep3	Adipose_rep4	Adipose_rep5	Adipose_rep6
NP_001000000.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000001.1	0.223987	0.132068	0.139425	0.107255	0.131744	0.226323
NP_001000002.1	0.0	0.0	0.0	0.0178759	0.0	0.0
NP_001000003.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000004.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000005.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000006.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000007.1	0.0663439	0.173741	0.0458441	0.0	0.0	0.0
NP_001000009.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000010.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000011.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000012.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000013.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000014.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000015.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000016.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000017.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000018.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000019.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000020.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000021.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000022.1	0.0226902	0.0	0.14137	0.0	0.0	0.0
NP_001000023.1	0.0	0.0	0.0	0.0172502	0.0	0.0
NP_001000024.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000025.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000026.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000027.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000029.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000030.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000031.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000032.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000033.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000034.1	0.0110108	0.0	0.0	0.0	0.0	0.0
NP_001000035.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000036.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000037.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000038.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000039.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000040.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000041.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000042.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000043.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000044.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000045.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000046.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000047.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000048.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000049.1	0.0	0.0	0.0	0.0174025	0.0	0.0550407
NP_001000050.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000051.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000052.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000054.2	0.0	0.0876501	0.0	0.0533856	0.0655787	0.0
NP_001000055.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000056.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000057.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000058.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000059.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000060.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000061.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000062.1	0.0	0.0	0.0	0.0340535	0.0	0.0
NP_001000063.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000064.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000065.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000066.1	0.446065	0.745026	0.462627	0.48047	0.52463	0.337909
NP_001000068.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000069.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000070.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000071.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000072.1	0.0	0.043825	0.0925255	0.124566	0.0	0.0
NP_001000073.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000074.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000075.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000076.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000077.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000078.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000079.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000080.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000081.1	0.552866	0.564658	0.595974	0.846529	0.390001	0.669602
NP_001000083.1	0.111516	0.0	0.0462627	0.0355904	0.0	0.0
NP_001000084.1	0.0911564	0.0	0.0	0.018206	0.0	0.115313
NP_001000085.1	0.0	0.0864858	0.0	0.035115	0.0647147	0.0
NP_001000086.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000087.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000088.1	0.0	0.0	0.0	0.0	0.0	0.0
