ensemble_a,ensemble_b,overlap_coefficient
1,5,2.5000000000000000E-001
1,11,9.3750000000000000E-001
1,12,2.5000000000000000E-001
1,19,3.7500000000000000E-001
1,59,1.2500000000000000E-001
1,63,1.8750000000000000E-001
2,3,3.1250000000000000E-001
2,6,3.1250000000000000E-001
2,8,8.1250000000000000E-001
2,10,3.1250000000000000E-001
2,16,3.1250000000000000E-001
2,20,5.6250000000000000E-001
3,8,1.8750000000000000E-001
3,10,4.3750000000000000E-001
3,11,3.1250000000000000E-001
3,12,5.0000000000000000E-001
3,16,1.2500000000000000E-001
3,19,2.5000000000000000E-001
3,20,6.2500000000000000E-002
4,6,2.5000000000000000E-001
4,7,3.7500000000000000E-001
4,9,4.3750000000000000E-001
4,11,2.5000000000000000E-001
4,16,4.3750000000000000E-001
4,17,5.6250000000000000E-001
4,63,6.2500000000000000E-001
5,9,6.2500000000000000E-002
5,11,1.0000000000000000E+000
5,13,6.2500000000000000E-002
5,14,2.5000000000000000E-001
5,15,5.0000000000000000E-001
5,28,3.1250000000000000E-001
5,59,2.5000000000000000E-001
5,63,9.3750000000000000E-001
6,8,3.1250000000000000E-001
6,16,5.6250000000000000E-001
6,17,3.1250000000000000E-001
6,20,3.1250000000000000E-001
7,9,5.0000000000000000E-001
7,11,6.8750000000000000E-001
7,14,3.1250000000000000E-001
7,15,2.5000000000000000E-001
7,17,1.2500000000000000E-001
7,21,3.1250000000000000E-001
7,63,1.0000000000000000E+000
8,10,5.0000000000000000E-001
8,16,1.8750000000000000E-001
8,20,7.5000000000000000E-001
9,11,8.1250000000000000E-001
9,14,6.2500000000000000E-002
9,15,2.5000000000000000E-001
9,16,1.2500000000000000E-001
9,17,1.2500000000000000E-001
9,63,8.1250000000000000E-001
10,12,1.2500000000000000E-001
10,19,1.2500000000000000E-001
10,20,5.0000000000000000E-001
11,12,8.1250000000000000E-001
11,13,9.0909090909090912E-002
11,14,8.7500000000000000E-001
11,15,1.0000000000000000E+000
11,16,6.2500000000000000E-002
11,19,8.1250000000000000E-001
11,21,1.2500000000000000E-001
11,28,6.8750000000000000E-001
11,59,3.1250000000000000E-001
11,63,5.9677419354838712E-001
12,19,6.2500000000000000E-001
13,14,6.2500000000000000E-002
13,18,1.0000000000000000E+000
13,24,3.7500000000000000E-001
13,25,6.2500000000000000E-002
13,28,5.6250000000000000E-001
13,29,1.2903225806451613E-001
13,30,4.3750000000000000E-001
13,37,1.0000000000000000E+000
13,38,9.0909090909090912E-002
13,55,5.0000000000000000E-001
13,59,6.8750000000000000E-001
13,60,6.2500000000000000E-002
13,61,7.5000000000000000E-001
13,62,8.7500000000000000E-001
13,63,1.0000000000000000E+000
14,15,6.2500000000000000E-001
14,21,1.8750000000000000E-001
14,28,3.7500000000000000E-001
14,63,1.0000000000000000E+000
15,28,2.5000000000000000E-001
15,63,1.0000000000000000E+000
16,17,2.5000000000000000E-001
16,63,6.2500000000000000E-002
17,20,6.2500000000000000E-002
17,21,1.2500000000000000E-001
17,35,1.8750000000000000E-001
17,63,5.6250000000000000E-001
18,24,1.2500000000000000E-001
18,30,2.5000000000000000E-001
18,37,4.3750000000000000E-001
18,38,6.2500000000000000E-002
18,55,1.8750000000000000E-001
18,61,1.2500000000000000E-001
18,62,5.0000000000000000E-001
18,63,1.0000000000000000E+000
21,23,2.5000000000000000E-001
21,35,5.0000000000000000E-001
21,55,1.8750000000000000E-001
21,63,1.0000000000000000E+000
23,24,6.2500000000000000E-002
23,26,3.7500000000000000E-001
23,29,1.2500000000000000E-001
23,34,1.2500000000000000E-001
23,35,3.1250000000000000E-001
23,38,2.5000000000000000E-001
23,55,4.3750000000000000E-001
23,62,6.2500000000000000E-002
23,63,1.0000000000000000E+000
24,25,6.2500000000000000E-002
24,29,8.7500000000000000E-001
24,30,3.7500000000000000E-001
24,37,6.2500000000000000E-002
24,38,8.1250000000000000E-001
24,40,6.2500000000000000E-002
24,55,2.5000000000000000E-001
24,62,4.3750000000000000E-001
24,63,1.0000000000000000E+000
25,29,6.2500000000000000E-002
25,30,3.7500000000000000E-001
25,32,6.2500000000000000E-002
25,38,5.0000000000000000E-001
25,56,1.2500000000000000E-001
25,60,1.8750000000000000E-001
25,61,6.2500000000000000E-002
25,63,1.0000000000000000E+000
26,33,1.2500000000000000E-001
26,34,3.7500000000000000E-001
26,35,3.1250000000000000E-001
26,38,6.2500000000000000E-002
26,40,6.2500000000000000E-002
26,42,1.8750000000000000E-001
26,45,1.8750000000000000E-001
26,53,1.8750000000000000E-001
26,63,1.0000000000000000E+000
27,56,5.6250000000000000E-001
27,60,5.6250000000000000E-001
27,61,1.2500000000000000E-001
27,63,2.5000000000000000E-001
27,64,2.5000000000000000E-001
27,70,1.2500000000000000E-001
