row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"7,10,12,63,64","1","7,10,12",""
2,"1","","1",""
3,"4","","3,4",""
4,"2,4,5,7,63,64","1","2,3,4,5,7",""
5,"1","","1","1"
6,"1,5,7,63,64","1","1,5,7",""
7,"2,4,5","","2,3,4,5",""
8,"4","","4",""
9,"2,4,5,7,63,64","1","2,3,4,5,7",""
10,"1,4,5","","1,4,5",""
11,"2,57,63,64","1","2,3","2"
12,"1,4,5","","1,4,5",""
13,"1,5,7,12,64","1","1,5,7,12",""
14,"10,12,57,63,64","1","10,12,14",""
15,"","","3","3"
16,"4","","3,4","4"
17,"1,4,5","","1,4,5",""
18,"1,5,7,12","","1,5,7,12",""
19,"7,10,12,63,64","1","7,10,12",""
20,"7,10,12,57,63,64","1","7,10,12",""
21,"1,2,4,5","","1,2,4,5","5"
22,"1,4,5","","1,4,5",""
23,"2,10,57,63,64","1","2,3,10",""
24,"1,7,12,63,64","1","1,7,12",""
25,"6,9,31,36,40,46,57,63,64,66,73","1","6,9,11",""
26,"10,12,57,63,64","1","10,12",""
27,"6,8,9,17,31,40,57,63,64,66","1","6,8,14,17",""
28,"1,4,5,7","","1,4,5,7",""
29,"1,4,5","","1,3,4,5",""
30,"2,4","","2,3,4",""
31,"6,9,31,40,57,63,64,66","1","6,9",""
32,"6,8,9,16,31,36,40,46,57,63,64,66,73","1","6,8,9,16","6"
33,"4","","3,4",""
34,"2,7,10,57,63,64","1","2,7,10",""
35,"1,7,12,64","1","1,7,12",""
36,"1,5,7,12","","1,5,7,12",""
37,"8,9,40,57,63,64,66","1","8,9",""
38,"2,8,9,10,40,57,63,64","1","2,8,10",""
39,"2,9,10,40,57,63,64","1","2,3,10",""
40,"1,2,5,7,63,64","1","1,2,5,7","7"
41,"13,17,31,40,57,63,64,66,73","1","13,14,17",""
42,"10,12,57,63,64","1","10,12,14",""
43,"8,9,40,57,63,64","1","8,14",""
44,"2,4,5,7,10,63,64","1","2,3,4,5,7,10",""
45,"10,12,57,63,64","1","10,12,14",""
46,"9,40,57,63,64","1","3,9,11",""
47,"6,8,9,31,40,57,63,64,66","1","6,8,9",""
48,"8,9,40,57,63,64","1","8,14",""
49,"8,9,17,31,40,57,63,64,66","1","8,14,17",""
50,"10,12,57,63,64","1","10,12,14",""
51,"8,9,31,40,57,63,64,66","1","8,14","8"
52,"6,8,9,31,40,57,63,64,66","1","6,8,9",""
53,"8,9,17,31,40,57,63,64,66","1","8,14,17",""
54,"9,31,40,57,63,64,66","1","9,11","9"
55,"2,9,10,57,63,64","1","2,3,10",""
56,"2,10,57,63,64","1","2,10","10"
57,"2,7,10,12,63,64","1","2,7,10,12",""
58,"9,36,40,46,57,63,64,66,73","1","11","11"
59,"9,13,16,17,31,36,40,46,57,62,63,64,66,73","1","13,16,17",""
60,"13,17,31,36,40,46,57,62,63,64,66,73","1","13,17",""
61,"6,8,9,16,17,31,36,40,46,57,63,64,66,73","1","6,8,16,17",""
62,"12","","12","12"
63,"2,9,40,57,63,64","1","2,9",""
64,"6,9,16,31,36,40,46,57,63,64,66,73","1","6,11,16",""
65,"6,9,16,31,36,40,46,57,63,64,66,73","1","6,9,11,16",""
66,"6,8,9,16,17,31,36,40,46,57,63,64,66,73","1","6,8,16,17",""
67,"9,16,31,36,40,46,57,62,63,64,66,73","1","16",""
68,"9,31,36,40,46,57,63,64,66,73","1","9,11",""
69,"6,9,16,31,36,40,46,57,62,63,64,66,73","1","6,11,16",""
70,"6,8,9,31,40,46,57,63,64,66","1","6,8,9",""
71,"13,22,31,36,40,46,57,62,63,64,66,73","1","13,22","13"
72,"40,57,63,64","1","14",""
73,"12,40,57,63,64","1","12,14","14"
74,"6,9,31,36,40,46,57,63,64,66,73","1","6,9,11",""
75,"6,9,16,31,36,40,46,57,63,64,66,73","1","6,9,11,16",""
76,"15,31,36,40,46,55,57,62,63,64,66,70,73,74","1","15,18","15"
77,"13,31,40,46,57,63,64,66,73","1","13",""
78,"9,16,17,31,36,40,46,57,62,63,64,66,73","1","16,17","16"
79,"9,31,40,46,57,63,64,66","1","9,11",""
80,"15,31,36,40,46,55,57,62,63,64,66,70,73","1","15,18",""
81,"13,17,31,36,40,46,57,62,63,64,66,73","1","13,14,17","17"
82,"13,17,31,36,40,46,57,62,63,64,66,73","1","13,17",""
83,"15,20,31,36,40,46,55,57,62,63,64,66,70,73,74","1","15,20,23",""
84,"13,15,22,31,36,40,46,55,57,62,63,64,66,70,73,74","1","13,15,22",""
85,"9,57,63,64","1","3,11",""
86,"6,8,9,17,31,40,57,63,64,66","1","6,8,14,17",""
87,"13,17,22,31,36,40,46,55,57,62,63,64,66,73","1","13,17,22",""
88,"6,9,16,31,36,40,46,57,63,64,66,73","1","6,9,11,16",""
89,"15,31,36,40,46,55,57,62,63,64,66,70,73,74","1","15,18",""
90,"31,36,40,46,55,57,62,63,64,66,70,73","1","11,18",""
91,"13,22,31,36,40,46,57,62,63,64,66,73","1","13,22",""
92,"9,15,16,31,36,40,46,55,57,62,63,64,66,73","1","11,15,16,18",""
93,"20,22,31,36,40,46,55,57,62,63,64,66,70,73,74","1","20,22,23",""
94,"31,36,40,46,52,55,57,62,63,64,66,70,73,74","1","24,52",""
95,"13,22,31,36,40,46,57,62,63,64,66,73","1","13,22",""
96,"15,20,31,36,40,46,55,57,62,63,64,66,70,73,74","1","15,18,20",""
97,"15,31,36,40,46,55,57,62,63,64,66,70,73,74","1","15,18",""
98,"13,15,22,31,36,40,46,55,57,62,63,64,66,70,73,74","1","13,15,22",""
99,"13,17,22,31,36,40,46,57,62,63,64,66,73","1","13,17,22",""
100,"15,16,31,36,40,46,55,57,62,63,64,66,70,73","1","15,16",""
101,"9,15,31,36,40,46,55,57,62,63,64,66,70,73","1","11,15,18",""
102,"31,36,40,46,55,57,62,63,64,66,70,73,74","1","18,19",""
103,"31,36,40,46,55,57,62,63,64,66,70,73","1","18","18"
104,"8,17,31,40,57,63,64,66","1","8,14,17",""
105,"20,31,36,40,46,55,57,62,63,64,66,70,73,74","1","20,23",""
106,"15,20,31,36,40,46,55,57,62,63,64,66,70,73,74","1","15,18,20,23",""
107,"31,36,40,46,55,57,62,63,64,66,70,73,74","1","19,23",""
108,"20,22,31,36,40,46,55,57,62,63,64,66,70,73,74","1","20,22,23",""
109,"15,16,31,36,40,46,55,57,62,63,64,66,70,73","1","15,16,18",""
110,"9,16,17,31,36,40,46,57,62,63,64,66,73","1","16,17",""
111,"13,22,31,36,40,46,57,62,63,64,66,70,73,74","1","13,22",""
112,"13,22,31,36,40,46,57,62,63,64,66,70,73","1","13,22",""
113,"31,36,40,46,55,57,62,63,64,66,70,73,74","1","19","19"
114,"20,22,31,36,40,46,55,57,62,63,64,66,70,73,74","1","20,22","20"
115,"25,31,36,40,46,55,57,62,63,64,66,70,73,74","1","19,21,25",""
116,"15,31,36,40,46,55,57,62,63,64,66,70,73,74","1","15,18",""
117,"20,31,36,40,46,55,57,62,63,64,66,70,73,74","1","20,21",""
118,"20,31,36,40,46,55,57,62,63,64,66,70,73,74","1","19,20,21,23",""
119,"13,15,16,31,36,40,46,55,57,62,63,64,66,70,73","1","13,15,16",""
120,"31,36,40,46,52,55,57,62,63,64,66,70,73,74","1","24,52",""
121,"20,22,31,36,40,46,55,57,62,63,64,66,70,73,74","1","20,22,23",""
122,"31,36,40,46,55,57,62,63,64,66,70,73,74","1","19,23",""
123,"20,31,36,40,46,55,57,62,63,64,66,70,73,74","1","18,20,23",""
124,"25,31,36,40,46,55,57,62,63,64,66,70,73,74","1","19,25",""
125,"15,31,36,40,46,55,57,62,63,64,66,70,73,74","1","15,18",""
126,"31,36,40,46,55,57,62,63,64,66,70,73,74","1","24",""
127,"25,31,36,40,46,55,57,62,63,64,66,70,73,74","1","19,21,25",""
128,"31,36,40,46,55,57,62,63,64,66,70,73,74","1","18,19,23",""
129,"31,36,40,46,51,52,55,57,62,63,64,66,70,73,74,75","1","51,52",""
130,"31,36,40,46,55,57,62,63,64,66,70,73,74","1","21",""
131,"25,31,36,40,46,55,57,62,63,64,66,70,73,74","1","21,25","21"
