row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"1,2,4,5,6,7,9,12","1,2,3","2,4",""
2,"2,4,5,6,7,8,9,12","2,1,3","2",""
3,"3,8,11,13","3","3",""
4,"1,2,4,5,6,12","1,2","5",""
5,"1,4,5,6,10","1","1","1"
6,"3,7,8,11,13","3","3",""
7,"1,2,4,5,6,12","1,2","5",""
8,"1,5,6,10","1","1",""
9,"2,4,5,7,8,9,12","2,1,3","2",""
10,"3,7,8,11,13","3","3",""
11,"1,5,6,10","1","1,10",""
12,"1,2,4,5,6,10,12","1,2","5",""
13,"2,4,5,6,7,8,9,12","2,1,3","2","2"
14,"1,2,4,5,6,10,12,15","1,2","1,6",""
15,"1,2,4,5,6,10,12,15","1,2","1,5,6",""
16,"1,2,4,5,6,12","1,2","4,5",""
17,"3,8,11,13","3","3",""
18,"2,4,5,6,7,8,9,12","2,1,3","2,4",""
19,"2,3,4,5,7,8,9,12","2,3,1","2,7",""
20,"1,2,4,5,6,9,12","1,2","2,4",""
21,"3,7,8,11,13","3","3",""
22,"1,4,5,6,10","1","1,6,10",""
23,"1,2,4,5,6,10,12","1,2","5",""
24,"1,2,4,5,6,10,12,15","1,2","1,5,6",""
25,"1,4,5,6,10,12,15","1","1,6",""
26,"1,4,5,6,10,12,15","1","1,6",""
27,"1,2,4,5,6,10,12,15","1,2","5,6",""
28,"2,3,4,7,8,11,13","2,3,1","7,8",""
29,"1,4,5,6,10,15","1","1,6",""
30,"1,2,4,5,6,9,12","1,2","2,4",""
31,"2,3,4,5,7,8,9,12,14","2,3,1","2,7,9",""
32,"2,3,7,8,11,13","2,3","3,7,8",""
33,"3,7,8,11,13","3","3","3"
34,"1,2,4,5,6,7,9,12","1,2,3","2,4,12","4"
35,"3,7,8,11,13","3","3,8",""
36,"3,7,8,11,13","3","3,8",""
37,"1,2,4,5,6,9,12","1,2","4,5",""
38,"1,2,4,5,6,12","1,2","4,5",""
39,"1,5,6,10,15,17","1","1,6,10",""
40,"1,5,6,10,15,17","1","1,6,10",""
41,"1,2,4,5,6,10,12,15","1,2","1,6",""
42,"3,7,8,11,13","3","3,8,11",""
43,"1,2,4,5,6,12,15","1,2","5","5"
44,"1,4,5,6,10,12,15,17","1","1,6,10","6"
45,"2,3,4,5,7,8,9,12,14","2,3,1","2,7,9",""
46,"2,3,4,7,8,9,11,12,13,14","2,3,1","7","7"
47,"2,3,4,7,8,11,13,14","2,3,1","7,8",""
48,"1,4,5,6,10,15,17","1","1,6,10",""
49,"1,2,4,5,6,12,15","1,2","4,5",""
50,"2,3,7,8,11,13,14","2,3","3,7,8,13",""
51,"2,4,5,6,7,8,9,12,14","2,1,3","2,4,9,12",""
52,"1,5,6,10,15,17","1","1,6,10",""
53,"2,3,7,8,11,13,14","2,3","3,7,8","8"
54,"1,2,4,5,6,12,15","1,2","5",""
55,"1,2,4,5,6,9,12","1,2","4,5,12",""
56,"2,4,5,6,7,8,9,12,14","2,1,3","2,4,9,12",""
57,"2,3,4,7,8,9,11,13,14","2,3,1","7,8",""
58,"1,5,6,10,15,17","1","10",""
59,"2,4,5,6,7,8,9,12,14","2,1,3","2,4,9,12",""
60,"3,7,8,11,13,14,16","3","3,8,11,13",""
61,"3,7,8,11,13,14","3","3,8,11,13",""
62,"1,2,4,5,6,10,12,15,17","1,2","6,15",""
