row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"2,3,5,6,8","1","2,3,6,8",""
2,"3,5,6,8,9","1","3,6,8,9",""
3,"1,5","1","1","1"
4,"2","","2","2"
5,"4,5,10","1","4,5,10",""
6,"4,5","1","4,11",""
7,"1,2,3,5,10","1","1,2,3,10",""
8,"2,5,6,8","1","2,6,8",""
9,"5,8,9","1","8,9,64",""
10,"3,5,9,10","1","3,5,9,10",""
11,"1,2","","1,2",""
12,"1,3,5,10","1","1,3,10",""
13,"1,2,3,5,6","1","1,2,3,6","3"
14,"4,5","1","4,11","4"
15,"4,5,9,10","1","4,5,9,10","5"
16,"5,7,15","1","5,7,15",""
17,"1","","1",""
18,"1,5","1","1",""
19,"5,7,9,14","1","7,9,14",""
20,"1,2,3,5","1","1,2,3",""
21,"1,2","","1,2",""
22,"4,5,10","1","4,10",""
23,"2,5,6","1","2,6","6"
24,"5,12,47","1","11,12",""
25,"3,5,9","1","3,9",""
26,"1,5,10","1","1,5,10",""
27,"1,2,3,5,10","1","1,2,3,10",""
28,"5,7,14","1","7,14",""
29,"4,5","1","4,11",""
30,"1,3,5,10","1","1,3,10",""
31,"2,5,6,8","1","2,6,8",""
32,"6,8","1","6,8,64",""
33,"1,2,3,5,10","1","1,2,3,10",""
34,"5,7","1","7","7"
35,"2,6","","2,6",""
36,"5,6,8","1","6,8,64","8"
37,"4,5,15","1","4,5,15",""
38,"4,5,10,15","1","4,5,10,15",""
39,"2,3,5,6,8","1","2,3,6,8",""
40,"4,5,15","1","4,11,15",""
41,"2,5,6,8","1","2,6,8",""
42,"5,8,9","1","8,9","9"
43,"5,7,14","1","7,14",""
44,"5,7,15","1","5,7,15",""
45,"1,3,5,10","1","1,3,10","10"
46,"5,14,65","1","14,64,65",""
47,"5,7,9,15","1","5,7,9,15",""
48,"5,7,15","1","7,15",""
49,"5,12,47,62,67","1","12,62",""
50,"5,62","1","62",""
51,"5,12,19,47","1","11,12,19",""
52,"4,5,15","1","4,5,15",""
53,"5,12,15,47","1","12,15",""
54,"5,14","1","14,64",""
55,"1,5,10","1","1,10",""
56,"5,29,47","1","11,29","11"
57,"5,29,47","1","11,29",""
58,"5,19,29,47","1","11,19,29",""
59,"5,8,14","1","8,14,64",""
60,"3,5,9,10","1","3,5,9,10",""
61,"5,14,23,62","1","14,23,62",""
62,"2,3,5,6,8,9","1","2,3,6,8,9",""
63,"5,18,43,47,62,67","1","43,62,67",""
64,"5,7,9,15","1","5,7,9,15",""
65,"5,14,65","1","14,64,65",""
66,"5,7,62","1","7,62",""
67,"5,14,23,65","1","14,23,64,65",""
68,"3,5,6,8,9","1","3,6,8,9",""
69,"5,12,47","1","12","12"
70,"5,12,15,47","1","12,15",""
71,"4,5,15","1","4,5,15",""
72,"5,6,8","1","6,8,64",""
73,"4,5,7,15","1","4,5,7,15",""
74,"1,4,5,10","1","1,4,10",""
75,"5,13,18,45,47,61,63,67","1","13,45,63","13"
76,"5,18,43,45,47,61,67","1","43,45,67",""
77,"5,23,62","1","23,62",""
78,"65","","64,65",""
79,"5,14,65","1","14,64,65","14"
80,"5,43,47,62,67","1","43,62,67",""
81,"5,16,30,47,61,66","1","16,30,66",""
82,"4,5,7,15","1","4,7,15","15"
83,"5,8,9","1","8,9,64",""
84,"5,16,47,61,66","1","16,66","16"
85,"6","","6,64",""
86,"5,7,9","1","5,7,9",""
87,"5,7,62","1","7,62",""
88,"4,5,10","1","4,5,10",""
89,"5,13,18,26,47,63,67","1","13,18,26,63",""
90,"5,16,19,30,44,47,61","1","16,19,30,44",""
91,"65","","64,65",""
92,"5,48,75","1","22,48,75",""
93,"5,48,61,63,75","1","48,63,75",""
94,"5,19,29,47","1","11,19,29",""
95,"5,7,14,62","1","7,14,62",""
96,"5,17,61","1","17","17"
97,"5,18,48,63,67","1","18,48,63","18"
98,"5,12,19,44,47","1","12,19,44",""
99,"5,16,20,46,47,61","1","16,20,46",""
100,"5,12,43,44,47,67","1","12,43,44",""
101,"5,12,47","1","12",""
102,"5,48,65","1","22,48,65",""
103,"5,30,47,61,66","1","30,47,66",""
104,"5,6,8,9","1","6,8,9",""
105,"5,12,19,30,47","1","12,19,30","19"
106,"5,16,20,47,61,66","1","16,20,66","20"
107,"5,29,30,47","1","11,29,30",""
108,"5,20,25,46,47,61","1","20,25,46",""
109,"5,17,61,72,75","1","17,72,75",""
110,"5,18,23,26,47,62,67","1","23,26,62,67",""
111,"5,12,19,47","1","12,19",""
112,"5,18,23,48,65","1","22,23,48,65",""
113,"5,21,61,70","1","21,70","21"
114,"5,47,49,61","1","49",""
115,"71","","22,71","22"
116,"5,14,23,65","1","14,23,65","23"
117,"5,18,48,63,67","1","18,48,63",""
118,"5,16,43,44,47,61","1","16,43,44",""
119,"5,14,23","1","14,23",""
120,"5,13,18,26,45,47,61,67","1","13,18,26,45",""
121,"5,24,61","1","24","24"
122,"4,5,15","1","4,15",""
123,"5,27,47,61","1","27",""
124,"5,25,47,61","1","25","25"
125,"5,29,30,47,61","1","29,30",""
126,"5,17,61,68","1","17,68",""
127,"5,19,29,30,44,47,61","1","19,29,30,44",""
128,"5,27,45,47,61","1","27,45",""
129,"5,13,18,26,47,67","1","13,18,26,67","26"
130,"5,13,18,26,43,47,67","1","13,18,26,43,67",""
131,"5,12,43,44,47,67","1","12,43,44",""
132,"5,27,47,61","1","27","27"
133,"5,24,27,47,61","1","24,27",""
134,"5,13,18,47,61,63","1","13,18,63",""
135,"5,14,23,65","1","14,22,23,65",""
136,"5,27,45,46,47,61","1","27,45,46",""
137,"5,27,46,47,61","1","27,46",""
138,"5,16,30,44,47,61","1","16,30,44",""
139,"5,28,50,51,61","1","28,50,51","28"
140,"5,23,62","1","23,62",""
141,"5,15","1","15",""
142,"5,18,26,43,47,67","1","26,43,67",""
143,"5,20,25,46,47,61","1","20,25,46",""
144,"5,18,26,47,62,67","1","26,62,67",""
145,"5,18,23,26,47,62,67","1","18,23,26,62,67",""
146,"5,24,49,61","1","24,49",""
147,"5,25,46,47,61","1","25,46",""
148,"5,33,47,61,66","1","33,66",""
149,"5,25,32,33,47,61","1","25,32,33",""
150,"5,45,47,61,67","1","45",""
151,"5,48,72","1","22,48,72",""
152,"5,25,32,47,61","1","25,32",""
153,"5,12,43,47,67","1","12,43,67",""
154,"5,19,47","1","11,19",""
155,"5,30,47,61,66","1","30,47,66",""
156,"5,32,33,47,61","1","32,33",""
157,"5,34,47,61","1","34,47",""
158,"5,49,61,68","1","49,68",""
159,"29","1","29","29"
160,"5,25,33,47,61,66","1","25,33,66",""
161,"5,33,34,36,47,61","1","33,34,36",""
162,"5,29,30,47,61","1","29,30","30"
163,"5,28,49,61","1","28,49",""
164,"5,20,25,46,47,61","1","20,25,46",""
165,"38,40,61","1","38,40,61",""
166,"5,19,29,30,47","1","11,19,29,30",""
167,"5,35,36,47,61","1","35,36",""
168,"5,16,20,47,61,66","1","16,20,66",""
169,"5,19,30,44,47,61","1","19,30,44",""
170,"5,24,61,63,75","1","24,63,75",""
171,"5,34,37,47,61","1","34,37",""
172,"5,31,36,39,47,55,61","1","31,36,39,55",""
173,"5,47,55,61","1","55",""
174,"5,31,47,52,53,61","1","31,52",""
175,"5,16,20,47,61,66","1","16,20,66",""
176,"5,31,47,53,55,61","1","31,55","31"
177,"5,32,47,61","1","32","32"
178,"5,34,47,61","1","34,47",""
179,"5,25,46,47,61","1","25,46",""
180,"5,20,46,47,61","1","20,46",""
181,"5,25,47,50,61","1","25,50",""
