ensemble_a,ensemble_b,overlap_coefficient
1,5,1.0000000000000000E+000
1,7,1.0000000000000000E+000
1,12,9.6969696969696972E-001
1,13,8.4210526315789469E-001
1,14,8.7301587301587302E-001
1,15,1.0000000000000000E+000
1,16,5.0000000000000000E-001
1,17,1.2500000000000000E-001
1,18,6.2500000000000000E-002
1,21,4.0000000000000001E-002
1,22,1.5702479338842976E-001
1,23,8.7162162162162160E-001
1,24,1.5748031496062992E-002
1,25,1.5748031496062992E-002
1,26,1.1111111111111110E-001
1,27,1.5625000000000000E-002
1,28,7.1428571428571425E-002
1,31,1.0000000000000000E+000
1,32,7.5000000000000000E-001
1,33,6.2500000000000000E-002
1,39,1.6806722689075630E-002
1,41,7.1942446043165464E-002
1,46,1.0000000000000000E+000
1,47,4.3750000000000000E-001
1,48,4.2567567567567566E-001
1,51,7.7027027027027029E-001
1,52,7.7027027027027029E-001
1,53,7.7027027027027029E-001
1,55,1.2162162162162163E-001
1,56,2.3648648648648649E-001
1,57,7.7027027027027029E-001
1,58,2.0270270270270271E-001
1,59,5.7971014492753624E-002
5,7,1.0000000000000000E+000
5,12,1.0000000000000000E+000
5,13,9.6842105263157896E-001
5,14,1.0000000000000000E+000
5,15,1.0000000000000000E+000
5,16,8.7500000000000000E-001
5,17,5.6250000000000000E-001
5,18,5.0000000000000000E-001
5,20,1.3636363636363635E-001
5,21,1.7333333333333334E-001
5,22,2.5619834710743800E-001
5,23,8.8414634146341464E-001
5,24,9.4488188976377951E-002
5,25,9.4488188976377951E-002
5,26,1.9444444444444445E-001
5,27,9.3750000000000000E-002
5,28,1.5714285714285714E-001
5,29,5.0420168067226892E-002
5,31,1.0000000000000000E+000
5,32,1.0000000000000000E+000
5,33,4.3750000000000000E-001
5,35,3.9215686274509803E-002
5,36,1.5384615384615385E-002
5,37,3.8461538461538464E-002
5,38,3.1914893617021274E-002
5,39,9.2436974789915971E-002
5,40,5.6000000000000001E-002
5,41,1.4388489208633093E-001
5,43,1.7094017094017096E-002
5,45,4.0650406504065040E-002
5,46,1.0000000000000000E+000
5,47,8.1250000000000000E-001
5,48,4.8170731707317072E-001
5,49,1.1764705882352941E-001
5,50,4.3478260869565216E-002
5,51,7.9268292682926833E-001
5,52,7.9268292682926833E-001
5,53,7.9268292682926833E-001
5,54,1.7094017094017096E-002
5,55,1.8421052631578946E-001
5,56,3.1097560975609756E-001
5,57,7.9268292682926833E-001
5,58,2.5609756097560976E-001
5,59,1.1594202898550725E-001
7,12,1.0000000000000000E+000
7,13,9.4736842105263153E-001
7,14,1.0000000000000000E+000
7,15,1.0000000000000000E+000
7,16,8.7500000000000000E-001
7,17,2.5000000000000000E-001
7,18,2.5000000000000000E-001
7,20,2.2727272727272728E-002
7,21,1.0666666666666667E-001
7,22,2.1487603305785125E-001
7,23,8.8050314465408808E-001
7,24,5.5118110236220472E-002
7,25,5.5118110236220472E-002
7,26,1.5972222222222221E-001
7,27,5.4687500000000000E-002
7,28,1.2142857142857143E-001
7,29,8.4033613445378148E-003
7,31,1.0000000000000000E+000
7,32,1.0000000000000000E+000
7,33,4.3750000000000000E-001
7,35,3.9215686274509803E-002
7,36,1.5384615384615385E-002
7,37,3.8461538461538464E-002
7,38,3.1914893617021274E-002
7,39,9.2436974789915971E-002
7,40,5.6000000000000001E-002
7,41,1.3669064748201440E-001
7,43,1.7094017094017096E-002
7,45,4.0650406504065040E-002
7,46,1.0000000000000000E+000
7,47,8.1250000000000000E-001
7,48,4.6540880503144655E-001
7,49,1.1764705882352941E-001
7,50,4.3478260869565216E-002
7,51,7.8616352201257866E-001
7,52,7.8616352201257866E-001
7,53,7.8616352201257866E-001
7,54,1.7094017094017096E-002
7,55,1.8421052631578946E-001
7,56,2.8930817610062892E-001
7,57,7.8616352201257866E-001
7,58,2.5786163522012578E-001
7,59,1.1594202898550725E-001
12,13,8.7368421052631584E-001
12,14,9.2063492063492058E-001
12,15,1.0000000000000000E+000
12,16,6.8750000000000000E-001
12,17,1.8750000000000000E-001
12,18,1.2500000000000000E-001
12,21,6.6666666666666666E-002
12,22,2.2222222222222221E-001
12,23,1.0000000000000000E+000
12,24,4.0404040404040407E-002
12,25,4.0404040404040407E-002
12,26,1.9191919191919191E-001
12,27,4.0404040404040407E-002
12,28,1.3131313131313133E-001
12,31,1.0000000000000000E+000
12,32,8.7500000000000000E-001
12,33,1.8750000000000000E-001
12,38,1.0638297872340425E-002
12,39,5.0505050505050504E-002
12,40,3.0303030303030304E-002
12,41,1.3131313131313133E-001
12,45,2.0202020202020204E-002
12,46,1.0000000000000000E+000
12,47,5.0000000000000000E-001
12,48,6.6666666666666663E-001
12,51,1.0000000000000000E+000
12,52,1.0000000000000000E+000
12,53,1.0000000000000000E+000
12,55,2.1212121212121213E-001
12,56,3.8383838383838381E-001
12,57,1.0000000000000000E+000
12,58,3.3333333333333331E-001
12,59,1.0101010101010101E-001
13,14,1.0000000000000000E+000
13,15,1.0000000000000000E+000
13,16,9.3750000000000000E-001
13,17,3.7500000000000000E-001
13,18,3.7500000000000000E-001
13,20,9.0909090909090912E-002
13,21,1.6000000000000000E-001
13,22,3.1578947368421051E-001
13,23,1.0000000000000000E+000
13,24,1.0526315789473684E-001
13,25,1.0526315789473684E-001
13,26,2.8421052631578947E-001
13,27,1.1578947368421053E-001
13,28,2.2105263157894736E-001
13,29,4.2105263157894736E-002
13,31,1.0000000000000000E+000
13,32,1.0000000000000000E+000
13,33,6.2500000000000000E-001
13,34,6.2500000000000000E-002
13,35,9.8039215686274508E-002
13,36,6.1538461538461542E-002
13,37,7.6923076923076927E-002
13,38,6.3829787234042548E-002
13,39,1.4736842105263157E-001
13,40,1.0526315789473684E-001
13,41,2.3157894736842105E-001
13,42,1.0526315789473684E-002
13,43,5.2631578947368418E-002
13,45,8.4210526315789472E-002
13,46,1.0000000000000000E+000
13,47,8.1250000000000000E-001
13,48,8.2105263157894737E-001
13,49,1.1764705882352941E-001
13,50,2.1739130434782608E-002
13,51,1.0000000000000000E+000
13,52,1.0000000000000000E+000
13,53,1.0000000000000000E+000
13,54,2.1052631578947368E-002
13,55,3.1578947368421051E-001
13,56,5.2631578947368418E-001
13,57,1.0000000000000000E+000
13,58,4.5263157894736844E-001
13,59,1.7894736842105263E-001
14,15,1.0000000000000000E+000
14,16,8.1250000000000000E-001
14,17,2.5000000000000000E-001
14,18,2.5000000000000000E-001
14,20,2.2727272727272728E-002
14,21,1.1111111111111110E-001
14,22,3.9682539682539680E-001
14,23,1.0000000000000000E+000
14,24,9.5238095238095233E-002
14,25,9.5238095238095233E-002
14,26,3.4920634920634919E-001
14,27,9.5238095238095233E-002
14,28,2.5396825396825395E-001
14,29,1.5873015873015872E-002
14,31,1.0000000000000000E+000
14,32,1.0000000000000000E+000
14,33,3.7500000000000000E-001
14,35,1.9607843137254902E-002
14,37,3.1746031746031744E-002
14,38,3.1746031746031744E-002
14,39,1.5873015873015872E-001
14,40,9.5238095238095233E-002
14,41,2.8571428571428570E-001
14,43,1.5873015873015872E-002
14,45,6.3492063492063489E-002
14,46,1.0000000000000000E+000
14,47,6.8750000000000000E-001
14,48,1.0000000000000000E+000
14,49,5.8823529411764705E-002
14,51,1.0000000000000000E+000
14,52,1.0000000000000000E+000
14,53,1.0000000000000000E+000
14,55,3.9682539682539680E-001
14,56,6.8253968253968256E-001
14,57,1.0000000000000000E+000
14,58,6.0317460317460314E-001
14,59,2.0634920634920634E-001
15,16,1.2500000000000000E-001
15,22,5.0000000000000000E-001
15,23,1.0000000000000000E+000
15,26,4.3750000000000000E-001
15,28,2.5000000000000000E-001
15,31,5.6250000000000000E-001
15,32,1.8750000000000000E-001
15,41,6.2500000000000000E-002
15,46,6.2500000000000000E-001
15,48,1.0000000000000000E+000
15,51,1.0000000000000000E+000
15,52,1.0000000000000000E+000
15,53,1.0000000000000000E+000
15,55,3.7500000000000000E-001
