ensemble_a,ensemble_b,overlap_coefficient
1,3,3.1250000000000000E-001
1,4,4.3750000000000000E-001
1,6,3.7500000000000000E-001
3,4,1.0000000000000000E+000
3,6,5.0000000000000000E-001
3,7,6.2500000000000000E-002
4,6,9.3750000000000000E-001
4,7,8.7500000000000000E-001
4,8,6.2500000000000000E-001
4,9,1.0000000000000000E+000
4,11,9.3750000000000000E-001
4,12,6.2500000000000000E-002
4,14,2.5000000000000000E-001
4,15,3.1250000000000000E-001
4,33,2.5000000000000000E-001
4,35,1.7857142857142856E-002
4,71,8.9285714285714288E-002
4,74,8.9285714285714288E-002
4,77,5.3571428571428568E-002
6,9,1.8750000000000000E-001
7,8,3.7500000000000000E-001
7,9,1.2500000000000000E-001
7,11,6.2500000000000000E-002
7,15,3.7500000000000000E-001
7,33,1.2500000000000000E-001
7,71,3.7500000000000000E-001
7,74,2.5000000000000000E-001
7,75,1.2500000000000000E-001
7,77,2.5000000000000000E-001
8,9,1.8750000000000000E-001
8,11,4.3750000000000000E-001
8,13,1.2500000000000000E-001
8,14,1.2500000000000000E-001
8,15,6.8750000000000000E-001
8,33,6.8750000000000000E-001
8,35,1.8750000000000000E-001
8,71,6.8750000000000000E-001
8,74,6.8750000000000000E-001
8,75,3.7500000000000000E-001
8,77,5.6250000000000000E-001
9,11,5.0000000000000000E-001
9,33,3.1250000000000000E-001
11,12,1.2500000000000000E-001
11,14,3.1250000000000000E-001
11,15,1.2500000000000000E-001
11,33,8.1250000000000000E-001
11,35,1.2500000000000000E-001
11,71,1.8750000000000000E-001
11,74,3.1250000000000000E-001
11,77,1.8750000000000000E-001
12,13,1.2500000000000000E-001
12,14,6.8750000000000000E-001
12,28,1.2500000000000000E-001
12,33,1.0000000000000000E+000
12,35,1.0000000000000000E+000
12,71,9.3750000000000000E-001
12,74,8.7500000000000000E-001
12,75,6.8750000000000000E-001
12,77,9.3750000000000000E-001
13,14,1.8750000000000000E-001
13,15,3.7500000000000000E-001
13,16,6.2500000000000000E-002
13,28,6.2500000000000000E-002
13,33,1.0000000000000000E+000
