row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"2,8,44,59","1","2,8,59",""
2,"71,75,78,82","2","71,78,82",""
3,"3","","3,7,68",""
4,"26,29,55,57,75","2","26,55",""
5,"19,64","2","19,64",""
6,"75","2","1","1"
7,"9,71,79","","9,71,79",""
8,"29,37,57,64,72,75","2","29,37,72",""
9,"9,75","2","9,32",""
10,"39,48,67,75","2","34,39,48,67",""
11,"16,35,65,75","2","16,35,65",""
12,"50,61,64","2","23,50,58,61",""
13,"48","","7,48,66,68,74",""
14,"5,36,44","1","5,14,36",""
15,"75","2","6,46",""
16,"2,54,59","1","2,54",""
17,"3,4","","3,4,68",""
18,"75,78","2","34,51,78",""
19,"26,29,55,57,75","2","26,55,56",""
20,"75","2","6,62",""
21,"65,73,75","2","6,65,73",""
22,"9,71,79","","9,71,79,80",""
23,"29,69,75","2","46,69,75",""
24,"20,29,37,57,64,75,77","2","20,37,77",""
25,"22,29,37,57,64,75","2","22,37,57",""
26,"29,69,75,83","2","46,69,83",""
27,"2,8,40,44,59","1","2,8,40","2"
28,"20,22,29,57,64,75","2","20,21,22",""
29,"45,50,64","2","45,50,58",""
30,"5,36,44","1","5,14,36",""
31,"3,15","","3,15,68","3"
32,"9,75","2","1,9,32",""
33,"75","2","75",""
34,"29,37,57,64,75,77","2","29,33,37,57,77",""
35,"24,30,41,75,79","2","24,30,41,79",""
36,"29,57,64,72,75,83","2","29,72,83",""
37,"4,54","","4,54,74","4"
38,"5,27,44,45","1","5,14,27,45","5"
39,"79","","52,79,80",""
40,"4,18","","4,18,66,74",""
41,"18","","18,34,66,76",""
42,"75","2","6","6"
43,"","","7","7"
44,"53,65,75","2","53,65",""
45,"8,44,59","1","8","8"
46,"36,41,60,75","2","1,36,41,60",""
47,"13,24,63,75","2","13,24,56,63",""
48,"70","","70",""
49,"13,75","2","13,43,47",""
50,"24,30,75","2","24,30,56",""
51,"75","2","43,51,81",""
52,"13,75,82","2","13,43,51,81,82",""
53,"16,65,75","2","6,16,46,65,75",""
54,"9,18","","9,18,80",""
55,"5,36,44","1","5,14,36",""
56,"9,71,75,79","2","9,32,71,79","9"
57,"12,29,57,63,75","2","12,38,63",""
58,"9,71,75,79","2","9,71,79",""
59,"11,28,44,59","1","11,28,44,59",""
60,"16,35,75","2","16,35",""
61,"12,48,75","2","12,48",""
62,"29,57,64","2","64",""
63,"10,57,64","2","10","10"
64,"5,27,44","1","5,14,27",""
65,"53,65,75","2","46,53,65",""
66,"17,75","2","17,62,81",""
67,"57,63,75","2","38,47,63",""
68,"16,53,75","2","16,53",""
69,"67,70","","34,67,70,76",""
70,"29,37,57,64,75","2","37",""
71,"3,4,54","","3,4,54,68",""
72,"29,57,64,72,75","2","29,57,72",""
73,"11,44,59","1","11","11"
74,"71,75,78,82","2","71,78,82",""
75,"75","2","51",""
76,"5,40,44","1","5,14,40",""
77,"3","","3,76",""
78,"29,57,64,72,75","2","29,72",""
79,"5,27,42,44","1","5,14,27,42,44",""
80,"53,75","2","53",""
81,"12,75","2","12","12"
82,"4,31,54","","4,31,54,74",""
83,"31,40","","31,40,52",""
84,"48","","32,34,48,66",""
85,"18","","18,34,66",""
86,"75,78","2","43,51,78,81",""
87,"13,63,75,82","2","13,47,62,63,82","13"
88,"10,57,64","2","10,23",""
89,"20,22,29,57,64,75","2","20,21,22,33",""
90,"15","","15",""
91,"48,75","2","34,48",""
92,"29,57,75,83","2","83",""
93,"15","","15",""
94,"9,24,30,71,75","2","9,24,30,71",""
95,"15,39","","15,39,76",""
96,"27,40,44","1","14,27,40","14"
97,"42,44,49,59","1","42,44,49",""
98,"39","","39",""
99,"12,63,75","2","12,38,63",""
100,"25,26,29,55,57,75","2","25,26,38,55,56",""
101,"26,57,75","2","26,56",""
102,"15","","15","15"
103,"54","","7,54,68,74",""
104,"5,44,49","1","5,44,49",""
105,"25,57,63,75","2","25,38,56,63",""
106,"13,57,63,75","2","13,47,56,63",""
107,"11,59","1","11",""
108,"16,75","2","16,75","16"
109,"35,73,75","2","35,43,51,73",""
110,"75,78","2","51,78",""
111,"17,75","2","17","17"
112,"29,57,64,75","2","33",""
113,"","","23",""
114,"18","","18,80","18"
115,"22,29,37,57,64","2","22,37,64",""
116,"2,8,44,59","1","2,8",""
117,"19,57,64","2","19","19"
118,"29,57,61,64,75","2","21,33,61",""
119,"3","","3,66,76",""
120,"3,4,18","","3,4,18,66",""
121,"3","","3,7,68",""
122,"15,70","","15,70",""
123,"31,40","","1,31,32,40",""
124,"13,75","2","13,43,62,81",""
125,"75,78","2","34,51,78",""
126,"12,13,75,82","2","12,13,62,81,82",""
127,"15","","15",""
128,"53,75","2","53",""
129,"63,75","2","47,62,63",""
130,"49,50","","23,49,50",""
131,"9,79","","9,79",""
132,"20,64,75","2","20","20"
133,"10,20,29,57,64,75","2","10,20,21","21"
134,"26,29,55,57,75","2","26,55,56",""
135,"10,61,64","2","10,23,58,61",""
136,"29,57,64,72,75,77","2","29,57,72,77",""
137,"20,29,57,64,75,77","2","20,21,33,77",""
138,"4,54","","4,54,74",""
139,"49,50","","49,50,58",""
140,"24,30,75","2","24,30",""
141,"27,41,45","","27,41,45",""
142,"22,29,37,57,64,75","2","21,22,37","22"
143,"17,35,73,75","2","17,35,43,73,81",""
144,"48","","7,32,48,74",""
145,"29,37,57,64,75,77","2","29,37,57,77",""
146,"11,28,44,59","1","11,28",""
147,"11,28,44,59","1","11,28,59",""
148,"29,57,69,75,83","2","29,69,83",""
149,"18","","18,80",""
150,"36","","1,36",""
151,"","","23","23"
152,"30,71,75","2","30,71",""
153,"54","","54",""
154,"29,55,57,64,72,75,77","2","55,72,77",""
155,"2,8,44,59","1","2,8,44",""
156,"27,44","1","14,27,52",""
157,"10,57,64","2","10,21,58",""
158,"3,15,39","","3,15,39,68,76",""
159,"19,57,64","2","19,64",""
160,"8,28,44,59","1","8,28,44,59",""
161,"31,54","","31,52,54",""
162,"75","2","1",""
163,"20,29,57,64,75","2","20,21",""
164,"30,41,45,60","","30,41,45,60",""
165,"24,25,75","2","24,25,56","24"
166,"29,53,69,75","2","38,46,53,69",""
167,"16,29,53,65,69,75","2","16,46,53,65,69,75",""
