ensemble_a,ensemble_b,overlap_coefficient
1,14,3.1250000000000000E-001
1,31,1.0000000000000000E+000
1,40,1.0000000000000000E+000
1,48,1.0000000000000000E+000
1,49,8.5950413223140498E-001
1,50,1.0000000000000000E+000
1,66,7.1111111111111114E-001
1,68,5.6198347107438018E-001
3,13,1.2500000000000000E-001
3,42,7.5000000000000000E-001
3,43,1.8750000000000000E-001
3,55,4.3750000000000000E-001
3,62,8.7500000000000000E-001
3,63,2.5000000000000000E-001
13,42,9.7560975609756095E-001
13,49,7.3170731707317072E-001
13,55,9.7560975609756101E-002
13,62,2.4390243902439025E-002
13,63,3.1250000000000000E-001
13,68,3.1707317073170732E-001
14,49,1.0000000000000000E+000
14,66,4.3750000000000000E-001
14,68,1.0000000000000000E+000
21,68,6.2500000000000000E-002
31,40,5.8536585365853655E-001
31,48,6.2500000000000000E-001
31,49,7.3076923076923073E-001
31,50,6.8750000000000000E-001
31,66,1.7777777777777778E-001
31,68,1.9230769230769232E-001
40,49,9.7560975609756095E-001
40,50,1.8750000000000000E-001
40,66,6.0975609756097560E-001
40,68,5.6097560975609762E-001
42,43,5.0000000000000000E-001
42,49,4.0740740740740738E-001
42,55,1.5384615384615385E-001
42,57,6.2500000000000000E-001
42,62,3.8636363636363635E-001
42,63,1.0000000000000000E+000
42,68,2.0987654320987653E-001
43,57,3.1250000000000000E-001
43,62,9.3750000000000000E-001
43,63,3.7500000000000000E-001
48,49,7.5000000000000000E-001
48,50,3.7500000000000000E-001
49,50,1.0000000000000000E+000
49,55,3.8461538461538464E-002
49,66,9.1111111111111109E-001
49,68,9.2537313432835822E-001
50,68,5.0000000000000000E-001
55,62,2.5000000000000000E-001
55,69,7.5000000000000000E-001
57,62,2.5000000000000000E-001
57,63,2.5000000000000000E-001
62,63,5.6250000000000000E-001
62,69,1.8750000000000000E-001
66,68,8.8888888888888884E-001

