ensemble_a,ensemble_b,overlap_coefficient
2,26,1.0000000000000000E+000
2,40,1.0000000000000000E+000
2,64,4.3750000000000000E-001
4,20,1.0000000000000000E+000
4,34,1.8750000000000000E-001
9,20,1.0000000000000000E+000
9,26,1.0000000000000000E+000
9,44,1.8750000000000000E-001
14,20,1.0000000000000000E+000
14,26,1.0000000000000000E+000
14,64,7.5000000000000000E-001
16,23,5.0000000000000000E-001
16,26,5.6250000000000000E-001
16,66,2.5000000000000000E-001
20,23,6.2500000000000000E-002
20,26,6.3670411985018727E-001
20,34,7.5000000000000000E-001
20,43,8.7500000000000000E-001
20,44,1.0000000000000000E+000
20,64,1.4864864864864866E-001
22,26,1.0000000000000000E+000
22,40,6.2500000000000000E-002
22,64,1.0000000000000000E+000
22,65,2.5000000000000000E-001
23,26,1.8750000000000000E-001
23,43,1.8750000000000000E-001
26,28,1.0000000000000000E+000
26,36,1.0000000000000000E+000
26,40,9.8412698412698407E-001
26,43,2.5000000000000000E-001
26,44,5.0000000000000000E-001
26,64,9.9324324324324320E-001
26,65,1.0000000000000000E+000
26,66,1.0000000000000000E+000
28,36,3.1250000000000000E-001
28,40,6.2500000000000000E-001
28,64,1.0000000000000000E+000
36,40,7.5000000000000000E-001
36,64,1.0000000000000000E+000
40,64,6.9841269841269837E-001
64,65,1.0000000000000000E+000
64,66,4.3750000000000000E-001
65,66,1.2500000000000000E-001

