ensemble_a,ensemble_b,overlap_coefficient
1,5,5.6250000000000000E-001
1,11,4.0000000000000002E-001
1,55,1.0000000000000000E+000
1,56,9.7499999999999998E-001
2,3,1.0000000000000000E+000
2,4,1.0000000000000000E+000
2,6,1.0000000000000000E+000
2,8,1.0000000000000000E+000
2,14,1.0000000000000000E+000
2,17,1.0000000000000000E+000
2,19,1.0000000000000000E+000
2,20,1.0000000000000000E+000
2,24,1.0000000000000000E+000
2,25,1.0000000000000000E+000
2,28,1.0000000000000000E+000
2,30,1.0000000000000000E+000
2,31,1.0000000000000000E+000
2,32,1.0000000000000000E+000
2,33,1.0000000000000000E+000
2,34,1.2500000000000000E-001
2,35,1.0000000000000000E+000
2,37,8.1250000000000000E-001
2,40,1.0000000000000000E+000
2,41,1.0000000000000000E+000
2,42,1.0000000000000000E+000
2,43,1.0000000000000000E+000
2,46,1.0000000000000000E+000
2,52,1.0000000000000000E+000
2,53,1.0000000000000000E+000
2,54,1.0000000000000000E+000
2,55,1.0000000000000000E+000
3,4,1.0000000000000000E+000
3,6,1.0000000000000000E+000
3,8,1.0000000000000000E+000
3,10,1.1842105263157894E-001
3,14,1.0000000000000000E+000
3,17,1.0000000000000000E+000
3,19,1.0000000000000000E+000
3,20,1.0000000000000000E+000
3,24,8.7142857142857144E-001
3,25,1.0000000000000000E+000
3,28,1.0000000000000000E+000
3,30,1.0000000000000000E+000
3,31,1.0000000000000000E+000
3,32,3.0263157894736842E-001
3,33,1.0000000000000000E+000
3,34,4.4444444444444446E-002
3,35,9.8684210526315785E-001
3,37,1.0000000000000000E+000
3,40,1.0000000000000000E+000
3,41,1.0000000000000000E+000
3,42,1.0000000000000000E+000
3,43,3.8461538461538464E-001
3,46,1.0000000000000000E+000
3,52,1.0000000000000000E+000
3,53,1.0000000000000000E+000
3,54,1.0000000000000000E+000
3,55,3.0263157894736842E-001
4,6,1.0000000000000000E+000
4,8,1.0000000000000000E+000
4,10,1.0000000000000000E+000
4,12,7.9310344827586210E-001
4,14,1.0000000000000000E+000
4,16,1.0000000000000000E+000
4,17,1.0000000000000000E+000
4,19,1.0000000000000000E+000
4,20,1.0000000000000000E+000
4,21,8.6274509803921573E-001
4,22,3.4999999999999998E-001
4,24,1.0000000000000000E+000
4,25,1.0000000000000000E+000
4,26,1.0000000000000000E+000
4,27,1.0000000000000000E+000
4,28,1.0000000000000000E+000
4,29,9.6078431372549022E-001
4,30,1.0000000000000000E+000
4,31,1.0000000000000000E+000
4,32,5.9550561797752810E-001
4,33,1.0000000000000000E+000
4,34,7.1111111111111114E-001
4,35,9.8130841121495327E-001
4,37,1.0000000000000000E+000
4,40,1.0000000000000000E+000
4,41,1.0000000000000000E+000
4,42,1.0000000000000000E+000
4,43,8.4615384615384615E-001
4,46,1.0000000000000000E+000
4,49,2.8749999999999998E-001
4,50,1.5555555555555556E-001
4,52,1.0000000000000000E+000
4,53,1.0000000000000000E+000
4,54,1.0000000000000000E+000
4,55,3.1927710843373491E-001
5,11,1.0000000000000000E+000
5,55,1.0000000000000000E+000
5,56,5.0000000000000000E-001
6,8,1.0000000000000000E+000
6,10,1.0000000000000000E+000
6,14,1.0000000000000000E+000
6,16,9.3750000000000000E-001
6,17,1.0000000000000000E+000
6,19,1.0000000000000000E+000
6,20,1.0000000000000000E+000
6,21,3.7254901960784315E-001
6,24,1.0000000000000000E+000
6,25,1.0000000000000000E+000
6,26,1.0000000000000000E+000
6,27,1.0000000000000000E+000
6,28,1.0000000000000000E+000
6,29,4.7058823529411764E-001
6,30,1.0000000000000000E+000
6,31,1.0000000000000000E+000
6,32,5.9550561797752810E-001
6,33,1.0000000000000000E+000
6,34,7.1111111111111114E-001
6,35,9.8130841121495327E-001
6,37,1.0000000000000000E+000
6,40,1.0000000000000000E+000
6,41,1.0000000000000000E+000
6,42,1.0000000000000000E+000
6,43,8.4615384615384615E-001
6,46,1.0000000000000000E+000
6,50,1.5555555555555556E-001
6,52,1.0000000000000000E+000
6,53,1.0000000000000000E+000
6,54,1.0000000000000000E+000
6,55,3.1927710843373491E-001
7,9,1.0000000000000000E+000
7,36,3.5897435897435898E-001
7,45,1.0000000000000000E+000
7,47,5.8333333333333337E-001
7,49,1.7948717948717949E-001
7,51,1.3157894736842105E-001
8,10,1.0000000000000000E+000
8,14,1.0000000000000000E+000
8,16,7.5000000000000000E-001
8,17,1.0000000000000000E+000
8,19,1.0000000000000000E+000
8,20,1.0000000000000000E+000
8,21,3.1372549019607843E-001
8,24,1.0000000000000000E+000
8,25,1.0000000000000000E+000
8,26,1.0000000000000000E+000
8,27,1.0000000000000000E+000
8,28,1.0000000000000000E+000
8,29,4.1176470588235292E-001
8,30,1.0000000000000000E+000
8,31,1.0000000000000000E+000
8,32,5.9550561797752810E-001
8,33,1.0000000000000000E+000
8,34,7.1111111111111114E-001
8,35,9.8130841121495327E-001
8,37,1.0000000000000000E+000
8,40,1.0000000000000000E+000
8,41,1.0000000000000000E+000
8,42,1.0000000000000000E+000
8,43,8.4615384615384615E-001
8,46,1.0000000000000000E+000
8,50,1.5555555555555556E-001
8,52,1.0000000000000000E+000
8,53,1.0000000000000000E+000
8,54,1.0000000000000000E+000
8,55,3.1927710843373491E-001
9,22,1.4999999999999999E-001
9,36,9.3617021276595747E-001
9,44,6.2500000000000000E-001
9,45,1.0000000000000000E+000
9,47,1.0000000000000000E+000
9,49,5.3623188405797106E-001
9,51,9.2105263157894735E-001
10,14,1.0000000000000000E+000
10,17,1.0000000000000000E+000
10,19,1.0000000000000000E+000
10,20,1.0000000000000000E+000
10,25,1.0000000000000000E+000
10,28,1.0000000000000000E+000
10,30,1.0000000000000000E+000
10,31,1.0000000000000000E+000
10,33,1.0000000000000000E+000
10,35,9.6385542168674704E-002
10,40,1.0000000000000000E+000
10,41,1.0000000000000000E+000
10,42,1.0000000000000000E+000
10,46,1.0000000000000000E+000
10,52,1.0000000000000000E+000
10,53,1.0000000000000000E+000
10,54,1.0000000000000000E+000
11,13,6.8750000000000000E-001
11,39,2.2222222222222221E-001
11,50,4.4444444444444446E-002
11,55,1.0000000000000000E+000
11,56,3.3333333333333331E-001
12,17,7.9310344827586210E-001
12,21,1.0000000000000000E+000
12,22,6.8965517241379315E-001
12,29,8.6206896551724133E-001
12,30,7.9310344827586210E-001
12,41,7.9310344827586210E-001
12,42,7.9310344827586210E-001
12,49,1.0000000000000000E+000
13,32,3.1250000000000000E-001
13,39,8.1250000000000000E-001
