row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"4,6,8,14,17,19,20,25,28,30,31,33,40,41,42,46,52,53,54","1","8,52",""
2,"1,55,56","1","1","1"
3,"4,6,8,14,17,19,20,24,25,28,30,31,32,33,34,35,40,41,42,43,46,52,53,54,55","1","35",""
4,"3,4,6,8,14,17,19,20,25,28,30,31,33,35,37,40,41,42,46,52,53,54","1","33",""
5,"4,12,17,21,22,29,30,41,42,49","1","12,22",""
6,"4,12,17,21,22,29,30,41,42,49","1","12,22",""
7,"7,9,36,45,47,49,51","1","47",""
8,"11,13,39,50,55","1","13,39",""
9,"3,4,6,8,14,17,19,20,25,28,30,31,33,35,37,40,41,42,46,52,53,54","1","33,54",""
10,"2,3,4,6,8,14,17,19,20,24,25,28,30,31,32,33,35,37,40,41,42,43,46,52,53,54,55","1","2,35","2"
11,"7,9,45","1","7,9,38",""
12,"1,55,56","1","18,55,56",""
13,"32,39,50,55","1","39,50",""
14,"4,6,16,17,19,21,29,30,33,41,42,46","1","16,29",""
15,"4,12,17,21,29,30,41,42,49","1","21,29",""
16,"4,12,17,21,29,30,41,42,49","1","21,29",""
17,"4,6,8,14,17,19,20,25,26,30,33,41,42,46,54","1","4,30",""
18,"4,6,8,10,14,17,19,20,25,28,30,31,33,40,41,42,46,52,53,54","1","14,53",""
19,"4,6,8,10,14,17,19,20,25,28,30,31,33,40,41,42,46,52,53,54","1","17,46",""
20,"4,6,8,14,17,19,20,25,26,30,33,41,42,46,54","1","30",""
21,"3,4,6,8,14,17,19,20,25,28,30,31,33,35,37,40,41,42,46,52,53,54","1","54",""
22,"12,21,22,49","1","22",""
23,"4,6,8,14,17,19,20,25,26,30,33,41,42,46,54","1","30,41",""
24,"4,6,8,14,17,19,20,25,28,30,31,33,40,41,42,46,52,53,54","1","8,52",""
25,"4,6,8,10,14,17,19,20,25,28,30,31,33,40,41,42,46,52,53,54","1","19",""
26,"32,34,35,43,50,55","1","32",""
27,"4,17,21,29,30,41,42","1","29",""
28,"4,6,8,10,14,17,19,20,25,28,30,31,33,40,41,42,46,52,53,54","1","10,53",""
29,"3,4,6,8,10,14,17,19,20,25,28,30,31,33,35,40,41,42,46,52,53,54","1","33",""
30,"7,9,36,45,47","1","47",""
31,"3,4,6,8,14,17,19,20,25,28,30,31,33,35,37,40,41,42,46,52,53,54","1","54",""
32,"4,12,17,21,22,29,30,41,42,49","1","12,21",""
33,"7,9,36,45,47,49,51","1","36,47",""
34,"1,11,55,56","1","1",""
35,"1,55,56","1","18,55",""
36,"15,32,39,50,55","1","15,50",""
37,"4,6,8,14,17,19,20,25,26,30,33,41,42,46,54","1","4,30",""
38,"9,36,44,45,49,51","1","44,45",""
39,"3,4,6,8,14,17,19,20,24,25,28,30,31,32,33,35,37,40,41,42,43,46,52,53,54,55","1","24",""
40,"4,6,8,10,14,17,19,20,25,28,30,31,33,40,41,42,46,52,53,54","1","17,46",""
41,"22,45,49","1","22,49",""
42,"4,6,8,10,14,17,19,20,25,28,30,31,33,40,41,42,46,52,53,54","1","19,28",""
43,"7,9,45,47","1","9",""
44,"5,11,55","1","5,11",""
45,"4,6,8,14,17,19,20,21,25,26,27,29,30,33,41,42,46,54","1","26,27",""
