ensemble_a,ensemble_b,overlap_coefficient
1,2,1.0000000000000000E+000
1,3,8.8709677419354838E-001
1,6,1.0000000000000000E+000
1,12,1.0000000000000000E+000
1,13,5.6451612903225812E-001
1,17,2.5000000000000000E-001
1,28,6.9354838709677424E-001
1,29,1.0000000000000000E+000
1,31,1.0000000000000000E+000
1,33,9.6774193548387100E-001
1,36,1.9672131147540983E-001
1,38,1.0000000000000000E+000
1,43,1.0000000000000000E+000
1,46,8.5483870967741937E-001
1,48,3.3870967741935482E-001
1,49,8.7500000000000000E-001
1,54,8.2258064516129037E-001
1,55,1.0000000000000000E+000
1,57,1.0000000000000000E+000
1,61,1.2903225806451613E-001
1,62,8.7500000000000000E-001
1,63,8.5483870967741937E-001
1,64,1.0000000000000000E+000
1,66,1.0000000000000000E+000
1,68,1.0000000000000000E+000
1,71,1.0000000000000000E+000
2,3,1.0000000000000000E+000
2,5,6.8181818181818177E-002
2,6,1.0000000000000000E+000
2,8,8.5416666666666663E-001
2,9,1.0000000000000000E+000
2,10,5.6250000000000000E-001
2,12,9.9312714776632305E-001
2,13,9.9019607843137258E-001
2,14,1.2500000000000000E-001
2,15,1.0000000000000000E+000
2,17,1.0000000000000000E+000
2,19,3.4615384615384615E-001
2,20,1.8750000000000000E-001
2,21,5.0000000000000000E-001
2,22,4.5967741935483869E-001
2,23,1.0000000000000000E+000
2,24,1.0000000000000000E+000
2,25,1.0000000000000000E+000
2,26,1.0000000000000000E+000
2,28,9.5333333333333337E-001
2,29,1.0000000000000000E+000
2,30,5.1449275362318836E-001
2,31,1.0000000000000000E+000
2,33,7.3195876288659789E-001
2,35,1.0000000000000000E+000
2,36,1.0000000000000000E+000
2,37,1.0000000000000000E+000
2,38,8.4736842105263155E-001
2,39,1.8750000000000000E-001
2,40,1.0000000000000000E+000
2,42,8.1250000000000000E-001
2,43,9.4583333333333330E-001
2,45,9.3750000000000000E-001
2,46,1.0000000000000000E+000
2,48,9.8888888888888893E-001
2,49,1.0000000000000000E+000
2,51,8.1250000000000000E-001
2,53,1.0000000000000000E+000
2,54,1.0000000000000000E+000
2,55,1.0000000000000000E+000
2,57,8.2914572864321612E-001
2,59,1.0000000000000000E+000
2,61,9.8387096774193550E-001
2,62,1.0000000000000000E+000
2,63,8.5098039215686272E-001
2,64,1.0000000000000000E+000
2,66,1.0000000000000000E+000
2,67,1.0000000000000000E+000
2,68,9.8281786941580751E-001
2,69,1.0000000000000000E+000
2,70,4.3750000000000000E-001
2,71,9.9312714776632305E-001
2,72,1.0000000000000000E+000
2,73,3.0612244897959184E-001
2,74,1.0000000000000000E+000
2,75,1.2500000000000000E-001
3,6,1.0000000000000000E+000
3,8,2.0833333333333332E-002
3,12,1.0000000000000000E+000
3,13,7.9411764705882348E-001
3,17,5.0000000000000000E-001
3,22,1.3709677419354838E-001
3,24,3.1111111111111112E-001
3,25,1.8750000000000000E-001
3,26,8.7500000000000000E-001
3,28,5.5405405405405406E-001
3,29,1.0000000000000000E+000
3,30,2.2463768115942029E-001
3,31,1.0000000000000000E+000
3,33,5.3378378378378377E-001
3,35,9.3750000000000000E-001
3,36,1.0000000000000000E+000
3,37,9.3750000000000000E-001
3,38,6.7567567567567566E-001
3,42,6.2500000000000000E-002
3,43,9.8648648648648651E-001
3,45,6.2500000000000000E-002
3,46,7.4324324324324320E-001
3,48,5.6666666666666665E-001
3,49,1.0000000000000000E+000
3,54,9.5945945945945943E-001
3,55,1.0000000000000000E+000
3,57,7.6351351351351349E-001
3,59,5.0000000000000000E-001
3,61,9.5161290322580649E-001
3,62,1.0000000000000000E+000
3,63,9.3918918918918914E-001
3,64,1.0000000000000000E+000
3,66,1.0000000000000000E+000
3,67,4.6376811594202899E-001
3,68,1.0000000000000000E+000
3,69,1.0000000000000000E+000
3,71,1.0000000000000000E+000
3,73,3.0612244897959183E-002
4,5,6.2500000000000000E-002
4,6,1.0000000000000000E+000
4,8,3.1250000000000000E-001
4,10,1.2500000000000000E-001
4,29,1.0000000000000000E+000
4,60,4.3750000000000000E-001
4,68,1.0000000000000000E+000
4,76,3.1250000000000000E-001
5,6,1.0000000000000000E+000
5,7,2.5000000000000000E-001
5,8,4.5454545454545456E-002
5,10,3.7500000000000000E-001
5,12,9.7727272727272729E-001
5,16,1.0000000000000000E+000
5,21,4.3750000000000000E-001
5,28,9.0909090909090912E-002
5,29,9.5454545454545459E-001
5,31,2.2727272727272727E-001
5,33,5.6818181818181823E-001
5,34,1.0000000000000000E+000
5,47,5.7142857142857141E-002
5,55,4.5454545454545453E-001
5,57,9.0909090909090912E-002
5,58,4.3750000000000000E-001
5,60,6.2500000000000000E-002
5,64,2.7272727272727271E-001
5,65,8.1250000000000000E-001
5,66,4.5454545454545453E-001
5,68,1.0000000000000000E+000
5,70,6.2500000000000000E-002
5,71,9.7727272727272729E-001
5,75,5.6250000000000000E-001
6,7,4.3750000000000000E-001
6,8,1.0000000000000000E+000
6,9,1.0000000000000000E+000
6,10,1.0000000000000000E+000
6,12,9.8373983739837401E-001
6,13,1.0000000000000000E+000
6,14,1.8750000000000000E-001
6,15,1.0000000000000000E+000
6,16,1.0000000000000000E+000
6,17,1.0000000000000000E+000
6,19,3.9423076923076922E-001
6,20,1.0000000000000000E+000
6,21,1.0000000000000000E+000
6,22,5.0000000000000000E-001
6,23,1.0000000000000000E+000
6,24,1.0000000000000000E+000
6,25,1.0000000000000000E+000
6,26,1.0000000000000000E+000
6,27,1.2500000000000000E-001
6,28,1.0000000000000000E+000
6,29,9.8453608247422686E-001
6,30,5.5072463768115942E-001
6,31,9.5965417867435154E-001
6,32,1.0000000000000000E+000
6,33,1.0000000000000000E+000
6,34,1.0000000000000000E+000
6,35,1.0000000000000000E+000
6,36,1.0000000000000000E+000
6,37,1.0000000000000000E+000
6,38,1.0000000000000000E+000
6,39,3.7500000000000000E-001
6,40,1.0000000000000000E+000
6,42,1.0000000000000000E+000
6,43,1.0000000000000000E+000
6,45,1.0000000000000000E+000
6,46,1.0000000000000000E+000
6,47,1.4285714285714285E-001
6,48,1.0000000000000000E+000
6,49,1.0000000000000000E+000
6,50,2.5000000000000000E-001
6,51,9.3750000000000000E-001
6,52,1.0000000000000000E+000
6,53,1.0000000000000000E+000
6,54,1.0000000000000000E+000
6,55,9.6327683615819204E-001
6,56,6.2500000000000000E-002
6,57,1.0000000000000000E+000
6,58,5.6250000000000000E-001
6,59,1.0000000000000000E+000
6,60,9.3750000000000000E-001
6,61,1.0000000000000000E+000
6,62,1.0000000000000000E+000
6,63,8.7450980392156863E-001
6,64,9.6480938416422291E-001
6,65,1.0000000000000000E+000
6,66,9.6883852691218131E-001
6,67,1.0000000000000000E+000
6,68,9.9212598425196852E-001
6,69,1.0000000000000000E+000
6,70,1.0000000000000000E+000
6,71,9.8373983739837401E-001
6,72,1.0000000000000000E+000
6,73,3.5714285714285715E-001
6,74,1.0000000000000000E+000
6,75,1.0000000000000000E+000
6,76,7.5000000000000000E-001
7,12,5.6250000000000000E-001
7,29,1.2500000000000000E-001
7,34,1.8750000000000000E-001
7,47,8.1250000000000000E-001
7,50,1.8750000000000000E-001
7,58,5.6250000000000000E-001
7,60,2.5000000000000000E-001
7,68,5.6250000000000000E-001
7,71,5.6250000000000000E-001
8,10,7.5000000000000000E-001
8,12,8.5416666666666663E-001
8,13,1.2500000000000000E-001
8,15,2.5000000000000000E-001
8,17,5.0000000000000000E-001
8,21,4.6875000000000000E-001
8,28,8.9583333333333337E-001
8,29,1.0000000000000000E+000
8,31,8.5416666666666663E-001
8,33,3.1250000000000000E-001
8,38,3.1250000000000000E-001
