row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"25,31,36,56,63","1","31,36,63",""
2,"1,25,34,50,56","1","1,34","1"
3,"15,61","","15,61",""
4,"8,46","","8,46",""
5,"2,25,28,30,56,57,64","1","2,30,64","2"
6,"8","","8",""
7,"25,26,32,56","1","26,32",""
8,"15,25,56,58,61","1","15,58,61",""
9,"11,25,28,56,57","1","11",""
10,"22,25,44,56,66","1","44,66",""
11,"5,21,22,25,35,44,56","1","5,21,22,35",""
12,"18,25,33,56","1","18,33",""
13,"25,28,39,47,56","1","28,47",""
14,"3,56","1","3","3"
15,"20,22,25,27,56","1","20,27",""
16,"5,21,22,25,35,44,56","1","5,21,22,35",""
17,"8,46","","8,46",""
18,"13,54","","13,54",""
19,"12,25,27,52,56","1","12,52",""
20,"1,4,7,25,50,56","1","1,4,7","4"
21,"23,25,55,56,58","1","23,55,58",""
22,"8,46","","8,46",""
23,"25,28,39,56,59","1","39,59",""
24,"11,25,28,56,57","1","11",""
25,"5,22,25,35,44,56","1","5,22,35","5"
26,"54","","54",""
27,"13,19,56","1","13,19",""
28,"6,25,28,39,56","1","6","6"
29,"38","","38",""
30,"17,38,48","","17,38,48",""
31,"5,18,22,25,44,56","1","5,18",""
32,"26,32,40,50,56","1","26,32,40,50",""
33,"11,25,28,56,57","1","11",""
34,"25,29,60","1","29,60",""
35,"8,46","","8,46",""
36,"7,25,56","1","7","7"
37,"8","","8","8"
38,"24,25,30,56","1","24,30",""
39,"9,25,56","1","9","9"
40,"12,22,25,27,52,56","1","12,52",""
41,"19,40,56,65","1","19,40,65",""
42,"12,25,27,52,56","1","12,52",""
43,"18,25,33,44,56","1","18,33",""
44,"1,24,25,34,50,56","1","1,24,34",""
45,"16,45,56,65","1","16,45,65",""
46,"25,29,55","1","29,55",""
47,"25,50,56","1","50",""
48,"25,26,50,56","1","26,50",""
49,"25,42,56,57,67","1","42,56,67",""
50,"10","","10","10"
51,"17,46,48","","17,46,48",""
52,"11,25,28,56,57","1","11","11"
53,"16,45","","16,45",""
54,"25,28,39,47,56","1","28,47",""
55,"15,25,56,61","1","15,61",""
56,"12,25,27,52,56","1","12,52","12"
57,"13,56","1","13","13"
58,"25,28,41,56,64","1","28,41,64",""
59,"7,25,26,32,56","1","7,26,32",""
60,"13,45,56,65","1","13,45,65",""
61,"25,30,56","1","30",""
62,"12,25,27,52,56","1","12,52",""
63,"3,25,33,56","1","3,33",""
64,"25,34,56","1","34",""
65,"10,46,48","","10,46,48",""
66,"5,22,25,27,33,44,56","1","5,33",""
67,"25,56,58,61","1","58,61",""
68,"14,54","","14,54",""
69,"2,25,28,47,56,57,64","1","2,47,64",""
70,"25,36,56,63","1","36,63",""
71,"14","","14","14"
72,"25,44,56,62,66","1","44,62,66",""
73,"15,25","1","15","15"
74,"4,25,51,56,67","1","4,51,67",""
75,"38","","38",""
76,"16","","16","16"
77,"23,25,56,58","1","23,58",""
78,"14,37","","14,37",""
79,"2,24,25,30,56","1","2,24,30",""
80,"3,25,28,39,56,59","1","3,59",""
81,"11,25,28,47,56,57","1","11,47,57",""
82,"4,24,25,51,56","1","4,24,51",""
83,"17,25,49","1","17,49",""
84,"12,22,25,27,33,56","1","12,33",""
85,"17","","17","17"
86,"20,22,25,27,56","1","20",""
87,"5,22,25,44,56","1","5,44",""
88,"5,9,21,22,25,35,44,56","1","5,9,21,35",""
89,"4,7,25,50,56","1","4,7",""
90,"16","","16",""
91,"12,22,25,27,52,56","1","12,52",""
92,"19,56","1","19",""
93,"3,25,28,39,56,59","1","3,59",""
94,"19,40,50,56","1","19,40,50",""
95,"5,21,22,25,44,56","1","5,21,44",""
96,"25,46","1","46",""
97,"13,45,56,65","1","13,45,65",""
98,"11,18,25,33,44,56","1","11,18,33","18"
99,"25,28,41,56,64","1","41,64",""
100,"19,56","1","19","19"
101,"22,25,27,35,56","1","22,35",""
102,"25,49,60","1","49,60",""
103,"20,22,25,27,56","1","20","20"
104,"25,29,53,55","1","29,53,55",""
105,"10","","10",""
106,"2,25,28,47,56,57,64","1","2,47,64",""
107,"9,21,25,43,44,56,62","1","9,21,43,62",""
108,"7,25,43,56","1","7,43",""
109,"25,28,39,56","1","39",""
110,"25,28,41,56,64","1","41,64",""
111,"1,4,24,25,51,56","1","1,4,24,51",""
112,"53,61","","53,61",""
113,"12,22,25,27,33,56","1","12,33",""
114,"14,37","","14,37",""
115,"13,45,56,65","1","13,45,65",""
116,"40,50,56","1","40,50",""
117,"25,42,56,57,67","1","42,56,67",""
118,"3,25,31,56,59","1","3,31,59",""
119,"15,25","1","15",""
120,"5,9,21,22,25,35,44,56","1","5,9,21,35","21"
121,"19,56","1","19",""
122,"14,16,45,54","","14,16,45,54",""
123,"8","","8",""
124,"25,31,36,56,63","1","31,36,63",""
125,"13","","13",""
126,"11,18,25,33,56","1","11,18,33",""
127,"16,32,40,50,56","1","16,32,40",""
128,"3,23,25,56","1","3,23",""
129,"13,45,54","","13,45,54",""
130,"22,25,27,35,56","1","22,35","22"
131,"6,36","1","6,36",""
132,"23,25,56","1","23","23"
133,"19,40,56,65","1","19,40,65",""
134,"24,25,30,56","1","24,30","24"
135,"18,25,44,56","1","18",""
136,"25,34,50,56","1","34",""
137,"25,34,56","1","34",""
138,"25,56,57,67","1","25,56,67",""
139,"25,50,56","1","50",""
140,"24,25,30,56","1","24,30",""
141,"16,45,65","1","16,45,65",""
142,"12,20,22,25,27,56","1","12,20,27",""
143,"20,22,25,27,56","1","20,27",""
144,"25,28,56,57","1","25,56,57","25"
145,"11,25,28,39,56","1","11",""
146,"10","","10",""
147,"26,32,40,50,56","1","26,32,40,50",""
148,"23,25,55,56","1","23,55",""
149,"7,25,26,56","1","7,26",""
150,"5,22,25,35,56","1","5,22,35",""
151,"17,53","","17,53",""
152,"2,25,28,56,57","1","2,25",""
153,"6,25,28,41,56","1","6,41",""
154,"25,44,56,62,66","1","56,62,66",""
155,"7,25,26,32,56","1","7,26,32","26"
156,"20,22,25,27,56","1","20,27","27"
157,"8","","8",""
158,"19,40,50,56","1","19,40",""
159,"22,25,27,56","1","22,27",""
160,"15,25,56,58,61","1","15,58,61",""
161,"2,25,28,56,57,64","1","2,64",""
162,"25,42,43,44,56,62","1","42,43,62",""
163,"37,54","","37,54",""
164,"2,25,28,51,56,57","1","2,25,51",""
165,"5,18,22,25,44,56","1","5,18,44",""
166,"25,28,39,56","1","28,39",""
167,"10","","10",""
168,"10","","10",""
169,"19,40,50,56","1","19,40",""
170,"20,22,25,27,56","1","20,27",""
171,"25,56,57,67","1","25,56,67",""
172,"3,23,25,56","1","3,23",""
173,"25,28,56,57","1","57",""
174,"22,25,27,35,56","1","22,35",""
175,"11,25,28,47,56,57","1","11,47,57",""
176,"6,25,28,39,56","1","6,28","28"
177,"9,21,22,25,35,44,56","1","9,21,35",""
178,"17,49,53","","17,49,53",""
179,"17,46,48","","17,46,48",""
180,"14,37,54","","14,37,54",""
181,"25,28,47,56,57","1","47,57",""
182,"25,28,56,57","1","25,56,57",""
183,"14,37,54","","14,37,54",""
184,"13,56","1","13",""
185,"15,61","","15,61",""
186,"10,48","","10,48",""
187,"25,29,53","1","29,53",""
188,"38","","38",""
189,"9,56","1","9",""
190,"25,26,32,50,56","1","26,32",""
191,"25,29,53,60","1","29,53,60","29"
192,"6,25,28,39,41,56","1","6,28,41",""
193,"25,28,30,56","1","30","30"
194,"12,22,25,27,56","1","12",""
195,"24,25,30,56","1","24,30",""
196,"37","","37",""
197,"25,28,39,47,56","1","28,39,47",""
198,"25,31,36,56,63","1","31,36,63",""
199,"16,40,56,65","1","16,40,65",""
200,"24,25,34,56","1","24,34",""
201,"25,49","1","49",""
202,"25,28,39,47,56","1","28,47",""
203,"25,28,31,36,39,56,59","1","31,36,59","31"
204,"15,52,56","1","15,52",""
205,"32","","32","32"
206,"25,36,56,63","1","36,63",""
207,"14,37,54","","14,37,54",""
208,"4,25,42,51,56,67","1","4,42,51,67",""
209,"25,33,56","1","33","33"
