ensemble_a,ensemble_b,overlap_coefficient
4,6,1.0000000000000000E+000
4,9,1.0000000000000000E+000
4,10,1.0000000000000000E+000
4,11,1.0000000000000000E+000
4,12,1.0000000000000000E+000
4,15,1.0000000000000000E+000
4,16,1.0000000000000000E+000
4,19,1.0000000000000000E+000
4,24,1.0000000000000000E+000
4,26,1.0000000000000000E+000
4,28,1.0000000000000000E+000
4,30,1.0000000000000000E+000
4,33,1.0000000000000000E+000
4,35,1.0000000000000000E+000
4,40,1.0000000000000000E+000
4,41,1.0000000000000000E+000
4,42,1.0000000000000000E+000
4,44,1.0000000000000000E+000
4,50,1.0000000000000000E+000
4,55,1.0000000000000000E+000
4,56,1.0000000000000000E+000
4,57,1.0000000000000000E+000
4,58,1.0000000000000000E+000
6,9,1.0000000000000000E+000
6,10,1.0000000000000000E+000
6,11,1.0000000000000000E+000
6,12,1.0000000000000000E+000
6,15,1.0000000000000000E+000
6,16,1.0000000000000000E+000
6,19,1.0000000000000000E+000
6,24,1.0000000000000000E+000
6,26,1.0000000000000000E+000
6,28,1.0000000000000000E+000
6,30,1.0000000000000000E+000
6,33,1.0000000000000000E+000
6,35,1.0000000000000000E+000
6,40,1.0000000000000000E+000
6,41,1.0000000000000000E+000
6,42,1.0000000000000000E+000
6,44,1.0000000000000000E+000
6,50,1.0000000000000000E+000
6,55,1.0000000000000000E+000
6,56,1.0000000000000000E+000
6,57,1.0000000000000000E+000
6,58,1.0000000000000000E+000
9,10,1.0000000000000000E+000
9,11,1.0000000000000000E+000
9,12,1.0000000000000000E+000
9,15,1.0000000000000000E+000
9,16,1.0000000000000000E+000
9,19,1.0000000000000000E+000
9,24,1.0000000000000000E+000
9,26,1.0000000000000000E+000
9,28,1.0000000000000000E+000
9,30,9.0909090909090912E-002
9,33,1.0000000000000000E+000
9,40,1.0000000000000000E+000
9,41,1.0000000000000000E+000
9,42,1.0000000000000000E+000
9,50,1.0000000000000000E+000
9,55,1.0000000000000000E+000
9,56,1.0000000000000000E+000
9,57,1.0000000000000000E+000
9,58,1.0000000000000000E+000
10,11,1.0000000000000000E+000
10,12,1.0000000000000000E+000
10,15,1.0000000000000000E+000
10,16,1.0000000000000000E+000
10,19,1.0000000000000000E+000
10,24,1.0000000000000000E+000
10,26,1.0000000000000000E+000
10,28,1.0000000000000000E+000
10,30,1.0000000000000000E+000
10,33,1.0000000000000000E+000
10,35,1.0000000000000000E+000
10,40,1.0000000000000000E+000
10,41,1.0000000000000000E+000
10,42,1.0000000000000000E+000
10,44,1.0000000000000000E+000
10,50,1.0000000000000000E+000
10,55,1.0000000000000000E+000
10,56,1.0000000000000000E+000
10,57,1.0000000000000000E+000
10,58,1.0000000000000000E+000
11,12,1.0000000000000000E+000
11,15,1.0000000000000000E+000
11,16,1.0000000000000000E+000
11,19,1.0000000000000000E+000
11,24,1.0000000000000000E+000
11,26,1.0000000000000000E+000
11,28,1.0000000000000000E+000
11,30,1.0000000000000000E+000
11,33,1.0000000000000000E+000
11,35,1.0000000000000000E+000
11,40,1.0000000000000000E+000
11,41,1.0000000000000000E+000
11,42,1.0000000000000000E+000
11,44,1.0000000000000000E+000
11,50,1.0000000000000000E+000
11,55,1.0000000000000000E+000
11,56,1.0000000000000000E+000
11,57,1.0000000000000000E+000
11,58,1.0000000000000000E+000
12,15,1.0000000000000000E+000
12,16,1.0000000000000000E+000
12,19,1.0000000000000000E+000
12,24,1.0000000000000000E+000
12,26,1.0000000000000000E+000
12,28,1.0000000000000000E+000
12,30,1.0000000000000000E+000
12,33,1.0000000000000000E+000
12,35,1.0000000000000000E+000
12,40,1.0000000000000000E+000
12,41,1.0000000000000000E+000
12,42,1.0000000000000000E+000
12,44,1.0000000000000000E+000
12,50,1.0000000000000000E+000
12,55,1.0000000000000000E+000
12,56,1.0000000000000000E+000
12,57,1.0000000000000000E+000
12,58,1.0000000000000000E+000
15,16,1.0000000000000000E+000
15,19,1.0000000000000000E+000
15,24,1.0000000000000000E+000
15,26,1.0000000000000000E+000
15,28,1.0000000000000000E+000
15,30,1.0000000000000000E+000
15,33,1.0000000000000000E+000
15,35,1.0000000000000000E+000
15,40,1.0000000000000000E+000
15,41,1.0000000000000000E+000
15,42,1.0000000000000000E+000
15,44,1.0000000000000000E+000
15,50,1.0000000000000000E+000
15,55,1.0000000000000000E+000
15,56,1.0000000000000000E+000
15,57,1.0000000000000000E+000
15,58,1.0000000000000000E+000
16,19,1.0000000000000000E+000
16,24,1.0000000000000000E+000
16,26,1.0000000000000000E+000
16,28,1.0000000000000000E+000
16,30,1.0000000000000000E+000
16,33,1.0000000000000000E+000
16,35,1.0000000000000000E+000
16,40,1.0000000000000000E+000
16,41,1.0000000000000000E+000
16,42,1.0000000000000000E+000
16,44,1.0000000000000000E+000
16,50,1.0000000000000000E+000
16,55,1.0000000000000000E+000
16,56,1.0000000000000000E+000
16,57,1.0000000000000000E+000
16,58,1.0000000000000000E+000
18,53,1.0000000000000000E+000
18,56,1.0625000000000000E-001
19,24,1.0000000000000000E+000
19,26,1.0000000000000000E+000
19,28,1.0000000000000000E+000
19,33,1.0000000000000000E+000
19,40,1.0000000000000000E+000
19,41,1.0000000000000000E+000
19,42,1.0000000000000000E+000
19,50,1.0000000000000000E+000
19,55,1.0000000000000000E+000
19,56,1.0000000000000000E+000
19,57,4.3750000000000000E-001
24,26,1.0000000000000000E+000
24,28,1.0000000000000000E+000
24,30,1.0000000000000000E+000
24,33,1.0000000000000000E+000
24,35,1.0000000000000000E+000
24,40,1.0000000000000000E+000
24,41,1.0000000000000000E+000
24,42,1.0000000000000000E+000
24,44,1.0000000000000000E+000
24,50,1.0000000000000000E+000
24,55,1.0000000000000000E+000
24,56,1.0000000000000000E+000
24,57,1.0000000000000000E+000
24,58,1.0000000000000000E+000
26,28,1.0000000000000000E+000
26,30,1.0000000000000000E+000
26,33,1.0000000000000000E+000
26,35,1.0000000000000000E+000
26,40,1.0000000000000000E+000
26,41,1.0000000000000000E+000
26,42,1.0000000000000000E+000
26,44,1.0000000000000000E+000
26,50,1.0000000000000000E+000
26,55,1.0000000000000000E+000
26,56,1.0000000000000000E+000
26,57,1.0000000000000000E+000
26,58,1.0000000000000000E+000
28,30,1.0000000000000000E+000
28,33,1.0000000000000000E+000
28,35,1.0000000000000000E+000
28,40,1.0000000000000000E+000
28,41,1.0000000000000000E+000
28,42,1.0000000000000000E+000
28,44,1.0000000000000000E+000
28,50,1.0000000000000000E+000
28,55,1.0000000000000000E+000
28,56,1.0000000000000000E+000
28,57,1.0000000000000000E+000
28,58,1.0000000000000000E+000
30,33,1.0000000000000000E+000
30,40,1.0000000000000000E+000
30,42,1.0000000000000000E+000
30,55,1.0000000000000000E+000
30,56,1.0000000000000000E+000
33,35,1.0000000000000000E+000
33,40,1.0000000000000000E+000
33,41,1.0000000000000000E+000
33,42,1.0000000000000000E+000
33,44,1.0000000000000000E+000
33,50,1.0000000000000000E+000
33,55,1.0000000000000000E+000
33,56,1.0000000000000000E+000
33,57,1.0000000000000000E+000
33,58,1.0000000000000000E+000
35,40,1.0000000000000000E+000
35,42,1.0000000000000000E+000
35,44,4.3750000000000000E-001
35,55,1.0000000000000000E+000
35,56,1.0000000000000000E+000
40,41,1.0000000000000000E+000
40,42,1.0000000000000000E+000
40,44,1.0000000000000000E+000
40,50,1.0000000000000000E+000
40,55,1.0000000000000000E+000
40,56,1.0000000000000000E+000
40,57,1.0000000000000000E+000
40,58,1.0000000000000000E+000
41,42,1.0000000000000000E+000
41,50,1.0000000000000000E+000
41,55,1.0000000000000000E+000
41,56,1.0000000000000000E+000
41,57,1.0000000000000000E+000
41,58,1.0000000000000000E+000
42,44,1.0000000000000000E+000
42,50,1.0000000000000000E+000
42,55,1.0000000000000000E+000
42,56,1.0000000000000000E+000
42,57,1.0000000000000000E+000
42,58,1.0000000000000000E+000
44,55,1.0000000000000000E+000
44,56,1.0000000000000000E+000
50,55,1.0000000000000000E+000
50,56,1.0000000000000000E+000
50,57,1.0000000000000000E+000
50,58,1.0000000000000000E+000
53,56,1.0625000000000000E-001
55,56,1.0000000000000000E+000
55,57,1.0000000000000000E+000
55,58,1.0000000000000000E+000
56,57,1.0000000000000000E+000
56,58,1.0000000000000000E+000

