ensemble_a,ensemble_b,overlap_coefficient
2,3,1.0000000000000000E+000
2,13,1.0000000000000000E+000
2,14,1.0000000000000000E+000
2,25,1.2500000000000000E-001
2,32,6.2500000000000000E-002
2,51,1.8750000000000000E-001
2,59,1.8750000000000000E-001
2,63,3.7500000000000000E-001
2,65,1.0000000000000000E+000
2,69,9.3750000000000000E-001
3,5,1.0000000000000000E+000
3,6,1.0000000000000000E+000
3,7,1.0000000000000000E+000
3,8,1.0000000000000000E+000
3,9,1.0000000000000000E+000
3,10,1.0000000000000000E+000
3,13,9.9498746867167920E-001
3,14,1.0000000000000000E+000
3,15,1.0000000000000000E+000
3,16,1.0000000000000000E+000
3,18,1.0000000000000000E+000
3,20,1.0000000000000000E+000
3,23,1.0000000000000000E+000
3,24,9.3750000000000000E-001
3,25,1.0000000000000000E+000
3,26,1.0000000000000000E+000
3,27,7.2340425531914898E-001
3,28,1.0000000000000000E+000
3,29,1.0000000000000000E+000
3,32,1.0000000000000000E+000
3,33,1.0000000000000000E+000
3,35,1.0000000000000000E+000
3,40,9.3750000000000000E-001
3,42,1.0000000000000000E+000
3,47,1.0000000000000000E+000
3,48,8.3108108108108103E-001
3,50,1.0000000000000000E+000
3,51,1.0000000000000000E+000
3,52,1.0000000000000000E+000
3,54,1.0000000000000000E+000
3,55,1.0000000000000000E+000
3,56,1.0000000000000000E+000
3,57,1.0000000000000000E+000
3,59,1.0000000000000000E+000
3,61,1.0000000000000000E+000
3,62,1.0000000000000000E+000
3,63,1.0000000000000000E+000
3,65,1.0000000000000000E+000
3,66,1.0000000000000000E+000
3,69,1.0000000000000000E+000
3,70,1.0000000000000000E+000
3,72,1.0000000000000000E+000
3,74,1.0000000000000000E+000
3,75,8.7500000000000000E-001
3,76,1.0000000000000000E+000
5,13,1.0000000000000000E+000
5,14,1.0000000000000000E+000
5,23,3.7500000000000000E-001
5,29,4.3750000000000000E-001
5,47,1.2500000000000000E-001
5,50,1.2500000000000000E-001
5,51,2.5000000000000000E-001
5,65,1.0000000000000000E+000
5,69,8.1250000000000000E-001
5,75,6.2500000000000000E-002
6,13,1.0000000000000000E+000
6,14,1.0000000000000000E+000
6,16,8.7500000000000000E-001
6,20,3.1250000000000000E-001
6,24,6.2500000000000000E-002
6,40,1.8750000000000000E-001
6,62,5.6250000000000000E-001
6,65,1.0000000000000000E+000
6,72,5.6250000000000000E-001
7,9,9.3750000000000000E-001
7,10,5.0000000000000000E-001
7,13,1.0000000000000000E+000
7,14,1.0000000000000000E+000
7,18,1.0000000000000000E+000
7,28,4.3750000000000000E-001
7,33,8.1250000000000000E-001
7,52,6.8750000000000000E-001
7,54,9.3750000000000000E-001
7,61,1.0000000000000000E+000
7,65,1.0000000000000000E+000
7,69,9.4230769230769229E-001
8,13,1.0000000000000000E+000
8,14,1.0000000000000000E+000
8,23,6.2500000000000000E-002
8,42,5.0000000000000000E-001
8,57,1.8750000000000000E-001
8,65,1.0000000000000000E+000
8,69,3.7500000000000000E-001
8,70,2.5000000000000000E-001
8,75,1.2500000000000000E-001
9,10,4.3750000000000000E-001
9,13,1.0000000000000000E+000
9,14,1.0000000000000000E+000
9,18,1.2500000000000000E-001
9,28,3.7500000000000000E-001
9,33,2.5000000000000000E-001
9,65,1.0000000000000000E+000
9,69,1.0000000000000000E+000
10,13,1.0000000000000000E+000
10,14,1.0000000000000000E+000
10,25,6.2500000000000000E-002
10,28,6.2500000000000000E-001
10,32,3.7500000000000000E-001
10,33,1.2500000000000000E-001
10,65,1.0000000000000000E+000
10,69,1.0000000000000000E+000
13,14,9.9498746867167920E-001
13,15,1.0000000000000000E+000
13,16,1.0000000000000000E+000
13,18,1.0000000000000000E+000
13,20,1.0000000000000000E+000
13,23,1.0000000000000000E+000
13,24,9.3750000000000000E-001
13,25,1.0000000000000000E+000
13,26,1.0000000000000000E+000
13,27,1.1702127659574468E-001
13,28,1.0000000000000000E+000
13,29,1.0000000000000000E+000
13,32,1.0000000000000000E+000
13,33,1.0000000000000000E+000
13,35,9.3750000000000000E-001
13,40,1.0000000000000000E+000
13,42,1.0000000000000000E+000
13,47,1.0000000000000000E+000
13,48,3.5810810810810811E-001
13,50,1.0000000000000000E+000
13,51,1.0000000000000000E+000
13,52,8.1250000000000000E-001
13,54,1.0000000000000000E+000
13,55,7.5000000000000000E-001
13,56,8.7500000000000000E-001
13,57,1.0000000000000000E+000
13,59,1.0000000000000000E+000
13,61,1.0000000000000000E+000
13,62,1.0000000000000000E+000
13,63,1.0000000000000000E+000
13,65,9.9498746867167920E-001
13,66,1.0000000000000000E+000
13,69,1.0000000000000000E+000
13,70,1.0000000000000000E+000
13,72,1.0000000000000000E+000
13,74,1.0000000000000000E+000
13,75,9.3750000000000000E-001
13,76,1.0000000000000000E+000
14,15,1.0000000000000000E+000
14,16,1.0000000000000000E+000
14,18,1.0000000000000000E+000
14,20,1.0000000000000000E+000
14,23,1.0000000000000000E+000
14,24,9.3750000000000000E-001
14,25,1.0000000000000000E+000
14,26,1.0000000000000000E+000
14,27,7.6595744680851063E-001
14,28,1.0000000000000000E+000
14,29,1.0000000000000000E+000
14,32,1.0000000000000000E+000
14,33,1.0000000000000000E+000
14,35,1.0000000000000000E+000
14,40,9.3750000000000000E-001
14,42,1.0000000000000000E+000
14,47,1.0000000000000000E+000
14,48,8.5810810810810811E-001
14,50,1.0000000000000000E+000
14,51,1.0000000000000000E+000
14,52,1.0000000000000000E+000
14,54,1.0000000000000000E+000
14,55,1.0000000000000000E+000
14,56,1.0000000000000000E+000
14,57,1.0000000000000000E+000
14,59,1.0000000000000000E+000
14,61,1.0000000000000000E+000
14,62,1.0000000000000000E+000
14,63,1.0000000000000000E+000
14,65,1.0000000000000000E+000
14,66,1.0000000000000000E+000
14,69,1.0000000000000000E+000
14,70,1.0000000000000000E+000
14,72,1.0000000000000000E+000
14,74,1.0000000000000000E+000
14,75,8.7500000000000000E-001
14,76,1.0000000000000000E+000
15,40,4.3750000000000000E-001
15,48,5.0000000000000000E-001
15,65,1.0000000000000000E+000
16,20,3.7500000000000000E-001
16,62,3.7500000000000000E-001
16,65,1.0000000000000000E+000
18,33,6.2500000000000000E-001
18,52,6.2500000000000000E-002
18,54,1.8750000000000000E-001
18,61,3.7500000000000000E-001
18,65,1.0000000000000000E+000
18,69,1.0000000000000000E+000
20,42,2.5000000000000000E-001
20,62,5.0000000000000000E-001
20,65,1.0000000000000000E+000
23,29,6.2500000000000000E-002
23,47,3.1250000000000000E-001
23,50,2.5000000000000000E-001
23,51,1.8750000000000000E-001
23,57,1.8750000000000000E-001
23,65,1.0000000000000000E+000
23,69,8.7500000000000000E-001
23,70,1.2500000000000000E-001
24,42,6.2500000000000000E-002
24,65,9.3750000000000000E-001
24,69,3.7500000000000000E-001
25,29,1.2500000000000000E-001
25,32,3.1250000000000000E-001
25,63,1.8750000000000000E-001
25,65,1.0000000000000000E+000
25,69,1.0000000000000000E+000
26,55,6.2500000000000000E-002
26,59,5.6250000000000000E-001
26,65,1.0000000000000000E+000
26,69,6.2500000000000000E-001
26,74,1.2500000000000000E-001
27,35,4.3750000000000000E-001
27,38,1.0000000000000000E+000
27,48,9.8936170212765961E-001
27,56,6.2500000000000000E-001
27,65,6.5957446808510634E-001
28,32,4.3750000000000000E-001
28,33,1.8750000000000000E-001
28,65,1.0000000000000000E+000
28,69,1.0000000000000000E+000
29,32,6.2500000000000000E-002
29,50,1.8750000000000000E-001
29,51,3.7500000000000000E-001
29,57,1.8750000000000000E-001
29,65,1.0000000000000000E+000
29,69,6.2500000000000000E-001
29,75,1.8750000000000000E-001
32,65,1.0000000000000000E+000
32,69,9.3750000000000000E-001
33,61,6.2500000000000000E-002
33,65,1.0000000000000000E+000
33,69,8.7500000000000000E-001
35,48,1.0000000000000000E+000
35,56,5.0000000000000000E-001
35,65,1.0000000000000000E+000
35,66,4.3750000000000000E-001
38,48,9.3750000000000000E-001
40,65,9.3750000000000000E-001
42,57,1.2500000000000000E-001
42,65,1.0000000000000000E+000
42,69,2.5000000000000000E-001
47,50,2.5000000000000000E-001
47,65,1.0000000000000000E+000
47,69,1.8750000000000000E-001
47,70,1.8750000000000000E-001
48,55,5.0000000000000000E-001
48,56,1.0000000000000000E+000
48,65,7.9054054054054057E-001
48,66,6.8750000000000000E-001
48,74,1.2500000000000000E-001
48,76,6.2500000000000000E-002
50,51,2.5000000000000000E-001
50,57,4.3750000000000000E-001
50,65,1.0000000000000000E+000
50,69,4.3750000000000000E-001
50,70,2.5000000000000000E-001
50,75,3.7500000000000000E-001
51,57,3.1250000000000000E-001
51,65,1.0000000000000000E+000
51,69,1.0000000000000000E+000
51,70,6.2500000000000000E-002
51,75,6.2500000000000000E-002
52,54,6.2500000000000000E-001
52,55,1.8750000000000000E-001
52,61,5.0000000000000000E-001
52,65,1.0000000000000000E+000
52,69,6.8750000000000000E-001
54,61,6.2500000000000000E-001
54,65,1.0000000000000000E+000
54,69,9.3750000000000000E-001
55,65,1.0000000000000000E+000
55,74,6.2500000000000000E-002
56,65,1.0000000000000000E+000
57,65,1.0000000000000000E+000
57,69,6.2500000000000000E-001
57,70,1.8750000000000000E-001
57,75,5.0000000000000000E-001
59,63,1.2500000000000000E-001
59,65,1.0000000000000000E+000
59,69,9.3750000000000000E-001
61,65,1.0000000000000000E+000
61,69,1.0000000000000000E+000
62,65,1.0000000000000000E+000
63,65,1.0000000000000000E+000
63,69,1.0000000000000000E+000
65,66,1.0000000000000000E+000
65,69,1.0000000000000000E+000
65,70,1.0000000000000000E+000
65,72,1.0000000000000000E+000
65,74,1.0000000000000000E+000
65,75,8.7500000000000000E-001
65,76,1.0000000000000000E+000
66,74,3.7500000000000000E-001
69,70,1.8750000000000000E-001
69,75,1.2500000000000000E-001
70,75,3.1250000000000000E-001
72,76,1.2500000000000000E-001
74,76,3.1250000000000000E-001

