row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"3,14,48,65","1","31,45,67",""
2,"3,13,14,27,35,48,56,65","1","35,56",""
3,"3,13,14,23,47,65","1","23,47",""
4,"3,7,13,14,18,33,65,69","1","18,33",""
5,"3,14,27,48,65","1","1","1"
6,"3,7,13,14,18,54,65,69","1","7,18,54",""
7,"3,6,13,14,40,65","1","11,21,40,78",""
8,"3,13,14,23,50,51,57,65,69,70","1","23,36,50,51,57,70",""
9,"2,3,13,14,65,69","1","2","2"
10,"3,13,14,24,65,69","1","13,24,37",""
11,"3,6,13,14,16,20,65","1","3,16,20,73",""
12,"2,3,13,14,63,65,69","1","2,63,65",""
13,"3,13,14,48,65","1","44,45,58",""
14,"3,13,14,25,65,69","1","25,65",""
15,"3,13,14,20,62,65","1","20,62,73",""
16,"3,13,14,65","1","3,73",""
17,"3,7,13,14,52,54,61,65,69","1","52,54,61",""
18,"14,27,48","1","39",""
19,"3,13,14,65,70","1","70",""
20,"3,13,14,65,76","1","14,21,49,64,76",""
21,"3,13,14,25,32,65,69","1","25,32,69",""
22,"3,7,13,14,18,33,61,65,69","1","7,18,33,61",""
23,"3,13,14,65,69","1","17",""
24,"2,3,13,14,59,63,65,69","1","2,17,59,63",""
25,"3,13,14,42,65","1","3,13,42","3"
26,"3,14,27,48","1","12,39",""
27,"27,38,48","1","27,38,48",""
28,"3,14,27,48,65","1","4","4"
29,"3,13,14,29,57,65,75","1","29,57,75",""
30,"3,5,13,14,29,65,69","1","5,29","5"
31,"3,13,14,24,65,69","1","13,24,37",""
32,"3,6,13,14,65,72","1","21,64,72",""
33,"3,13,14,26,59,65,69","1","26,43,59",""
34,"3,7,9,13,14,18,33,65,69","1","9,18,33",""
35,"3,7,13,14,52,54,65,69","1","52,54",""
36,"3,6,13,14,65","1","6,78","6"
37,"3,7,13,14,65,69","1","7","7"
38,"3,14,27,35,48,56,65","1","1,35,56",""
39,"3,6,13,14,62,65","1","6,62,78",""
40,"3,8,13,14,42,65,69","1","8,36,42",""
41,"3,14,27,48,65","1","34,71",""
42,"3,8,13,14,65,70","1","8,70","8"
43,"3,13,14,51,65,69","1","51",""
44,"3,13,14,27,35,48,56,65","1","1,35,56",""
45,"3,13,14,48,65","1","68",""
46,"3,7,9,10,13,14,65,69","1","9,10,43","9"
47,"3,13,14,48,56,65","1","56,68",""
48,"3,13,14,48,56,65","1","46,56,68",""
49,"3,13,14,65","1","19,41",""
50,"3,13,14,47,65","1","47",""
51,"3,7,10,13,14,28,65,69","1","10,28","10"
52,"2,3,13,14,65,69","1","2,65",""
53,"3,13,14,15,40,65","1","11,15,21,40",""
54,"3,13,14,48,55,65","1","44,55,58",""
55,"3,13,14,47,65,70","1","47,70",""
56,"3,8,13,14,57,65,69","1","8,36,57",""
57,"14,27,48","1","12,39",""
58,"3,14,27,48,65","1","1,4,30",""
59,"3,6,13,14,40,65","1","11,40,78","11"
60,"3,13,14,27,48,65","1","68,71",""
61,"3,14,27,48","1","12,39",""
62,"3,8,13,14,42,57,65,69","1","8,36,42,57",""
63,"3,13,14,25,63,65,69","1","25,63,65",""
64,"3,14,27,48","1","12","12"
65,"3,13,14,32,65,69","1","32",""
66,"3,13,14,24,65,69","1","13,24","13"
67,"3,13,14,23,65,69","1","23",""
68,"3,13,14,15,40,65","1","15,40,46",""
69,"3,13,14,48,65,66,74","1","44,66,74",""
70,"3,14,48,65","1","31",""
71,"3,13,14,40,65","1","40,78",""
72,"3,13,14,65","1","41",""
73,"3,8,13,14,65,70,75","1","8,70,75",""
74,"3,13,14,65,74,76","1","14,64,74,76","14"
75,"3,5,13,14,29,65,75","1","5,29,75",""
76,"3,13,14,15,40,65","1","15,40","15"
77,"3,13,14,25,65,69","1","25,69",""
78,"3,13,14,15,40,65","1","15,40",""
79,"3,14,27,48,65","1","1,30",""
80,"3,7,13,14,65,69","1","43,77",""
81,"3,13,14,26,59,65,69","1","26,43,59",""
