ensemble_a,ensemble_b,overlap_coefficient
1,2,1.0000000000000000E+000
1,3,1.0000000000000000E+000
1,5,1.0000000000000000E+000
1,6,1.0000000000000000E+000
1,7,1.0000000000000000E+000
1,9,1.0000000000000000E+000
1,10,6.2500000000000000E-002
1,11,3.0927835051546393E-002
1,12,1.0000000000000000E+000
1,13,1.0000000000000000E+000
1,16,1.0000000000000000E+000
1,17,1.0000000000000000E+000
1,18,1.0000000000000000E+000
1,19,1.0000000000000000E+000
1,21,1.0000000000000000E+000
1,23,1.0000000000000000E+000
1,25,1.0000000000000000E+000
1,26,1.0000000000000000E+000
1,29,3.1386861313868614E-001
1,32,2.8947368421052633E-001
1,33,1.0000000000000000E+000
1,35,1.0000000000000000E+000
1,36,1.0000000000000000E+000
1,38,2.5263157894736843E-001
1,39,1.0000000000000000E+000
1,41,9.3750000000000000E-001
1,45,1.0000000000000000E+000
1,46,1.0000000000000000E+000
1,47,1.0000000000000000E+000
1,48,1.0000000000000000E+000
1,49,1.0000000000000000E+000
1,51,1.0000000000000000E+000
1,52,9.4845360824742264E-001
1,54,1.0000000000000000E+000
1,56,1.0000000000000000E+000
1,57,1.0000000000000000E+000
1,60,1.0000000000000000E+000
1,63,1.0000000000000000E+000
1,65,1.0000000000000000E+000
1,67,1.0000000000000000E+000
1,68,1.0000000000000000E+000
1,69,1.0000000000000000E+000
2,5,1.0000000000000000E+000
2,6,1.0000000000000000E+000
2,7,1.0000000000000000E+000
2,9,1.0000000000000000E+000
2,12,1.0000000000000000E+000
2,13,1.0000000000000000E+000
2,18,1.0000000000000000E+000
2,21,1.0000000000000000E+000
2,23,1.0000000000000000E+000
2,26,1.0000000000000000E+000
2,33,1.0000000000000000E+000
2,35,1.0000000000000000E+000
2,39,1.0000000000000000E+000
2,46,1.0000000000000000E+000
2,47,1.0000000000000000E+000
2,49,1.0000000000000000E+000
2,51,1.0000000000000000E+000
2,52,1.0000000000000000E+000
2,54,1.0000000000000000E+000
2,56,1.0000000000000000E+000
2,57,1.0000000000000000E+000
2,60,1.0000000000000000E+000
2,63,1.0000000000000000E+000
2,65,1.0000000000000000E+000
2,68,1.0000000000000000E+000
2,69,1.0000000000000000E+000
3,5,1.0000000000000000E+000
3,6,1.0000000000000000E+000
3,7,1.0000000000000000E+000
3,9,1.0000000000000000E+000
3,12,1.0000000000000000E+000
3,13,1.0000000000000000E+000
3,18,1.0000000000000000E+000
3,21,1.0000000000000000E+000
3,23,1.0000000000000000E+000
3,26,1.0000000000000000E+000
3,33,1.0000000000000000E+000
3,35,1.0000000000000000E+000
3,39,1.0000000000000000E+000
3,46,1.0000000000000000E+000
3,47,1.0000000000000000E+000
3,49,1.0000000000000000E+000
3,51,1.0000000000000000E+000
3,52,1.0000000000000000E+000
3,54,1.0000000000000000E+000
3,56,1.0000000000000000E+000
3,57,1.0000000000000000E+000
3,60,1.0000000000000000E+000
3,63,1.0000000000000000E+000
3,65,1.0000000000000000E+000
3,67,5.6250000000000000E-001
3,68,1.0000000000000000E+000
3,69,1.0000000000000000E+000
4,11,1.0000000000000000E+000
4,28,5.6250000000000000E-001
4,29,5.0000000000000000E-001
4,40,5.0000000000000000E-001
4,43,1.0000000000000000E+000
4,59,6.8750000000000000E-001
5,6,1.0000000000000000E+000
5,7,1.0000000000000000E+000
5,9,1.0000000000000000E+000
5,10,1.0000000000000000E+000
5,11,6.5979381443298968E-001
5,12,1.0000000000000000E+000
5,13,1.0000000000000000E+000
5,16,1.0000000000000000E+000
5,17,1.0000000000000000E+000
5,18,1.0000000000000000E+000
5,19,1.0000000000000000E+000
5,21,1.0000000000000000E+000
5,23,1.0000000000000000E+000
5,25,1.0000000000000000E+000
5,26,1.0000000000000000E+000
5,29,8.6861313868613144E-001
5,31,1.0000000000000000E+000
5,32,1.0000000000000000E+000
5,33,1.0000000000000000E+000
5,35,1.0000000000000000E+000
5,36,1.0000000000000000E+000
5,38,1.0000000000000000E+000
5,39,1.0000000000000000E+000
5,41,1.0000000000000000E+000
5,43,5.6000000000000005E-001
5,45,1.0000000000000000E+000
5,46,1.0000000000000000E+000
5,47,1.0000000000000000E+000
5,48,1.0000000000000000E+000
5,49,1.0000000000000000E+000
5,51,1.0000000000000000E+000
5,52,1.0000000000000000E+000
5,54,1.0000000000000000E+000
5,56,1.0000000000000000E+000
5,57,1.0000000000000000E+000
5,59,7.1621621621621623E-001
5,60,1.0000000000000000E+000
5,63,1.0000000000000000E+000
5,65,1.0000000000000000E+000
5,67,1.0000000000000000E+000
5,68,1.0000000000000000E+000
5,69,1.0000000000000000E+000
6,7,1.0000000000000000E+000
6,9,1.0000000000000000E+000
6,10,1.0000000000000000E+000
6,11,6.5979381443298968E-001
6,12,1.0000000000000000E+000
6,13,1.0000000000000000E+000
6,16,1.0000000000000000E+000
6,17,1.0000000000000000E+000
6,18,1.0000000000000000E+000
6,19,1.0000000000000000E+000
6,21,1.0000000000000000E+000
6,23,1.0000000000000000E+000
6,25,1.0000000000000000E+000
6,26,1.0000000000000000E+000
6,29,8.6861313868613144E-001
6,31,1.0000000000000000E+000
6,32,1.0000000000000000E+000
6,33,1.0000000000000000E+000
6,35,1.0000000000000000E+000
6,36,1.0000000000000000E+000
6,38,1.0000000000000000E+000
6,39,1.0000000000000000E+000
6,41,1.0000000000000000E+000
6,43,5.6000000000000005E-001
6,45,1.0000000000000000E+000
6,46,1.0000000000000000E+000
6,47,1.0000000000000000E+000
6,48,1.0000000000000000E+000
6,49,1.0000000000000000E+000
6,51,1.0000000000000000E+000
6,52,1.0000000000000000E+000
6,54,1.0000000000000000E+000
6,56,1.0000000000000000E+000
6,57,1.0000000000000000E+000
6,59,7.1621621621621623E-001
6,60,1.0000000000000000E+000
6,63,1.0000000000000000E+000
6,65,1.0000000000000000E+000
6,67,1.0000000000000000E+000
6,68,1.0000000000000000E+000
6,69,1.0000000000000000E+000
7,9,1.0000000000000000E+000
7,10,5.0000000000000000E-001
7,11,1.9587628865979381E-001
7,12,1.0000000000000000E+000
7,13,1.0000000000000000E+000
7,16,1.0000000000000000E+000
7,17,1.0000000000000000E+000
7,18,1.0000000000000000E+000
7,19,1.0000000000000000E+000
7,21,1.0000000000000000E+000
7,23,1.0000000000000000E+000
7,25,1.0000000000000000E+000
7,26,1.0000000000000000E+000
7,29,5.4014598540145986E-001
7,32,6.4473684210526316E-001
7,33,1.0000000000000000E+000
7,35,1.0000000000000000E+000
7,36,1.0000000000000000E+000
7,38,5.3684210526315790E-001
7,39,1.0000000000000000E+000
7,41,1.0000000000000000E+000
7,45,1.0000000000000000E+000
7,46,1.0000000000000000E+000
7,47,1.0000000000000000E+000
7,48,1.0000000000000000E+000
7,49,1.0000000000000000E+000
7,51,1.0000000000000000E+000
7,52,1.0000000000000000E+000
7,54,1.0000000000000000E+000
7,56,1.0000000000000000E+000
7,57,1.0000000000000000E+000
7,59,1.2162162162162163E-001
7,60,1.0000000000000000E+000
7,63,1.0000000000000000E+000
7,65,1.0000000000000000E+000
7,67,1.0000000000000000E+000
7,68,1.0000000000000000E+000
7,69,1.0000000000000000E+000
9,10,1.0000000000000000E+000
9,11,5.7731958762886593E-001
9,12,1.0000000000000000E+000
9,13,1.0000000000000000E+000
9,16,1.0000000000000000E+000
9,17,1.0000000000000000E+000
9,18,1.0000000000000000E+000
9,19,1.0000000000000000E+000
9,21,1.0000000000000000E+000
9,23,1.0000000000000000E+000
9,25,1.0000000000000000E+000
9,26,1.0000000000000000E+000
9,29,8.1021897810218979E-001
9,31,1.0000000000000000E+000
