ensemble_a,ensemble_b,overlap_coefficient
1,12,1.0000000000000000E+000
1,16,1.0000000000000000E+000
1,20,6.2500000000000000E-002
1,34,1.0000000000000000E+000
1,41,1.0000000000000000E+000
1,47,2.5000000000000000E-001
1,50,1.0000000000000000E+000
1,53,4.3750000000000000E-001
1,73,6.2500000000000000E-002
1,77,3.7500000000000000E-001
2,9,5.0000000000000000E-001
2,12,8.7500000000000000E-001
2,16,8.7500000000000000E-001
2,26,4.3750000000000000E-001
2,34,1.0000000000000000E+000
2,44,6.2500000000000000E-002
2,50,6.8750000000000000E-001
2,70,1.8750000000000000E-001
2,72,5.0000000000000000E-001
5,10,5.0000000000000000E-001
5,12,1.0000000000000000E+000
5,16,1.0000000000000000E+000
5,26,2.5000000000000000E-001
5,34,1.0000000000000000E+000
5,46,8.7500000000000000E-001
5,50,1.0000000000000000E+000
5,70,3.1250000000000000E-001
6,9,2.5000000000000000E-001
6,12,1.0000000000000000E+000
6,16,1.0000000000000000E+000
6,23,1.2500000000000000E-001
6,26,6.2500000000000000E-002
6,34,1.0000000000000000E+000
6,50,1.0000000000000000E+000
6,71,8.1250000000000000E-001
6,76,2.5000000000000000E-001
7,11,1.8750000000000000E-001
7,12,1.0000000000000000E+000
7,16,1.0000000000000000E+000
7,17,5.6250000000000000E-001
7,28,2.5000000000000000E-001
7,33,5.6250000000000000E-001
7,34,1.0000000000000000E+000
7,37,2.5000000000000000E-001
7,41,5.6250000000000000E-001
7,42,1.2500000000000000E-001
7,50,1.0000000000000000E+000
8,12,1.0000000000000000E+000
8,16,1.0000000000000000E+000
8,34,1.0000000000000000E+000
8,38,6.2500000000000000E-002
8,41,1.0000000000000000E+000
8,50,8.7500000000000000E-001
8,53,2.5000000000000000E-001
8,55,5.6250000000000000E-001
8,73,3.1250000000000000E-001
9,12,8.1250000000000000E-001
9,16,8.1250000000000000E-001
9,26,6.2500000000000000E-001
9,34,8.7500000000000000E-001
9,50,8.1250000000000000E-001
9,70,2.5000000000000000E-001
9,71,2.5000000000000000E-001
9,72,2.5000000000000000E-001
10,12,1.0000000000000000E+000
10,16,1.0000000000000000E+000
10,34,1.0000000000000000E+000
10,46,1.0000000000000000E+000
10,50,1.0000000000000000E+000
10,56,6.2500000000000000E-002
10,61,1.8750000000000000E-001
10,70,6.2500000000000000E-002
11,12,1.0000000000000000E+000
11,16,1.0000000000000000E+000
11,18,4.3750000000000000E-001
11,33,2.5000000000000000E-001
11,34,1.0000000000000000E+000
11,37,6.2500000000000000E-002
11,42,5.0000000000000000E-001
11,44,2.5000000000000000E-001
11,50,1.0000000000000000E+000
12,13,1.0000000000000000E+000
12,14,1.0000000000000000E+000
12,15,1.0000000000000000E+000
12,16,1.0000000000000000E+000
12,17,1.0000000000000000E+000
12,18,1.0000000000000000E+000
12,19,1.0000000000000000E+000
12,20,1.0000000000000000E+000
12,21,1.0000000000000000E+000
12,22,7.5000000000000000E-001
12,23,1.0000000000000000E+000
12,25,1.0000000000000000E+000
12,26,1.0000000000000000E+000
12,28,1.0000000000000000E+000
12,29,1.0000000000000000E+000
12,30,1.0000000000000000E+000
12,31,1.0000000000000000E+000
12,32,1.0000000000000000E+000
12,33,1.0000000000000000E+000
12,34,1.0000000000000000E+000
12,35,1.0000000000000000E+000
12,36,1.0000000000000000E+000
12,37,8.7500000000000000E-001
12,38,1.0000000000000000E+000
12,41,8.5593220338983056E-001
12,42,1.0000000000000000E+000
12,43,7.5000000000000000E-001
12,44,1.0000000000000000E+000
12,45,1.0000000000000000E+000
12,46,1.0000000000000000E+000
12,47,1.0000000000000000E+000
12,48,1.0000000000000000E+000
12,50,1.0000000000000000E+000
12,51,1.0000000000000000E+000
12,52,1.0000000000000000E+000
12,53,1.0000000000000000E+000
12,54,1.0000000000000000E+000
12,55,1.0000000000000000E+000
12,56,1.0000000000000000E+000
12,57,9.3750000000000000E-001
12,58,5.0000000000000000E-001
12,59,1.0000000000000000E+000
12,60,1.0000000000000000E+000
12,61,1.0000000000000000E+000
