ensemble_a,ensemble_b,overlap_coefficient
1,2,1.0000000000000000E+000
1,3,1.0000000000000000E+000
1,16,1.0000000000000000E+000
1,33,1.0000000000000000E+000
1,36,1.0000000000000000E+000
1,41,1.0000000000000000E+000
1,61,1.0000000000000000E+000
1,62,1.0000000000000000E+000
1,64,5.0000000000000000E-001
2,3,1.0000000000000000E+000
2,4,1.0000000000000000E+000
2,9,1.0000000000000000E+000
2,13,1.0000000000000000E+000
2,14,1.0000000000000000E+000
2,16,1.0000000000000000E+000
2,17,1.0000000000000000E+000
2,19,1.0000000000000000E+000
2,20,1.0000000000000000E+000
2,21,1.0000000000000000E+000
2,22,8.1250000000000000E-001
2,23,1.0000000000000000E+000
2,25,1.0000000000000000E+000
2,26,1.0000000000000000E+000
2,27,1.0000000000000000E+000
2,28,1.0000000000000000E+000
2,29,1.0000000000000000E+000
2,33,1.0000000000000000E+000
2,34,1.0000000000000000E+000
2,35,1.0000000000000000E+000
2,36,1.0000000000000000E+000
2,38,1.0000000000000000E+000
2,40,1.0000000000000000E+000
2,41,1.0000000000000000E+000
2,42,1.0000000000000000E+000
2,44,1.0000000000000000E+000
2,48,1.0000000000000000E+000
2,49,1.0000000000000000E+000
2,52,1.0000000000000000E+000
2,53,1.0000000000000000E+000
2,55,1.0000000000000000E+000
2,57,6.2500000000000000E-002
2,59,1.0000000000000000E+000
2,60,1.0000000000000000E+000
2,61,1.0000000000000000E+000
2,62,1.0000000000000000E+000
2,63,1.0000000000000000E+000
2,64,9.3750000000000000E-001
2,66,1.0000000000000000E+000
2,68,1.0000000000000000E+000
2,70,1.0000000000000000E+000
2,72,1.0000000000000000E+000
2,74,1.0000000000000000E+000
2,75,1.0000000000000000E+000
2,76,1.0000000000000000E+000
3,33,1.0000000000000000E+000
3,36,1.0000000000000000E+000
3,41,1.0000000000000000E+000
3,61,1.0000000000000000E+000
3,62,1.0000000000000000E+000
4,21,8.1250000000000000E-001
4,25,6.8750000000000000E-001
4,33,1.0000000000000000E+000
4,34,1.8750000000000000E-001
4,35,1.0000000000000000E+000
4,36,1.0000000000000000E+000
4,38,1.8750000000000000E-001
4,41,1.0000000000000000E+000
4,52,1.8750000000000000E-001
4,53,1.0000000000000000E+000
4,55,4.3750000000000000E-001
4,59,1.0000000000000000E+000
4,61,1.0000000000000000E+000
4,62,1.0000000000000000E+000
4,70,6.2500000000000000E-001
4,75,9.3750000000000000E-001
9,13,5.0000000000000000E-001
9,23,3.1250000000000000E-001
9,33,1.0000000000000000E+000
9,36,1.0000000000000000E+000
9,41,1.0000000000000000E+000
9,48,4.3750000000000000E-001
9,61,1.0000000000000000E+000
9,62,1.0000000000000000E+000
9,72,2.5000000000000000E-001
11,15,5.6250000000000000E-001
11,57,2.5000000000000000E-001
12,37,8.1250000000000000E-001
13,20,1.2500000000000000E-001
13,33,1.0000000000000000E+000
13,36,1.0000000000000000E+000
13,41,1.0000000000000000E+000
13,48,7.5000000000000000E-001
13,61,1.0000000000000000E+000
13,62,1.0000000000000000E+000
14,28,5.0000000000000000E-001
14,33,1.0000000000000000E+000
14,36,1.0000000000000000E+000
14,41,1.0000000000000000E+000
14,60,5.6250000000000000E-001
14,61,1.0000000000000000E+000
14,62,1.0000000000000000E+000
14,76,1.0000000000000000E+000
15,22,6.2500000000000000E-002
15,57,5.6250000000000000E-001
16,33,1.0000000000000000E+000
16,36,1.0000000000000000E+000
16,41,1.0000000000000000E+000
16,61,1.0000000000000000E+000
16,62,1.0000000000000000E+000
17,33,1.0000000000000000E+000
17,36,1.0000000000000000E+000
17,40,5.0000000000000000E-001
17,41,1.0000000000000000E+000
17,61,1.0000000000000000E+000
17,62,1.0000000000000000E+000
17,74,6.2500000000000000E-002
19,27,1.2500000000000000E-001
19,29,3.7500000000000000E-001
19,33,1.0000000000000000E+000
19,36,1.0000000000000000E+000
19,41,1.0000000000000000E+000
19,61,1.0000000000000000E+000
19,62,1.0000000000000000E+000
19,76,1.0000000000000000E+000
20,33,1.0000000000000000E+000
20,36,1.0000000000000000E+000
20,41,1.0000000000000000E+000
20,48,1.2500000000000000E-001
20,61,1.0000000000000000E+000
20,62,1.0000000000000000E+000
20,64,2.5000000000000000E-001
21,25,2.5000000000000000E-001
21,33,1.0000000000000000E+000
21,35,6.8750000000000000E-001
21,36,1.0000000000000000E+000
21,41,1.0000000000000000E+000
21,55,3.7500000000000000E-001
21,59,6.2500000000000000E-002
21,61,1.0000000000000000E+000
21,62,1.0000000000000000E+000
21,75,5.6250000000000000E-001
22,33,8.1250000000000000E-001
22,41,8.1250000000000000E-001
22,57,1.8750000000000000E-001
22,61,8.1250000000000000E-001
22,76,1.8750000000000000E-001
23,26,5.0000000000000000E-001
23,33,1.0000000000000000E+000
23,36,1.0000000000000000E+000
23,41,1.0000000000000000E+000
23,61,1.0000000000000000E+000
23,62,1.0000000000000000E+000
23,63,5.0000000000000000E-001
23,72,4.3750000000000000E-001
25,33,1.0000000000000000E+000
25,35,3.7500000000000000E-001
25,36,1.0000000000000000E+000
25,41,1.0000000000000000E+000
25,49,2.5000000000000000E-001
25,55,5.6250000000000000E-001
25,61,1.0000000000000000E+000
25,62,1.0000000000000000E+000
25,75,1.8750000000000000E-001
26,33,1.0000000000000000E+000
26,36,1.0000000000000000E+000
26,41,1.0000000000000000E+000
26,61,1.0000000000000000E+000
26,62,1.0000000000000000E+000
26,63,7.5000000000000000E-001
26,72,1.2500000000000000E-001
27,29,3.7500000000000000E-001
27,33,1.0000000000000000E+000
27,34,6.2500000000000000E-001
27,36,1.0000000000000000E+000
27,38,3.1250000000000000E-001
27,41,1.0000000000000000E+000
27,52,1.8750000000000000E-001
27,61,1.0000000000000000E+000
27,62,1.0000000000000000E+000
27,70,1.2500000000000000E-001
27,76,6.2500000000000000E-001
28,33,1.0000000000000000E+000
28,36,1.0000000000000000E+000
28,41,1.0000000000000000E+000
28,60,5.6250000000000000E-001
28,61,1.0000000000000000E+000
28,62,1.0000000000000000E+000
28,76,1.0000000000000000E+000
29,33,1.0000000000000000E+000
29,36,1.0000000000000000E+000
29,41,1.0000000000000000E+000
29,61,1.0000000000000000E+000
29,62,1.0000000000000000E+000
29,76,1.0000000000000000E+000
33,34,1.0000000000000000E+000
33,35,1.0000000000000000E+000
33,36,1.0000000000000000E+000
33,38,1.0000000000000000E+000
33,40,1.0000000000000000E+000
33,41,1.0000000000000000E+000
33,42,1.0000000000000000E+000
33,44,1.0000000000000000E+000
33,48,1.0000000000000000E+000
33,49,1.0000000000000000E+000
33,52,1.0000000000000000E+000
33,53,1.0000000000000000E+000
33,55,1.0000000000000000E+000
33,57,6.2500000000000000E-002
33,59,1.0000000000000000E+000
33,60,1.0000000000000000E+000
33,61,1.0000000000000000E+000
33,62,1.0000000000000000E+000
33,63,1.0000000000000000E+000
33,64,9.3750000000000000E-001
33,66,1.0000000000000000E+000
33,68,1.0000000000000000E+000
33,70,1.0000000000000000E+000
33,72,1.0000000000000000E+000
33,74,1.0000000000000000E+000
33,75,1.0000000000000000E+000
33,76,1.0000000000000000E+000
34,36,1.0000000000000000E+000
34,38,6.2500000000000000E-001
34,41,1.0000000000000000E+000
34,52,5.0000000000000000E-001
34,53,6.2500000000000000E-002
34,59,6.2500000000000000E-002
34,61,1.0000000000000000E+000
34,62,1.0000000000000000E+000
34,70,4.3750000000000000E-001
34,76,2.5000000000000000E-001
35,36,1.0000000000000000E+000
35,41,1.0000000000000000E+000
35,55,3.1250000000000000E-001
35,59,1.8750000000000000E-001
35,61,1.0000000000000000E+000
