row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"1,2,3,33,36,41,61,62","1","3,7,50",""
2,"2,14,33,36,41,61,62,76","1","14",""
3,"2,33,36,38,41,52,61,62","1","38,52",""
4,"2,22,33,41,61,76","1","6,22,24",""
5,"11","","11,67",""
6,"64","1","64",""
7,"2,4,25,33,36,41,55,61,62","1","25,55",""
8,"1,2,33,36,41,61,62","1","33,58",""
9,"2,20,33,36,41,61,62","1","20",""
10,"1,2,33,36,41,61,62","1","2,32",""
11,"2,29,33,36,41,61,62,76","1","29",""
12,"2,33,36,41,61,62","1","41,50,51",""
13,"2,19,29,33,36,41,61,62,76","1","19,29,30,39",""
14,"2,4,21,33,35,36,41,59,61,62,75","1","21,35,59,75",""
15,"12,37","","8,12,37",""
16,"2,33,36,41,49,61,62","1","10,49",""
17,"1,2,16,33,36,41,61,62","1","1,5,16,32","1"
18,"1,2,33,36,41,61,62","1","2,5,32","2"
19,"","","46",""
20,"2,33,36,41,61,62,66","1","31,66",""
21,"2,22,33,41,61","1","22,46",""
22,"2,21,33,36,41,55,61,62","1","21,55",""
23,"2,33,36,41,61,62","1","47,51",""
24,"2,27,33,34,36,41,61,62","1","27,34,54",""
25,"12,37","","12,37",""
26,"2,33,36,41,61,62","1","8,65",""
27,"2,33,36,41,44,61,62,74","1","44,62,74",""
28,"1,2,16,33,36,41,61,62","1","1,5,16",""
29,"2,33,36,41,61,62,72","1","71,72",""
30,"11,15","","11,15,67",""
31,"","","10,31",""
32,"2,25,33,36,41,49,55,61,62","1","25,49,55",""
33,"2,13,33,36,41,48,61,62","1","13,48,69,71",""
34,"1,2,33,36,41,61,62","1","33,36",""
35,"1,2,33,36,41,61,62","1","33",""
36,"2,4,33,36,41,53,59,61,62","1","4,53,59",""
37,"1,2,3,33,36,41,61,62","1","3,7","3"
38,"2,33,36,41,61,62","1","47,51",""
39,"2,33,36,41,61,62,66","1","47,66,73",""
40,"2,27,29,33,36,41,61,62,76","1","27,29,39,54",""
41,"2,33,36,41,61,62","1","8,56,65",""
42,"2,33,36,41,52,61,62,75","1","52,75",""
43,"2,33,36,41,61,62,66","1","31,47,66",""
44,"2,4,33,36,41,61,62","1","4","4"
45,"2,33,36,41,61,62,64","1","36,64",""
46,"1,2,16,33,36,41,61,62","1","1,16,58",""
47,"2,33,36,41,61,62,72","1","71,72",""
48,"15,57","","15,57",""
49,"1,2,33,36,41,61,62","1","5","5"
50,"2,33,41,61","1","6","6"
51,"1,2,3,33,36,41,61,62","1","2,3,5",""
52,"2,23,33,36,41,61,62,63,72","1","23,63,72",""
53,"1,2,33,36,41,61,62","1","7","7"
54,"2,33,36,41,61,62","1","8","8"
55,"57","","46,57",""
56,"2,19,33,36,41,61,62,76","1","19,39",""
57,"2,4,33,36,41,53,61,62,70","1","53,54,70",""
58,"2,33,36,41,49,61,62","1","10,45,49",""
59,"2,33,36,41,61,62,66","1","47",""
60,"","","67",""
61,"2,9,13,33,36,41,61,62","1","9,13,18,71","9"
62,"2,27,33,34,36,41,61,62,76","1","27,34,39,54",""
63,"2,33,36,41,61,62","1","10","10"
64,"11","","11,67","11"
65,"2,14,28,33,36,41,61,62,76","1","14,28,76",""
66,"","","67",""
67,"2,33,36,41,61,62,66","1","47,66,73",""
68,"2,33,36,41,61,62,63,72","1","63,72",""
69,"1,2,3,33,36,41,61,62","1","3,7",""
70,"2,4,21,25,33,35,36,41,55,61,62","1","21,25,35,55",""
71,"2,27,33,34,36,41,61,62,76","1","27,34,54",""
72,"12","","12","12"
73,"2,33,36,41,61,62","1","41,51",""
74,"2,23,33,36,41,61,62,63,72","1","18,23,63,72",""
75,"2,14,28,33,36,41,60,61,62,76","1","14,28,60",""
76,"2,17,33,36,40,41,61,62","1","17,40,43",""
77,"2,33,36,41,49,55,61,62","1","49,55",""
78,"2,9,23,33,36,41,61,62,72","1","9,18,23,72",""
79,"1,2,33,36,41,61,62,64","1","33,36,64",""
80,"15,57","","15,46,57",""
81,"2,9,23,33,36,41,61,62,72","1","9,18,23,72",""
82,"2,33,36,41,61,62,68","1","56,65,68",""
83,"2,33,36,41,61,62,68","1","65,68",""
84,"2,33,36,41,61,62","1","7,41,50",""
85,"2,33,36,41,61,62,66","1","45",""
86,"2,13,33,36,41,61,62","1","13","13"
87,"2,4,33,36,41,53,59,61,62","1","4,53,59",""
88,"2,33,36,41,61,62","1","8,56,65",""
89,"2,14,28,33,36,41,61,62,76","1","14,28","14"
90,"2,28,33,36,41,61,62,76","1","28,76",""
91,"15","","15","15"
92,"2,33,36,41,61,62,76","1","6,24",""
93,"1,2,33,36,41,61,62,64","1","33,36,64",""
94,"1,2,16,33,36,41,61,62","1","16","16"
95,"2,4,33,36,41,59,61,62,70","1","59,70",""
96,"2,17,33,36,41,61,62","1","17","17"
97,"2,33,36,41,61,62","1","18","18"
98,"2,17,33,36,40,41,61,62,74","1","17,40,62,74",""
99,"1,2,3,33,36,41,61,62","1","3,7,50",""
100,"2,33,36,41,61,62,66","1","31,47,66",""
101,"2,33,36,41,42,61,62","1","42",""
102,"2,33,36,41,61,62","1","8",""
103,"2,4,21,33,35,36,41,55,61,62","1","21,35,55",""
104,"12,37","","12,37",""
105,"11,15,57","","11,15,57",""
106,"2,23,26,33,36,41,61,62,63,72","1","23,26,63,72",""
107,"2,4,25,33,36,41,61,62","1","25",""
