ensemble_a,ensemble_b,overlap_coefficient
1,25,3.7500000000000000E-001
1,28,1.2500000000000000E-001
1,40,1.8750000000000000E-001
1,52,3.1250000000000000E-001
1,55,1.0000000000000000E+000
1,60,1.0000000000000000E+000
1,67,4.3750000000000000E-001
1,76,1.0000000000000000E+000
1,79,1.0000000000000000E+000
3,7,4.3750000000000000E-001
3,12,1.8750000000000000E-001
3,21,4.3750000000000000E-001
3,43,3.1250000000000000E-001
3,55,1.0000000000000000E+000
3,60,1.0000000000000000E+000
3,76,1.0000000000000000E+000
3,80,4.3750000000000000E-001
4,9,9.3750000000000000E-001
4,26,6.2500000000000000E-002
4,30,6.2500000000000000E-001
4,45,3.7500000000000000E-001
4,46,7.5000000000000000E-001
4,55,1.0000000000000000E+000
4,56,5.0000000000000000E-001
4,60,1.0000000000000000E+000
4,72,8.1250000000000000E-001
4,76,1.0000000000000000E+000
5,12,6.2500000000000000E-002
5,15,4.3750000000000000E-001
5,40,2.5000000000000000E-001
5,55,1.0000000000000000E+000
5,60,1.0000000000000000E+000
5,67,1.2500000000000000E-001
5,68,1.8750000000000000E-001
5,76,1.0000000000000000E+000
5,77,5.6250000000000000E-001
6,9,6.2500000000000000E-001
6,14,6.2500000000000000E-002
6,32,6.2500000000000000E-002
6,39,3.7500000000000000E-001
6,55,1.0000000000000000E+000
6,59,5.0000000000000000E-001
6,60,1.0000000000000000E+000
6,73,5.6250000000000000E-001
6,74,6.2500000000000000E-002
6,76,1.0000000000000000E+000
7,12,4.3750000000000000E-001
7,55,1.0000000000000000E+000
7,60,1.0000000000000000E+000
7,76,1.0000000000000000E+000
7,77,6.2500000000000000E-002
7,80,4.3750000000000000E-001
8,36,3.7500000000000000E-001
8,50,6.2500000000000000E-001
8,55,1.0000000000000000E+000
8,61,5.6250000000000000E-001
8,66,2.5000000000000000E-001
8,76,1.0000000000000000E+000
9,14,1.0000000000000000E+000
9,26,6.2500000000000000E-002
9,30,6.8750000000000000E-001
9,39,6.8750000000000000E-001
9,45,3.1250000000000000E-001
9,46,1.0000000000000000E+000
9,55,9.8039215686274506E-001
9,56,4.3750000000000000E-001
9,59,1.0000000000000000E+000
9,60,1.0000000000000000E+000
9,72,3.6111111111111110E-001
9,73,8.1250000000000000E-001
9,76,9.8039215686274506E-001
11,20,1.2500000000000000E-001
11,42,2.5000000000000000E-001
11,44,1.2500000000000000E-001
11,48,3.7500000000000000E-001
11,53,1.2500000000000000E-001
11,55,1.0000000000000000E+000
11,76,1.0000000000000000E+000
11,81,5.6250000000000000E-001
12,38,3.7500000000000000E-001
12,55,1.0000000000000000E+000
12,60,1.0000000000000000E+000
12,68,2.5000000000000000E-001
12,76,1.0000000000000000E+000
12,77,3.1250000000000000E-001
12,80,5.6250000000000000E-001
14,39,3.1250000000000000E-001
14,46,1.8750000000000000E-001
14,55,1.0000000000000000E+000
14,59,5.0000000000000000E-001
14,60,1.0000000000000000E+000
14,73,2.5000000000000000E-001
14,76,1.0000000000000000E+000
15,25,3.1250000000000000E-001
15,55,9.3750000000000000E-001
15,60,1.0000000000000000E+000
15,67,3.7500000000000000E-001
15,68,3.1250000000000000E-001
15,76,9.3750000000000000E-001
15,77,6.2500000000000000E-002
15,79,1.8750000000000000E-001
16,32,6.2500000000000000E-002
16,49,6.2500000000000000E-001
16,54,5.6250000000000000E-001
16,55,1.0000000000000000E+000
16,58,3.7500000000000000E-001
16,60,1.0000000000000000E+000
16,71,1.2500000000000000E-001
16,74,4.3750000000000000E-001
16,76,1.0000000000000000E+000
20,44,4.3750000000000000E-001
20,48,6.2500000000000000E-001
20,55,1.0000000000000000E+000
20,76,1.0000000000000000E+000
20,81,6.2500000000000000E-002
21,29,2.5000000000000000E-001
21,31,1.8750000000000000E-001
21,43,5.0000000000000000E-001
21,55,1.0000000000000000E+000
21,60,1.0000000000000000E+000
21,69,5.0000000000000000E-001
21,76,1.0000000000000000E+000
21,80,6.2500000000000000E-002
22,28,1.2500000000000000E-001
22,60,1.0000000000000000E+000
22,79,1.2500000000000000E-001
25,40,6.2500000000000000E-002
25,55,1.0000000000000000E+000
25,60,1.0000000000000000E+000
25,67,6.8750000000000000E-001
25,76,1.0000000000000000E+000
25,79,8.1250000000000000E-001
26,30,3.1250000000000000E-001
26,45,1.2500000000000000E-001
26,55,1.0000000000000000E+000
26,56,3.7500000000000000E-001
26,60,1.0000000000000000E+000
26,72,1.0000000000000000E+000
26,75,1.8750000000000000E-001
26,76,1.0000000000000000E+000
26,78,6.2500000000000000E-002
28,52,5.6250000000000000E-001
28,55,7.5000000000000000E-001
28,60,1.0000000000000000E+000
28,76,7.5000000000000000E-001
28,79,1.0000000000000000E+000
29,31,1.2500000000000000E-001
29,43,3.1250000000000000E-001
29,49,1.2500000000000000E-001
29,55,1.0000000000000000E+000
29,58,4.3750000000000000E-001
29,60,1.0000000000000000E+000
29,69,4.3750000000000000E-001
29,71,1.2500000000000000E-001
29,76,1.0000000000000000E+000
30,45,1.8750000000000000E-001
30,46,4.3750000000000000E-001
30,55,1.0000000000000000E+000
30,56,6.2500000000000000E-001
30,60,1.0000000000000000E+000
30,72,8.1250000000000000E-001
30,76,1.0000000000000000E+000
31,54,6.2500000000000000E-002
31,55,1.0000000000000000E+000
31,60,1.0000000000000000E+000
31,69,6.2500000000000000E-001
31,71,4.3750000000000000E-001
31,76,1.0000000000000000E+000
32,39,6.2500000000000000E-002
32,54,2.5000000000000000E-001
32,55,1.0000000000000000E+000
