row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"4,9,45,46,55,60,72,76","1","4,45,46",""
2,"5,15,55,60,67,76","1","5,15,67",""
3,"1,55,60,76,79","1","1,79","1"
4,"1,52,55,60,76,79","1","1,52,64",""
5,"38,55,60,68,76","1","38,68",""
6,"4,9,46,55,60,76","1","4,9,18,46",""
7,"55,60,76","1","13,37,57",""
8,"26,55,60,72,76","1","23,26,72",""
9,"","","2","2"
10,"4,9,30,46,55,60,76","1","4,9,18,30,46",""
11,"3,55,60,76,80","1","3,80","3"
12,"45,55,60,76","1","23,45",""
13,"43,60","1","43",""
14,"40,55,60,76","1","37,40",""
15,"36,55,76","1","36",""
16,"55,60,74,76","1","74",""
17,"4,9,30,46,55,60,72,76","1","4,18,30,46","4"
18,"4,9,45,55,56,60,72,76","1","4,45,56",""
19,"5,15,55,60,76,77","1","5,15,77","5"
20,"6,9,55,60,73,76","1","6,35,73","6"
21,"12,38,55,60,68,76","1","12,38,68",""
22,"21,29,43,55,60,69,76","1","21,29,43,69",""
23,"32,55,60,76","1","32,35",""
24,"7,55,60,76","1","7,13,57","7"
25,"8,36,50,55,76","1","8,36,50","8"
26,"55,76","1","17",""
27,"55,63,76","1","17,63",""
28,"9,55,60,76","1","9,18","9"
29,"20,44,48,55,76","1","20,44,48",""
30,"28,60,79","1","28,60",""
31,"6,9,55,59,60,73,76","1","6,59,73",""
32,"31,55,60,76","1","31,57",""
33,"11,42,53,55,76,81","1","11,42,53,81",""
34,"55,65,75,76,78","1","27,55,65,75,78",""
35,"55,60,75,76,78","1","27,75,78",""
36,"21,55,60,69,76","1","21,69",""
37,"60","1","10","10"
38,"9,14,46,55,60,76","1","14,46",""
39,"6,55,60,76","1","6,35",""
40,"5,40,55,60,76,77","1","5,37,40,77",""
41,"55,61,66,76","1","61,62,66",""
42,"7,12,55,60,76,80","1","7,12,80",""
43,"9,14,55,60,73,76","1","14,73",""
44,"21,31,55,60,69,76","1","21,31,69",""
45,"55,60,75,76","1","27,75",""
46,"26,55,60,72,76","1","23,26,72",""
47,"11,42,55,76","1","11,42","11"
48,"38,55,60,68,76","1","38,68",""
49,"9,14,46,55,60,76","1","14,46",""
50,"55,60,76,79","1","51,60",""
51,"45,55,60,72,76","1","45",""
52,"55,76","1","24,34",""
53,"9,14,55,59,60,76","1","9,14,59",""
54,"8,55,61,66,76","1","8,61,66",""
55,"22,28,60,79","1","22,28,41,60,70",""
56,"12,38,55,60,76,80","1","12,38,80","12"
57,"55,60,76","1","13,37","13"
58,"31,54,55,60,71,76","1","10,31,54,71",""
59,"31,55,60,71,76","1","10,31,71",""
60,"55,60,76,79","1","51",""
61,"44,55,76","1","2,44",""
62,"12,55,60,76,77","1","12,13,77",""
63,"6,9,55,60,73,76","1","6,73",""
64,"55,60,76,79","1","51,64",""
65,"5,12,55,60,68,76,77","1","5,12,68,77",""
66,"55,60,76,79","1","51",""
67,"32,55,60,74,76","1","32,35,74",""
68,"20,48,55,76","1","20,48",""
69,"9,14,55,60,76","1","9,14","14"
70,"3,7,55,60,76","1","3,7,57",""
71,"7,12,55,60,76,77","1","7,12,13,77",""
72,"8,36,55,76","1","8,36",""
73,"9,14,55,59,60,76","1","9,14,59",""
74,"20,44,48,55,76","1","20,44,48",""
75,"15,55,60,76","1","15","15"
76,"47,55,76,82","1","19,24,34,47,82",""
77,"16,49,55,60,74,76","1","16,49,74","16"
78,"44,48,55,76","1","2,44,48",""
79,"26,55,60,72,76","1","26,72",""
80,"15,60,68","1","15,68",""
81,"20,44,48,55,76","1","20,44,48",""
82,"55,63,76","1","19,63",""
83,"50,55,61,66,76","1","50,61,62,66",""
84,"39,55,60,76","1","35,39",""
85,"16,55,60,74,76","1","16,74",""
86,"53,55,76","1","53,76",""
87,"55,60,74,76","1","74",""
88,"55,76","1","17","17"
89,"12,38,55,60,76,80","1","12,38,80",""
90,"1,25,55,60,67,76,79","1","1,25,67",""
91,"55,60,76","1","64",""
92,"22,60","1","22,60,70",""
93,"9,55,60,76","1","18","18"
94,"55,65,76,78","1","65,78",""
95,"29,55,58,60,76","1","29,58",""
96,"55,76,82","1","19,82",""
97,"55,60,75,76","1","27,75",""
98,"55,76,82","1","19,82","19"
99,"4,9,45,46,55,56,60,72,76","1","4,45,46,56",""
100,"31,55,60,76","1","10,31",""
101,"20,55,76","1","20,33","20"
102,"36,55,76","1","36",""
103,"3,21,43,55,60,76","1","3,21,43","21"
104,"36,55,76","1","36",""
105,"22,60","1","22","22"
106,"20,55,76","1","20,33,34",""
107,"21,31,55,60,69,76","1","21,31,69",""
108,"45,55,56,60,72,76","1","45,56,72",""
109,"8,50,55,61,76","1","8,50,61",""
110,"60","1","23","23"
111,"6,39,55,60,76","1","6,35,39",""
112,"28,52,55,60,76,79","1","28,41,52,79",""
113,"29,55,58,60,76","1","29,58",""
114,"8,50,55,61,76","1","8,50,61",""
115,"11,20,48,55,76","1","11,20,48",""
116,"44,55,76,81","1","2,44,81",""
117,"55,76,82","1","19,82",""
118,"45,55,56,60,72,76","1","23,45,56,72",""
119,"55,60,76","1","64",""
120,"6,9,39,55,59,60,76","1","6,39,59",""
121,"29,55,58,60,76","1","29,58",""
122,"16,49,54,55,58,60,76","1","16,49,54,58",""
123,"1,25,55,60,67,76,79","1","1,25,67",""
124,"55","1","24","24"
125,"1,40,55,60,76,79","1","1,40",""
126,"1,25,55,60,76,79","1","1,25,64","25"
127,"47,55,76","1","24,47",""
128,"53,55,65,76","1","53,65,76",""
129,"22,60","1","22,60,70",""
130,"5,40,55,60,76","1","5,40",""
131,"55,60,75,76","1","27,75",""
132,"6,9,55,59,60,73,76","1","6,59,73",""
133,"4,9,26,30,55,56,60,72,76","1","4,18,26,30,56",""
134,"9,39,55,59,60,76","1","39,59",""
135,"26,55,60,72,76","1","26","26"
136,"55,76","1","27","27"
137,"16,49,54,55,58,60,76","1","16,49,54,58",""
138,"7,12,55,60,76","1","7,12,13",""
139,"15,55,60,68,76","1","15,68",""
140,"47,55,76,82","1","19,24,34,47,82",""
141,"1,25,55,60,67,76,79","1","1,25,67",""
142,"55,76","1","2,34",""
143,"9,55,60,76","1","9,18",""
144,"38,55,60,68,76","1","38,68",""
145,"4,9,46,55,60,72,76","1","4,46",""
146,"11,55,76","1","11",""
147,"55,76,82","1","33,34,82",""
148,"9,14,39,55,59,60,76","1","9,14,39,59",""
149,"29,43,55,60,76","1","29,43",""
150,"55,60,76","1","64",""
151,"40,55,60,67,76,79","1","40,67",""
152,"15,55,60,68,76","1","15,68",""
153,"3,21,43,55,60,76","1","3,21,43",""
154,"28,55,60,76,79","1","28,41,79","28"
155,"8,50,55,61,76","1","8,50,61,62",""
156,"28,52,55,60,76,79","1","28,51,52",""
157,"26,55,60,72,76","1","26,72",""
158,"52,55,60,76,79","1","51,52,64",""
159,"50,55,61,66,76","1","50,61,62,66",""
160,"29,55,58,60,69,76","1","29,58,69","29"
161,"29,55,58,60,76","1","29,58",""
162,"22,60","1","22,60,70",""
163,"3,21,43,55,60,76,80","1","3,21,43,80",""
164,"9,30,55,60,72,76","1","18,30","30"
165,"6,55,60,76","1","6,35",""
166,"55,65,76,78","1","65,78",""
167,"55,76,82","1","33,34,82",""
168,"20,44,48,55,76","1","2,20,44,48",""
169,"11,55,76","1","11",""
170,"6,9,55,59,60,73,76","1","6,59,73",""
171,"25,55,60,76,79","1","25,64",""
172,"22,60","1","22,41,60,70",""
173,"55,66,76","1","17,66",""
174,"55,76","1","19",""
175,"42,55,76","1","42",""
176,"20,44,48,55,76","1","2,20,44,48",""
177,"55,63,76","1","19,63",""
178,"9,55,60,76","1","9,18",""
179,"31,55,60,76","1","10,31","31"
180,"32,55,60,71,76","1","10,32,71",""
181,"32,55,60,76","1","10,32","32"
182,"55,65,75,76,78","1","27,55,65,75,78",""
183,"29,49,55,58,60,76","1","29,49,58",""
184,"12,55,60,68,76,77","1","12,68,77",""
185,"53,55,76","1","2,53",""
186,"55,63,76","1","17,19,63",""
187,"42,53,55,76","1","42,53,76",""
188,"55,76,82","1","33,82",""
189,"45,55,60,72,76","1","23,45",""
190,"55,76","1","33","33"
191,"4,9,45,46,55,60,72,76","1","4,45,46",""
192,"55,76","1","34","34"
193,"40,55,60,76","1","40",""
194,"8,55,76","1","8",""
195,"32,55,60,76","1","32,35","35"
196,"55,76,82","1","33,34,82",""
197,"36,55,76","1","36","36"
198,"1,25,55,60,67,76,79","1","1,25,67",""
199,"16,49,55,58,60,74,76","1","16,49,58,74",""
200,"55,66,76","1","17,62,66",""
201,"60","1","37","37"
202,"60","1","37",""
203,"39,55,60,76","1","39",""
204,"4,9,30,46,55,60,76","1","4,18,30,46",""
205,"15,25,55,60,67,76","1","15,25,67",""
206,"20,44,55,76","1","2,20,44",""
207,"55,60,72,75,76,78","1","23,75,78",""
208,"53,55,65,76","1","53,55,65,76",""
209,"60,79","1","41,79",""
210,"22,60","1","22,70",""
211,"1,52,55,60,76,79","1","1,52,79",""
212,"43,55,60,76,80","1","43,80",""
213,"22,60","1","22,60,70",""
214,"21,29,55,60,69,76","1","21,29,69",""
215,"49,60","1","49",""
216,"28,60,79","1","28,60",""
217,"36,55,76","1","36",""
218,"55,60,74,76","1","74",""
219,"3,21,43,55,60,76","1","3,21,43",""
220,"25,55,60,76","1","25,64",""
221,"25,55,60,67,76,79","1","25,64,67",""
