row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"42,55,61,68","1","55,61",""
2,"11,27,36,60,68","1","36,60",""
3,"8,11,17,18,25,58,68,72","1","8,18,25,58",""
4,"1,7,11,14,42,68","1","1,14","1"
5,"11,40,53,68","1","40",""
6,"11,20,53,68","1","20",""
7,"11,26,44,47,68,71","1","11,26,37,47,64",""
8,"4,11,17,41,51,54,68,72","1","4,41,54",""
9,"10,11,27,38,68","1","10,27,38",""
10,"2","1","2","2"
11,"11,27,36,51,60,68,73","1","36,60,73",""
12,"2,9,28,68","1","2,9,28",""
13,"11,53,68","1","53",""
14,"11,19,27,51,68,73","1","19,73",""
15,"11,50,68","1","6,46,50,75",""
16,"11,42,56,68","1","42,56",""
17,"3,5,11,22,31,42,68","1","3,5,22,31","3"
18,"11,16,24,44,68","1","15,16,24",""
19,"11,19,27,51,68,73","1","19,73",""
20,"4,11,17,51,68,72","1","4,72",""
21,"11,44,68","1","44",""
22,"11,20,35,45,53,68","1","20,35,45",""
23,"31,68,70","1","31,70",""
24,"4,11,17,51,54,68,72","1","4,54,72",""
25,"7,11,62,68","1","7,62",""
26,"11,13,40,53,68","1","13,40,53",""
27,"4,8,11,17,51,54,68,72","1","4,54,72","4"
28,"11,44,68","1","59",""
29,"11,53,57,68","1","57",""
30,"9,49,68","1","9,49",""
31,"11,39,68","1","39,43",""
32,"11,44,68,71","1","11,71",""
33,"10,11,27,36,65,68","1","10,36,65",""
34,"11,44,68,71","1","68,71",""
35,"11,50,68","1","6,50,75",""
36,"11,39,68","1","39,43",""
37,"11,24,44,68","1","24,29",""
38,"11,31,68,70","1","31,70",""
39,"11,53,68","1","6,46,63",""
40,"7,11,39,68,74","1","39,74",""
41,"42,61,68,69","1","61,69",""
42,"11,32,44,68,71","1","32,68,71",""
43,"5,11,42,68,69","1","5,42,69",""
44,"11,16,24,44,68","1","15,16,24",""
45,"11,19,41,51,68,72","1","19,41,51",""
46,"11,34,42,56,68","1","34,42,56",""
47,"5,11,42,68,69","1","5,42,69","5"
48,"11,17,33,50,68","1","33,50,75",""
49,"11","1","6","6"
50,"7,11,68,74","1","7,74","7"
51,"9,68","1","9",""
52,"11,16,24,44,68","1","16,24",""
53,"9,68","1","9",""
54,"11,33,68","1","33,46,63",""
55,"11,17,33,68","1","33",""
56,"8,11,17,18,68,72","1","8,17,18","8"
57,"11,33,50,68","1","33,46,50,63",""
58,"2,28,30,49,68","1","2,28,30,49",""
59,"11,50,68","1","6,46,50,63",""
60,"69","","69",""
61,"11,21,67,68","1","21,29,66,67",""
62,"11,53,57,68","1","57",""
63,"1,11,14,42,68","1","1,14",""
64,"7,11,53,57,68,74","1","57,74",""
65,"11,13,40,53,68","1","13,40,53",""
66,"11,17,50,68","1","6,50,75",""
67,"22,31,68,70","1","22,31,70",""
68,"9,68,70","1","9,70",""
69,"11,32,44,68,71","1","32,59,68",""
70,"9,68","1","9","9"
71,"11,19,41,51,68","1","19,41,51",""
72,"11,12,68","1","12",""
73,"3,5,11,31,42,56,68","1","3,5,31,56",""
74,"8,11,17,25,58,68","1","8,17,25,58",""
75,"11,14,42,68","1","14",""
76,"10,11,27,65,68","1","10,65","10"
77,"11,44,68,71","1","11,64","11"
78,"11,17,33,50,68","1","33,50,75",""
79,"11,44,68,71","1","44,59,68",""
80,"1,7,11,14,57,68","1","1,7,14,57",""
81,"11,12,51,68","1","12","12"
82,"8,11,17,25,58,68","1","8,17,25,58",""
83,"11,44,68","1","29",""
84,"10,11,27,60,68","1","10,27,60",""
85,"1,7,11,34,62,68","1","1,34,62",""
86,"11,21,67,68","1","21,29,67",""
87,"11,13,53,68","1","13","13"
88,"11,42,68,69","1","42,69",""
89,"7,11,39,68,74","1","39,74",""
90,"1,11,14,42,68","1","1,14",""
91,"11,26,32,44,47,68,71","1","26,32,47",""
92,"11,12,68","1","12",""
93,"11,42,68,69","1","42,69",""
94,"7,11,62,68,74","1","7,62,74",""
95,"11,20,35,45,53,68","1","20,35,45,53",""
96,"53","1","6",""
97,"4,8,11,17,68,72","1","4",""
98,"11,44,68,71","1","44,71",""
99,"11,52,68,70","1","43,52,70",""
100,"7,11,68,74","1","7,74",""
101,"8,11,17,25,68","1","17,25",""
102,"30,49,68","1","30,49",""
103,"11,19,27,51,68,73","1","19,73",""
104,"11,27,68","1","27",""
105,"11,42,68,69","1","42,69",""
106,"11,14,42,68","1","14","14"
107,"11,40,53,68","1","40,63",""
108,"11,32,44,68,71","1","32,59",""
109,"11,21,27,38,67,68","1","21,38,66,67",""
110,"11,35,53,68","1","35",""
111,"4,11,17,41,51,54,68,72","1","4,41,54",""
112,"9,68","1","9",""
113,"42,55,61,68","1","55,61",""
114,"68,70","1","43,70",""
115,"4,11,17,51,54,68,72","1","4,54,72",""
116,"7,11,34,52,62,68","1","34,52,62",""
117,"11,17,58","1","58",""
118,"11,16,44,68","1","15,16,59",""
119,"11,44,68","1","44",""
120,"8,11,17,18,68,72","1","8,18",""
121,"3,5,11,42,55,68","1","3,5,55",""
122,"11,12,68","1","12",""
123,"11,44,68","1","15","15"
124,"55,61,68","1","55,61",""
125,"11,68","1","37,64",""
126,"11,52,68,70","1","43,52,70",""
127,"11,27,60,68","1","27,60",""
128,"11,44,68,71","1","71",""
129,"3,22,42,55,68","1","3,22,55",""
130,"11,16,24,44,68","1","15,16,24","16"
131,"11,40,53,68","1","40,63",""
132,"10,11,27,60,65,68","1","10,27,60,65",""
133,"11,26,44,47,68,71","1","26,37,47,64",""
134,"11","1","29",""
135,"11,16,44,68","1","16,44,59",""
136,"11","1","37,64",""
137,"1,7,11,14,68","1","1,14",""
138,"8,11,17,68","1","17","17"
139,"4,11,17,51,68,72","1","4,72",""
140,"8,11,17,18,58,68,72","1","8,18,58",""
141,"22,30,48,68","1","22,30,48",""
142,"3,5,42,55,68","1","3,5,55",""
143,"7,11,57,68,74","1","7,57,74",""
144,"3,5,11,42,56,68","1","3,5,56",""
145,"11,12,19,51,68,73","1","12,19,51,73",""
146,"8,11,17,18,68,72","1","18","18"
147,"11,20,35,45,53,68","1","20,35,45,53",""
148,"11,20,35,45,53,68","1","20,35,45",""
149,"11,17,33,50,68","1","33,50",""
150,"8,11,17,18,58,68,72","1","8,18,58",""
151,"48,68","1","48",""
152,"11,31,52,68,70","1","31,52,70",""
153,"11,17,33,58,68","1","33,58",""
154,"7,11,57,68","1","7,57",""
155,"11,27,38,68","1","38,66",""
156,"11,32,44,68,71","1","32,68",""
157,"11,51,54,68,72","1","51,54,72",""
158,"11,19,51,68","1","19","19"
159,"11,44,68,71","1","11,71",""
160,"11,31,34,52,68","1","31,34,52",""
161,"4,8,11,17,18,68,72","1","4,18,72",""
162,"11,13,40,53,68","1","6,13,40,46",""
