ensemble_a,ensemble_b,overlap_coefficient
1,2,1.1188811188811189E-001
1,3,1.0000000000000000E+000
1,4,1.0000000000000000E+000
1,5,1.1188811188811189E-001
1,6,1.0000000000000000E+000
1,7,1.1188811188811189E-001
1,8,1.0000000000000000E+000
1,9,1.0000000000000000E+000
1,10,1.1188811188811189E-001
1,11,1.0000000000000000E+000
1,12,1.1188811188811189E-001
1,13,1.1188811188811189E-001
1,14,1.2500000000000000E-001
1,15,1.0000000000000000E+000
1,16,1.0000000000000000E+000
1,17,1.1188811188811189E-001
1,18,1.0000000000000000E+000
1,19,1.1188811188811189E-001
1,20,1.0000000000000000E+000
1,21,1.1188811188811189E-001
1,22,1.0000000000000000E+000
1,23,1.0000000000000000E+000
1,24,1.0000000000000000E+000
1,25,1.0000000000000000E+000
1,26,1.1188811188811189E-001
1,27,1.0000000000000000E+000
1,28,1.0000000000000000E+000
1,29,1.0000000000000000E+000
1,30,1.1188811188811189E-001
1,31,1.0000000000000000E+000
1,32,9.9579831932773111E-001
1,33,1.0000000000000000E+000
1,34,1.0000000000000000E+000
1,35,1.0000000000000000E+000
1,36,1.0000000000000000E+000
1,37,1.0000000000000000E+000
1,38,1.1188811188811189E-001
1,39,9.9727520435967298E-001
1,40,1.0000000000000000E+000
1,41,6.8750000000000000E-001
1,43,1.0000000000000000E+000
1,44,1.1188811188811189E-001
1,45,1.0000000000000000E+000
1,46,1.0000000000000000E+000
1,47,1.0000000000000000E+000
1,48,1.1188811188811189E-001
1,49,1.1188811188811189E-001
1,50,1.0000000000000000E+000
1,51,1.0000000000000000E+000
1,52,1.1267605633802817E-001
1,53,1.0000000000000000E+000
1,55,1.0000000000000000E+000
1,56,1.0000000000000000E+000
2,3,3.4965034965034968E-002
2,4,2.2727272727272728E-002
2,5,1.0000000000000000E+000
2,7,1.0000000000000000E+000
2,8,3.4965034965034968E-002
2,10,1.0000000000000000E+000
2,11,1.3986013986013986E-002
2,12,1.0000000000000000E+000
2,13,1.0000000000000000E+000
2,14,1.0000000000000000E+000
2,16,1.3986013986013986E-002
2,17,1.0000000000000000E+000
2,18,1.3986013986013987E-001
2,19,1.0000000000000000E+000
2,20,1.3986013986013987E-001
2,21,1.0000000000000000E+000
2,22,4.1958041958041960E-002
2,24,3.4965034965034968E-002
2,25,1.3986013986013987E-001
2,26,1.0000000000000000E+000
2,27,3.4965034965034968E-002
2,28,1.1188811188811189E-001
2,29,7.6923076923076927E-002
2,30,1.0000000000000000E+000
2,31,3.1250000000000000E-001
2,32,7.6923076923076927E-002
2,34,2.0979020979020980E-002
2,35,2.0979020979020980E-002
2,36,1.3986013986013986E-002
2,37,3.2786885245901641E-002
2,38,1.0000000000000000E+000
2,39,6.9930069930069935E-002
2,40,1.2587412587412589E-001
2,41,1.0000000000000000E+000
2,42,1.0000000000000000E+000
2,44,1.0000000000000000E+000
2,45,3.4965034965034968E-002
2,46,3.4965034965034968E-002
2,48,1.0000000000000000E+000
2,49,1.0000000000000000E+000
2,50,1.3986013986013986E-002
2,51,4.1958041958041960E-002
2,52,1.0000000000000000E+000
2,53,1.1188811188811189E-001
2,54,1.0000000000000000E+000
2,55,5.0000000000000003E-002
2,56,3.4965034965034968E-002
3,4,1.0000000000000000E+000
3,5,3.4965034965034968E-002
3,6,1.0000000000000000E+000
3,7,3.4965034965034968E-002
3,8,1.0000000000000000E+000
3,9,1.0000000000000000E+000
3,10,3.4965034965034968E-002
3,11,1.0000000000000000E+000
3,12,3.4965034965034968E-002
3,13,3.4965034965034968E-002
3,15,1.0000000000000000E+000
3,16,1.0000000000000000E+000
3,17,3.4965034965034968E-002
3,18,1.0000000000000000E+000
3,19,3.4965034965034968E-002
3,20,1.0000000000000000E+000
3,21,3.4965034965034968E-002
3,22,9.9484536082474229E-001
3,23,1.0000000000000000E+000
3,24,1.0000000000000000E+000
3,25,1.0000000000000000E+000
3,26,3.4965034965034968E-002
3,27,1.0000000000000000E+000
3,28,1.0000000000000000E+000
3,29,1.0000000000000000E+000
3,30,3.4965034965034968E-002
3,31,1.0000000000000000E+000
3,32,9.7478991596638653E-001
3,33,1.0000000000000000E+000
3,34,1.0000000000000000E+000
3,35,1.0000000000000000E+000
3,36,1.0000000000000000E+000
3,37,1.0000000000000000E+000
3,38,3.4965034965034968E-002
3,39,1.0000000000000000E+000
3,40,1.0000000000000000E+000
3,41,6.2500000000000000E-002
3,43,1.0000000000000000E+000
3,44,3.4965034965034968E-002
3,45,1.0000000000000000E+000
3,46,1.0000000000000000E+000
3,47,1.0000000000000000E+000
3,48,3.4965034965034968E-002
3,49,3.4965034965034968E-002
3,50,1.0000000000000000E+000
3,51,1.0000000000000000E+000
3,52,3.5211267605633804E-002
3,53,9.4300518134715028E-001
3,55,9.9166666666666670E-001
3,56,1.0000000000000000E+000
4,5,2.2727272727272728E-002
4,7,2.2727272727272728E-002
4,8,1.0000000000000000E+000
4,10,2.2727272727272728E-002
4,11,1.0000000000000000E+000
4,12,2.2727272727272728E-002
4,13,2.2727272727272728E-002
4,15,9.7727272727272729E-001
4,16,1.0000000000000000E+000
4,17,2.2727272727272728E-002
4,18,1.0000000000000000E+000
4,19,2.2727272727272728E-002
4,20,1.0000000000000000E+000
4,21,2.2727272727272728E-002
4,22,1.0000000000000000E+000
4,23,9.7727272727272729E-001
4,24,1.0000000000000000E+000
4,25,1.0000000000000000E+000
4,26,2.2727272727272728E-002
4,27,1.0000000000000000E+000
4,28,1.0000000000000000E+000
4,29,9.4871794871794868E-001
4,30,2.2727272727272728E-002
4,31,7.5000000000000000E-001
4,32,1.0000000000000000E+000
4,34,1.0000000000000000E+000
4,35,1.0000000000000000E+000
4,36,1.0000000000000000E+000
4,37,1.0000000000000000E+000
4,38,2.2727272727272728E-002
4,39,1.0000000000000000E+000
4,40,1.0000000000000000E+000
4,43,9.7727272727272729E-001
4,44,2.2727272727272728E-002
4,45,1.0000000000000000E+000
4,46,1.0000000000000000E+000
4,47,9.7727272727272729E-001
4,48,2.2727272727272728E-002
