ensemble_a,ensemble_b,overlap_coefficient
1,6,4.3750000000000000E-001
1,10,1.0000000000000000E+000
1,13,5.6250000000000000E-001
1,15,6.2500000000000000E-002
1,29,2.5000000000000000E-001
1,57,2.5000000000000000E-001
1,58,3.7500000000000000E-001
1,62,1.2500000000000000E-001
3,42,1.0000000000000000E+000
3,44,4.3750000000000000E-001
3,46,1.0000000000000000E+000
3,66,1.0000000000000000E+000
5,10,1.0000000000000000E+000
5,20,5.0000000000000000E-001
5,21,3.7500000000000000E-001
5,22,1.0000000000000000E+000
5,24,7.5000000000000000E-001
5,30,1.0000000000000000E+000
5,34,3.1250000000000000E-001
5,38,5.0000000000000000E-001
5,47,3.7500000000000000E-001
5,52,6.2500000000000000E-002
6,10,1.0000000000000000E+000
6,13,2.5000000000000000E-001
6,29,6.2500000000000000E-001
6,57,3.7500000000000000E-001
8,10,1.0000000000000000E+000
8,11,4.3750000000000000E-001
8,20,6.2500000000000000E-002
8,21,6.2500000000000000E-002
8,22,1.0000000000000000E+000
8,23,4.3750000000000000E-001
8,24,1.8750000000000000E-001
8,30,6.2500000000000000E-001
8,37,1.8750000000000000E-001
8,47,2.5000000000000000E-001
8,52,3.1250000000000000E-001
8,59,1.2500000000000000E-001
9,10,1.0000000000000000E+000
9,34,6.2500000000000000E-002
9,48,3.7500000000000000E-001
9,55,7.5000000000000000E-001
9,58,6.2500000000000000E-002
9,59,3.7500000000000000E-001
9,63,1.8750000000000000E-001
10,11,1.0000000000000000E+000
10,13,1.0000000000000000E+000
10,15,1.0000000000000000E+000
10,20,1.0000000000000000E+000
10,21,1.0000000000000000E+000
10,22,5.6398104265402849E-001
10,23,1.0000000000000000E+000
10,24,7.3170731707317072E-001
10,29,9.3750000000000000E-001
10,30,1.0000000000000000E+000
10,34,9.3750000000000000E-001
10,37,1.0000000000000000E+000
10,38,1.0000000000000000E+000
10,40,1.0000000000000000E+000
10,47,1.0000000000000000E+000
10,48,1.0000000000000000E+000
10,52,1.0000000000000000E+000
10,55,1.0000000000000000E+000
10,57,1.0000000000000000E+000
10,58,1.0000000000000000E+000
10,59,1.0000000000000000E+000
10,62,1.0000000000000000E+000
10,63,1.0000000000000000E+000
11,15,3.7500000000000000E-001
11,22,5.6250000000000000E-001
11,23,1.8750000000000000E-001
11,24,1.2500000000000000E-001
11,30,2.5000000000000000E-001
11,37,5.6250000000000000E-001
13,15,3.7500000000000000E-001
13,29,5.6250000000000000E-001
13,58,2.5000000000000000E-001
15,29,2.5000000000000000E-001
15,37,5.0000000000000000E-001
15,63,6.2500000000000000E-002
17,18,1.0000000000000000E+000
17,22,1.0000000000000000E+000
17,24,2.6250000000000001E-001
17,41,1.0000000000000000E+000
17,53,1.0000000000000000E+000
17,68,1.0000000000000000E+000
18,22,1.0000000000000000E+000
18,41,5.6250000000000000E-001
18,68,1.0000000000000000E+000
20,22,1.0000000000000000E+000
20,24,1.0000000000000000E+000
20,30,6.5151515151515149E-001
20,38,1.0000000000000000E+000
20,40,1.0000000000000000E+000
20,47,3.1250000000000000E-001
21,22,8.7500000000000000E-001
21,24,1.2500000000000000E-001
21,30,8.1250000000000000E-001
21,34,6.2500000000000000E-001
21,47,4.3750000000000000E-001
21,52,5.0000000000000000E-001
21,59,6.2500000000000000E-002
22,23,6.2500000000000000E-001
22,24,1.0000000000000000E+000
22,30,1.0000000000000000E+000
22,34,5.6250000000000000E-001
22,37,2.5000000000000000E-001
22,38,1.0000000000000000E+000
22,40,1.0000000000000000E+000
22,41,1.0000000000000000E+000
22,47,1.0000000000000000E+000
22,52,9.3750000000000000E-001
22,53,1.0000000000000000E+000
22,59,2.5000000000000000E-001
22,68,1.0000000000000000E+000
23,30,1.8750000000000000E-001
23,37,3.7500000000000000E-001
23,52,3.7500000000000000E-001
23,59,3.7500000000000000E-001
23,63,2.5000000000000000E-001
24,30,7.4626865671641796E-001
24,34,6.2500000000000000E-002
24,38,1.0000000000000000E+000
24,40,1.0000000000000000E+000
24,47,6.2500000000000000E-001
24,68,1.1666666666666667E-001
30,34,5.6250000000000000E-001
30,38,1.0000000000000000E+000
30,40,8.7500000000000000E-001
30,47,1.0000000000000000E+000
30,52,5.6250000000000000E-001
34,47,1.2500000000000000E-001
34,52,2.5000000000000000E-001
34,59,1.2500000000000000E-001
35,42,9.3750000000000000E-001
35,46,9.3750000000000000E-001
35,66,9.3750000000000000E-001
37,59,6.2500000000000000E-002
37,63,2.5000000000000000E-001
38,47,2.5000000000000000E-001
41,53,3.1250000000000000E-001
41,68,1.0000000000000000E+000
42,44,1.0000000000000000E+000
42,46,1.0000000000000000E+000
42,54,8.7500000000000000E-001
42,65,1.0000000000000000E+000
42,66,1.0000000000000000E+000
44,46,1.0000000000000000E+000
44,66,1.0000000000000000E+000
46,54,8.7500000000000000E-001
46,65,1.0000000000000000E+000
46,66,1.0000000000000000E+000
47,52,3.1250000000000000E-001
48,55,5.6250000000000000E-001
48,58,5.6250000000000000E-001
48,62,6.2500000000000000E-002
48,63,2.5000000000000000E-001
52,59,2.5000000000000000E-001
53,68,1.0000000000000000E+000
54,66,8.7500000000000000E-001
55,58,1.2500000000000000E-001
55,59,1.8750000000000000E-001
55,63,6.2500000000000000E-002
57,62,6.2500000000000000E-001
58,62,1.2500000000000000E-001
58,63,3.1250000000000000E-001
59,63,2.5000000000000000E-001
65,66,1.0000000000000000E+000

