row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"1,10,13","1","1,13","1"
2,"42,46,66","2","2","2"
3,"17,22,53,68","1","53,68",""
4,"10,21,22,30,47,52","1","21,47,52",""
5,"17,22,24","1","39,69",""
6,"17,22,24","1","39,69",""
7,"42,46,66","2","31,45",""
8,"17,22,41,53,68","1","17,41,53",""
9,"3,42,46,66","2","3,16","3"
10,"6,10,29","1","6,29",""
11,"42,46,66","2","2,12,26,66",""
12,"10,63","1","63",""
13,"10,20,22,24,30,40","1","36,40",""
14,"42,46,66","2","2,12,66",""
15,"22,24","1","39",""
16,"10,22,23,37","1","23,37",""
17,"9,10,48,55","1","9,48,55",""
18,"42,46,66","2","28,33",""
19,"42,46,66","2","12,66",""
20,"42,46,66","2","12,66",""
21,"42,46,66","2","43,45,64",""
22,"10,22,24","1","4,24","4"
23,"10,11,15,37","1","11,15,37",""
24,"17,18,22,68","1","17,18,19",""
25,"5,10,22,24,30,34","1","5,34","5"
26,"10,20,22,24","1","36,51",""
27,"17,22,68","1","17,19",""
28,"42,46,66","2","7,61",""
29,"5,10,20,22,24,30,38","1","5,30,38",""
30,"10,11,15,37","1","11,15,37",""
31,"10,20,22,24,30,40","1","20,36,40",""
32,"42,46,54,66","2","50,54",""
33,"42,46,66","2","60,67",""
34,"42,46,66","2","31",""
35,"10,22,24","1","4,22",""
36,"5,10,21,22,24,30,47","1","5,21,47",""
37,"42,46,65,66","2","46,49,65",""
38,"8,10,11,22,23,37","1","8,11,23,37",""
39,"22,24","1","39",""
40,"10,20,22,24,40","1","36,40",""
41,"6,10,29","1","6,29","6"
42,"42,46,66","2","31,49",""
43,"9,10,48,55","1","9,48,55",""
44,"42,46,66","2","7,61","7"
45,"17,18,22,41,68","1","17,18,41",""
46,"10,11,15","1","11,15",""
47,"9,10,48,55","1","9,48,55",""
48,"17,22,24","1","69",""
49,"22,24","1","22",""
50,"10,20,22,24,30","1","56",""
51,"10,23,59","1","10,23,59",""
52,"42,46,66","2","7,61",""
53,"8,10,11,22,30","1","8,11","8"
54,"17,22,68","1","25,27",""
55,"17,22,53,68","1","53,68",""
56,"17,22,53,68","1","53,68",""
57,"17,22,24","1","69",""
58,"1,6,10,13,29","1","1,6,13,29",""
59,"22,24","1","22,39",""
60,"1,6,10,29","1","1,6,29",""
61,"42,46,66","2","28,33",""
62,"5,10,20,22,24,30,38","1","5,30,38",""
63,"10,21,34,59","1","10,21,34,59",""
64,"10,20,22,24,30,40","1","20,40,56",""
65,"10,22,24","1","4,24",""
66,"22,24","1","22,39",""
67,"9,10,59,63","1","9,59,63",""
68,"8,10,22,23,52,59","1","8,23,52,59",""
69,"42,46,65,66","2","42,46,65",""
70,"10,23,59,63","1","23,59,63",""
71,"17,18,22,41,68","1","17,18,41",""
72,"3,42,46,66","2","3",""
73,"9,10,55","1","9,55","9"
74,"17,22,53,68","1","53,68",""
75,"10,34","1","10,34","10"
76,"3,42,46,66","2","3,16,32",""
77,"42,46,54,66","2","43,50,54",""
78,"17,22,24","1","25,69",""
79,"42,46,66","2","14,42,46",""
80,"5,10,20,22,24,30,38,47","1","5,38,47",""
81,"42,46,66","2","32",""
82,"17,22,53,68","1","53,68",""
83,"42,46,66","2","14,46",""
84,"42,44,46,66","2","2,44",""
85,"5,10,21,22,30,34,52","1","5,10,21,34,52",""
86,"42,46,66","2","7,28",""
87,"10,20,22,24","1","24",""
88,"1,10,13,15","1","1,13,15",""
89,"10,20,22,24,30,40","1","20,40",""
90,"8,10,22,23,30,52","1","8,23,52",""
91,"42,46,66","2","7,42,61",""
92,"3,42,46,66","2","3",""
93,"10,58,63","1","58,63",""
94,"10,20,22,24,30","1","30,56",""
95,"10,20,22,24","1","36,51",""
96,"10,20,22,24,30,40","1","20,36,40",""
97,"17,18,22,41,68","1","17,18,41",""
98,"42,46,66","2","45,64",""
99,"10,21,22,30,34,47,52","1","21,34,47,52",""
100,"10,20,22,24,30,40","1","20,40",""
101,"17,22,68","1","25,27",""
102,"10,48,58,63","1","48,58,63",""
103,"42,46,66","2","26",""
104,"42,44,46,66","2","2,26,44",""
105,"10,15,37,63","1","15,37,63",""
106,"8,10,11,22,24,30","1","8,11",""
107,"17,22,24,68","1","25",""
108,"42,46,66","2","7,28,61",""
109,"42,46,66","2","60,67",""
110,"10,20,22,24","1","24,51",""
111,"17,18,22,68","1","17,18,19",""
112,"10,11,22","1","11","11"
113,"1,10,57,62","1","1,57,62",""
114,"10,21,22,52","1","21,52",""
115,"17,18,22,68","1","18,19",""
116,"10,34","1","10,34",""
117,"42,46,66","2","12,66",""
118,"42,46,66","2","28,33",""
119,"42,46,66","2","43,45,64",""
120,"17,18,22,68","1","17,18,19",""
121,"10,48,58,63","1","48,58,63",""
122,"35,42,46,66","2","32,35,60",""
123,"42,46,66","2","33,67",""
124,"6,10,29","1","6,29",""
125,"42,46,66","2","43,45",""
126,"10,21,22,30,34,47,52","1","10,21,34,47,52",""
127,"42,46,66","2","12","12"
128,"42,46,66","2","43,45,64",""
129,"10,13,15,29","1","13,15,29","13"
130,"42,46,66","2","7,42",""
131,"22,24","1","22,39",""
132,"42,46,66","2","16,32",""
133,"42,46,66","2","14","14"
134,"42,46,66","2","43,45,50,64",""
135,"42,46,66","2","7,42,61",""
136,"42,46,66","2","14,49",""
137,"5,10,21,22,30,34","1","5,21,34",""
138,"17,22,24,68","1","25",""
139,"42,46,66","2","12,26,66",""
140,"17,18,22,41,68","1","18,41",""
141,"10,48,58","1","48,58",""
142,"9,10,48,55","1","9,48,55",""
143,"10,20,22,24,30","1","30,56",""
144,"10,15","1","15","15"
145,"42,46,66","2","16","16"
146,"17,22","1","19",""
147,"10,20,22,24","1","24,51",""
148,"10,20,22,24","1","20,36",""
149,"17,22,24,68","1","25",""
150,"17,18,22,41,68","1","17,18,41","17"
151,"6,10,57","1","6,57",""
152,"8,10,11,22,23,30","1","8,11,23",""
153,"17,22,68","1","27",""
154,"10,20,22,24,30,38","1","30,38",""
155,"42,66","2","60",""
156,"42,46,65,66","2","14,46,49,65",""
157,"42,46,66","2","12,66",""
158,"17,18,22,41,68","1","18,19,41","18"
159,"42,46,66","2","43,45,64",""
160,"8,10,22,23,30,52","1","8,23,52",""
161,"17,22","1","19",""
162,"10,22,24","1","4,24",""
163,"42,46,66","2","31",""
