ensemble_a,ensemble_b,overlap_coefficient
2,9,1.0000000000000000E+000
2,11,6.2500000000000000E-001
2,26,5.0000000000000000E-001
2,41,1.2500000000000000E-001
2,46,8.1250000000000000E-001
3,9,1.2500000000000000E-001
3,20,1.0000000000000000E+000
3,38,4.3750000000000000E-001
6,20,1.0000000000000000E+000
6,55,2.5000000000000000E-001
6,57,1.8750000000000000E-001
9,11,1.0000000000000000E+000
9,15,9.3750000000000000E-001
9,18,1.0000000000000000E+000
9,20,1.7582417582417584E-001
9,24,1.0000000000000000E+000
9,26,1.0000000000000000E+000
9,27,4.3750000000000000E-001
9,38,3.7500000000000000E-001
9,41,1.0000000000000000E+000
9,46,1.0000000000000000E+000
9,58,5.6250000000000000E-001
10,21,1.2500000000000000E-001
10,27,3.1250000000000000E-001
10,39,3.1250000000000000E-001
10,58,3.1250000000000000E-001
10,62,5.6250000000000000E-001
11,24,6.2500000000000000E-002
11,26,3.7500000000000000E-001
11,41,4.3750000000000000E-001
11,46,9.3750000000000000E-001
14,20,1.0000000000000000E+000
14,59,1.8750000000000000E-001
15,18,2.5000000000000000E-001
15,24,5.6250000000000000E-001
15,41,4.3750000000000000E-001
15,46,8.7500000000000000E-001
15,58,1.8750000000000000E-001
17,20,1.0000000000000000E+000
17,55,1.0000000000000000E+000
17,56,2.5000000000000000E-001
17,57,1.2500000000000000E-001
18,24,4.3750000000000000E-001
18,27,1.2500000000000000E-001
18,41,1.2500000000000000E-001
18,46,5.6250000000000000E-001
18,58,3.1250000000000000E-001
20,21,1.8750000000000000E-001
20,38,1.0000000000000000E+000
20,43,1.0000000000000000E+000
20,55,7.8181818181818186E-001
20,56,1.0000000000000000E+000
20,57,1.0000000000000000E+000
20,59,1.0000000000000000E+000
20,67,6.2500000000000000E-002
21,39,6.2500000000000000E-002
21,55,2.5000000000000000E-001
21,58,1.8750000000000000E-001
21,62,6.2500000000000000E-002
21,65,6.2500000000000000E-002
21,67,6.2500000000000000E-002
24,41,5.0000000000000000E-001
24,46,7.5000000000000000E-001
24,58,1.2500000000000000E-001
26,41,1.8750000000000000E-001
26,46,8.1250000000000000E-001
27,58,2.5000000000000000E-001
27,62,2.5000000000000000E-001
35,39,3.1250000000000000E-001
35,52,5.6250000000000000E-001
35,55,1.2500000000000000E-001
35,65,2.5000000000000000E-001
35,67,4.3750000000000000E-001
39,52,4.3750000000000000E-001
39,62,3.1250000000000000E-001
39,67,1.2500000000000000E-001
41,46,1.0000000000000000E+000
43,59,6.2500000000000000E-002
46,58,6.2500000000000000E-002
52,62,2.5000000000000000E-001
52,65,4.3750000000000000E-001
52,67,1.2500000000000000E-001
55,56,5.6250000000000000E-001
55,57,1.0000000000000000E+000
55,65,1.8750000000000000E-001
55,67,5.6250000000000000E-001
58,62,6.2500000000000000E-002
62,65,2.5000000000000000E-001
65,67,3.1250000000000000E-001

