row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"1,5,9,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,56,65,66,67","1","9,25,49",""
2,"1,5,9,10,12,14,15,18,19,20,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,56,65,66,67","1","1","1"
3,"1,9,15,21,24,25,27,29,30,33,34,38,39,43,44,45,49,51,52,65,66,67","1","2,67","2"
4,"1,5,9,10,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,56,65,66,67","1","27,38",""
5,"1,4,5,9,10,11,12,14,15,18,19,21,22,24,25,27,29,30,33,34,38,39,40,42,43,44,45,49,51,52,53,54,56,57,59,63,65,66,67","1","57,59",""
6,"3,17,31,37,48,53,55,58","1","3,48,55,58","3"
7,"1,5,9,10,12,14,15,18,19,20,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,47,49,51,52,53,54,62,65,66,67","1","5,10,20",""
8,"1,4,5,9,10,11,12,15,17,18,19,21,22,24,25,27,29,30,33,34,38,40,42,43,44,45,49,51,52,53,54,56,57,59,63,65,66,67","1","4","4"
9,"1,5,9,10,12,14,15,18,19,20,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,47,49,51,52,53,54,56,59,62,65,66,67","1","5,14",""
10,"8,17,36,46,53","1","8,46",""
11,"1,5,9,10,12,14,15,18,19,20,21,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,53,65,66,67","1","10,15",""
12,"1,9,18,21,22,24,25,27,29,30,33,34,38,39,43,44,45,49,52,65,66,67","1","66",""
13,"3,7,17,31,37,41,48,50,53,58","1","31,37,41,48,50",""
14,"1,9,12,18,21,22,24,25,27,29,30,33,34,38,39,43,44,45,49,51,52,65,66,67","1","33,34,45,66",""
15,"1,5,9,10,12,14,15,18,19,20,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,47,49,51,52,53,54,56,59,62,65,66,67","1","5,14","5"
16,"1,4,5,9,11,12,17,18,21,22,24,25,27,29,30,33,34,38,42,43,44,45,49,51,52,53,54,56,57,59,63,65,66,67","1","4,63",""
17,"1,5,9,10,12,14,15,17,18,19,20,21,24,25,27,29,30,33,34,38,39,40,42,43,44,45,47,49,51,52,53,62,64,65,66,67","1","20",""
18,"7,17,23,26,31,37,48,53","1","23,26",""
19,"8,17,28,36,46,53","1","36",""
20,"1,9,18,21,22,24,25,27,29,30,33,34,38,39,43,44,45,49,52,65,66,67","1","33,66",""
21,"1,5,9,10,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,65,66,67","1","30,39,44",""
22,"1,5,9,10,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,65,66,67","1","43",""
23,"1,9,10,12,15,18,19,21,24,25,27,29,30,33,34,38,39,43,44,45,49,51,52,65,66,67","1","39,67",""
24,"1,5,9,10,12,14,15,18,19,20,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,53,54,61,65,66,67","1","15,51,61",""
25,"3,17,37,48,53,55,58","1","3,55,58",""
26,"1,9,11,12,18,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,53,54,56,57,59,65,66,67","1","11,56",""
27,"7,17,28,32,36,53","1","17,28,32",""
28,"1,9,12,18,21,22,24,25,27,29,30,33,34,38,39,43,44,45,49,52,65,66,67","1","33,45,66",""
29,"1,5,9,10,12,14,15,18,19,20,21,24,25,27,29,30,33,34,38,39,42,43,44,45,47,49,51,52,53,54,65,66,67","1","10,15,19",""
30,"1,5,6,10,12,14,15,17,19,20,29,30,39,44,47,51,52,53,62,64,67","1","6","6"
31,"1,9,11,12,18,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,56,57,59,65,66,67","1","18",""
32,"3,17,37,53,58","1","58",""
33,"7,17,28,31,37,53","1","7","7"
34,"1,9,15,18,21,24,25,27,29,30,33,34,38,39,43,44,45,49,51,52,65,66,67","1","2",""
35,"8,17,36,46,53","1","8","8"
36,"1,5,9,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,56,65,66,67","1","9,25,65","9"
37,"1,5,9,10,12,14,15,17,18,19,20,21,22,24,25,27,29,30,33,34,38,39,40,42,43,44,45,47,49,51,52,53,54,56,59,62,65,66,67","1","40,62",""
38,"3,4,11,17,18,29,31,33,37,41,43,45,48,50,53,59","1","41,48,50",""
39,"17,28,36,53","1","17",""
40,"7,17,28,32,36,53","1","28,32",""
41,"1,5,9,10,12,14,15,18,19,20,21,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,53,62,65,66,67","1","10,15","10"
42,"1,5,9,10,12,14,15,17,19,20,21,25,27,29,30,33,34,38,39,40,42,43,44,45,47,49,51,52,53,62,64,67","1","47,64",""
43,"17,28,35,36,53","1","17,35,36",""
44,"1,9,11,12,18,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,53,54,56,57,59,63,65,66","1","11","11"
45,"1,9,18,21,22,24,25,27,29,30,33,34,38,39,43,44,45,49,52,65,66,67","1","33,34,45,66",""
46,"1,5,9,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,56,65,66,67","1","9,25,49",""
47,"1,5,9,10,12,14,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,56,59,65,66,67","1","29",""
48,"1,5,9,11,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,53,54,56,57,59,65,66,67","1","56",""
49,"1,9,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,43,44,45,49,51,52,65,66,67","1","2,21",""
50,"1,4,5,9,10,11,12,14,15,18,19,20,21,22,24,25,27,29,30,33,34,38,39,40,42,43,44,45,47,49,51,52,53,54,56,57,59,62,65,66,67","1","40,59",""
51,"1,5,6,9,10,12,14,15,17,19,20,21,29,30,34,38,39,40,42,43,44,45,47,49,51,52,53,62,64,67","1","6,64",""
52,"1,5,9,10,12,14,15,18,19,20,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,47,49,51,52,53,54,56,59,62,65,66,67","1","5,12,14",""
53,"8,17,36,46,53","1","8,36,46",""
54,"1,5,9,10,12,14,15,18,19,20,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,47,49,51,52,53,54,56,59,62,65,66,67","1","5,12,14",""
55,"1,5,9,10,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,65,66,67","1","30",""
56,"7,17,28,36,53","1","28",""
57,"7,17,28,37,53","1","7,28",""
58,"7,17,28,36,53","1","17,28",""
59,"1,9,12,15,18,19,21,22,24,25,27,29,30,33,34,38,39,43,44,45,49,51,52,65,66,67","1","2,21,52",""
60,"1,5,9,12,18,21,22,24,25,27,29,30,33,34,38,39,42,43,44,45,49,51,52,54,56,65,66,67","1","18,24",""
61,"7,17,23,31,37,41,48,53","1","23,31,41",""
62,"7,17,23,26,31,37,41,48,53","1","23,26,41",""
63,"1,5,9,10,12,15,18,19,21,24,25,27,29,30,33,34,38,39,43,44,45,49,51,52,61,65,66,67","1","61",""
