ensemble_a,ensemble_b,overlap_coefficient
1,12,2.5000000000000000E-001
1,15,1.2500000000000000E-001
1,34,5.6250000000000000E-001
1,45,3.7500000000000000E-001
1,46,5.6250000000000000E-001
1,64,2.5000000000000000E-001
2,24,1.2500000000000000E-001
2,28,1.8750000000000000E-001
2,38,4.3750000000000000E-001
2,60,5.0000000000000000E-001
2,79,5.0000000000000000E-001
2,80,2.5000000000000000E-001
7,9,3.7500000000000000E-001
7,13,6.2500000000000000E-001
7,71,4.3750000000000000E-001
9,13,6.2500000000000000E-001
9,71,2.5000000000000000E-001
10,38,3.1250000000000000E-001
10,79,4.3750000000000000E-001
11,18,1.2500000000000000E-001
11,21,5.6250000000000000E-001
11,29,1.0000000000000000E+000
11,35,1.8750000000000000E-001
11,43,5.0000000000000000E-001
11,54,5.6250000000000000E-001
12,34,6.2500000000000000E-002
12,46,9.3750000000000000E-001
12,49,4.3750000000000000E-001
13,71,5.0000000000000000E-001
15,34,1.2500000000000000E-001
15,44,3.7500000000000000E-001
15,45,4.3750000000000000E-001
15,61,5.6250000000000000E-001
15,64,2.5000000000000000E-001
15,78,6.2500000000000000E-002
18,21,1.2500000000000000E-001
18,29,3.7500000000000000E-001
18,37,6.2500000000000000E-002
18,39,2.5000000000000000E-001
18,51,4.3750000000000000E-001
18,54,4.3750000000000000E-001
21,29,1.0000000000000000E+000
21,37,1.2500000000000000E-001
21,43,1.2500000000000000E-001
21,51,1.2500000000000000E-001
21,54,6.2500000000000000E-001
22,46,7.5000000000000000E-001
22,49,5.0000000000000000E-001
22,67,1.8750000000000000E-001
23,40,5.0000000000000000E-001
23,52,4.3750000000000000E-001
23,74,5.6250000000000000E-001
23,75,7.5000000000000000E-001
24,28,9.3750000000000000E-001
24,30,1.0000000000000000E+000
24,32,1.0000000000000000E+000
24,41,5.6250000000000000E-001
24,47,7.5000000000000000E-001
24,50,5.6250000000000000E-001
24,55,1.2500000000000000E-001
24,59,8.7500000000000000E-001
24,63,1.0000000000000000E+000
24,73,6.2500000000000000E-001
24,80,8.1250000000000000E-001
27,56,7.5000000000000000E-001
28,30,1.2500000000000000E-001
28,32,4.3750000000000000E-001
28,59,5.0000000000000000E-001
28,60,6.2500000000000000E-002
28,80,6.8750000000000000E-001
29,31,6.8750000000000000E-001
29,35,1.0000000000000000E+000
29,37,1.2500000000000000E-001
29,43,1.0000000000000000E+000
29,51,1.8750000000000000E-001
29,54,9.3750000000000000E-001
29,70,1.0000000000000000E+000
30,32,6.2500000000000000E-001
30,47,1.2500000000000000E-001
30,59,3.7500000000000000E-001
30,63,1.8750000000000000E-001
30,73,1.2500000000000000E-001
31,35,6.2500000000000000E-002
31,70,3.1250000000000000E-001
32,59,6.2500000000000000E-001
32,80,2.5000000000000000E-001
34,45,3.7500000000000000E-001
34,46,6.8750000000000000E-001
34,64,1.2500000000000000E-001
35,43,3.1250000000000000E-001
35,70,5.0000000000000000E-001
37,39,4.3750000000000000E-001
37,51,5.6250000000000000E-001
37,57,1.8750000000000000E-001
38,60,1.8750000000000000E-001
38,79,5.6250000000000000E-001
39,51,4.3750000000000000E-001
39,57,4.3750000000000000E-001
40,74,3.7500000000000000E-001
40,75,2.5000000000000000E-001
41,47,5.0000000000000000E-001
41,50,6.2500000000000000E-001
41,55,5.6250000000000000E-001
41,63,5.6250000000000000E-001
41,67,6.2500000000000000E-002
41,73,3.1250000000000000E-001
43,54,1.2500000000000000E-001
44,45,4.3750000000000000E-001
44,61,4.3750000000000000E-001
44,64,5.6250000000000000E-001
44,78,6.2500000000000000E-002
45,46,1.2500000000000000E-001
45,61,6.2500000000000000E-002
45,64,6.2500000000000000E-001
46,49,1.0000000000000000E+000
47,50,1.8750000000000000E-001
47,55,3.7500000000000000E-001
47,63,6.2500000000000000E-001
47,67,6.2500000000000000E-002
47,73,6.8750000000000000E-001
50,55,3.7500000000000000E-001
50,63,4.3750000000000000E-001
51,54,1.2500000000000000E-001
52,74,2.5000000000000000E-001
52,75,4.3750000000000000E-001
55,63,1.2500000000000000E-001
55,67,3.7500000000000000E-001
55,73,1.8750000000000000E-001
59,60,6.2500000000000000E-002
59,80,2.5000000000000000E-001
60,79,3.1250000000000000E-001
61,64,1.2500000000000000E-001
61,78,3.7500000000000000E-001
63,73,5.0000000000000000E-001
66,71,3.7500000000000000E-001
67,73,6.2500000000000000E-002
74,75,8.1250000000000000E-001

