ensemble_a,ensemble_b,overlap_coefficient
1,2,1.0000000000000000E+000
1,3,1.0000000000000000E+000
1,6,1.0000000000000000E+000
1,9,1.0000000000000000E+000
1,10,1.0000000000000000E+000
1,11,1.0000000000000000E+000
1,13,1.0000000000000000E+000
1,14,1.0000000000000000E+000
1,15,1.0000000000000000E+000
1,18,1.0000000000000000E+000
1,26,1.0000000000000000E+000
1,28,1.0000000000000000E+000
1,29,1.0000000000000000E+000
1,30,1.0000000000000000E+000
1,31,1.0000000000000000E+000
1,33,1.0000000000000000E+000
1,34,1.0000000000000000E+000
1,35,1.0000000000000000E+000
1,37,1.0000000000000000E+000
1,39,1.0000000000000000E+000
1,42,1.0000000000000000E+000
1,44,1.0000000000000000E+000
1,46,1.0000000000000000E+000
1,47,1.0000000000000000E+000
1,48,1.0000000000000000E+000
1,49,1.0000000000000000E+000
1,50,1.0000000000000000E+000
1,51,1.0000000000000000E+000
1,53,1.0000000000000000E+000
1,55,1.0000000000000000E+000
2,3,1.0000000000000000E+000
2,6,1.0000000000000000E+000
2,8,1.0000000000000000E+000
2,9,1.0000000000000000E+000
2,10,1.0000000000000000E+000
2,11,1.0000000000000000E+000
2,13,1.0000000000000000E+000
2,14,1.0000000000000000E+000
2,15,1.0000000000000000E+000
2,17,1.0000000000000000E+000
2,18,1.0000000000000000E+000
2,19,1.0000000000000000E+000
2,24,1.0000000000000000E+000
2,26,1.0000000000000000E+000
2,28,1.0000000000000000E+000
2,29,1.0000000000000000E+000
2,30,1.0000000000000000E+000
2,31,1.0000000000000000E+000
2,32,1.0000000000000000E+000
2,33,1.0000000000000000E+000
2,34,1.0000000000000000E+000
2,35,1.0000000000000000E+000
2,37,1.0000000000000000E+000
2,38,1.0000000000000000E+000
2,39,1.0000000000000000E+000
2,42,1.0000000000000000E+000
2,44,1.0000000000000000E+000
2,45,1.0000000000000000E+000
2,46,1.0000000000000000E+000
2,47,1.0000000000000000E+000
2,48,1.0000000000000000E+000
2,49,1.0000000000000000E+000
2,50,1.0000000000000000E+000
2,51,1.0000000000000000E+000
2,53,1.0000000000000000E+000
2,54,1.0000000000000000E+000
2,55,1.0000000000000000E+000
3,6,1.0000000000000000E+000
3,8,1.0000000000000000E+000
3,9,1.0000000000000000E+000
3,10,1.0000000000000000E+000
3,11,1.0000000000000000E+000
3,13,1.0000000000000000E+000
3,14,1.0000000000000000E+000
3,15,1.0000000000000000E+000
3,17,1.0000000000000000E+000
3,18,1.0000000000000000E+000
3,19,1.0000000000000000E+000
3,24,1.0000000000000000E+000
3,26,1.0000000000000000E+000
3,28,1.0000000000000000E+000
3,29,1.0000000000000000E+000
3,30,1.0000000000000000E+000
3,31,1.0000000000000000E+000
3,32,1.0000000000000000E+000
3,33,1.0000000000000000E+000
3,34,1.0000000000000000E+000
3,35,1.0000000000000000E+000
3,37,1.0000000000000000E+000
3,38,1.0000000000000000E+000
3,39,1.0000000000000000E+000
3,42,1.0000000000000000E+000
3,44,1.0000000000000000E+000
3,45,1.0000000000000000E+000
3,46,1.0000000000000000E+000
3,47,1.0000000000000000E+000
3,48,1.0000000000000000E+000
3,49,1.0000000000000000E+000
3,50,1.0000000000000000E+000
3,51,1.0000000000000000E+000
3,53,1.0000000000000000E+000
3,54,1.0000000000000000E+000
3,55,1.0000000000000000E+000
5,7,1.0000000000000000E+000
5,12,1.0000000000000000E+000
5,20,1.0000000000000000E+000
5,21,1.0000000000000000E+000
5,22,1.0000000000000000E+000
5,25,1.0000000000000000E+000
5,27,1.0000000000000000E+000
5,36,1.0000000000000000E+000
5,40,1.0000000000000000E+000
5,43,1.0000000000000000E+000
5,52,1.0000000000000000E+000
6,8,1.0000000000000000E+000
6,9,1.0000000000000000E+000
6,10,1.0000000000000000E+000
6,11,1.0000000000000000E+000
6,13,1.0000000000000000E+000
6,14,1.0000000000000000E+000
6,15,1.0000000000000000E+000
6,17,1.0000000000000000E+000
6,18,1.0000000000000000E+000
6,19,1.0000000000000000E+000
6,24,1.0000000000000000E+000
6,26,1.0000000000000000E+000
6,28,1.0000000000000000E+000
6,29,1.0000000000000000E+000
6,30,1.0000000000000000E+000
6,31,1.0000000000000000E+000
6,32,1.0000000000000000E+000
6,33,1.0000000000000000E+000
6,34,1.0000000000000000E+000
6,35,1.0000000000000000E+000
6,37,1.0000000000000000E+000
6,38,1.0000000000000000E+000
6,39,1.0000000000000000E+000
6,42,1.0000000000000000E+000
6,44,1.0000000000000000E+000
6,45,1.0000000000000000E+000
6,46,1.0000000000000000E+000
6,47,1.0000000000000000E+000
6,48,1.0000000000000000E+000
6,49,1.0000000000000000E+000
6,50,1.0000000000000000E+000
6,51,1.0000000000000000E+000
6,53,1.0000000000000000E+000
6,54,1.0000000000000000E+000
6,55,1.0000000000000000E+000
7,12,1.0000000000000000E+000
7,20,1.0000000000000000E+000
7,21,1.0000000000000000E+000
7,22,1.0000000000000000E+000
7,25,1.0000000000000000E+000
7,27,1.0000000000000000E+000
7,36,1.0000000000000000E+000
7,40,1.0000000000000000E+000
7,43,1.0000000000000000E+000
7,52,1.0000000000000000E+000
8,9,1.0000000000000000E+000
8,10,1.0000000000000000E+000
8,11,1.0000000000000000E+000
8,13,1.0000000000000000E+000
8,14,1.0000000000000000E+000
8,15,1.0000000000000000E+000
8,17,1.0000000000000000E+000
8,18,1.0000000000000000E+000
8,19,1.0000000000000000E+000
8,24,1.0000000000000000E+000
8,26,1.0000000000000000E+000
8,28,1.0000000000000000E+000
8,29,1.0000000000000000E+000
8,30,1.0000000000000000E+000
8,31,1.0000000000000000E+000
8,32,1.0000000000000000E+000
8,33,1.0000000000000000E+000
8,34,1.0000000000000000E+000
8,35,1.0000000000000000E+000
8,37,1.0000000000000000E+000
8,38,1.0000000000000000E+000
8,42,1.0000000000000000E+000
8,44,1.0000000000000000E+000
8,45,1.0000000000000000E+000
8,46,1.0000000000000000E+000
8,47,1.0000000000000000E+000
8,48,1.0000000000000000E+000
8,49,1.0000000000000000E+000
8,50,1.0000000000000000E+000
8,51,1.0000000000000000E+000
8,53,1.0000000000000000E+000
8,54,1.0000000000000000E+000
8,55,1.0000000000000000E+000
9,10,1.0000000000000000E+000
9,11,1.0000000000000000E+000
9,13,1.0000000000000000E+000
9,14,1.0000000000000000E+000
9,15,1.0000000000000000E+000
9,17,1.0000000000000000E+000
9,18,1.0000000000000000E+000
9,19,1.0000000000000000E+000
9,24,1.0000000000000000E+000
9,26,1.0000000000000000E+000
9,28,1.0000000000000000E+000
9,29,1.0000000000000000E+000
9,30,1.0000000000000000E+000
9,31,1.0000000000000000E+000
9,32,1.0000000000000000E+000
9,33,1.0000000000000000E+000
9,34,1.0000000000000000E+000
9,35,1.0000000000000000E+000
9,37,1.0000000000000000E+000
9,38,1.0000000000000000E+000
9,39,1.0000000000000000E+000
9,42,1.0000000000000000E+000
9,44,1.0000000000000000E+000
9,45,1.0000000000000000E+000
9,46,1.0000000000000000E+000
9,47,1.0000000000000000E+000
9,48,1.0000000000000000E+000
9,49,1.0000000000000000E+000
9,50,1.0000000000000000E+000
9,51,1.0000000000000000E+000
9,53,1.0000000000000000E+000
9,54,1.0000000000000000E+000
9,55,1.0000000000000000E+000
10,11,1.0000000000000000E+000
10,13,1.0000000000000000E+000
10,14,1.0000000000000000E+000
10,15,1.0000000000000000E+000
10,17,1.0000000000000000E+000
10,18,1.0000000000000000E+000
10,19,1.0000000000000000E+000
10,24,1.0000000000000000E+000
10,26,1.0000000000000000E+000
10,28,1.0000000000000000E+000
10,29,1.0000000000000000E+000
