row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","1,42","1"
2,"2,3,6,8,9,10,11,13,14,15,17,18,19,26,28,29,30,31,32,33,34,35,37,38,42,44,46,47,48,49,50,51,53,54,55","1","8,38",""
3,"2,3,6,8,9,10,11,13,14,15,17,18,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","14,49",""
4,"2,3,6,8,9,10,11,13,14,15,17,18,24,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","2","2"
5,"5,7,12,20,21,22,25,27,36,40,43,52","2","12,27",""
6,"5,7,12,20,21,22,25,27,36,40,43,52","2","12,27",""
7,"5,7,12,20,21,22,25,27,36,40,43,52","2","36",""
8,"2,3,6,8,9,10,11,13,14,15,17,18,19,26,28,29,30,31,32,33,34,35,37,38,42,44,46,47,48,49,50,51,53,54,55","1","18,41",""
9,"2,3,6,8,9,10,11,13,14,15,17,18,24,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","2,6",""
10,"2,3,6,8,9,10,11,13,14,15,17,18,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","3","3"
11,"5,7,12,20,21,22,25,27,36,40,43,52","2","43,52",""
12,"2,3,6,8,9,10,11,13,14,15,17,18,19,26,28,29,30,31,32,33,34,35,37,38,42,44,46,47,48,49,50,51,53,54,55","1","30,46",""
13,"2,3,6,8,9,10,11,13,14,15,17,18,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","35",""
14,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","4","4"
15,"5,7,12,20,21,22,25,27,36,40,43,52","2","5,27,56","5"
16,"5,7,12,20,21,22,25,27,36,40,43,52","2","5,56",""
17,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","9,31",""
18,"2,3,6,8,9,10,11,13,14,15,17,18,24,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","53",""
19,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","47",""
20,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","31",""
21,"2,3,6,8,9,10,11,13,14,15,17,18,24,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","2,6",""
22,"5,7,12,20,21,22,25,27,36,40,43,52","2","12",""
23,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","31,55",""
24,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","1,11,34",""
25,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","16,47",""
26,"2,3,6,8,9,10,11,13,14,15,17,18,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","50",""
27,"5,7,12,20,21,22,25,27,36,40,43,52","2","4,56",""
28,"2,3,6,8,9,10,11,13,14,15,17,18,24,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","32,53",""
29,"2,3,6,8,9,10,11,13,14,15,17,18,24,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","2",""
30,"5,7,12,20,21,22,25,27,36,40,43,52","2","36,40",""
31,"2,3,6,8,9,10,11,13,14,15,17,18,24,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","6","6"
32,"5,7,12,20,21,22,25,27,36,40,43,52","2","5,27,56",""
33,"5,7,12,20,21,22,25,27,36,40,43,52","2","7","7"
34,"2,3,6,8,9,10,11,13,14,15,17,18,19,26,28,29,30,31,32,33,34,35,37,38,42,44,46,47,48,49,50,51,53,54,55","1","8","8"
35,"2,3,6,8,9,10,11,13,14,15,17,18,19,26,28,29,30,31,32,33,34,35,37,38,42,44,46,47,48,49,50,51,53,54,55","1","30,46",""
36,"2,3,6,8,9,10,11,13,14,15,17,18,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","13,35",""
37,"1,2,3,6,9,10,11,13,14,15,18,26,28,29,30,31,33,34,35,37,42,44,46,47,48,49,50,51,53,55","1","9,31",""
38,"5,7,12,20,21,22,25,27,36,40,43,52","2","20",""
39,"2,3,6,8,9,10,11,13,14,15,17,18,26,28,29,30,31,32,33,34,35,37,38,42,44,45,46,47,48,49,50,51,53,55","1","44",""
