ensemble_a,ensemble_b,overlap_coefficient
1,2,8.1250000000000000E-001
1,3,8.1250000000000000E-001
1,4,6.8750000000000000E-001
1,5,6.8750000000000000E-001
1,57,5.6250000000000000E-001
1,60,6.8750000000000000E-001
1,66,6.8750000000000000E-001
1,67,8.7500000000000000E-001
1,71,1.2500000000000000E-001
2,3,1.0000000000000000E+000
2,4,8.4375000000000000E-001
2,5,9.5433789954337900E-001
2,6,1.0000000000000000E+000
2,7,1.0000000000000000E+000
2,8,1.0000000000000000E+000
2,9,1.0000000000000000E+000
2,10,5.9999999999999998E-001
2,13,2.6732673267326734E-001
2,14,2.5961538461538464E-001
2,15,3.5365853658536583E-001
2,16,3.6666666666666664E-001
2,17,3.4210526315789475E-001
2,18,2.5961538461538464E-001
2,19,2.7619047619047621E-001
2,20,3.4188034188034189E-001
2,21,1.2643678160919541E-001
2,22,2.0869565217391303E-001
2,23,6.2500000000000000E-002
2,24,2.5000000000000000E-001
2,26,1.0734463276836158E-001
2,27,4.2105263157894736E-002
2,32,2.2943722943722944E-001
2,36,2.3121387283236993E-002
2,46,1.0000000000000000E+000
2,47,8.7500000000000000E-001
2,48,3.0645161290322581E-001
2,49,1.0000000000000000E+000
2,50,1.0000000000000000E+000
2,51,1.0000000000000000E+000
2,52,1.0000000000000000E+000
2,53,1.0000000000000000E+000
2,54,1.0000000000000000E+000
2,55,1.0000000000000000E+000
2,56,1.0000000000000000E+000
2,57,9.7183098591549300E-001
2,58,3.1250000000000000E-001
2,59,1.0000000000000000E+000
2,60,9.5433789954337900E-001
2,61,1.0000000000000000E+000
2,62,6.2500000000000000E-002
2,63,1.0000000000000000E+000
2,64,1.0000000000000000E+000
2,65,9.3750000000000000E-001
2,66,8.3842794759825323E-001
2,67,9.9567099567099571E-001
2,68,6.8750000000000000E-001
2,70,1.0000000000000000E+000
2,71,1.0000000000000000E+000
2,72,3.1250000000000000E-001
2,73,1.0000000000000000E+000
2,75,3.1250000000000000E-001
2,76,1.0000000000000000E+000
2,77,9.3750000000000000E-001
2,78,8.1250000000000000E-001
2,79,1.0000000000000000E+000
2,80,9.3750000000000000E-001
3,4,9.0243902439024393E-001
3,5,9.5121951219512191E-001
3,52,6.2500000000000000E-002
3,57,8.5365853658536583E-001
3,60,9.5121951219512191E-001
3,66,9.0243902439024393E-001
3,67,1.0000000000000000E+000
3,71,1.0000000000000000E+000
3,73,3.7500000000000000E-001
4,5,9.0867579908675800E-001
4,6,1.0000000000000000E+000
4,7,1.0000000000000000E+000
4,8,1.0000000000000000E+000
4,9,1.0000000000000000E+000
4,10,8.1428571428571428E-001
4,12,4.3750000000000000E-001
4,13,4.1584158415841582E-001
4,14,4.0384615384615385E-001
4,15,5.3658536585365857E-001
4,16,4.9166666666666664E-001
4,17,4.7368421052631576E-001
4,18,4.0384615384615385E-001
4,19,4.1904761904761906E-001
4,20,4.7008547008547008E-001
4,21,2.9885057471264370E-001
4,22,2.5446428571428570E-001
4,24,1.0000000000000000E+000
4,25,6.8750000000000000E-001
4,26,1.9774011299435029E-001
4,27,1.2631578947368421E-001
4,29,2.5000000000000000E-001
4,31,1.2345679012345678E-001
4,32,2.7678571428571430E-001
4,33,1.2121212121212122E-001
4,36,1.3872832369942195E-001
4,46,7.5000000000000000E-001
4,47,1.0000000000000000E+000
4,48,2.9032258064516131E-001
4,49,1.0000000000000000E+000
4,50,2.5000000000000000E-001
4,51,1.2500000000000000E-001
4,52,9.3750000000000000E-001
4,53,1.0000000000000000E+000
4,54,1.0000000000000000E+000
4,55,1.0000000000000000E+000
4,56,1.0000000000000000E+000
4,57,9.1549295774647887E-001
4,59,1.0000000000000000E+000
4,60,9.0867579908675800E-001
4,61,1.0000000000000000E+000
4,63,1.0000000000000000E+000
4,64,1.0000000000000000E+000
4,65,7.5000000000000000E-001
4,66,1.0000000000000000E+000
4,67,8.8392857142857140E-001
4,68,2.5000000000000000E-001
4,69,1.8750000000000000E-001
4,70,1.0000000000000000E+000
4,71,8.7500000000000000E-001
4,72,6.8750000000000000E-001
4,73,3.1250000000000000E-001
4,76,1.0000000000000000E+000
4,77,5.0000000000000000E-001
4,78,5.0000000000000000E-001
4,79,8.7500000000000000E-001
4,80,9.3750000000000000E-001
5,6,1.0000000000000000E+000
5,7,1.0000000000000000E+000
5,8,1.0000000000000000E+000
5,9,1.0000000000000000E+000
5,10,6.4285714285714290E-001
5,13,2.9702970297029702E-001
5,14,2.8846153846153844E-001
5,15,3.9024390243902440E-001
5,16,3.9166666666666666E-001
5,17,3.6842105263157893E-001
5,18,2.8846153846153844E-001
5,19,3.0476190476190479E-001
5,20,3.6752136752136755E-001
5,21,1.6091954022988506E-001
5,22,2.1917808219178081E-001
5,24,5.6250000000000000E-001
5,25,1.8750000000000000E-001
5,26,1.2994350282485875E-001
5,27,6.3157894736842107E-002
5,31,4.3209876543209874E-002
5,32,2.4200913242009131E-001
5,33,4.2424242424242427E-002
5,36,6.3583815028901730E-002
5,46,1.0000000000000000E+000
5,47,1.0000000000000000E+000
5,48,3.2258064516129031E-001
5,49,1.0000000000000000E+000
5,50,7.5000000000000000E-001
5,51,3.7500000000000000E-001
5,52,1.0000000000000000E+000
5,53,1.0000000000000000E+000
5,54,1.0000000000000000E+000
5,55,1.0000000000000000E+000
5,56,1.0000000000000000E+000
5,57,9.7183098591549300E-001
5,58,6.2500000000000000E-002
5,59,1.0000000000000000E+000
5,60,1.0000000000000000E+000
5,61,1.0000000000000000E+000
5,62,6.2500000000000000E-002
5,63,1.0000000000000000E+000
5,64,1.0000000000000000E+000
5,65,8.1250000000000000E-001
5,66,9.2237442922374424E-001
5,67,9.8630136986301364E-001
5,68,5.0000000000000000E-001
5,69,6.2500000000000000E-002
5,70,1.0000000000000000E+000
5,71,1.0000000000000000E+000
5,72,4.3750000000000000E-001
5,73,8.7500000000000000E-001
5,75,1.2500000000000000E-001
5,76,1.0000000000000000E+000
5,77,6.2500000000000000E-001
5,78,6.8750000000000000E-001
5,79,8.7500000000000000E-001
5,80,9.3750000000000000E-001
6,7,4.3750000000000000E-001
6,9,1.0000000000000000E+000
6,53,3.7500000000000000E-001
6,54,2.5000000000000000E-001
6,56,1.0000000000000000E+000
6,57,3.7500000000000000E-001
6,60,1.0000000000000000E+000
6,66,1.0000000000000000E+000
6,67,1.0000000000000000E+000
6,78,1.8750000000000000E-001
7,9,5.6250000000000000E-001
7,52,1.8750000000000000E-001
7,53,1.2500000000000000E-001
7,54,5.0000000000000000E-001
7,56,8.1250000000000000E-001
7,57,7.5000000000000000E-001
7,60,1.0000000000000000E+000
7,66,1.0000000000000000E+000
7,67,1.0000000000000000E+000
7,78,2.5000000000000000E-001
8,9,5.0000000000000000E-001
8,10,7.5000000000000000E-001
8,13,1.2500000000000000E-001
8,14,1.2500000000000000E-001
8,15,2.5000000000000000E-001
8,16,7.5000000000000000E-001
8,17,7.5000000000000000E-001
8,18,1.2500000000000000E-001
8,19,1.8750000000000000E-001
8,20,6.2500000000000000E-001
8,22,6.2500000000000000E-002
8,32,6.2500000000000000E-001
8,48,1.8750000000000000E-001
8,55,1.2500000000000000E-001
8,56,5.0000000000000000E-001
8,59,4.3750000000000000E-001
8,60,1.0000000000000000E+000
8,61,3.1250000000000000E-001
8,63,1.2500000000000000E-001
8,64,5.6250000000000000E-001
8,66,1.0000000000000000E+000
8,67,1.0000000000000000E+000
8,79,1.8750000000000000E-001
9,10,1.7073170731707318E-001
9,16,1.7073170731707318E-001
9,17,1.4634146341463414E-001
9,20,1.2195121951219512E-001
9,22,2.4390243902439025E-002
9,32,2.4390243902439024E-001
9,53,1.0000000000000000E+000
9,54,4.3750000000000000E-001
9,56,9.0243902439024393E-001
9,57,1.7073170731707318E-001
9,59,1.2500000000000000E-001
9,60,1.0000000000000000E+000
9,61,5.0000000000000000E-001
9,63,3.1250000000000000E-001
9,64,5.6250000000000000E-001
9,66,1.0000000000000000E+000
9,67,1.0000000000000000E+000
9,78,2.5000000000000000E-001
10,12,1.0000000000000000E+000
10,13,7.8571428571428570E-001
10,14,7.8571428571428570E-001
10,15,8.1428571428571428E-001
10,16,9.8571428571428577E-001
10,17,9.4285714285714284E-001
10,18,7.8571428571428570E-001
10,19,8.1428571428571428E-001
10,20,9.7142857142857142E-001
10,21,5.4285714285714282E-001
10,22,8.5714285714285715E-002
10,32,2.1428571428571427E-001
10,48,4.8571428571428571E-001
10,55,6.8750000000000000E-001
10,56,1.3953488372093023E-001
10,59,1.0000000000000000E+000
10,60,6.4285714285714290E-001
10,61,1.2500000000000000E-001
10,63,5.6250000000000000E-001
10,64,8.1250000000000000E-001
10,66,8.1428571428571428E-001
10,67,6.7142857142857137E-001
10,70,1.0000000000000000E+000
10,79,1.8750000000000000E-001
10,80,1.0000000000000000E+000
12,13,1.0000000000000000E+000
12,14,1.0000000000000000E+000
12,15,1.0000000000000000E+000
12,16,1.0000000000000000E+000
12,17,1.0000000000000000E+000
12,18,1.0000000000000000E+000
12,19,1.0000000000000000E+000
12,20,1.0000000000000000E+000
12,21,1.0000000000000000E+000
12,66,4.3750000000000000E-001
13,14,1.0000000000000000E+000
13,15,9.7560975609756095E-001
13,16,9.9009900990099009E-001
13,17,9.8019801980198018E-001
13,18,1.0000000000000000E+000
13,19,9.9009900990099009E-001
13,20,1.0000000000000000E+000
13,21,9.5402298850574707E-001
13,32,9.9009900990099011E-003
13,48,2.9702970297029702E-001
13,55,6.2500000000000000E-001
13,59,6.8750000000000000E-001
13,60,2.9702970297029702E-001
13,63,1.2500000000000000E-001
13,64,1.2500000000000000E-001
13,66,4.1584158415841582E-001
13,67,3.2673267326732675E-001
13,70,1.0000000000000000E+000
13,79,1.2500000000000000E-001
13,80,8.7500000000000000E-001
14,15,9.7560975609756095E-001
14,16,9.9038461538461542E-001
14,17,9.8076923076923073E-001
14,18,1.0000000000000000E+000
14,19,9.9038461538461542E-001
14,20,1.0000000000000000E+000
14,21,9.8850574712643680E-001
14,32,9.6153846153846159E-003
14,48,2.8846153846153844E-001
14,55,6.2500000000000000E-001
14,59,6.8750000000000000E-001
14,60,2.8846153846153844E-001
14,63,1.2500000000000000E-001
14,64,1.2500000000000000E-001
14,66,4.0384615384615385E-001
14,67,3.1730769230769229E-001
14,70,1.0000000000000000E+000
14,79,1.2500000000000000E-001
14,80,8.7500000000000000E-001
15,16,9.8780487804878048E-001
15,17,9.7560975609756095E-001
15,18,9.7560975609756095E-001
15,19,9.6341463414634143E-001
15,20,1.0000000000000000E+000
15,21,7.5609756097560976E-001
15,32,3.6585365853658534E-002
15,48,3.6585365853658536E-001
15,55,6.2500000000000000E-001
15,59,8.1250000000000000E-001
15,60,3.9024390243902440E-001
15,63,1.2500000000000000E-001
15,64,2.5000000000000000E-001
15,66,5.3658536585365857E-001
15,67,4.2682926829268292E-001
15,70,1.0000000000000000E+000
15,79,1.2500000000000000E-001
15,80,8.7500000000000000E-001
16,17,1.0000000000000000E+000
16,18,9.9038461538461542E-001
16,19,1.0000000000000000E+000
16,20,9.8290598290598286E-001
16,21,9.8850574712643680E-001
16,22,4.1666666666666664E-002
16,32,1.1666666666666667E-001
16,48,2.7500000000000002E-001
16,55,8.7500000000000000E-001
16,56,1.3953488372093023E-001
16,59,1.0000000000000000E+000
16,60,3.9166666666666666E-001
16,61,2.5000000000000000E-001
16,63,5.0000000000000000E-001
16,64,8.1250000000000000E-001
16,66,4.9166666666666664E-001
16,67,4.0833333333333333E-001
16,70,1.0000000000000000E+000
16,79,3.7500000000000000E-001
16,80,1.0000000000000000E+000
17,18,9.8076923076923073E-001
17,19,9.9047619047619051E-001
17,20,9.8245614035087714E-001
17,21,9.8850574712643680E-001
17,22,2.6315789473684209E-002
17,32,1.0526315789473684E-001
17,48,2.7192982456140352E-001
17,55,6.8750000000000000E-001
17,56,1.3953488372093023E-001
17,59,1.0000000000000000E+000
17,60,3.6842105263157893E-001
17,61,1.2500000000000000E-001
17,63,3.7500000000000000E-001
17,64,7.5000000000000000E-001
17,66,4.7368421052631576E-001
17,67,3.7719298245614036E-001
17,70,1.0000000000000000E+000
17,79,1.8750000000000000E-001
17,80,9.3750000000000000E-001
18,19,9.9038461538461542E-001
18,20,1.0000000000000000E+000
18,21,9.8850574712643680E-001
18,32,9.6153846153846159E-003
18,48,2.8846153846153844E-001
18,55,6.2500000000000000E-001
18,59,6.8750000000000000E-001
18,60,2.8846153846153844E-001
18,63,1.2500000000000000E-001
18,64,1.2500000000000000E-001
18,66,4.0384615384615385E-001
18,67,3.1730769230769229E-001
18,70,1.0000000000000000E+000
18,79,1.2500000000000000E-001
18,80,8.7500000000000000E-001
19,20,1.0000000000000000E+000
19,21,9.8850574712643680E-001
19,22,9.5238095238095247E-003
19,32,1.9047619047619049E-002
19,48,2.8571428571428570E-001
19,55,6.8750000000000000E-001
19,59,7.5000000000000000E-001
19,60,3.0476190476190479E-001
19,63,1.8750000000000000E-001
19,64,1.8750000000000000E-001
19,66,4.1904761904761906E-001
19,67,3.2380952380952382E-001
19,70,1.0000000000000000E+000
19,79,1.8750000000000000E-001
19,80,9.3750000000000000E-001
20,21,9.8850574712643680E-001
20,22,5.1282051282051280E-002
20,32,1.1111111111111110E-001
20,48,2.9914529914529914E-001
20,55,6.8750000000000000E-001
20,56,9.3023255813953487E-002
20,59,1.0000000000000000E+000
20,60,3.6752136752136755E-001
20,63,5.6250000000000000E-001
20,64,7.5000000000000000E-001
20,66,4.7008547008547008E-001
20,67,3.9316239316239315E-001
20,70,1.0000000000000000E+000
20,79,1.8750000000000000E-001
20,80,1.0000000000000000E+000
21,45,6.2500000000000000E-002
21,48,1.7241379310344829E-001
21,55,6.2500000000000000E-002
21,60,1.6091954022988506E-001
21,66,2.9885057471264370E-001
21,67,1.7241379310344829E-001
21,70,4.3750000000000000E-001
21,80,3.1250000000000000E-001
22,23,1.0000000000000000E+000
22,24,1.0000000000000000E+000
22,25,1.0000000000000000E+000
22,26,1.0000000000000000E+000
22,27,1.0000000000000000E+000
22,28,1.0000000000000000E+000
22,29,1.0000000000000000E+000
22,30,1.0000000000000000E+000
22,31,1.0000000000000000E+000
22,32,9.6956521739130430E-001
22,33,1.0000000000000000E+000
22,34,1.0000000000000000E+000
22,35,1.0000000000000000E+000
22,36,1.0000000000000000E+000
22,37,1.0000000000000000E+000
22,38,1.0000000000000000E+000
22,39,1.0000000000000000E+000
22,40,1.0000000000000000E+000
22,41,1.0000000000000000E+000
22,42,1.0000000000000000E+000
22,43,1.0000000000000000E+000
22,44,1.0000000000000000E+000
22,45,9.3750000000000000E-001
22,46,1.8750000000000000E-001
22,47,1.0000000000000000E+000
22,48,7.2580645161290325E-001
22,49,8.7500000000000000E-001
22,50,1.2500000000000000E-001
22,51,6.2500000000000000E-002
22,58,8.1250000000000000E-001
22,60,2.1917808219178081E-001
22,62,1.0000000000000000E+000
22,63,6.2500000000000000E-001
22,64,2.5000000000000000E-001
22,65,8.1250000000000000E-001
22,66,2.5764192139737990E-001
22,67,2.5217391304347825E-001
22,68,1.0000000000000000E+000
22,69,1.0000000000000000E+000
22,72,1.0000000000000000E+000
22,74,1.0000000000000000E+000
22,75,1.0000000000000000E+000
22,76,7.5000000000000000E-001
22,77,1.0000000000000000E+000
22,80,1.2500000000000000E-001
23,26,1.0000000000000000E+000
23,27,1.0000000000000000E+000
23,30,6.8750000000000000E-001
23,31,4.3750000000000000E-001
23,32,1.0000000000000000E+000
23,33,4.3750000000000000E-001
23,36,5.0000000000000000E-001
23,58,6.2500000000000000E-001
23,65,6.2500000000000000E-002
23,67,1.2500000000000000E-001
23,72,1.2500000000000000E-001
24,25,2.5000000000000000E-001
24,26,9.3750000000000000E-001
24,27,9.3750000000000000E-001
24,29,2.5000000000000000E-001
24,31,7.5000000000000000E-001
24,32,1.0000000000000000E+000
24,33,7.5000000000000000E-001
24,36,9.3750000000000000E-001
24,47,3.7500000000000000E-001
24,60,5.6250000000000000E-001
24,65,6.2500000000000000E-002
24,66,1.0000000000000000E+000
24,67,3.7500000000000000E-001
24,69,1.8750000000000000E-001
24,72,1.8750000000000000E-001
24,77,6.2500000000000000E-002
25,26,1.0000000000000000E+000
25,27,1.0000000000000000E+000
25,31,1.0000000000000000E+000
25,32,1.0000000000000000E+000
25,33,1.0000000000000000E+000
25,36,1.0000000000000000E+000
25,47,6.2500000000000000E-002
25,60,1.8750000000000000E-001
25,66,8.1250000000000000E-001
25,67,2.5000000000000000E-001
25,72,4.3750000000000000E-001
26,27,9.3220338983050843E-001
26,28,1.0000000000000000E+000
26,29,1.0000000000000000E+000
26,30,1.0000000000000000E+000
26,31,8.9506172839506171E-001
26,32,1.0000000000000000E+000
26,33,8.9090909090909087E-001
26,34,1.0000000000000000E+000
26,35,1.0000000000000000E+000
26,36,8.7861271676300579E-001
26,37,1.0000000000000000E+000
26,38,1.0000000000000000E+000
26,39,3.7500000000000000E-001
26,40,1.0000000000000000E+000
26,41,7.5000000000000000E-001
26,42,8.7500000000000000E-001
26,43,1.8750000000000000E-001
26,45,1.8750000000000000E-001
26,46,6.2500000000000000E-002
26,47,8.7500000000000000E-001
26,48,4.4354838709677419E-001
26,49,5.0000000000000000E-001
26,58,8.1250000000000000E-001
26,60,1.2994350282485875E-001
26,62,3.7500000000000000E-001
26,65,3.7500000000000000E-001
26,66,2.0903954802259886E-001
26,67,1.5819209039548024E-001
26,68,3.7500000000000000E-001
26,69,1.0000000000000000E+000
26,72,9.3750000000000000E-001
26,74,1.0000000000000000E+000
26,75,8.1250000000000000E-001
26,76,5.0000000000000000E-001
26,77,6.2500000000000000E-001
27,28,1.0000000000000000E+000
27,29,1.0000000000000000E+000
27,30,1.0000000000000000E+000
27,31,1.0000000000000000E+000
27,32,1.0000000000000000E+000
27,33,1.0000000000000000E+000
27,34,1.0000000000000000E+000
27,35,1.0000000000000000E+000
27,36,1.0000000000000000E+000
27,37,1.0000000000000000E+000
27,38,1.0000000000000000E+000
27,39,1.0000000000000000E+000
27,40,1.0000000000000000E+000
27,41,1.0000000000000000E+000
27,42,1.0000000000000000E+000
27,43,1.0000000000000000E+000
27,44,1.0000000000000000E+000
27,45,9.3750000000000000E-001
27,47,3.7500000000000000E-001
27,48,6.3709677419354838E-001
27,58,8.1250000000000000E-001
27,60,6.3157894736842107E-002
27,62,1.0000000000000000E+000
27,65,3.1250000000000000E-001
27,66,1.3684210526315790E-001
27,67,9.4736842105263161E-002
27,68,4.3750000000000000E-001
27,69,1.0000000000000000E+000
27,72,9.3750000000000000E-001
27,74,1.0000000000000000E+000
27,75,7.5000000000000000E-001
27,77,1.2500000000000000E-001
28,31,1.0000000000000000E+000
28,32,1.0000000000000000E+000
28,33,1.0000000000000000E+000
28,34,5.6250000000000000E-001
28,36,1.0000000000000000E+000
28,77,6.2500000000000000E-002
29,31,1.0000000000000000E+000
29,32,1.0000000000000000E+000
29,33,1.0000000000000000E+000
29,36,1.0000000000000000E+000
29,66,2.5000000000000000E-001
29,69,2.5000000000000000E-001
30,31,3.7500000000000000E-001
30,32,1.0000000000000000E+000
30,33,3.7500000000000000E-001
30,36,3.7500000000000000E-001
30,58,6.2500000000000000E-001
31,32,1.0000000000000000E+000
31,33,1.0000000000000000E+000
31,34,1.0000000000000000E+000
31,35,1.0000000000000000E+000
31,36,1.0000000000000000E+000
31,37,1.0000000000000000E+000
31,38,1.0000000000000000E+000
31,39,8.1250000000000000E-001
31,40,9.3750000000000000E-001
31,41,1.0000000000000000E+000
31,42,1.0000000000000000E+000
31,43,1.0000000000000000E+000
31,44,8.7500000000000000E-001
31,45,6.2500000000000000E-001
31,47,1.2500000000000000E-001
31,48,5.5645161290322576E-001
31,58,1.2500000000000000E-001
31,60,4.3209876543209874E-002
31,62,8.1250000000000000E-001
31,65,6.2500000000000000E-002
31,66,1.3580246913580246E-001
31,67,5.5555555555555552E-002
31,68,1.8750000000000000E-001
31,69,1.0000000000000000E+000
31,72,6.8750000000000000E-001
31,74,1.0000000000000000E+000
31,75,6.2500000000000000E-001
31,77,6.2500000000000000E-002
32,33,1.0000000000000000E+000
32,34,1.0000000000000000E+000
32,35,1.0000000000000000E+000
32,36,1.0000000000000000E+000
32,37,1.0000000000000000E+000
32,38,1.0000000000000000E+000
32,39,1.0000000000000000E+000
32,40,1.0000000000000000E+000
32,41,1.0000000000000000E+000
32,42,1.0000000000000000E+000
32,43,1.0000000000000000E+000
32,44,1.0000000000000000E+000
32,45,9.3750000000000000E-001
32,46,1.8750000000000000E-001
32,47,9.3750000000000000E-001
32,48,7.3387096774193550E-001
32,49,6.2500000000000000E-001
32,53,1.8750000000000000E-001
32,56,1.6279069767441862E-001
32,58,8.1250000000000000E-001
32,59,3.1250000000000000E-001
32,60,2.4200913242009131E-001
32,61,1.2500000000000000E-001
32,62,1.0000000000000000E+000
32,63,8.7500000000000000E-001
32,64,9.3750000000000000E-001
32,65,3.7500000000000000E-001
32,66,2.7947598253275108E-001
32,67,2.6808510638297872E-001
32,68,1.0000000000000000E+000
32,69,1.0000000000000000E+000
32,72,9.3750000000000000E-001
32,74,1.0000000000000000E+000
32,75,1.0000000000000000E+000
32,76,7.5000000000000000E-001
32,77,1.0000000000000000E+000
32,80,1.2500000000000000E-001
33,34,1.0000000000000000E+000
33,35,1.0000000000000000E+000
