ensemble_a,ensemble_b,overlap_coefficient
1,2,1.0000000000000000E+000
1,3,1.2500000000000000E-001
1,4,1.0000000000000000E+000
1,5,1.0000000000000000E+000
1,6,1.0000000000000000E+000
1,8,1.0000000000000000E+000
1,46,1.0000000000000000E+000
1,50,1.0000000000000000E+000
1,57,1.0000000000000000E+000
1,63,1.0000000000000000E+000
2,3,1.0000000000000000E+000
2,4,9.1542288557213936E-001
2,5,9.0476190476190477E-001
2,6,8.3035714285714290E-001
2,7,1.0000000000000000E+000
2,8,8.8260869565217392E-001
2,9,1.0000000000000000E+000
2,10,1.0000000000000000E+000
2,11,8.3870967741935487E-001
2,12,5.6521739130434778E-001
2,13,4.1441441441441440E-001
2,14,3.5779816513761470E-001
2,15,3.9655172413793105E-001
2,16,3.2038834951456313E-001
2,17,3.2692307692307693E-001
2,18,1.3580246913580246E-001
2,20,5.5248618784530384E-003
2,21,6.6666666666666671E-003
2,23,5.9171597633136093E-003
2,24,2.6315789473684209E-002
2,25,5.7142857142857143E-003
2,26,5.6818181818181820E-003
2,31,5.7471264367816091E-003
2,32,6.6666666666666671E-003
2,33,5.7803468208092483E-003
2,39,1.0000000000000000E+000
2,40,1.0000000000000000E+000
2,41,1.0000000000000000E+000
2,42,1.0000000000000000E+000
2,44,1.0000000000000000E+000
2,45,1.0000000000000000E+000
2,46,7.9130434782608694E-001
2,47,1.0000000000000000E+000
2,48,1.0000000000000000E+000
2,49,1.0000000000000000E+000
2,50,1.0000000000000000E+000
2,52,8.7500000000000000E-001
2,53,1.0000000000000000E+000
2,54,1.0000000000000000E+000
2,56,7.4347826086956526E-001
2,57,1.0000000000000000E+000
2,58,1.0000000000000000E+000
2,60,1.0000000000000000E+000
2,61,9.3548387096774188E-001
2,62,2.0618556701030927E-002
2,63,8.2959641255605376E-001
2,64,1.0000000000000000E+000
2,66,8.1250000000000000E-001
2,67,1.2500000000000000E-001
2,68,1.0000000000000000E+000
2,69,7.5000000000000000E-001
2,70,6.2500000000000000E-002
2,71,3.1250000000000000E-001
2,72,9.3750000000000000E-001
