ensemble_a,ensemble_b,overlap_coefficient
1,2,3.7500000000000000E-001
1,3,1.0000000000000000E+000
1,4,1.0000000000000000E+000
1,9,8.7500000000000000E-001
1,10,1.2500000000000000E-001
1,47,1.0000000000000000E+000
1,48,4.3750000000000000E-001
1,49,6.2500000000000000E-002
1,54,6.2500000000000000E-001
1,56,6.2500000000000000E-002
1,70,1.2500000000000000E-001
1,79,1.2500000000000000E-001
1,80,5.0000000000000000E-001
1,81,6.2500000000000000E-001
2,3,1.0000000000000000E+000
2,4,1.0000000000000000E+000
2,6,3.1250000000000000E-001
2,7,6.2500000000000000E-002
2,9,1.0000000000000000E+000
2,47,1.0000000000000000E+000
2,48,5.0000000000000000E-001
2,49,2.5000000000000000E-001
2,54,7.5000000000000000E-001
2,77,3.7500000000000000E-001
2,80,1.2500000000000000E-001
2,81,8.7500000000000000E-001
3,4,9.9082568807339455E-001
3,5,1.0000000000000000E+000
3,6,1.0000000000000000E+000
3,7,6.8750000000000000E-001
3,8,1.0000000000000000E+000
3,9,8.6238532110091748E-001
3,10,5.1376146788990829E-001
3,11,6.8750000000000000E-001
3,14,2.3809523809523808E-002
3,26,1.2195121951219513E-002
3,28,1.6513761467889909E-001
3,45,1.7431192660550460E-001
3,47,9.9082568807339455E-001
3,48,8.1250000000000000E-001
3,49,3.3944954128440369E-001
3,51,5.6250000000000000E-001
3,52,6.8750000000000000E-001
3,53,3.1250000000000000E-001
3,54,7.7981651376146788E-001
3,55,3.7500000000000000E-001
3,56,4.3750000000000000E-001
3,59,6.2500000000000000E-002
3,60,7.3394495412844041E-002
3,63,1.7543859649122806E-002
3,66,3.1250000000000000E-001
3,67,1.8750000000000000E-001
3,68,6.2500000000000000E-001
3,70,1.0000000000000000E+000
3,71,6.2500000000000000E-002
3,77,1.0000000000000000E+000
3,78,1.8750000000000000E-001
3,79,4.5871559633027525E-001
3,80,1.0000000000000000E+000
3,81,4.4036697247706424E-001
4,5,1.0000000000000000E+000
4,6,1.0000000000000000E+000
4,7,9.3750000000000000E-001
4,8,1.0000000000000000E+000
4,9,8.8439306358381498E-001
4,10,7.4666666666666670E-001
4,11,1.0000000000000000E+000
4,12,5.0000000000000000E-001
4,13,5.0000000000000000E-001
4,14,3.0952380952380953E-001
4,16,6.2500000000000000E-002
4,28,2.0231213872832371E-001
4,44,1.4925373134328358E-002
4,45,2.7167630057803466E-001
4,46,4.0983606557377046E-002
4,47,9.8843930635838151E-001
4,48,8.7500000000000000E-001
4,49,2.8901734104046245E-001
4,51,1.0000000000000000E+000
4,52,1.0000000000000000E+000
4,53,2.5000000000000000E-001
4,54,8.6250000000000004E-001
4,55,1.0000000000000000E+000
4,56,3.7500000000000000E-001
4,57,1.8750000000000000E-001
4,58,4.3750000000000000E-001
4,59,1.0000000000000000E+000
4,60,1.1560693641618497E-001
4,63,2.1052631578947367E-001
4,64,2.1621621621621623E-001
4,66,8.7500000000000000E-001
4,67,1.0000000000000000E+000
4,68,9.3750000000000000E-001
4,70,1.0000000000000000E+000
4,71,1.0000000000000000E+000
4,74,6.2500000000000000E-002
4,75,1.8750000000000000E-001
4,77,1.0000000000000000E+000
4,78,6.8750000000000000E-001
4,79,8.2170542635658916E-001
4,80,1.0000000000000000E+000
4,81,3.0635838150289019E-001
5,8,3.7500000000000000E-001
5,9,1.0000000000000000E+000
5,10,9.3750000000000000E-001
5,28,6.2500000000000000E-002
5,45,3.7500000000000000E-001
5,47,1.0000000000000000E+000
5,49,6.2500000000000000E-002
5,51,3.1250000000000000E-001
5,52,3.1250000000000000E-001
5,54,1.0000000000000000E+000
5,68,1.2500000000000000E-001
5,79,1.0000000000000000E+000
5,81,6.2500000000000000E-002
6,7,4.3750000000000000E-001
6,9,1.0000000000000000E+000
6,10,6.2500000000000000E-001
6,11,6.2500000000000000E-002
6,47,1.0000000000000000E+000
6,49,5.0000000000000000E-001
6,54,1.0000000000000000E+000
6,70,1.2500000000000000E-001
6,77,5.6250000000000000E-001
6,78,6.2500000000000000E-002
6,79,2.5000000000000000E-001
6,81,6.8750000000000000E-001
7,9,1.0000000000000000E+000
7,10,6.8750000000000000E-001
7,12,3.1250000000000000E-001
7,47,1.0000000000000000E+000
7,49,2.5000000000000000E-001
7,54,1.0000000000000000E+000
7,77,2.5000000000000000E-001
7,79,6.2500000000000000E-002
7,81,4.3750000000000000E-001
8,9,1.0000000000000000E+000
8,10,1.0000000000000000E+000
8,11,3.7500000000000000E-001
8,28,4.3750000000000000E-001
8,45,8.7500000000000000E-001
8,47,1.0000000000000000E+000
8,49,5.6250000000000000E-001
8,51,2.5000000000000000E-001
8,54,1.0000000000000000E+000
8,55,1.8750000000000000E-001
8,60,1.2500000000000000E-001
8,63,6.2500000000000000E-002
8,66,2.5000000000000000E-001
8,67,1.2500000000000000E-001
8,79,1.0000000000000000E+000
8,81,6.2500000000000000E-002
9,10,8.2666666666666666E-001
9,11,1.0000000000000000E+000
9,12,1.0000000000000000E+000
9,13,8.1250000000000000E-001
9,14,1.0000000000000000E+000
9,15,9.3750000000000000E-001
9,16,7.5000000000000000E-001
9,17,1.8750000000000000E-001
9,18,4.3750000000000000E-001
9,19,2.2727272727272727E-001
9,20,3.0769230769230771E-001
9,22,2.5373134328358210E-001
9,23,1.7647058823529413E-001
9,24,6.2500000000000000E-002
9,26,2.4390243902439025E-002
9,28,2.3809523809523808E-001
9,38,5.9999999999999998E-002
9,44,1.1940298507462686E-001
9,45,2.5714285714285712E-001
9,46,1.0655737704918032E-001
9,47,8.5238095238095235E-001
9,48,1.0000000000000000E+000
9,49,3.3809523809523812E-001
9,51,1.0000000000000000E+000
9,52,6.8750000000000000E-001
9,53,6.8750000000000000E-001
9,54,9.2500000000000004E-001
9,55,1.0000000000000000E+000
9,56,8.7500000000000000E-001
9,57,1.0000000000000000E+000
9,58,4.3750000000000000E-001
9,59,1.0000000000000000E+000
9,60,1.3294797687861271E-001
9,61,2.5000000000000000E-001
9,62,2.2222222222222223E-002
9,63,2.4561403508771928E-001
9,64,2.5675675675675674E-001
9,66,9.3750000000000000E-001
9,67,1.0000000000000000E+000
9,68,3.1250000000000000E-001
9,70,1.0000000000000000E+000
9,71,1.0000000000000000E+000
9,73,6.2500000000000000E-002
9,74,5.0000000000000000E-001
9,75,2.5000000000000000E-001
9,76,1.2500000000000000E-001
9,77,1.0000000000000000E+000
9,78,1.0000000000000000E+000
9,79,8.8372093023255816E-001
9,80,5.6250000000000000E-001
9,81,3.1428571428571428E-001
10,11,1.0000000000000000E+000
10,12,6.2500000000000000E-001
10,13,1.0000000000000000E+000
10,14,6.6666666666666663E-001
10,15,1.8750000000000000E-001
10,16,5.0000000000000000E-001
10,17,3.7500000000000000E-001
10,19,1.2121212121212122E-001
10,20,1.0769230769230770E-001
10,21,3.2258064516129031E-002
10,22,8.9552238805970144E-002
10,23,7.3529411764705885E-002
10,28,2.8666666666666668E-001
10,41,1.8750000000000000E-001
10,42,4.3750000000000000E-001
10,43,1.6666666666666666E-001
10,44,1.1940298507462686E-001
10,45,4.1333333333333333E-001
10,46,1.6393442622950818E-001
10,47,9.0000000000000002E-001
10,49,3.2000000000000001E-001
10,50,1.2500000000000000E-001
10,51,1.0000000000000000E+000
