row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"1,3,4,9,47,48","1","1,48",""
2,"4,9,48","1","48",""
3,"1,3,4,9,47,48","1","1,48","1"
4,"1,3,4,9,47,80","1","1,80",""
5,"3,4,47,80","1","80",""
6,"3,4,47,80","1","80",""
7,"1,2,3,4,9,47,48,81","1","1,2,48",""
8,"1,3,4,9,47,48,54,80,81","1","1,3,48,80",""
9,"3,4,47,68","1","68",""
10,"1,3,4,47,54,80","1","1,80",""
11,"2,3,4,9,47,48,81","1","2,48",""
12,"1,3,4,9,47,54,80","1","1,3,80",""
13,"1,2,3,4,9,47,54,80,81","1","1,2,3,80",""
14,"2,3,4,9,47,48","1","2,48",""
15,"3,4,47,54,68,79","1","4,68",""
16,"1,2,3,4,9,47,54,80,81","1","1,2,3,80",""
17,"1,2,3,4,9,47,48,54,81","1","1,2,48",""
18,"3,4,10,47,54,68,79","1","4,68",""
19,"1,2,3,4,9,47,48,54,81","1","1,2,48","2"
20,"2,3,4,9,47,48,54,81","1","2,48",""
21,"3,4,9,10,47,54,68,79","1","4,68",""
22,"1,3,4,9,10,47,54,70,79,81","1","1,3,70","3"
23,"3,4,47,52,54,68,79","1","4,52,68",""
24,"3,4,9,10,47,54,68,79,80","1","4,68,80","4"
25,"2,3,4,9,47,48,54,77,81","1","2,48,77",""
26,"3,4,5,9,10,47,54,68,79","1","4,5,47,68",""
27,"2,3,4,6,9,47,49,54,77,81","1","2,6,77",""
28,"3,4,9,10,47,49,54,70,79,81","1","3,4,70",""
29,"2,3,4,6,9,47,49,54,77,81","1","2,6,77",""
30,"2,3,4,6,9,47,49,54,77,81","1","2,6,77",""
31,"3,4,6,9,10,47,49,54,70,77,79,81","1","3,6,70,77",""
32,"3,4,7,9,47,49,54,81","1","7",""
33,"2,3,4,6,7,9,47,49,54,77,81","1","2,6,7,77",""
34,"3,4,6,7,9,47,49,54,77,81","1","6,7,77",""
35,"3,4,5,9,10,47,52,54,68,79","1","4,5,47,52,68",""
36,"3,4,6,9,10,47,49,54,79,81","1","3,6,54",""
37,"4,9,10,47,51,52,54,68,79","1","51,52,68",""
38,"3,4,5,9,10,47,54,79","1","4,5,47","5"
39,"3,4,5,9,10,47,51,54,79","1","5,47,51",""
40,"3,4,6,7,9,10,47,54,77,81","1","6,7,77","6"
41,"3,4,5,8,9,10,47,54,79","1","5,8,47",""
42,"3,4,5,9,10,45,47,51,52,54,79","1","5,47,51,52",""
43,"3,4,5,9,10,47,51,52,54,79","1","5,51,52",""
44,"3,4,6,7,9,10,47,54,81","1","6,7,9",""
45,"3,4,5,8,9,10,45,47,54,79","1","5,8,47,54",""
46,"3,4,7,9,10,47,54,81","1","7","7"
