ensemble_a,ensemble_b,overlap_coefficient
1,2,1.2500000000000000E-001
1,22,1.0000000000000000E+000
1,33,1.0000000000000000E+000
1,36,1.8750000000000000E-001
1,49,1.0000000000000000E+000
1,52,6.2500000000000000E-002
1,53,1.0000000000000000E+000
1,58,3.7500000000000000E-001
2,22,1.0000000000000000E+000
2,32,6.2500000000000000E-002
2,33,1.0000000000000000E+000
2,34,1.8750000000000000E-001
2,36,5.6250000000000000E-001
2,49,1.0000000000000000E+000
2,52,6.8750000000000000E-001
2,53,1.0000000000000000E+000
2,55,3.1250000000000000E-001
2,68,6.8750000000000000E-001
3,6,9.8113207547169812E-001
3,16,1.2500000000000000E-001
3,17,1.0000000000000000E+000
3,22,2.4528301886792453E-001
3,32,4.3750000000000000E-001
3,33,1.0000000000000000E+000
3,45,7.5471698113207553E-001
3,49,1.0000000000000000E+000
3,50,8.6792452830188682E-001
3,53,8.3018867924528306E-001
3,54,1.0000000000000000E+000
3,60,6.2500000000000000E-002
3,61,7.7358490566037741E-001
3,66,7.5471698113207553E-001
4,8,2.5000000000000000E-001
4,19,3.1250000000000000E-001
4,27,1.2500000000000000E-001
4,51,6.2500000000000000E-002
4,59,3.1250000000000000E-001
4,65,6.2500000000000000E-002
5,27,8.7500000000000000E-001
5,59,6.8750000000000000E-001
6,7,1.0000000000000000E+000
6,9,1.0000000000000000E+000
6,11,1.0000000000000000E+000
6,12,1.0000000000000000E+000
6,15,3.7681159420289856E-001
6,16,1.0000000000000000E+000
6,17,1.0000000000000000E+000
6,22,1.3131313131313133E-001
6,23,2.8571428571428571E-002
6,28,1.0000000000000000E+000
6,29,3.0666666666666664E-001
6,30,2.5000000000000000E-001
6,32,3.7500000000000000E-001
6,33,9.9473684210526314E-001
6,35,4.3750000000000000E-001
6,42,1.0000000000000000E+000
6,43,1.0000000000000000E+000
6,44,2.5000000000000000E-001
6,45,9.0526315789473688E-001
6,47,1.0000000000000000E+000
6,48,1.8867924528301886E-002
6,49,9.7368421052631582E-001
6,50,1.0000000000000000E+000
6,53,2.7672955974842767E-001
6,54,1.0000000000000000E+000
6,57,1.0000000000000000E+000
6,60,1.0000000000000000E+000
6,61,1.0000000000000000E+000
6,63,1.0000000000000000E+000
6,64,1.0000000000000000E+000
6,65,1.2345679012345678E-002
6,66,1.0000000000000000E+000
6,67,1.0000000000000000E+000
7,11,6.8750000000000000E-001
7,28,3.7500000000000000E-001
7,33,1.0000000000000000E+000
7,43,3.7500000000000000E-001
7,45,1.0000000000000000E+000
7,49,1.0000000000000000E+000
7,54,1.0000000000000000E+000
7,57,3.7500000000000000E-001
7,66,1.0000000000000000E+000
7,67,1.8750000000000000E-001
8,18,1.2500000000000000E-001
8,20,1.2500000000000000E-001
8,33,2.5000000000000000E-001
8,40,5.0000000000000000E-001
8,49,1.2500000000000000E-001
8,51,3.7500000000000000E-001
8,65,1.2500000000000000E-001
9,16,2.5000000000000000E-001
9,28,3.7500000000000000E-001
9,33,1.0000000000000000E+000
9,42,1.8750000000000000E-001
9,45,1.0000000000000000E+000
9,49,1.0000000000000000E+000
9,50,6.2500000000000000E-002
9,54,1.0000000000000000E+000
9,57,1.8750000000000000E-001
9,60,6.2500000000000000E-002
9,61,1.2500000000000000E-001
9,63,5.6250000000000000E-001
9,66,1.0000000000000000E+000
10,20,6.2500000000000000E-001
10,33,1.0000000000000000E+000
10,37,6.8750000000000000E-001
10,46,6.8750000000000000E-001
10,48,7.5000000000000000E-001
10,49,1.0000000000000000E+000
10,53,4.3750000000000000E-001
10,62,3.7500000000000000E-001
10,65,1.0000000000000000E+000
11,28,1.8750000000000000E-001
11,33,1.0000000000000000E+000
11,43,5.0000000000000000E-001
11,45,1.0000000000000000E+000
11,49,1.0000000000000000E+000
11,54,1.0000000000000000E+000
11,57,1.2500000000000000E-001
11,66,1.0000000000000000E+000
11,67,1.8750000000000000E-001
12,15,1.0000000000000000E+000
12,29,1.0000000000000000E+000
12,33,1.0000000000000000E+000
12,45,1.0000000000000000E+000
12,47,1.0000000000000000E+000
12,49,1.0000000000000000E+000
12,54,1.0000000000000000E+000
12,63,1.2500000000000000E-001
12,64,1.0000000000000000E+000
14,15,1.0000000000000000E+000
14,21,3.7500000000000000E-001
14,26,1.2500000000000000E-001
14,29,1.0000000000000000E+000
14,33,1.0000000000000000E+000
14,41,2.5000000000000000E-001
14,45,1.0000000000000000E+000
14,49,1.0000000000000000E+000
14,54,1.0000000000000000E+000
14,56,3.7500000000000000E-001
15,21,1.0000000000000000E+000
15,26,1.0000000000000000E+000
15,29,1.0000000000000000E+000
15,30,1.0000000000000000E+000
15,33,1.0000000000000000E+000
15,35,9.3750000000000000E-001
15,41,1.0000000000000000E+000
15,42,1.8750000000000000E-001
15,44,1.0000000000000000E+000
15,45,1.0000000000000000E+000
15,47,1.0000000000000000E+000
15,49,1.0000000000000000E+000
15,54,1.0000000000000000E+000
15,56,1.0000000000000000E+000
15,63,6.2962962962962965E-001
15,64,8.7272727272727268E-001
15,66,2.1739130434782608E-001
16,33,1.0000000000000000E+000
16,42,2.5000000000000000E-001
16,45,1.0000000000000000E+000
16,49,1.0000000000000000E+000
16,50,6.8750000000000000E-001
16,54,1.0000000000000000E+000
16,60,5.6250000000000000E-001
16,61,7.5000000000000000E-001
16,63,3.7500000000000000E-001
16,64,6.2500000000000000E-002
16,66,1.0000000000000000E+000
17,22,6.2500000000000000E-001
17,32,2.5000000000000000E-001
17,33,1.0000000000000000E+000
17,45,3.7500000000000000E-001
17,49,1.0000000000000000E+000
17,50,7.5000000000000000E-001
17,53,1.0000000000000000E+000
17,54,1.0000000000000000E+000
17,61,4.3750000000000000E-001
17,66,3.7500000000000000E-001
18,20,3.5714285714285712E-002
18,24,8.1250000000000000E-001
18,33,2.1875000000000000E-001
18,37,6.2500000000000000E-002
18,39,9.3750000000000000E-001
18,40,6.2500000000000000E-001
18,49,9.3750000000000000E-002
18,62,6.2500000000000000E-001
18,65,3.1250000000000000E-002
19,20,1.8750000000000000E-001
19,33,1.2500000000000000E-001
19,51,2.5000000000000000E-001
19,59,1.8750000000000000E-001
19,65,3.1250000000000000E-001
20,33,9.6428571428571430E-001
20,37,9.3750000000000000E-001
20,40,6.2500000000000000E-002
20,46,1.7857142857142858E-001
20,48,2.1428571428571427E-001
20,49,8.2142857142857140E-001
20,51,6.2500000000000000E-001
20,53,3.5714285714285712E-002
20,62,3.7500000000000000E-001
20,65,1.0000000000000000E+000
21,29,9.3750000000000000E-001
21,33,1.0000000000000000E+000
21,41,1.8750000000000000E-001
21,45,1.0000000000000000E+000
21,49,1.0000000000000000E+000
21,54,1.0000000000000000E+000
22,23,4.8571428571428571E-001
22,32,1.0000000000000000E+000
22,33,1.0000000000000000E+000
22,34,1.0000000000000000E+000
22,36,1.0000000000000000E+000
22,46,3.0303030303030304E-002
22,48,3.7735849056603776E-001
22,49,1.0000000000000000E+000
22,50,1.0714285714285714E-001
22,52,1.0000000000000000E+000
22,53,1.0000000000000000E+000
22,54,1.4141414141414141E-001
22,55,1.0000000000000000E+000
22,58,1.0000000000000000E+000
22,61,1.8518518518518517E-002
22,65,2.9629629629629628E-001
22,68,1.0000000000000000E+000
23,24,6.2500000000000000E-002
23,33,1.0000000000000000E+000
23,34,2.5000000000000000E-001
23,46,5.7575757575757580E-001
23,48,1.0000000000000000E+000
23,49,1.0000000000000000E+000
23,53,1.0000000000000000E+000
23,54,2.8571428571428571E-002
23,55,6.2500000000000000E-002
23,65,1.0000000000000000E+000
24,33,1.2500000000000000E-001
24,39,8.7500000000000000E-001
24,46,6.2500000000000000E-002
24,48,6.2500000000000000E-002
24,49,6.2500000000000000E-002
24,53,6.2500000000000000E-002
24,62,1.2500000000000000E-001
24,65,6.2500000000000000E-002
26,29,1.0000000000000000E+000
26,30,2.5000000000000000E-001
26,33,1.0000000000000000E+000
26,41,2.5000000000000000E-001
26,44,6.2500000000000000E-002
26,45,1.0000000000000000E+000
26,49,1.0000000000000000E+000
26,54,1.0000000000000000E+000
26,56,6.2500000000000000E-001
27,59,7.5000000000000000E-001
28,33,1.0000000000000000E+000
28,43,1.2500000000000000E-001
28,45,1.0000000000000000E+000
28,49,1.0000000000000000E+000
28,54,1.0000000000000000E+000
28,57,4.3750000000000000E-001
28,66,1.0000000000000000E+000
28,67,3.1250000000000000E-001
29,30,8.7500000000000000E-001
29,33,1.0000000000000000E+000
29,41,7.5000000000000000E-001
29,44,5.6250000000000000E-001
29,45,1.0000000000000000E+000
29,47,5.7575757575757580E-001
29,49,1.0000000000000000E+000
29,54,1.0000000000000000E+000
29,56,1.0000000000000000E+000
29,63,9.2592592592592587E-002
29,64,3.4545454545454546E-001
29,66,1.3333333333333334E-002
30,33,1.0000000000000000E+000
30,44,6.8750000000000000E-001
30,45,1.0000000000000000E+000
30,49,1.0000000000000000E+000
30,54,1.0000000000000000E+000
32,33,1.0000000000000000E+000
32,34,6.2500000000000000E-002
32,48,6.2500000000000000E-002
32,49,1.0000000000000000E+000
32,52,3.1250000000000000E-001
32,53,1.0000000000000000E+000
32,54,4.3750000000000000E-001
32,55,2.5000000000000000E-001
32,65,6.2500000000000000E-002
33,34,1.0000000000000000E+000
33,35,9.3750000000000000E-001
33,36,1.0000000000000000E+000
33,37,1.0000000000000000E+000
33,39,6.2500000000000000E-002
33,40,2.5000000000000000E-001
33,41,1.0000000000000000E+000
33,42,1.0000000000000000E+000
33,43,1.0000000000000000E+000
33,44,1.0000000000000000E+000
33,45,1.0000000000000000E+000
33,46,1.0000000000000000E+000
33,47,1.0000000000000000E+000
33,48,1.0000000000000000E+000
33,49,1.0000000000000000E+000
33,50,1.0000000000000000E+000
33,51,6.2500000000000000E-001
33,52,1.0000000000000000E+000
33,53,9.9371069182389937E-001
33,54,9.9280575539568350E-001
33,55,1.0000000000000000E+000
33,56,1.0000000000000000E+000
33,57,1.0000000000000000E+000
33,58,1.0000000000000000E+000
33,60,1.0000000000000000E+000
33,61,1.0000000000000000E+000
33,62,6.8750000000000000E-001
33,63,1.0000000000000000E+000
33,64,1.0000000000000000E+000
33,65,9.6296296296296291E-001
33,66,1.0000000000000000E+000
33,67,1.0000000000000000E+000
33,68,1.0000000000000000E+000
34,36,3.1250000000000000E-001
34,48,4.3750000000000000E-001
34,49,1.0000000000000000E+000
34,52,6.2500000000000000E-002
34,53,1.0000000000000000E+000
34,55,6.2500000000000000E-001
34,65,6.8750000000000000E-001
34,68,5.0000000000000000E-001
35,44,1.8750000000000000E-001
35,45,9.3750000000000000E-001
35,47,2.5000000000000000E-001
35,49,9.3750000000000000E-001
35,54,1.0000000000000000E+000
35,63,4.3750000000000000E-001
35,64,4.3750000000000000E-001
35,66,4.3750000000000000E-001
36,49,1.0000000000000000E+000
36,52,3.1250000000000000E-001
36,53,1.0000000000000000E+000
36,55,3.1250000000000000E-001
36,58,1.2500000000000000E-001
36,65,6.2500000000000000E-002
