row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"10,20,33,37,46,48,49,62,65","1","10,37,62",""
2,"4","","4",""
3,"6,9,33,45,49,54,63,66","1","9",""
4,"1,22,33,49,53","1","1","1"
5,"14,15,26,29,33,41,45,49,54,56","1","14,26,41,56",""
6,"6,7,28,33,43,45,49,54,66,67","1","7,28,43,67",""
7,"4,8","","4,8",""
8,"15,26,29,33,41,45,49,54,56","1","26,41,56",""
9,"22,23,33,48,49,53,65","1","23",""
10,"22,33,49,53,58","1","31,58",""
11,"2,22,33,49,52,53","1","2,52","2"
12,"18,40","2","40",""
13,"3,6,17,33,45,49,50,53,54,61,66","1","3,17","3"
14,"5,27,59","","5,27,59",""
15,"2,22,33,36,49,52,53,68","1","2,36,52,68",""
16,"22,33,49,53","1","22,31,53",""
17,"6,15,33,35,45,47,49,54,63,64,66","1","35,64",""
18,"6,15,29,33,45,47,49,54,63,64","1","47",""
19,"19,20,33,51,65","1","19,51",""
20,"22,33,49,53,58","1","22,31,53,58",""
21,"22,33,34,49,53,55,68","1","34,55,68",""
22,"4,19,59","","4,19,59",""
23,"15,21,33,45,49,54","1","21,45",""
24,"6,15,33,45,49,54,63,64,66","1","63",""
25,"20,33,49,51,65","1","20,51",""
26,"22,33,49,53","1","22,31,53",""
27,"4,19,59","","4,19,59","4"
28,"6,7,11,28,33,43,45,49,54,66,67","1","7,11,28,43,67",""
29,"5","","5","5"
30,"15,33,35,44,45,49,54","1","35,44",""
31,"6,15,33,35,45,47,49,54,63,64,66","1","35,64",""
32,"22,32,33,49,52,53,55","1","32,52,55",""
33,"6,11,33,45,49,54,66","1","6,11,38",""
34,"14,15,29,33,41,45,49,54,56","1","14,15,41,56",""
35,"3,6,33,45,49,50,53,54,61,66","1","61",""
36,"19","","19",""
37,"2,22,33,34,36,49,52,53,55,68","1","2,34,36,52,55,68",""
38,"15,21,29,33,45,49,54","1","15,21",""
39,"6,33,54","1","6","6"
40,"6,33,43,45,49,54,66,67","1","6,38,43,67",""
41,"14,15,21,29,33,45,49,54","1","14,15,21",""
42,"14,15,29,33,45,49,54,56","1","14,25,56",""
43,"14,15,26,29,33,45,49,54,56","1","14,26,56",""
44,"18,33,40,49,62","2,1","40,62",""
45,"3,6,16,33,45,49,50,54,61,66","1","16,49,66",""
46,"6,33,42,45,49,54,63,64,66","1","42",""
47,"6,15,33,45,47,49,54,63,64,66","1","47",""
48,"6,7,11,28,33,45,49,54,57,66","1","7,11,28,57","7"
49,"20,33,49,51,65","1","20,51",""
50,"6,15,33,35,45,47,49,54,63,64,66","1","35,47,64",""
51,"6,9,33,45,49,54,63,66","1","9",""
52,"8,40,51","","8,40,51","8"
53,"3,6,17,22,33,49,50,53,54","1","17",""
54,"20,33,49,51,65","1","20,51",""
55,"22,33,34,49,53,55,65,68","1","13,34,55,68",""
56,"18,39","2","18,39",""
57,"2,22,33,49,52,53,55,68","1","2,52,55,68",""
58,"6,16,33,45,49,50,54,60,61,66","1","16,60",""
59,"6,54","1","6",""
60,"6,9,16,33,45,49,54,63,66","1","9,16","9"
61,"15,33,45,49,54","1","33,54",""
