row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"21,38,39,41,50,53,60","1","39,41",""
2,"1,3,34,38,51","1","1,51","1"
3,"15,28,43,48,57,61","2","15",""
4,"2,20,43,57","2","2","2"
5,"13,17,37,43,54,57","2","37,54",""
6,"11,12,26,35,36,43,57,61","2","11,12,26,36",""
7,"3,8,9,38","1","3,9,38","3"
8,"5,16,17,43,57","2","16,17",""
9,"27,50,53,60","1","50,53",""
10,"14,20,24,40,43,52,57","2","14,24,40,52",""
11,"2,20,32,43,57","2","2,32",""
12,"34,38,49","1","49",""
13,"22,31,33,43,56,57,63","2","31,56",""
14,"3,7,38","1","7,38",""
15,"4,43,57","2","4","4"
16,"10,20,43,57","2","20",""
17,"19,28,43,48,57,61","2","19",""
18,"19,28,43,48,57,62","2","62",""
19,"3,8,21,38,44,55","1","8,44,55",""
20,"4,10,18,20,42,43,57","2","4,10,18,42",""
21,"4,10,18,20,42,43,57","2","4,10,18,42",""
22,"3,8,21,38,39,44,53","1","8,44",""
23,"19,28,43,48,57,61","2","19",""
24,"15,28,43,47,57,61","2","47",""
25,"21,38,39,41,50,53,60","1","39,41",""
26,"2,14,20,24,32,40,43,57","2","2,24,32",""
27,"3,8,38,55","1","3,38,55",""
28,"11,35,43,57","2","11,35",""
29,"3,7,8,38,55","1","3,7,38,55",""
30,"5,16,43,57","2","5","5"
31,"19,28,43,48,57,61","2","19,48",""
32,"10,20,32,43,57","2","10,20,32",""
33,"6,22,25,26,35,43,57,63,64","2","6,26,64","6"
34,"13,29,30,43,57","2","29,30",""
35,"22,25,31,43,45,57,63","2","45",""
36,"3,21,38,39,41,50,53,60","1","21,39",""
37,"10,20,42,43,57","2","10,20,42",""
38,"13,43,57","2","43",""
39,"11,12,35,43,57","2","11,12",""
40,"35,43,57","2","35",""
41,"13,43,57,58,59","2","13,58,59",""
42,"13,29,43,57,58","2","29,58",""
43,"13,17,37,43,54,57","2","37,54",""
44,"3,7,38","1","7","7"
45,"22,25,31,43,45,57,63","2","45",""
46,"19,28,43,48,57,61","2","28,61",""
47,"19,28,43,48,57,61","2","28,48",""
48,"11,35,43,57","2","11,35",""
49,"3,8,21,38,44","1","8,44","8"
50,"19,28,43,48,57,62","2","62",""
51,"15,28,43,48,57,61","2","15",""
52,"1,3,9,38","1","9","9"
53,"22,23,31,33,43,57","2","23,33",""
54,"21,38,39,41,50,53,60","1","21,39",""
55,"14,20,24,40,43,57","2","20,24",""
56,"34,38,46","1","34,46",""
57,"4,10,20,43,57","2","4,10","10"
58,"22,25,31,43,45,57,63,64","2","45,64",""
59,"11,12,35,43,57","2","11,12,35","11"
60,"12,35,43,57,61","2","12","12"
61,"13,43,57,59","2","13,57,59",""
62,"38,39,41,50,53,60","1","41,60",""
63,"3,7,38","1","7",""
64,"13,19,43,57,59","2","13,57,59",""
65,"3,8,21,38,44,53","1","8,44",""
66,"5,16,43,57","2","5,16",""
67,"13,19,43,57","2","13,57","13"
68,"22,25,31,33,43,57,63","2","22,31",""
69,"5,16,17,43,57","2","5,16",""
70,"3,7,8,38","1","3,7,38",""
71,"14,20,27,40,43,52,57","2","40,52",""
72,"11,12,35,43,57","2","11,12,35",""
73,"14,20,40,43,52,57","2","14,52","14"
74,"16,17,37,43,54,57","2","17,37,54",""
75,"1,3,34,38,49,51","1","1,49,51",""
76,"22,25,31,43,57,63","2","25",""
77,"35,43,57","2","35",""
78,"12,26,35,36,43,57,61","2","12,26,36",""
79,"27,50,53,60","1","27,50,53",""
80,"4,10,18,20,42,43,57","2","4,18,42",""
81,"13,19,28,43,57","2","13,57",""
82,"3,21,38,39,41,50,53,60","1","21",""
83,"13,19,28,43,57","2","13,57",""
84,"6,22,25,31,35,43,57,63,64","2","6,64",""
85,"19,28,43,48,57,61","2","48",""
86,"15,28,43,48,57,61","2","15","15"
87,"21,38,39,41,50,53,60","1","39,41",""
88,"6,22,25,35,43,57,63","2","6",""
89,"13,43,57,58,59","2","13,58,59",""
90,"2,20,23,31,33,43,57","2","2,23",""
91,"5,16,17,43,57","2","5,16","16"
92,"22,23,31,33,43,57","2","23,33",""
93,"3,8,38,55","1","8,38,55",""
94,"4,10,20,43,57","2","4,10",""
95,"5,16,17,43,57","2","16,17","17"
96,"14,20,40,43,52,57","2","14,40,52",""
97,"13,43,57,58,59","2","58,59",""
98,"13,29,30,43,57","2","29,30,43",""
99,"4,10,18,20,43,57","2","4,18","18"
100,"1,3,9,38","1","3,9",""
101,"15,28,43,48,57,61","2","15,61",""
102,"14,20,27,40,43,52,57","2","14,40,52",""
103,"19,28,43,48,57,61","2","19,48",""
104,"22,23,31,33,43,57","2","23",""
105,"22,31,33,43,56,57,63","2","33,56",""
106,"19,28,43,48,57,61","2","19","19"
107,"4,10,18,20,43,57","2","4,18",""
108,"23,31,33,43,57","2","23",""
109,"14,20,32,43,57","2","20,32",""
110,"4,10,18,20,42,43,57","2","4,10,18,42",""
111,"22,25,31,43,57,63","2","22,25,63",""
112,"19,28,43,48,57,62","2","19,62",""
113,"10,20,43,57","2","20","20"
114,"22,25,31,43,57,63","2","25,63",""
115,"15,28,35,36,43,47,57,61","2","36,47",""
116,"27,50,53,60","1","27,53",""
117,"27,50,53,60","1","27",""
118,"13,17,37,43,54,57","2","37,54",""
119,"15,28,43,48,57,61","2","15,61",""
120,"6,22,25,35,43,57,63,64","2","6,64",""
121,"11,12,35,43,57","2","11,12",""
122,"34,38,46","1","34,46",""
123,"35,43,57","2","35",""
124,"22,25,31,43,57,63","2","22,63",""
125,"22,25,31,43,57,63","2","25,63",""
126,"10,14,20,24,32,40,43,57","2","20,24,32",""
127,"1,3,9,34,38,51","1","1,9,51",""
128,"3,21,38,39,41,50,53,60","1","21","21"
129,"5,16,17,43,57","2","16,17",""
130,"10,20,32,43,57","2","32",""
131,"22,23,31,33,43,57","2","23,33",""
132,"1,3,34,38,49,51","1","1,49,51",""
133,"34,38,46","1","34,46",""
134,"15,28,43,48,57,61","2","15",""
135,"22,25,31,43,45,57,63","2","25,45",""
136,"22,25,31,43,57,63","2","22,31","22"
137,"38,39,41,50,53,60","1","41,60",""
138,"19,28,43,48,57,61","2","28,61",""
139,"3,8,21,38,44","1","8,44",""
140,"3,21,38,39,41,50,53,60","1","21,39",""
141,"22,31,33,43,56,57","2","33,56",""
142,"27,50,53","1","27",""
143,"27,50,53,60","1","50,60",""
144,"35,43,57","2","35",""
145,"11,12,26,35,43,57,61","2","11,12,26",""
146,"13,43,57","2","13,57",""
147,"10,20,32,43,57","2","32",""
148,"1,3,9,38","1","1,9",""
149,"27,50,53,60","1","27,50,53",""
150,"5,16,43,57","2","5,16",""
151,"35,43,57","2","35",""
152,"15,28,43,48,57,61","2","15,61",""
153,"34,46","1","46",""
154,"22,25,31,43,57,63","2","22,63",""
155,"34,38,49","1","34,49",""
156,"6,22,25,35,43,57,63,64","2","6,64",""
157,"13,16,17,37,43,54,57","2","37,54",""
158,"5,16,17,43,57","2","5,16",""
159,"22,25,31,43,45,57,63","2","25,45",""
160,"22,23,31,33,43,57","2","23,33",""
161,"5,16,17,37,43,57","2","17,37",""
162,"15,26,35,36,43,47,57,61","2","26,36,47",""
163,"1,3,34,38,51","1","1,51",""
164,"22,23,31,33,43,57","2","23,33",""
165,"41,50,53,60","1","50,60",""
166,"22,31,33,43,56,57","2","33,56",""
167,"22,23,31,33,43,57","2","23","23"
168,"11,35,43,57","2","11,35",""
169,"4,10,18,20,43,57","2","4,18",""
170,"3,8,21,38,39,44,53","1","21,44",""
171,"22,25,31,43,57,63","2","22,63",""
172,"13,43,57,59","2","13,43,57,59",""
173,"15,26,28,35,36,43,47,57,61","2","26,36,47",""
174,"14,20,24,40,43,57","2","14,24","24"
175,"13,17,43,54,57","2","54",""
176,"13,17,43,54,57,58","2","54,58",""
177,"21,38,39,41,50,53,60","1","21,39",""
178,"34,38,46","1","34,46",""
179,"19,28,43,48,57,61","2","28,48",""
180,"13,43,57,59","2","43,59",""
181,"5,16,17,43,57","2","5,16",""
182,"13,17,43,54,57,58","2","54,58",""
183,"6,11,35,43,57","2","11",""
184,"22,25,31,43,57,63","2","25","25"
185,"34,38,49","1","34,49",""
186,"41,50,53,60","1","60",""
