ensemble_a,ensemble_b,overlap_coefficient
1,2,1.0000000000000000E+000
1,3,1.0000000000000000E+000
1,4,1.0000000000000000E+000
1,5,1.0000000000000000E+000
1,6,1.0000000000000000E+000
1,8,7.6649746192893398E-001
1,9,9.8223350253807107E-001
1,10,1.0000000000000000E+000
1,11,7.7411167512690360E-001
1,12,9.8477157360406087E-001
1,13,1.0000000000000000E+000
1,14,1.0000000000000000E+000
1,15,9.8984771573604058E-001
1,16,9.8477157360406087E-001
1,17,7.7411167512690360E-001
1,18,1.0000000000000000E+000
1,19,7.3604060913705582E-001
1,20,1.0000000000000000E+000
1,21,1.0000000000000000E+000
1,22,1.0000000000000000E+000
1,23,7.0552147239263807E-001
1,25,1.0000000000000000E+000
1,26,9.8223350253807107E-001
1,27,1.0000000000000000E+000
1,29,1.0000000000000000E+000
1,31,1.0000000000000000E+000
1,32,7.1084337349397586E-001
1,34,1.0000000000000000E+000
1,35,1.0000000000000000E+000
1,37,1.0000000000000000E+000
1,38,1.0000000000000000E+000
1,39,7.1957671957671954E-001
1,40,1.0000000000000000E+000
1,41,9.6923076923076923E-001
1,42,1.0000000000000000E+000
1,43,1.0000000000000000E+000
1,44,1.0000000000000000E+000
1,45,1.0000000000000000E+000
1,46,7.2033898305084743E-001
1,47,1.0000000000000000E+000
1,48,1.0000000000000000E+000
1,49,9.3750000000000000E-001
1,50,1.0000000000000000E+000
1,51,7.4550128534704374E-001
1,53,1.0000000000000000E+000
1,54,7.2323759791122710E-001
1,55,1.0000000000000000E+000
1,56,1.0000000000000000E+000
1,57,9.8465473145780047E-001
1,59,4.3750000000000000E-001
1,61,1.2500000000000000E-001
1,62,5.2252252252252251E-001
1,63,1.0000000000000000E+000
1,64,5.8823529411764705E-002
1,65,1.0000000000000000E+000
1,66,1.0000000000000000E+000
1,67,1.0000000000000000E+000
1,68,7.3096446700507611E-001
1,69,7.3604060913705582E-001
1,70,1.0000000000000000E+000
1,71,1.0000000000000000E+000
1,72,1.0000000000000000E+000
1,73,1.0000000000000000E+000
1,74,1.0000000000000000E+000
1,75,1.0000000000000000E+000
1,76,2.5000000000000000E-001
1,77,1.0000000000000000E+000
1,78,1.0000000000000000E+000
2,4,6.2500000000000000E-002
2,8,1.0000000000000000E+000
2,9,1.0000000000000000E+000
2,11,1.0000000000000000E+000
2,12,1.0000000000000000E+000
2,15,1.0000000000000000E+000
2,16,1.0000000000000000E+000
2,17,1.0000000000000000E+000
2,19,1.0000000000000000E+000
2,22,6.8750000000000000E-001
2,23,8.7500000000000000E-001
2,26,1.0000000000000000E+000
2,32,8.7500000000000000E-001
2,34,4.3750000000000000E-001
2,35,1.0000000000000000E+000
2,39,1.0000000000000000E+000
2,42,3.1250000000000000E-001
2,45,1.0000000000000000E+000
2,46,8.7500000000000000E-001
2,51,1.0000000000000000E+000
2,54,1.0000000000000000E+000
2,55,6.2500000000000000E-002
2,57,1.0000000000000000E+000
2,63,5.0000000000000000E-001
2,68,1.0000000000000000E+000
2,69,1.0000000000000000E+000
2,71,1.0000000000000000E+000
2,75,1.0000000000000000E+000
2,77,1.0000000000000000E+000
3,4,1.2500000000000000E-001
3,8,1.0000000000000000E+000
3,9,1.0000000000000000E+000
3,10,1.2500000000000000E-001
3,11,1.0000000000000000E+000
3,12,1.0000000000000000E+000
3,14,3.1250000000000000E-001
3,15,1.0000000000000000E+000
3,16,1.0000000000000000E+000
3,17,1.0000000000000000E+000
3,18,1.2500000000000000E-001
3,19,1.0000000000000000E+000
3,23,3.1250000000000000E-001
3,25,1.2500000000000000E-001
3,26,1.0000000000000000E+000
3,27,1.8750000000000000E-001
3,32,3.1250000000000000E-001
3,35,1.0000000000000000E+000
3,39,6.8750000000000000E-001
3,41,6.2500000000000000E-002
3,45,1.0000000000000000E+000
3,46,8.1250000000000000E-001
3,51,1.0000000000000000E+000
3,54,1.0000000000000000E+000
3,57,1.0000000000000000E+000
3,62,3.7500000000000000E-001
3,65,1.2500000000000000E-001
3,68,1.0000000000000000E+000
3,69,1.0000000000000000E+000
3,70,1.8750000000000000E-001
3,71,1.0000000000000000E+000
3,75,1.0000000000000000E+000
3,77,6.8750000000000000E-001
4,8,9.3750000000000000E-001
4,9,1.0000000000000000E+000
4,10,8.1250000000000000E-001
4,11,9.3750000000000000E-001
4,12,1.0000000000000000E+000
4,15,1.0000000000000000E+000
4,16,1.0000000000000000E+000
4,17,9.3750000000000000E-001
4,19,9.3750000000000000E-001
4,21,6.2500000000000000E-002
4,23,1.8750000000000000E-001
4,25,2.5000000000000000E-001
4,26,1.0000000000000000E+000
4,27,6.8750000000000000E-001
4,31,6.2500000000000000E-002
4,32,1.8750000000000000E-001
4,35,1.0000000000000000E+000
4,39,9.3750000000000000E-001
4,41,1.8750000000000000E-001
4,45,9.3750000000000000E-001
4,46,1.8750000000000000E-001
4,51,9.3750000000000000E-001
4,54,8.7500000000000000E-001
4,57,1.0000000000000000E+000
4,62,3.1250000000000000E-001
4,67,3.1250000000000000E-001
4,68,9.3750000000000000E-001
4,69,9.3750000000000000E-001
4,70,3.7500000000000000E-001
4,71,1.0000000000000000E+000
4,75,9.3750000000000000E-001
4,77,1.0000000000000000E+000
5,9,1.0000000000000000E+000
5,10,1.0000000000000000E+000
5,11,6.2500000000000000E-002
5,12,1.0000000000000000E+000
5,15,1.0000000000000000E+000
5,16,1.0000000000000000E+000
5,17,6.2500000000000000E-002
5,20,4.3750000000000000E-001
5,25,9.3750000000000000E-001
5,26,1.0000000000000000E+000
5,27,1.0000000000000000E+000
5,35,1.0000000000000000E+000
5,39,1.8750000000000000E-001
5,47,6.2500000000000000E-001
5,57,1.0000000000000000E+000
5,67,1.0000000000000000E+000
5,71,1.0000000000000000E+000
5,77,1.0000000000000000E+000
6,8,1.0000000000000000E+000
6,9,1.0000000000000000E+000
6,11,1.0000000000000000E+000
6,12,1.0000000000000000E+000
6,15,1.0000000000000000E+000
6,16,1.0000000000000000E+000
6,17,1.0000000000000000E+000
6,18,2.5000000000000000E-001
6,19,1.0000000000000000E+000
6,23,9.6296296296296291E-001
6,26,1.0000000000000000E+000
6,32,1.0000000000000000E+000
6,39,1.0000000000000000E+000
6,41,4.0740740740740738E-001
6,45,1.0000000000000000E+000
6,46,1.0000000000000000E+000
6,48,7.5000000000000000E-001
6,51,1.0000000000000000E+000
6,54,1.0000000000000000E+000
6,56,7.5000000000000000E-001
6,57,1.0000000000000000E+000
6,62,2.2222222222222221E-001
6,68,1.0000000000000000E+000
6,69,1.0000000000000000E+000
6,71,3.7037037037037035E-002
6,72,5.1851851851851849E-001
7,8,1.0000000000000000E+000
7,11,1.0000000000000000E+000
7,17,1.0000000000000000E+000
7,19,1.0000000000000000E+000
7,23,1.0000000000000000E+000
7,30,3.7500000000000000E-001
7,32,1.0000000000000000E+000
7,39,1.0000000000000000E+000
7,46,1.0000000000000000E+000
7,51,1.0000000000000000E+000
7,54,1.0000000000000000E+000
7,58,5.6250000000000000E-001
7,60,1.2500000000000000E-001
7,62,1.0000000000000000E+000
7,64,5.6250000000000000E-001
7,68,1.0000000000000000E+000
7,69,1.0000000000000000E+000
8,9,7.8518518518518521E-001
8,10,4.7959183673469385E-001
8,11,9.8039215686274506E-001
8,12,7.6649746192893398E-001
8,13,1.0000000000000000E+000
8,14,1.0000000000000000E+000
8,15,7.7468354430379749E-001
8,16,7.6649746192893398E-001
8,17,9.8039215686274506E-001
8,18,1.0000000000000000E+000
8,19,1.0000000000000000E+000
8,20,2.5000000000000000E-001
8,21,1.0000000000000000E+000
