row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"1,8,9,10,11,12,15,16,17,19,26,27,35,45,51,57,67,68,69,70,71,75,77","1","1,12,70","1"
2,"1,8,9,11,12,13,15,16,17,19,23,26,32,39,46,49,51,54,59,62,68,69","1","13,28,49,59",""
3,"1,2,8,9,11,12,15,16,17,19,22,23,26,32,35,39,45,46,51,54,57,68,69,71,75,77","1","2,35","2"
4,"1,9,10,11,12,15,16,17,26,27,31,35,39,47,57,67,71,77","1","31,47,77",""
5,"1,8,9,11,12,15,16,17,19,26,35,39,45,46,51,54,55,57,68,69,71,74,77","1","55,74",""
6,"1,3,8,9,11,12,15,16,17,19,26,35,39,45,46,51,54,57,68,69,71,75,77","1","3","3"
7,"1,8,9,11,12,15,16,17,19,22,23,26,32,35,42,45,46,50,51,54,57,65,68,69,71,73,75","1","42,50,65,73",""
8,"1,6,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,56,57,68,69,72","1","6,17,56",""
9,"1,8,9,10,11,12,15,16,17,19,25,26,27,35,51,57,67,69,71,77","1","1,15,27",""
10,"1,8,9,11,12,15,16,17,19,23,26,29,32,37,39,41,46,51,54,57,62,68,69","1","19,29,37",""
11,"1,8,9,11,12,15,16,17,19,22,23,26,32,35,39,42,45,46,50,51,54,57,65,68,69,71,73,75,77","1","42,45,50,65,73",""
12,"1,4,8,9,10,11,12,15,16,17,19,26,27,35,39,45,51,54,57,62,68,69,71,75,77","1","4","4"
13,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,57,68,69,72","1","32",""
14,"1,8,9,11,12,15,16,17,19,23,26,32,37,39,41,45,46,51,54,57,62,68,69","1","19,37",""
15,"1,8,9,11,12,15,16,17,19,23,26,29,32,39,41,46,51,54,57,68,69","1","29",""
16,"1,9,12,15,16,25,26,27,35,43,57,67,71,77","1","15,43,57",""
17,"1,9,12,15,16,25,26,27,35,43,57,67,71,77","1","15,27,43,71",""
18,"1,8,9,11,12,15,16,17,19,26,35,39,45,46,51,54,57,68,69,71,74,77","1","74",""
19,"1,8,9,11,12,15,16,17,19,22,23,26,32,35,42,45,46,50,51,54,57,65,68,69,71,73,75","1","42,50,65,73",""
20,"1,9,12,15,16,25,26,27,35,57,67,71,77","1","25,27",""
21,"8,11,17,19,23,32,39,46,51,54,58,62,68,69","1","51,58",""
22,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,46,51,54,57,62,64,68,69","1","62,68",""
23,"1,2,4,8,9,11,12,15,16,17,19,26,35,39,45,51,54,57,68,69,71,75,77","1","2,4,75",""
24,"1,5,9,10,12,15,16,25,26,27,35,47,57,67,71,77","1","5,16,47",""
25,"1,9,12,15,16,25,26,27,35,57,67,71,77","1","25",""
26,"1,8,9,11,12,15,16,17,19,23,26,32,37,39,41,46,51,54,57,68,69","1","37,41",""
27,"7,8,11,17,19,23,30,32,39,46,51,54,58,62,68,69","1","7,30,58",""
28,"1,6,8,9,11,12,15,16,17,19,23,26,32,39,45,46,48,51,54,57,68,69","1","46,48",""
29,"8,11,17,19,23,32,39,41,46,51,54,62,68,69,76","1","39,76",""
30,"1,8,9,11,12,15,16,17,19,23,26,29,32,37,39,41,46,51,54,57,62,68,69","1","29,37",""
31,"1,8,9,10,11,12,15,16,17,19,20,26,35,39,45,51,57,68,69,71,77","1","20,77",""
32,"8,11,17,19,23,32,33,36,39,46,51,54,60,62,64,68,69","1","33,36,60,64",""
33,"1,8,9,10,12,15,16,25,26,27,31,35,38,57,67,71,77","1","25,31,38,67",""
34,"1,6,8,9,11,12,15,16,17,19,23,26,32,39,45,46,48,51,54,57,68,69","1","6,46,48",""
35,"1,2,8,9,11,12,15,16,17,19,22,23,26,32,35,39,42,45,46,51,54,57,68,69,71,75,77","1","2,22",""
36,"8,11,17,19,23,24,32,39,46,51,54,62,68,69","1","11,24,54",""
37,"1,6,8,9,11,12,15,16,17,19,23,26,32,39,45,46,48,51,54,57,68,69","1","6,48",""
38,"8,11,17,19,23,24,32,39,46,51,54,62,68,69","1","11,24,54",""
39,"1,9,10,12,15,16,25,26,27,35,57,67,71,77","1","12,27,71",""
40,"1,8,9,10,11,12,15,16,17,19,25,26,27,35,45,51,57,67,68,69,70,71,77","1","1,15,27,70,71",""
41,"1,8,9,11,12,15,16,17,19,23,26,29,32,39,41,46,51,54,57,68,69","1","29",""
42,"1,8,9,11,15,17,19,23,26,32,39,46,49,51,54,62,68,69","1","28,49",""
43,"1,5,9,10,12,15,16,20,25,26,27,35,57,67,71,77","1","5,16,20","5"
44,"1,6,8,9,11,12,15,16,17,19,23,26,32,39,45,46,48,51,54,56,57,68,69,72","1","6,17,46,48,56","6"
45,"7,8,11,17,19,23,32,39,46,51,54,58,62,64,68,69","1","7,52,58","7"
46,"1,8,9,11,12,15,16,17,19,22,23,26,32,35,42,45,46,50,51,54,57,65,68,69,71,73,75","1","45,50,65,73",""
47,"1,9,10,11,12,15,16,17,25,26,27,31,35,57,67,71,77","1","26,31,67",""
48,"8,11,17,19,39,46,51,54,62,68,69","1","62",""
49,"1,8,9,11,12,13,15,16,17,19,23,26,32,39,46,51,54,57,62,66,68,69","1","13,66",""
50,"1,5,9,10,12,15,16,20,25,26,27,35,47,57,67,71,77","1","5,20,26,47",""
51,"8,11,17,19,23,24,32,39,46,51,54,62,68,69","1","11,24,28,54",""
52,"7,8,11,17,19,23,32,39,46,51,54,58,62,68,69","1","7,51,58",""
53,"1,8,9,11,12,15,16,17,19,26,35,39,45,46,51,54,55,57,68,69,71,74,77","1","55,74",""
54,"1,9,12,15,16,25,26,27,35,38,57,67,71,77","1","25,38",""
55,"1,8,9,11,12,15,16,17,19,23,26,32,35,39,40,41,44,45,46,51,54,57,62,68,69,71","1","40,44",""
56,"1,9,10,12,15,16,26,27,35,57,67,71,77","1","12",""
57,"1,8,9,11,12,15,16,17,19,23,26,32,35,39,45,46,51,54,55,57,68,69,71,74,77","1","55,74",""
58,"8,11,17,19,23,32,33,36,39,46,51,54,60,62,64,68,69","1","33,36,60,64",""
59,"1,10,12,15,16,26,27,35,57,67,71,77","1","71",""
60,"1,6,8,9,11,12,15,16,17,19,23,26,32,39,45,46,48,51,54,57,68,69","1","6,46,48",""
61,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,57,62,68,69,71","1","8","8"
62,"1,8,9,11,12,15,16,17,19,22,23,26,32,35,39,42,45,46,51,54,57,68,69,71,75,77","1","9,45,75","9"
63,"1,8,9,11,12,15,16,17,19,23,26,32,37,39,41,46,51,54,57,68,69","1","37,41",""
64,"7,8,11,17,19,23,30,32,39,46,51,54,62,64,68,69","1","7,30,52",""
65,"8,11,17,19,39,54,62,68,69","1","39",""
66,"1,8,9,11,12,15,16,17,19,23,26,32,35,39,40,41,44,45,46,51,54,57,62,68,69,71","1","8,40,44,69",""
67,"1,9,10,11,12,15,16,17,25,26,27,31,35,38,47,57,67,71,77","1","31,38,47",""
68,"1,8,9,11,12,15,16,17,19,22,23,26,32,35,39,42,45,46,50,51,54,57,68,69,71,75,77","1","42,45,50",""
69,"1,10,12,15,16,26,35,39,57,71,77","1","10","10"
70,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,57,62,68,69","1","8",""
71,"1,8,9,11,12,15,16,17,19,23,26,29,32,39,41,46,51,54,57,62,68,69","1","29",""
72,"7,8,11,17,19,23,32,39,46,51,54,58,62,68,69","1","7,51,58",""
73,"8,11,17,19,23,32,39,46,51,54,62,68,69","1","11,54","11"
74,"1,8,9,11,12,15,16,17,18,19,26,39,41,45,46,51,54,57,62,66,68,69,71","1","17,18,66",""
75,"1,8,9,10,11,12,15,16,17,19,26,27,31,35,39,45,51,57,67,68,69,71,75,77","1","1,12,31",""
76,"1,9,12,15,16,25,26,27,35,43,57,67,71,77","1","27,43",""
77,"1,9,10,12,15,16,26,27,35,57,67,71,77","1","10,12","12"
78,"1,8,9,11,12,13,15,16,17,19,23,26,32,39,46,51,54,57,62,66,68,69","1","13,66","13"
79,"1,9,12,15,16,25,26,27,35,38,57,67,71,77","1","25,38",""
80,"1,8,9,11,12,15,16,17,19,23,26,32,37,39,41,46,51,54,57,68,69","1","37,41",""
81,"8,11,17,19,23,24,32,39,46,51,54,62,68,69","1","24,54",""
82,"1,9,10,12,15,16,25,26,27,35,38,57,67,71,77","1","25,38",""
83,"1,8,9,11,12,15,16,17,19,23,26,32,35,39,45,46,51,54,55,57,63,68,69,71,77","1","55,63",""
84,"8,11,17,19,23,32,36,39,46,51,54,60,62,64,68,69","1","36,60",""
85,"1,8,9,11,12,15,16,17,19,23,26,29,32,37,39,41,46,51,54,57,68,69","1","29,37,41",""
86,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,57,62,68,69","1","8",""
87,"1,8,9,10,11,12,15,16,17,19,26,35,39,41,45,51,53,54,57,68,69,71,74,77","1","53,74",""
88,"1,8,9,11,12,15,16,17,19,26,35,39,40,41,45,46,51,54,57,62,68,69,71,72","1","40,69",""
89,"1,9,10,12,15,16,26,27,35,57,67,71,77","1","10,12",""
90,"8,11,17,19,23,32,33,39,46,51,54,62,64,68,69","1","33,39,64",""
91,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,57,68,69,72","1","19,32",""
92,"1,8,9,11,12,15,16,17,19,23,26,32,35,39,40,41,44,45,46,51,54,57,62,68,69,71","1","40,44",""
93,"1,3,8,9,11,12,14,15,16,17,19,23,26,32,35,39,45,46,51,54,57,62,68,69,71,75","1","3,14","14"
94,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,57,62,68,69,72","1","23,69,72",""
95,"1,3,8,9,11,12,15,16,17,19,26,35,39,45,46,51,54,57,65,68,69,71,75,77","1","3,65",""
96,"1,9,12,15,16,25,26,27,57,67,71,77,78","1","78",""
97,"1,9,10,12,15,16,25,26,27,35,57,67,71,77","1","67",""
98,"1,8,9,12,15,16,25,26,27,35,57,67,68,70,71,77","1","1,15,70,71","15"
99,"1,9,10,12,15,16,25,26,27,35,57,67,71,77","1","16","16"
100,"1,8,9,11,12,15,16,17,19,21,22,23,26,32,35,39,45,46,51,54,57,68,69,71,75,77","1","9,21",""
101,"1,9,12,15,16,25,26,27,57,71,77","1","57",""
102,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,57,62,68,69,72","1","8,19,23,69",""
103,"1,6,8,9,11,12,15,16,17,19,23,26,32,39,45,46,51,54,57,68,69","1","6,46",""
104,"1,8,9,11,12,15,16,17,19,23,26,32,37,39,41,46,51,54,57,68,69","1","37,41",""
105,"1,8,9,11,12,15,16,17,18,19,23,26,32,35,39,41,45,46,51,54,57,62,68,69,71,75","1","18",""
106,"1,8,9,11,12,15,16,17,19,23,26,32,39,41,44,45,46,51,54,57,62,68,69","1","8,19,44",""
107,"1,8,9,10,12,15,16,25,26,27,35,57,67,71,77","1","12,27,71",""
108,"1,6,8,9,11,12,15,16,17,19,23,26,32,39,41,45,46,51,54,57,62,68,69,72","1","17","17"
109,"8,11,17,19,23,32,36,39,46,51,54,60,62,64,68,69","1","36,60",""
