ensemble_a,ensemble_b,overlap_coefficient
1,2,1.0000000000000000E+000
1,3,8.7500000000000000E-001
1,4,1.0000000000000000E+000
1,5,1.0000000000000000E+000
1,6,9.7609561752988050E-001
1,7,1.0000000000000000E+000
1,8,7.3368146214099217E-001
1,9,1.0000000000000000E+000
1,10,3.8709677419354838E-001
1,11,4.4800000000000001E-001
1,12,1.0000000000000000E+000
1,14,5.7471264367816091E-002
1,15,9.8425196850393704E-001
1,16,1.0000000000000000E+000
1,17,7.1801566579634468E-001
1,18,1.0000000000000000E+000
1,21,3.3742331288343558E-001
1,22,1.0000000000000000E+000
1,23,1.1764705882352941E-002
1,24,9.6344647519582249E-001
1,25,1.0000000000000000E+000
1,26,7.2584856396866837E-001
1,27,1.0000000000000000E+000
1,28,1.2244897959183673E-001
1,29,1.0000000000000000E+000
1,30,9.8172323759791125E-001
1,31,1.0000000000000000E+000
1,32,7.0496083550913835E-001
1,33,2.2727272727272728E-002
1,35,1.0000000000000000E+000
1,36,7.8651685393258425E-002
1,37,9.8016997167138808E-001
1,38,1.0000000000000000E+000
1,39,7.3107049608355090E-001
1,40,1.0000000000000000E+000
1,41,1.0000000000000000E+000
1,42,9.6475770925110127E-001
1,43,1.0000000000000000E+000
1,44,1.0000000000000000E+000
1,45,1.0000000000000000E+000
1,46,1.0000000000000000E+000
1,47,9.8694516971279378E-001
1,48,7.6240208877284599E-001
1,49,1.0000000000000000E+000
1,50,1.0000000000000000E+000
1,51,9.8666666666666669E-001
1,52,1.0000000000000000E+000
1,53,1.0000000000000000E+000
1,54,1.0000000000000000E+000
1,55,1.0000000000000000E+000
1,56,7.5456919060052219E-001
1,57,1.0000000000000000E+000
1,58,1.0000000000000000E+000
1,59,1.0000000000000000E+000
1,60,7.5979112271540472E-001
1,61,9.6083550913838123E-001
1,62,7.5000000000000000E-001
1,63,1.0000000000000000E+000
1,64,1.0000000000000000E+000
1,66,7.3368146214099217E-001
1,67,1.0000000000000000E+000
1,68,1.0000000000000000E+000
1,69,1.0000000000000000E+000
1,72,9.9452054794520550E-001
1,73,9.4425087108013939E-001
1,74,8.2954545454545459E-001
1,75,1.0000000000000000E+000
1,76,1.0000000000000000E+000
1,77,7.2062663185378595E-001
1,78,5.2845528455284552E-001
2,5,3.5555555555555557E-001
2,6,9.3333333333333335E-001
2,8,1.0000000000000000E+000
2,9,2.0000000000000001E-001
2,10,4.4444444444444446E-002
2,11,7.1111111111111114E-001
2,12,6.6666666666666666E-002
2,15,8.6666666666666670E-001
2,17,1.0000000000000000E+000
2,21,7.1111111111111114E-001
2,22,1.8750000000000000E-001
2,24,9.3333333333333335E-001
2,26,1.0000000000000000E+000
2,27,2.2222222222222223E-002
2,29,6.2222222222222223E-001
2,30,8.8888888888888884E-001
2,32,1.0000000000000000E+000
2,33,2.2727272727272728E-002
2,37,5.7777777777777772E-001
2,39,1.0000000000000000E+000
2,40,4.8780487804878050E-002
2,41,7.1111111111111114E-001
2,42,8.0000000000000004E-001
2,43,1.8750000000000000E-001
2,44,1.1111111111111110E-001
2,47,9.3333333333333335E-001
2,48,1.0000000000000000E+000
2,51,2.8888888888888886E-001
2,55,6.2500000000000000E-002
2,56,1.0000000000000000E+000
2,57,1.0000000000000000E+000
2,59,2.4444444444444444E-001
2,60,1.0000000000000000E+000
2,61,9.3333333333333335E-001
2,62,6.8750000000000000E-001
2,66,1.0000000000000000E+000
2,68,8.1481481481481477E-001
2,69,1.2500000000000000E-001
2,72,7.1111111111111114E-001
2,73,9.3333333333333335E-001
2,74,7.5555555555555554E-001
2,77,1.0000000000000000E+000
2,78,9.7777777777777775E-001
3,5,6.2500000000000000E-002
3,6,9.3750000000000000E-001
3,8,1.0000000000000000E+000
3,9,4.3750000000000000E-001
3,10,6.8750000000000000E-001
3,11,2.5000000000000000E-001
3,15,8.1250000000000000E-001
3,17,1.0000000000000000E+000
3,21,4.3750000000000000E-001
3,24,1.0000000000000000E+000
3,26,1.0000000000000000E+000
3,28,1.2500000000000000E-001
3,29,5.0000000000000000E-001
3,30,9.3750000000000000E-001
3,32,1.0000000000000000E+000
3,37,6.8750000000000000E-001
3,39,1.0000000000000000E+000
3,41,5.0000000000000000E-001
3,42,1.0000000000000000E+000
3,44,2.5000000000000000E-001
3,47,9.3750000000000000E-001
3,48,1.0000000000000000E+000
3,51,5.6250000000000000E-001
3,56,1.0000000000000000E+000
3,60,1.0000000000000000E+000
3,61,1.0000000000000000E+000
3,66,1.0000000000000000E+000
3,72,8.7500000000000000E-001
3,73,1.0000000000000000E+000
3,74,3.7500000000000000E-001
3,76,1.8750000000000000E-001
3,77,1.0000000000000000E+000
3,78,8.7500000000000000E-001
4,5,1.0000000000000000E+000
4,6,1.0000000000000000E+000
4,8,1.0000000000000000E+000
4,9,7.5000000000000000E-001
4,12,4.3750000000000000E-001
4,15,1.0000000000000000E+000
4,16,8.7500000000000000E-001
4,17,1.0000000000000000E+000
4,24,1.0000000000000000E+000
4,26,1.0000000000000000E+000
4,27,7.5000000000000000E-001
4,30,1.0000000000000000E+000
4,32,1.0000000000000000E+000
4,37,1.0000000000000000E+000
4,39,1.0000000000000000E+000
4,41,1.0000000000000000E+000
4,42,1.0000000000000000E+000
4,44,1.0000000000000000E+000
4,45,2.5000000000000000E-001
4,46,3.7500000000000000E-001
4,47,1.0000000000000000E+000
4,48,1.0000000000000000E+000
4,56,1.0000000000000000E+000
4,58,6.8750000000000000E-001
4,60,1.0000000000000000E+000
4,61,1.0000000000000000E+000
4,66,1.0000000000000000E+000
4,72,1.0000000000000000E+000
4,73,1.0000000000000000E+000
4,75,5.6250000000000000E-001
4,77,1.0000000000000000E+000
5,6,8.1318681318681318E-001
5,7,8.1250000000000000E-001
5,8,9.3406593406593408E-001
5,9,8.4065934065934067E-001
5,10,9.6774193548387094E-002
5,11,1.7599999999999999E-001
5,12,1.0000000000000000E+000
5,15,9.7252747252747251E-001
5,16,9.2857142857142860E-001
5,17,9.3956043956043955E-001
5,21,1.0429447852760736E-001
5,22,1.0000000000000000E+000
5,24,9.9450549450549453E-001
5,26,9.1758241758241754E-001
5,27,1.0000000000000000E+000
5,29,3.3928571428571430E-001
5,30,9.8351648351648346E-001
5,31,1.0000000000000000E+000
5,32,9.2857142857142860E-001
5,37,9.2307692307692313E-001
5,38,4.3750000000000000E-001
5,39,9.3956043956043955E-001
5,40,4.8780487804878050E-002
5,41,9.8351648351648346E-001
5,42,6.6483516483516480E-001
5,43,1.0000000000000000E+000
5,44,9.2857142857142860E-001
5,45,8.7500000000000000E-001
5,46,9.3750000000000000E-001
5,47,9.8351648351648346E-001
5,48,9.7252747252747251E-001
5,49,3.7500000000000000E-001
5,50,1.0000000000000000E+000
5,51,1.7333333333333334E-001
5,52,5.4054054054054057E-002
5,53,2.4731182795698925E-001
5,55,1.2500000000000000E-001
5,56,9.7252747252747251E-001
5,58,1.0000000000000000E+000
5,59,6.3186813186813184E-001
5,60,9.8351648351648346E-001
5,61,9.9450549450549453E-001
5,62,3.1250000000000000E-001
5,63,3.2000000000000001E-001
5,66,9.4505494505494503E-001
5,68,7.4074074074074070E-002
5,69,7.5000000000000000E-001
5,72,9.9450549450549453E-001
5,73,9.1208791208791207E-001
5,74,2.0454545454545456E-001
5,75,1.0000000000000000E+000
5,76,6.8750000000000000E-001
5,77,9.5054945054945050E-001
5,78,2.0879120879120880E-001
6,8,1.0000000000000000E+000
6,9,5.4581673306772904E-001
6,10,4.1935483870967744E-001
6,11,4.4800000000000001E-001
6,12,9.3999999999999995E-001
6,14,1.0344827586206896E-001
6,15,9.6015936254980083E-001
6,16,1.0000000000000000E+000
6,17,1.0000000000000000E+000
6,20,6.2500000000000000E-002
6,21,3.2515337423312884E-001
6,22,1.0000000000000000E+000
6,23,4.7058823529411764E-002
6,24,9.9601593625498008E-001
6,26,1.0000000000000000E+000
6,27,1.0000000000000000E+000
6,28,1.5306122448979592E-001
6,29,1.0000000000000000E+000
6,30,9.8406374501992033E-001
6,31,1.0000000000000000E+000
6,32,9.8406374501992033E-001
6,33,2.2727272727272728E-002
6,36,1.1235955056179775E-001
6,37,9.0836653386454180E-001
6,39,1.0000000000000000E+000
6,40,1.0000000000000000E+000
6,41,8.8047808764940239E-001
6,42,9.5594713656387664E-001
6,43,1.0000000000000000E+000
6,44,6.7729083665338641E-001
6,45,1.0000000000000000E+000
6,46,1.0000000000000000E+000
6,47,9.8406374501992033E-001
6,48,1.0000000000000000E+000
6,49,1.8750000000000000E-001
6,50,1.0000000000000000E+000
6,51,1.0000000000000000E+000
6,53,3.2258064516129031E-002
6,55,1.0000000000000000E+000
6,56,1.0000000000000000E+000
6,57,1.0000000000000000E+000
6,58,1.0000000000000000E+000
6,59,4.0298507462686567E-001
6,60,1.0000000000000000E+000
6,61,9.9601593625498008E-001
6,62,5.0000000000000000E-001
6,63,1.7333333333333334E-001
6,66,1.0000000000000000E+000
6,68,1.0000000000000000E+000
6,69,2.5000000000000000E-001
6,72,9.2031872509960155E-001
6,73,9.9601593625498008E-001
6,74,7.9545454545454541E-001
6,75,1.0000000000000000E+000
6,76,1.0000000000000000E+000
6,77,1.0000000000000000E+000
6,78,5.2845528455284552E-001
7,8,6.2500000000000000E-002
7,9,1.0000000000000000E+000
7,15,1.0000000000000000E+000
7,17,1.2500000000000000E-001
7,24,9.3750000000000000E-001
7,30,1.0000000000000000E+000
7,32,2.5000000000000000E-001
7,37,9.3750000000000000E-001
7,38,6.2500000000000000E-001
7,39,1.2500000000000000E-001
7,41,9.3750000000000000E-001
7,44,1.0000000000000000E+000
7,47,1.0000000000000000E+000
7,48,5.0000000000000000E-001
7,53,9.3750000000000000E-001
7,56,5.0000000000000000E-001
7,59,1.0000000000000000E+000
7,60,6.2500000000000000E-001
7,61,9.3750000000000000E-001
7,66,1.8750000000000000E-001
7,69,1.8750000000000000E-001
7,72,1.0000000000000000E+000
7,77,2.5000000000000000E-001
8,9,6.2781954887218050E-001
8,10,9.8924731182795700E-001
8,11,9.6799999999999997E-001
8,12,1.0000000000000000E+000
8,13,1.0000000000000000E+000
8,14,1.0000000000000000E+000
8,15,7.3490813648293962E-001
8,16,1.0000000000000000E+000
8,17,9.9742268041237114E-001
8,18,2.7027027027027029E-002
8,20,1.0000000000000000E+000
8,21,9.7546012269938653E-001
8,22,1.0000000000000000E+000
8,23,1.0000000000000000E+000
8,24,7.5968992248062017E-001
8,26,1.0000000000000000E+000
8,27,1.0000000000000000E+000
8,28,1.0000000000000000E+000
