x_raw	y_raw
  0.000000	   0.1288435374
  0.100000	   0.4446834660
  0.200000	   0.6536324408
  0.300000	   0.7541812915
  0.400000	   0.7852812398
  0.500000	   0.8038578774
  0.600000	   0.8550757663
  0.700000	   0.9495690430
  0.800000	   1.0584504613
  0.900000	   1.1284141695
  1.000000	   1.1096646356
  1.100000	   0.9832542946
  1.200000	   0.7745985368
  1.300000	   0.5463792800
  1.400000	   0.3737226918
  1.500000	   0.3128943819
  1.600000	   0.3778638762
  1.700000	   0.5354820787
  1.800000	   0.7213793395
  1.900000	   0.8690787875
  2.000000	   0.9387390440
  2.100000	   0.9322399882
  2.200000	   0.8878528021
  2.300000	   0.8574116877
  2.400000	   0.8771719114
  2.500000	   0.9465055680
  2.600000	   1.0248575821
  2.700000	   1.0487175097
  2.800000	   0.9608408854
  2.900000	   0.7380650720
  3.000000	   0.4045897809
  3.100000	   0.0242967376
  3.200000	  -0.3245750076
  3.300000	  -0.5808733302
  3.400000	  -0.7237499518
  3.500000	  -0.7771894932
  3.600000	  -0.7941556247
  3.700000	  -0.8281834802
  3.800000	  -0.9060565737
  3.900000	  -1.0145767935
  4.000000	  -1.1076744642
  4.100000	  -1.1304039284
  4.200000	  -1.0483034752
  4.300000	  -0.8679717261
  4.400000	  -0.6387704254
  4.500000	  -0.4344040130
  4.600000	  -0.3225947832
  4.700000	  -0.3367153123
  4.800000	  -0.4623992540
  4.900000	  -0.6452157310
  5.000000	  -0.8157136890
  5.100000	  -0.9201084407
  5.200000	  -0.9423596742
  5.300000	  -0.9075533135
  5.400000	  -0.8653805622
  5.500000	  -0.8619215130
  5.600000	  -0.9134554739
  5.700000	  -0.9950406708
  5.800000	  -1.0495952158
  5.900000	  -1.0134721993
  6.000000	  -0.8466435136
  6.100000	  -0.5533055930
  6.200000	  -0.1830899811
  6.300000	   0.1879405919
  6.400000	   0.4879248437
  6.500000	   0.6774803463
  6.600000	   0.7627830347
  6.700000	   0.7877471065
  6.800000	   0.8093863415
  6.900000	   0.8682655961
  7.000000	   0.9681497716
  7.100000	   1.0745027837
  7.200000	   1.1324876318
  7.300000	   1.0958162281
  7.400000	   0.9525809309
  7.500000	   0.7355323966
  7.600000	   0.5115313746
  7.700000	   0.3546841383
  7.800000	   0.3153728276
  7.900000	   0.3993883810
  8.000000	   0.5667201207
  8.100000	   0.7504323165
  8.200000	   0.8867443776
  8.300000	   0.9422961071
  8.400000	   0.9260258684
  8.500000	   0.8804262993
  8.600000	   0.8567098015
  8.700000	   0.8860144205
  8.800000	   0.9606334770
  8.900000	   1.0344888679
  9.000000	   1.0429329925
  9.100000	   0.9327616107
  9.200000	   0.6883877399
  9.300000	   0.3417962121
  9.400000	  -0.0386033217
  9.500000	  -0.3752952441
  9.600000	  -0.6126979846
  9.700000	  -0.7377740854
  9.800000	  -0.7809746715
  9.900000	  -0.7975012991
