vector_index,x,y_original,cluster_id,is_noise,is_core
1,0.0634911435464082,-0.9127123123540324,0,1,0
2,-0.0698009021284509,-0.8773231355166324,0,1,0
3,-0.0515606161500537,-0.8513695309769433,0,1,0
4,0.0606625908894336,-0.7403542303960937,1,0,1
5,0.0691061875324613,-0.7715522782323081,1,0,1
6,0.0477978347117408,-0.7811128222168979,1,0,1
7,-0.0839739292605435,-0.7495915002588563,1,0,1
8,-0.0357381492578263,-0.7075355425339416,1,0,1
9,0.012551899295881,-0.6949272468588854,1,0,1
10,-0.0679424769528073,-0.6544021370217572,1,0,1
11,0.1096770208103434,-0.5898810859463468,1,0,1
12,-0.1921557555160436,-0.7307412478598344,0,1,0
13,-0.0622991612295322,-0.7642677621317637,1,0,1
14,-0.0407653202295865,-0.6670461419232495,1,0,1
15,-0.2275154931817414,-0.8012178046560083,0,1,0
16,-0.1116983304188952,-0.7575221370205418,1,0,0
17,0.0500231610033654,-0.6168237178369639,1,0,1
18,0.0024226909242371,-0.7002528506305777,1,0,1
19,0.1258508817634322,-0.7805263644105787,1,0,1
20,0.1236181156707855,-0.7966036000679236,1,0,0
21,0.0346437102883157,-0.6670704075839793,1,0,1
22,0.0250590599200569,-0.5731644060748173,1,0,1
23,0.005274488686312,-0.5677808539265373,1,0,1
24,-0.2124065614303592,-0.6427424629943794,0,1,0
25,-0.111564761066086,-0.4844485367948905,1,0,0
26,0.0080540402479147,-0.6470953066945919,1,0,1
27,0.0492820566998137,-0.6433434743879219,1,0,1
28,0.0231735849710512,-0.8312013243920233,1,0,0
29,-0.0713971974172526,-0.6551438746425747,1,0,1
30,0.0749925025975596,-0.5447420230137721,1,0,1
31,0.1185955223003709,-0.4813347059544495,1,0,1
32,0.0750391680233071,-0.6664187706933828,1,0,1
33,0.0791679463672376,-0.5565682007533304,1,0,1
34,-0.0447380638364168,-0.5033464516076854,1,0,1
35,0.0860747298160639,-0.5797485090346507,1,0,1
36,0.0116606911462125,-0.7568559849892752,1,0,1
37,0.0409244422817603,-0.5479587355179308,1,0,1
38,0.0292345474259767,-0.5003758726557737,1,0,1
39,-0.0097189684352328,-0.6306325412788961,1,0,1
40,-0.0688001980097841,-0.5687194592441446,1,0,0
41,-0.0065709330843237,-0.634375167241269,1,0,1
42,0.0789409293986258,-0.7410956748541702,1,0,1
43,-0.0353180644250327,-0.4468719051215036,1,0,1
44,0.0714677810086516,-0.5228805278654386,1,0,1
45,0.0589656536494137,-0.3883150325216659,1,0,1
46,-0.0239149917615864,-0.4410916440023446,1,0,1
47,0.1111040082895661,-0.5315625873848489,1,0,1
48,-0.0284437336952564,-0.5034286463567398,1,0,1
49,0.1207637490090105,-0.4450283893835475,1,0,1
50,0.0347301585232778,-0.4065202944014761,1,0,1
51,-0.001269273476281,-0.4516057043793488,1,0,1
52,-0.0710241104270123,-0.3825202903123251,1,0,1
53,-0.0070608184108033,-0.4882496279662158,1,0,1
54,-0.0163007610795536,-0.5378359998718872,1,0,1
55,-0.1006637108200724,-0.4567976435106969,1,0,1
56,-0.0174092338174133,-0.428746499063686,1,0,1
57,-0.0643042544077668,-0.5348325089984979,1,0,1
58,0.0468793415183025,-0.5391958312478589,1,0,1
59,0.1045024380582562,-0.390015547895029,1,0,1
60,-0.0981532541036192,-0.4518633868193114,1,0,1
61,0.1369846182693538,-0.4261704982594118,1,0,1
62,-0.0102840827508103,-0.4352270261592917,1,0,1
63,-0.0780017107950811,-0.2783519278589431,1,0,1
64,0.0606203824166546,-0.2926074942651742,1,0,1
65,-0.0357163582604038,-0.4860850693966819,1,0,1
66,-0.0065389340825195,-0.4232686183367584,1,0,1
67,-0.0323422595369663,-0.3061932069495294,1,0,1
68,-0.065339034549192,-0.3195870365156116,1,0,1
69,0.0579197625921523,-0.364606959567028,1,0,1
70,-0.0229041122315349,-0.4458467260745582,1,0,1
71,-0.1149321433743396,-0.4029903004664772,1,0,1
72,0.0440848099372746,-0.3832768892746709,1,0,1
73,-0.0964465880819004,-0.3133243244782139,1,0,1
74,-0.0922608138140207,-0.1927340856887371,2,0,1
75,0.0954084963981852,-0.3775310639443406,1,0,1
76,-0.0957071919368169,-0.3982118520624838,1,0,1
77,-0.1853155885541992,-0.3183643375010742,0,1,0
78,0.0498289187969196,-0.2206866880104882,1,0,1
79,-0.0243090743584904,-0.4125248308892434,1,0,1
80,-0.0174124096910493,-0.1740318485751655,2,0,1
81,-0.025160031468016,-0.2976334767111891,1,0,1
82,0.0185335951214981,-0.3361649550237796,1,0,1
83,-0.0602175393522454,-0.3989828848764566,1,0,1
84,0.1180891899652611,-0.2079944671586079,1,0,1
85,-0.1180984384247518,-0.271758211748355,1,0,1
86,0.0355899933341698,-0.237956464605446,1,0,1
87,0.0513696803101267,-0.3172262296034898,1,0,1
88,-0.0607721408666702,-0.2642373601594368,1,0,1
89,-0.0818987556222254,-0.2711845642245081,1,0,1
90,0.0813739371336125,-0.2338539000431598,1,0,1
91,-0.0792688603213371,-0.2729190248197423,1,0,1
92,-0.0485331152600453,-0.3356377026614294,1,0,1
93,0.0709847169967797,0.0118283667205026,1,0,1
94,0.0027792986831219,-0.3090723397870012,1,0,1
95,-0.1437714934103283,-0.1790316665413711,2,0,0
96,0.1397647315642811,-0.3288590004674718,1,0,0
97,-0.0424008607023972,-0.3404089562197606,1,0,1
98,-0.0322205831925133,-0.1663674290389153,2,0,1
99,0.0204627401861092,-0.1537925284624068,2,0,1
