vector_index,x,y_original,cluster_id,is_noise,is_core
1,-1.0,-0.9259057961974688,1,0,1
2,-0.995991983967936,-0.8392306366982613,0,1,0
3,-0.9919839679358716,-1.095853341777275,0,1,0
4,-0.9879759519038076,-0.9309143648723696,1,0,1
5,-0.9839679358717436,-1.019987277273233,1,0,1
6,-0.9799599198396792,-0.9988898703805345,1,0,1
7,-0.9759519038076152,-0.99929532155434,1,0,1
8,-0.9719438877755512,-1.0130070371254871,1,0,1
9,-0.9679358717434868,-0.9319900132513876,1,0,1
10,-0.9639278557114228,-0.9943317207357286,1,0,1
11,-0.9599198396793588,-0.8982031332963303,1,0,1
12,-0.9559118236472944,-0.91584269605052,1,0,1
13,-0.9519038076152304,-0.9229234589797736,1,0,1
14,-0.9478957915831664,-0.9683966761296604,1,0,1
15,-0.9438877755511024,-0.9339172575476712,1,0,1
16,-0.939879759519038,-0.8193282209720157,1,0,1
17,-0.935871743486974,-0.8316701119639975,1,0,1
18,-0.93186372745491,-0.941931874493704,1,0,1
19,-0.9278557114228456,-0.8477648384113534,1,0,1
20,-0.9238476953907816,-0.7875844209118201,1,0,1
21,-0.9198396793587176,-0.9732317812071448,1,0,1
22,-0.9158316633266532,-0.7881945112629118,1,0,1
23,-0.9118236472945892,-0.8766571953048461,1,0,1
24,-0.9078156312625252,-0.7699833690375973,1,0,1
25,-0.9038076152304608,-0.8686759629843233,1,0,1
26,-0.8997995991983968,-0.9439897664499552,1,0,1
27,-0.8957915831663327,-0.9217865613633184,1,0,1
28,-0.8917835671342685,-0.7797203385356265,1,0,1
29,-0.8877755511022044,-0.7547733020666902,1,0,1
30,-0.8837675350701403,-0.8398804001486333,1,0,1
31,-0.8797595190380761,-0.7084316413739624,1,0,1
32,-0.875751503006012,-0.8844246109935407,1,0,1
33,-0.8717434869739479,-0.7487733578396811,1,0,1
34,-0.8677354709418837,-0.8323522378647641,1,0,0
35,-0.8637274549098196,-0.7796017984438119,1,0,1
36,-0.8597194388777555,-0.7156469840501979,1,0,1
37,-0.8557114228456915,-0.7802559149140991,1,0,1
38,-0.8517034068136273,-0.7341712571656407,1,0,1
39,-0.8476953907815632,-0.6148873568259712,1,0,1
40,-0.8436873747494991,-0.73352609906085,1,0,1
41,-0.8396793587174349,-0.6125033484696585,1,0,1
42,-0.8356713426853708,-0.761719233743351,1,0,1
43,-0.8316633266533067,-0.6209423190733907,1,0,1
44,-0.8276553106212425,-0.5399851315898531,1,0,1
45,-0.8236472945891784,-0.84502614918854,0,1,0
46,-0.8196392785571143,-0.7030301775518667,1,0,1
47,-0.8156312625250501,-0.585096754875657,1,0,1
48,-0.811623246492986,-0.6394901238694114,1,0,1
49,-0.8076152304609219,-0.585538791052139,1,0,1
50,-0.8036072144288577,-0.6555332437949811,1,0,1
51,-0.7995991983967936,-0.5922712137957552,1,0,1
52,-0.7955911823647295,-0.6036365435608253,1,0,1
53,-0.7915831663326653,-0.4897437677325461,1,0,1
54,-0.7875751503006012,-0.5547966331371054,1,0,1
55,-0.7835671342685371,-0.540126055571058,1,0,1
56,-0.779559118236473,-0.5920683937627433,1,0,1
57,-0.7755511022044088,-0.5901107023346172,1,0,1
58,-0.7715430861723447,-0.577690827370259,1,0,1
59,-0.7675350701402806,-0.5035139688902973,1,0,1
