vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3
1,0.0234962811517138,-0.7897852890078546,3,1.0,1.540028153722726e-143,1.5324465403473378e-193,1.0
2,-0.0375796188950765,-0.8139073760194773,3,1.0,1.5007645108870601e-175,3.901118556026017e-176,1.0
3,-0.0065559011175492,-0.8022660526521657,3,1.0,1.137954656796838e-159,9.788255396064905e-186,1.0
4,-0.0008332004676266,-0.8002334760546257,3,1.0,9.465286196914849e-157,1.8736514939962227e-187,1.0
5,0.0003181731679926,-0.7769635688258959,3,1.0,1.6585534604720795e-147,2.4404183019230774e-177,1.0
6,0.0036099211215616,-0.7443380888024598,3,1.0,1.9616099948892052e-134,2.3907052825509503e-164,1.0
7,0.0122087963961898,-0.7613911399851158,3,1.0,1.87221758557538e-137,1.4650719350715228e-175,1.0
8,-0.000708148780907,-0.7637030835259733,3,1.0,5.733210581777776e-143,5.839880195391711e-171,1.0
9,-0.0073611656428736,-0.7788993953750984,3,1.0,5.160110866459982e-151,9.563849797028133e-175,1.0
10,-0.0081517868931939,-0.7308929921763709,3,1.0,1.0663782194070697e-133,1.3591361962238187e-153,1.0
11,-0.012230316040767,-0.7510919630863145,3,1.0,2.2509011368925767e-142,2.1890291040167397e-160,1.0
12,0.0157508664865373,-0.7266819056813543,3,1.0,5.332216453622152e-124,8.683475000326296e-162,1.0
13,-0.0129305695895302,-0.7296650174796232,3,1.0,7.373767424193733e-135,4.91159093312111e-151,1.0
14,0.0169354221801648,-0.6993654878660758,3,1.0,1.950366365366633e-114,1.0512428229858057e-150,1.0
15,0.0003799816451974,-0.7128221471954098,3,1.0,1.5573212174096714e-124,1.2225711317921481e-149,1.0
16,-0.0104250961371225,-0.704404333542074,3,1.0,3.419691841065708e-125,9.405144892764735e-142,1.0
17,0.0123681443148826,-0.6870592505992779,3,1.0,5.937879676008765e-112,7.189228855829177e-144,1.0
18,-0.0145490784944623,-0.6481837769998977,3,1.0,7.674269467933844e-108,1.8678656273658652e-118,1.0
19,0.0127636808145642,-0.6661020291347645,3,1.0,3.962665328371923e-105,1.2168554948762512e-135,1.0
