vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7,posterior_component_8,posterior_component_9,posterior_component_10,posterior_component_11,posterior_component_12,posterior_component_13,posterior_component_14
1,-1.0,-6.984432778476667,11,1.0,0.0,7.697617228288343e-178,0.0,0.0,0.0,1.9786289025449356e-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,-0.995991983967936,-6.943112082934502,11,1.0,0.0,2.3858319693344505e-179,0.0,0.0,0.0,5.796744896518179e-22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,-0.9919839679358716,-6.880988967021693,11,1.0,0.0,9.11967698198078e-170,0.0,0.0,0.0,1.854673714219414e-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,-0.9879759519038076,-6.79767580613118,11,0.9999999999999998,0.0,6.414069722664081e-150,0.0,0.0,0.0,2.669075281365169e-16,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0
5,-0.9839679358717436,-6.734440498694582,11,0.9999999999999933,0.0,1.1528656792575838e-140,0.0,0.0,0.0,6.669302036199245e-15,0.0,0.0,0.0,0.0,0.9999999999999933,0.0,0.0,0.0
6,-0.9799599198396792,-6.673973472870175,11,0.9999999999999303,0.0,5.546081180023598e-133,0.0,0.0,0.0,6.977574486152402e-14,0.0,0.0,0.0,0.0,0.9999999999999303,0.0,0.0,0.0
7,-0.9759519038076152,-6.585295339699478,11,0.9999999992554487,0.0,5.535068164908885e-113,0.0,0.0,0.0,7.445513535227546e-10,0.0,0.0,0.0,0.0,0.9999999992554487,0.0,0.0,0.0
8,-0.9719438877755512,-6.514871687114633,11,0.9999999549719197,0.0,6.2123265074473365e-102,0.0,0.0,0.0,4.502808031419043e-08,1.9163527e-317,0.0,0.0,0.0,0.9999999549719197,0.0,0.0,0.0
9,-0.9679358717434868,-6.467403336817097,11,0.9999999871597188,0.0,8.700609341812366e-101,0.0,0.0,0.0,1.2840281066224002e-08,1.6571259597272e-310,0.0,0.0,0.0,0.9999999871597188,0.0,0.0,0.0
10,-0.9639278557114228,-6.375251991545194,11,0.999957451682351,0.0,6.285268936569216e-82,0.0,0.0,0.0,4.2548317649131106e-05,7.547616516421619e-277,0.0,0.0,0.0,0.999957451682351,0.0,0.0,0.0
11,-0.9599198396793588,-6.363703384185823,11,0.99999998381512,0.0,1.3474340291745472e-94,0.0,0.0,0.0,1.6184880068286804e-08,3.0272450111686043e-291,0.0,0.0,0.0,0.99999998381512,0.0,0.0,0.0
