vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7,posterior_component_8
1,-1.0,-7.054014261997951,4,1.0,7.11163329637551e-223,2.3199031430439962e-107,0.0,1.0,0.0,9.07980725404081e-19,0.0,0.0
2,-0.995991983967936,-6.943649862265173,4,0.9999999999999977,7.463809502385188e-209,3.0224735000146276e-98,0.0,0.9999999999999977,0.0,2.3123147514486877e-15,0.0,0.0
3,-0.9919839679358716,-6.928018583033245,4,0.9999999999999999,2.2752160530823047e-208,6.973506442513824e-100,0.0,0.9999999999999999,0.0,6.842307911687923e-17,0.0,0.0
4,-0.9879759519038076,-6.822245239354084,4,0.9999999999999347,1.0307731483052423e-195,1.3140786211205975e-91,0.0,0.9999999999999347,0.0,6.525647275108153e-14,0.0,0.0
5,-0.9839679358717436,-6.882525979600386,4,1.0,4.122315250926859e-205,2.8891310974709873e-101,0.0,1.0,0.0,4.1575796191336517e-19,0.0,0.0
6,-0.9799599198396792,-6.647845415293794,4,0.9999999996903197,1.0913878262219231e-176,1.0422947426618805e-79,0.0,0.9999999996903197,0.0,3.0968030747648164e-10,0.0,0.0
7,-0.9759519038076152,-6.599126650619635,4,0.9999999996164353,2.3585577332223276e-172,6.468225493849465e-78,0.0,0.9999999996164353,0.0,3.835647706292143e-10,0.0,0.0
8,-0.9719438877755512,-6.599344881771498,4,0.9999999999952172,8.526375226423468e-174,5.440195493736546e-81,0.0,0.9999999999952172,0.0,4.782785386380574e-12,0.0,0.0
9,-0.9679358717434868,-6.4164318210683415,4,0.9999990582665934,1.931675586338018e-154,4.1721448092550014e-66,0.0,0.9999990582665934,0.0,9.417334066176301e-07,0.0,0.0
10,-0.9639278557114228,-6.329796982156175,4,0.999980805928217,1.2375954807133058e-146,6.0724786617877136e-61,0.0,0.999980805928217,0.0,1.919407178297364e-05,0.0,0.0
11,-0.9599198396793588,-6.469474391052671,4,0.9999999999960202,1.1044420704119019e-162,7.071595043599367e-77,0.0,0.9999999999960202,0.0,3.9798051636843916e-12,0.0,0.0
12,-0.9559118236472944,-6.338388937785801,4,0.9999999925515803,4.019368942163465e-150,1.778832477723357e-67,0.0,0.9999999925515803,0.0,7.448419658057367e-09,0.0,0.0
13,-0.9519038076152304,-6.275836496688352,4,0.9999999683938672,5.585302350080193e-145,1.5834289618761574e-64,0.0,0.9999999683938672,0.0,3.16061327802535e-08,0.0,0.0
14,-0.9478957915831664,-6.2268627643534655,4,0.9999999533064766,2.7818548138782606e-141,8.176973767166482e-63,0.0,0.9999999533064766,0.0,4.669352339450459e-08,0.0,0.0
15,-0.9438877755511024,-6.023107645571145,4,0.9985443364344239,4.035182727234123e-124,3.544087751977794e-48,0.0,0.9985443364344239,0.0,0.0014556635655761203,1.995534892085864e-294,0.0
16,-0.939879759519038,-6.043195004536986,4,0.9999699352921564,7.144775760843536e-127,2.1396467245140235e-52,0.0,0.9999699352921564,0.0,3.0064707843487335e-05,3.909814405785452e-303,0.0
17,-0.935871743486974,-5.987499999845051,4,0.9999414040998357,3.401802045747533e-123,2.3902150749580904e-50,0.0,0.9999414040998357,0.0,5.859590016440317e-05,1.3250370481476224e-294,0.0
18,-0.93186372745491,-6.065722774140357,4,0.9999999696744108,4.995339637286329e-130,9.611607746999396e-59,0.0,0.9999999696744108,0.0,3.0325589147954065e-08,9.58549156e-316,0.0
19,-0.9278557114228456,-5.794078843108285,4,0.9895247666695457,2.107879770868059e-110,3.030958029797016e-40,0.0,0.9895247666695457,0.0,0.01047523333045426,2.443305240344955e-260,0.0
20,-0.9238476953907816,-5.8839734404871065,4,0.9999841937392185,2.4906622638507208e-117,4.6521990388759255e-49,0.0,0.9999841937392185,0.0,1.5806260781460375e-05,3.3531196208216373e-283,0.0
21,-0.9198396793587176,-5.720379079434943,4,0.9946505485739177,5.823058004993982e-107,2.2075563928120662e-39,0.0,0.9946505485739177,0.0,0.0053494514260823845,1.847577205806523e-252,0.0
22,-0.9158316633266532,-5.643743348107641,4,0.9812881497702057,7.137174037526039e-103,3.472443157892827e-36,0.0,0.9812881497702057,0.0,0.01871185022979432,1.9396451122973724e-240,0.0
23,-0.9118236472945892,-5.498257975842892,4,0.7390530279608765,1.694355920638463e-95,9.582961679103467e-29,0.0,0.7390530279608765,0.0,0.26094697203912354,2.9486012745809324e-215,0.0
24,-0.9078156312625252,-5.653409257629852,4,0.9993800950997905,4.2910891680552735e-104,1.3918591738817899e-40,0.0,0.9993800950997905,0.0,0.0006199049002095412,3.886003758790206e-249,0.0
25,-0.9038076152304608,-5.732271816927994,4,0.9999969007889435,3.1312193753173915e-108,3.3403849628866788e-47,0.0,0.9999969007889435,0.0,3.099211056614774e-06,1.0124317304043572e-267,0.0
26,-0.8997995991983968,-5.4184228109627135,4,0.9013606416442947,5.164730242773487e-93,1.7456202022386742e-29,0.0,0.9013606416442947,0.0,0.09863935835570525,2.5414016487214894e-210,0.0
27,-0.8957915831663327,-5.231920976168515,4,0.532441652238624,3.838926447719929e-86,9.128242771991828e-21,0.0,0.532441652238624,0.0,0.46755834776137595,1.1769302294621426e-179,0.0
28,-0.8917835671342685,-5.220086879413305,4,0.5927343373376013,4.440864312802064e-86,7.572663573379472e-22,0.0,0.5927343373376013,0.0,0.4072656626623988,7.579174068996381e-181,0.0
29,-0.8877755511022044,-5.246078626945283,4,0.7227600193287969,5.283422042920731e-87,9.606515093449019e-25,0.0,0.7227600193287969,0.0,0.27723998067120315,1.781520965146408e-188,0.0
30,-0.8837675350701403,-5.246237597843338,4,0.783799202136684,7.137942363922077e-87,4.098703369335597e-26,0.0,0.783799202136684,0.0,0.21620079786331606,2.3920496004296664e-191,0.0
31,-0.8797595190380761,-5.086797203141053,4,0.5083529536224728,9.237027979575773e-83,9.644265222452641e-20,0.0,0.5083529536224728,0.0,0.49164704637752715,3.3838166924565996e-167,0.0
32,-0.875751503006012,-5.1741144545284135,4,0.6582945831149841,2.200585460921892e-84,5.022621127010235e-25,0.0,0.6582945831149841,0.0,0.34170541688501604,2.1353440861916075e-184,0.0
33,-0.8717434869739479,-5.003387779231344,6,0.6142869901839925,6.029440958177226e-81,1.361352987414262e-18,0.0,0.3857130098160075,0.0,0.6142869901839925,3.184014341558013e-159,0.0
34,-0.8677354709418837,-4.946724779569075,6,0.6779450483239355,6.486970093633791e-80,2.2533416238758936e-17,0.0,0.32205495167606435,0.0,0.6779450483239355,6.223366334159791e-153,0.0
35,-0.8637274549098196,-4.848410395266853,6,0.6412116071228743,1.4282946627035165e-78,2.013059363384093e-14,0.0,0.3587883928771056,0.0,0.6412116071228743,2.7357405691282655e-140,0.0
36,-0.8597194388777555,-4.65891643910704,4,0.90768463479997,2.9872687170272815e-77,4.889167196173066e-08,6.117323219387907e-299,0.90768463479997,0.0,0.09231531630835813,1.7523896124681548e-114,0.0
37,-0.8557114228456915,-4.795153732734607,6,0.8537526963818218,9.054116631991935e-78,1.0327194973766156e-14,0.0,0.14624730361816782,0.0,0.8537526963818218,1.3713234602605123e-137,0.0
38,-0.8517034068136273,-4.814516036337321,6,0.9515509344440468,1.8133901830237673e-77,1.4015961504405674e-16,0.0,0.04844906555595305,0.0,0.9515509344440468,5.116253277527089e-143,0.0
39,-0.8476953907815632,-4.723489450457737,6,0.9547324687089042,6.742282248332326e-77,3.2857352093916436e-14,1.765993e-318,0.045267531291063035,0.0,0.9547324687089042,4.014954259050527e-132,0.0
40,-0.8436873747494991,-4.81100521485202,6,0.9933859175888136,4.5148990171564324e-76,3.3171056791334353e-18,0.0,0.006614082411186386,0.0,0.9933859175888136,5.575266540673501e-147,0.0
41,-0.8396793587174349,-4.673481362450396,6,0.9932674976722335,5.01253691896934e-76,1.92523757092424e-14,1.7836772402294e-311,0.006732502327747152,0.0,0.9932674976722335,8.797742503126157e-130,0.0
42,-0.8356713426853708,-4.599460063785583,6,0.9947648113001947,6.217954332542401e-76,7.462972552107021e-13,3.297466623387431e-298,0.005235188699059093,0.0,0.9947648113001947,8.685056548923022e-122,0.0
43,-0.8316633266533067,-4.557844139362461,6,0.9977626867266659,1.0062871132560879e-75,2.1094040828923493e-12,1.5334965071588928e-291,0.0022373132712248008,0.0,0.9977626867266659,2.149912929674693e-118,0.0
44,-0.8276553106212425,-4.453313173321061,6,0.9952592106806104,2.3141042447023472e-76,6.845454164309143e-10,1.0319534261233275e-272,0.0047407886348442155,0.0,0.9952592106806104,1.228646333946066e-106,0.0
45,-0.8236472945891784,-4.4812630047423205,6,0.9997134042266607,2.311504516893056e-75,1.0308614955343216e-11,1.0971097519140759e-279,0.00028659576303075463,0.0,0.9997134042266607,1.3195090379322342e-112,0.0
46,-0.8196392785571143,-4.276136610092705,6,0.9731512566977377,3.9684311364407565e-78,4.457201579374218e-06,3.9262692075905484e-242,0.026844286100682856,0.0,0.9731512566977377,3.257997289090459e-88,0.0
47,-0.8156312625250501,-4.316532412618072,6,0.9995588925745245,5.462901052118878e-77,1.8932215296004656e-08,1.1621665249950928e-251,0.0004410884932601851,0.0,0.9995588925745245,7.869737257950776e-96,0.0
48,-0.811623246492986,-4.26840163358844,6,0.9997997847680402,2.0826486137921097e-77,6.39760447927799e-08,2.311162625172148e-244,0.0002001512559150503,0.0,0.9997997847680402,4.840201093748114e-92,0.0
49,-0.8076152304609219,-4.245374985804179,6,0.9999674028666503,2.8343926889041063e-77,4.1145142199065615e-08,9.966868171934176e-242,3.255598820754958e-05,0.0,0.9999674028666503,2.239172833946856e-91,0.0
50,-0.8036072144288577,-4.158589579607205,6,0.9999315581653596,6.847281732291342e-79,1.5196783538169505e-06,1.1816316463727592e-227,6.692215628670215e-05,0.0,0.9999315581653596,4.449811340721107e-83,0.0
51,-0.7995991983967936,-4.057232478969286,6,0.9994772092398573,3.3663502109247134e-81,0.00013022400810993378,3.06714558668516e-211,0.00039256675203283787,0.0,0.9994772092398573,2.610034619861503e-73,0.0
52,-0.7955911823647295,-4.145218797967353,6,0.9999996068745896,1.273586451993242e-77,1.1736353909538637e-07,3.2163577176146335e-228,2.7576187126424764e-07,0.0,0.9999996068745896,1.5978081688430334e-85,0.0
53,-0.7915831663326653,-4.081476729892308,6,0.99999898685329,6.951005220897847e-79,8.371209261774877e-07,1.251874861358956e-218,1.7602578371291732e-07,0.0,0.99999898685329,3.2256129320774607e-80,0.0
54,-0.7875751503006012,-4.006473967359263,6,0.99999022197024,9.337506602152e-81,9.570031731131616e-06,2.4691115377437875e-207,2.0799802877584648e-07,0.0,0.99999022197024,7.69080495367332e-74,0.0
55,-0.7835671342685371,-4.043561932207876,6,0.9999994578227187,4.2738838743195954e-78,5.409966866194697e-07,1.1740609447745908e-214,1.1805947206575566e-09,0.0,0.9999994578227187,1.6628173440501834e-79,0.0
56,-0.779559118236473,-3.955515614109688,6,0.9999912306249525,9.257140091379322e-81,8.767298571672148e-06,1.6061763259244067e-201,2.076475786115777e-09,0.0,0.9999912306249525,5.89392144111761e-72,0.0
57,-0.7755511022044088,-3.882520190693563,6,0.9999330384572759,5.58049494281429e-83,6.69593715714505e-05,4.769116482742337e-191,2.1711526765863673e-09,0.0,0.9999330384572759,3.5653068228953753e-66,0.0
58,-0.7715430861723447,-3.729282185054081,6,0.9833919392599165,2.4940018093551467e-89,0.01660763350100401,4.471744838742712e-168,4.272390794490525e-07,2.03885507e-316,0.9833919392599165,1.3076824670953219e-52,0.0
59,-0.7675350701402806,-3.7334009298621527,6,0.996845746564097,3.30470764526413e-88,0.003154248971313772,2.840697297945393e-170,4.464589231405387e-09,1.91364e-318,0.996845746564097,7.02769195534505e-55,0.0
60,-0.7635270541082164,-3.6944513326612216,6,0.9955906331935019,3.246992019144865e-89,0.004409366084563791,1.1261240236421611e-165,7.219342273925821e-10,4.8176861529954e-311,0.9955906331935019,6.888826172762848e-53,0.0
61,-0.7595190380761523,-3.59775800544963,6,0.9480435735614982,1.4672046060968533e-93,0.05195642033499254,1.8481064733479865e-152,6.103509296201918e-09,1.4769731572775153e-291,0.9480435735614982,1.225270088670575e-45,0.0
