vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7,posterior_component_8,posterior_component_9,posterior_component_10,posterior_component_11
1,-1.0,0.0971791320790648,9,0.999999994192077,0.0,0.0,5.807922983647914e-09,0.0,0.0,0.0,0.0,0.0,0.999999994192077,5.528447539433168e-136,0.0
2,-0.995991983967936,0.1192167947364436,9,0.9999999999769067,0.0,0.0,2.3093209712157367e-11,0.0,0.0,0.0,0.0,0.0,0.9999999999769067,2.174595092512983e-144,0.0
3,-0.9919839679358716,0.1292503622433642,9,0.9999999999969287,0.0,0.0,3.071254171867589e-12,0.0,0.0,0.0,0.0,0.0,0.9999999999969287,1.3467674758064444e-146,0.0
4,-0.9879759519038076,0.1763830408156019,9,1.0,0.0,0.0,3.3719503428120696e-18,0.0,0.0,0.0,0.0,0.0,1.0,2.7727438498772215e-167,0.0
5,-0.9839679358717436,0.150876072834434,9,0.9999999999999657,0.0,0.0,3.4257363034310204e-14,0.0,0.0,0.0,0.0,0.0,0.9999999999999657,1.226052365568366e-151,0.0
6,-0.9799599198396792,0.1141600812478006,9,0.9999999959759036,0.0,0.0,4.024096447957671e-09,0.0,0.0,0.0,0.0,0.0,0.9999999959759036,1.2046721623244205e-130,0.0
7,-0.9759519038076152,0.151724192585393,9,0.9999999999997837,0.0,0.0,2.1632578174332363e-13,0.0,0.0,0.0,0.0,0.0,0.9999999999997837,2.632303419786147e-146,0.0
8,-0.9719438877755512,0.1122002659184878,9,0.9999999619341137,0.0,0.0,3.806588638457744e-08,0.0,0.0,0.0,0.0,0.0,0.9999999619341137,2.920513875673575e-124,0.0
9,-0.9679358717434868,0.1659522438462845,9,0.9999999999999747,0.0,0.0,2.5367227880669904e-14,0.0,0.0,0.0,0.0,0.0,0.9999999999999747,1.654749106979763e-147,0.0
10,-0.9639278557114228,0.1360372790036942,9,0.9999999996485216,0.0,0.0,3.514783845846885e-10,0.0,0.0,0.0,0.0,0.0,0.9999999996485216,2.280546152982058e-130,0.0
11,-0.9599198396793588,0.1447577443619506,9,0.9999999999191307,0.0,0.0,8.086921101312595e-11,0.0,0.0,0.0,0.0,0.0,0.9999999999191307,8.303409809033385e-132,0.0
12,-0.9559118236472944,0.1743265192349863,9,0.9999999999999488,0.0,0.0,5.124673646274889e-14,0.0,0.0,0.0,0.0,0.0,0.9999999999999488,5.137443528995817e-143,0.0
13,-0.9519038076152304,0.1232569309415786,9,0.9999998705182205,0.0,0.0,1.2948177964402725e-07,0.0,0.0,0.0,0.0,0.0,0.9999998705182205,2.3485213568608267e-116,0.0
14,-0.9478957915831664,0.1222570289631307,9,0.9999996356518641,0.0,0.0,3.643481358621675e-07,0.0,0.0,0.0,0.0,0.0,0.9999996356518641,2.5954323853180525e-113,0.0
15,-0.9438877755511024,0.1397362478701143,9,0.9999999895440921,0.0,0.0,1.045590777378431e-08,0.0,0.0,0.0,0.0,0.0,0.9999999895440921,8.074045940507803e-119,0.0
16,-0.939879759519038,0.1733943822052626,9,0.9999999999961992,0.0,0.0,3.800869004154397e-12,0.0,0.0,0.0,0.0,0.0,0.9999999999961992,1.352744031438808e-131,0.0
17,-0.935871743486974,0.1234682618212217,9,0.9999974010101739,0.0,0.0,2.5989898261160403e-06,0.0,0.0,0.0,0.0,0.0,0.9999974010101739,2.71154837318072e-106,0.0
18,-0.93186372745491,0.0984503358045045,9,0.9987051697756246,0.0,0.0,0.0012948302243753205,0.0,0.0,0.0,0.0,0.0,0.9987051697756246,1.5386122417743984e-92,0.0
19,-0.9278557114228456,0.1473185008918674,9,0.9999999572098792,0.0,0.0,4.279012089379261e-08,0.0,0.0,0.0,0.0,0.0,0.9999999572098792,5.141367445163325e-112,0.0
20,-0.9238476953907816,0.1686347704166479,9,0.9999999994633761,0.0,0.0,5.366238032235382e-10,0.0,0.0,0.0,0.0,0.0,0.9999999994633761,6.281003609127061e-119,0.0
