vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2
1,0.0,-0.0026420210975648,2,1.0,1.7162316442140595e-37,1.0
2,0.002008032128514,-0.0362759565730195,2,1.0,1.135887465158428e-39,1.0
3,0.0040160642570281,-0.0057578680822367,2,1.0,1.1622275215271867e-37,1.0
4,0.0060240963855421,0.0692267309725003,2,1.0,8.415232895652921e-33,1.0
5,0.0080321285140562,0.1182927894305535,2,1.0,1.1721831853930253e-29,1.0
6,0.0100401606425702,0.0657193077542264,2,1.0,5.069283693930354e-33,1.0
7,0.0120481927710843,0.0322342422199102,2,1.0,3.753278409674411e-35,1.0
8,0.0140562248995983,0.147953391423551,2,1.0,8.252438823362768e-28,1.0
9,0.0160642570281124,0.0071015962121031,2,1.0,1.0205623809993663e-36,1.0
10,0.0180722891566265,0.1186181253826055,2,1.0,1.1276042340712055e-29,1.0
11,0.0200803212851405,0.0171156187021788,2,1.0,4.820737665604432e-36,1.0
12,0.0220883534136546,0.0786585434681806,2,1.0,3.576468495071974e-32,1.0
13,0.0240963855421686,0.0391077659011012,2,1.0,1.2536631451562882e-34,1.0
14,0.0261044176706827,0.0477406607291405,2,1.0,4.484476633151599e-34,1.0
15,0.0281124497991967,0.0260339782014167,2,1.0,2.1145576832294525e-35,1.0
16,0.0301204819277108,0.1678292863498772,2,1.0,1.1183733366369736e-26,1.0
17,0.0321285140562249,0.0056229450637669,2,1.0,1.308579478005142e-36,1.0
18,0.0341365461847389,0.0090545121655812,2,1.0,2.2732223526987094e-36,1.0
19,0.036144578313253,0.2419686418941147,2,1.0,3.0148777970054035e-22,1.0
20,0.038152610441767,0.1545330260558806,2,1.0,1.6302149936980764e-27,1.0
21,0.0401606425702811,-0.1104878107548806,2,1.0,1.5161759520148762e-43,1.0
22,0.0421686746987951,0.039116650260758,2,1.0,1.9583241062272826e-34,1.0
23,0.0441767068273092,-0.0566057333503458,2,1.0,3.6525282917109323e-40,1.0
24,0.0461847389558232,0.0163142224384261,2,1.0,9.629560785823841e-36,1.0
25,0.0481927710843373,-0.1546956311300485,2,1.0,5.920042539037481e-46,1.0
26,0.0502008032128514,0.0894424402101874,2,1.0,2.3773990471189774e-31,1.0
27,0.0522088353413654,0.0130623251498259,2,1.0,7.867301080952114e-36,1.0
28,0.0542168674698795,0.113226155483474,2,1.0,6.348926004302917e-30,1.0
29,0.0562248995983935,-0.0175599015138148,2,1.0,1.499554569950561e-37,1.0
30,0.0582329317269076,0.1230988117075784,2,1.0,2.531013418689977e-29,1.0
31,0.0602409638554216,0.0872886254612171,2,1.0,2.2453666629472657e-31,1.0
32,0.0622489959839357,0.2446542291829591,2,1.0,2.3543462546518336e-22,1.0
33,0.0642570281124498,0.2414226051645495,2,1.0,1.496655365334969e-22,1.0
34,0.0662650602409638,0.1953577687227503,2,1.0,3.6500146437522875e-25,1.0
35,0.0682730923694779,0.1104170822860587,2,1.0,5.792397585884932e-30,1.0
36,0.0702811244979919,0.2993926806168074,2,1.0,2.361189049895951e-19,1.0
37,0.072289156626506,0.0203354910258263,2,1.0,5.32201562120237e-35,1.0
38,0.07429718875502,0.0363096871449471,2,1.0,4.690682509434421e-34,1.0
39,0.0763052208835341,0.1459077937759431,2,1.0,6.75965404230582e-28,1.0
40,0.0783132530120481,0.3369495547377859,2,1.0,2.1629888711146192e-17,1.0
41,0.0803212851405622,0.1444554577315175,2,1.0,6.09066539093369e-28,1.0
42,0.0823293172690763,0.14999901508141,2,1.0,1.2817258204972554e-27,1.0
43,0.0843373493975903,0.0533218703062359,2,1.0,6.757831366138385e-33,1.0
44,0.0863453815261044,0.248365129873839,2,1.0,2.9480674787192768e-22,1.0
45,0.0883534136546184,0.2529609276555852,2,1.0,5.163651170558463e-22,1.0
46,0.0903614457831325,0.2438489076782578,2,1.0,1.6710029268689578e-22,1.0
47,0.0923694779116465,0.1344013019955041,2,1.0,2.3705458650224305e-28,1.0
48,0.0943775100401606,0.1322184786104808,2,1.0,1.9303768314422298e-28,1.0
49,0.0963855421686746,0.0893213043049517,2,1.0,1.0677842610379689e-30,1.0
50,0.0983935742971887,0.2034969487352521,2,1.0,1.281877460522447e-24,1.0
51,0.1004016064257028,0.1143706265091254,2,1.0,2.7154721948276246e-29,1.0
52,0.1024096385542168,0.1106259566884906,2,1.0,1.8759075491753504e-29,1.0
53,0.1044176706827309,0.1749400840126077,2,1.0,4.6474863152992015e-26,1.0
54,0.1064257028112449,0.1737189116077526,2,1.0,4.240129576857433e-26,1.0
55,0.108433734939759,0.1738291875737616,2,1.0,4.547235152258575e-26,1.0
56,0.110441767068273,0.258199101883767,2,1.0,9.935744586206162e-22,1.0
57,0.1124497991967871,0.2312234225655966,2,1.0,4.305435231762089e-23,1.0
58,0.1144578313253012,0.2058631802097129,2,1.0,2.3098211662053554e-24,1.0
59,0.1164658634538152,0.247572761172549,2,1.0,3.052234145240128e-22,1.0
60,0.1184738955823293,0.157625627876288,2,1.0,9.53283703821383e-27,1.0
61,0.1204819277108433,0.2493861453344609,2,1.0,3.972540642513452e-22,1.0
62,0.1224899598393574,0.2570281191062855,2,1.0,9.78439026793561e-22,1.0
63,0.1244979919678714,0.1287522351871445,2,1.0,4.454822171317312e-28,1.0
64,0.1265060240963855,0.3326675485424,2,1.0,5.1319132110651296e-18,1.0
65,0.1285140562248996,0.1865134160316395,2,1.0,3.8062040764162014e-25,1.0
66,0.1305220883534136,0.2682689606433421,2,1.0,3.894161329453008e-21,1.0
67,0.1325301204819277,0.358213180206677,2,0.9999999999999999,8.394830970622424e-17,0.9999999999999999
68,0.1345381526104417,0.343130445837993,2,1.0,1.578431775064159e-17,1.0
69,0.1365461847389558,0.2758390405634184,2,1.0,9.880180270247678e-21,1.0
70,0.1385542168674698,0.2481085135043742,2,1.0,4.911069886606336e-22,1.0
71,0.1405622489959839,0.3569254506780132,2,1.0,6.911470376721097e-17,1.0
72,0.142570281124498,0.3391161604736856,2,1.0,1.0120510137291935e-17,1.0
73,0.144578313253012,0.2396874249024936,2,1.0,2.321318129428146e-22,1.0
74,0.1465863453815261,0.2295811990029169,2,1.0,8.338269194315118e-23,1.0
75,0.1485943775100401,0.1314003404844004,2,1.0,2.3382542819276572e-27,1.0
76,0.1506024096385542,0.3135273666117954,2,1.0,7.035809843712858e-19,1.0
77,0.1526104417670682,0.2986050639326646,2,1.0,1.5079726997040639e-19,1.0
78,0.1546184738955823,0.400132257762568,2,0.9999999999999939,6.08830273953942e-15,0.9999999999999939
79,0.1566265060240963,0.3419774195266221,2,1.0,1.4735465216842095e-17,1.0
80,0.1586345381526104,0.424007411839036,2,0.9999999999999319,6.800909038208265e-14,0.9999999999999319
81,0.1606425702811245,0.2654960023289553,2,1.0,5.8690907127652435e-21,1.0
82,0.1626506024096385,0.4163532312966865,2,0.9999999999999701,2.990109396054571e-14,0.9999999999999701
83,0.1646586345381526,0.2870039587479328,2,1.0,6.023036946057058e-20,1.0
84,0.1666666666666666,0.395541018276715,2,0.9999999999999964,3.608112006372902e-15,0.9999999999999964
85,0.1686746987951807,0.2206487261879059,2,1.0,8.254161440966385e-23,1.0
86,0.1706827309236947,0.3601762857966846,2,1.0,1.0780096498197028e-16,1.0
87,0.1726907630522088,0.1866064907887448,2,1.0,3.2960547463216913e-24,1.0
88,0.1746987951807228,0.3280265914861053,2,1.0,4.769935182407132e-18,1.0
89,0.1767068273092369,0.3886419741287069,2,0.9999999999999982,1.88185887155383e-15,0.9999999999999982
90,0.1787148594377509,0.3157522347770143,2,1.0,1.5823925880615607e-18,1.0
91,0.180722891566265,0.2774107728320527,2,1.0,4.01133149038921e-20,1.0
92,0.1827309236947791,0.4331513249332329,2,0.9999999999998601,1.3984293464591694e-13,0.9999999999998601
93,0.1847389558232931,0.3612008884588324,2,0.9999999999999998,1.4751345281916965e-16,0.9999999999999998
94,0.1867469879518072,0.3343283241411607,2,1.0,1.1891611797841084e-17,1.0
95,0.1887550200803212,0.3808617138529847,2,0.9999999999999989,1.0223326680248951e-15,0.9999999999999989
96,0.1907630522088353,0.5924596357733177,2,0.9999996559948142,3.440051858336896e-07,0.9999996559948142
97,0.1927710843373493,0.4778223966572222,2,0.9999999999912759,8.724057364875468e-12,0.9999999999912759
98,0.1947791164658634,0.482564126386754,2,0.9999999999867593,1.324068940910063e-11,0.9999999999867593
99,0.1967871485943775,0.4284180027081441,2,0.9999999999999072,9.288551887472248e-14,0.9999999999999072
100,0.1987951807228915,0.4109091832519548,2,0.9999999999999809,1.9137952842590077e-14,0.9999999999999809
101,0.2008032128514056,0.2099198426363779,2,1.0,1.973970093124976e-22,1.0
102,0.2028112449799196,0.3513040622427887,2,1.0,9.277213187931707e-17,1.0
103,0.2048192771084337,0.3711926011606695,2,0.9999999999999993,5.927999705697235e-16,0.9999999999999993
104,0.2068273092369477,0.2636632533500929,2,1.0,3.97836405680845e-20,1.0
105,0.2088353413654618,0.3250774195136889,2,1.0,1.0958235284682602e-17,1.0
106,0.2108433734939759,0.263219829314141,2,1.0,4.854784277427188e-20,1.0
107,0.2128514056224899,0.4226369043891901,2,0.9999999999999327,6.7385269887547e-14,0.9999999999999327
108,0.214859437751004,0.4952201531699133,2,0.9999999999635356,3.646433813390261e-11,0.9999999999635356
109,0.216867469879518,0.5222769012489824,2,0.9999999996357123,3.642878188276766e-10,0.9999999996357123
110,0.2188755020080321,0.4709337609824034,2,0.9999999999953659,4.6341681264460886e-12,0.9999999999953659
111,0.2208835341365461,0.3646953609772068,2,0.9999999999999993,5.665112161299375e-16,0.9999999999999993
112,0.2228915662650602,0.2912179198485236,2,1.0,1.1604476841519637e-18,1.0
113,0.2248995983935742,0.3092497008350283,2,1.0,6.066216652700854e-18,1.0
114,0.2269076305220883,0.3522966548638168,2,0.9999999999999998,2.542831918234178e-16,0.9999999999999998
115,0.2289156626506024,0.3867225494583508,2,0.9999999999999951,4.8854747383297985e-15,0.9999999999999951
116,0.2309236947791164,0.4490675097189059,2,0.9999999999991178,8.822670011847774e-13,0.9999999999991178
117,0.2329317269076305,0.3847303163651035,2,0.9999999999999951,4.822840917591319e-15,0.9999999999999951
118,0.2349397590361445,0.49699758956575,2,0.9999999999545166,4.548347193083754e-11,0.9999999999545166
119,0.2369477911646586,0.4553137021053594,2,0.9999999999983409,1.6591317491929555e-12,0.9999999999983409
120,0.2389558232931726,0.4787553035256274,2,0.9999999999888349,1.1165148986271816e-11,0.9999999999888349
121,0.2409638554216867,0.5731477550570698,2,0.9999999813325668,1.8667433232796365e-08,0.9999999813325668
122,0.2429718875502007,0.3915252363643719,2,0.9999999999999873,1.2570183851518122e-14,0.9999999999999873
123,0.2449799196787148,0.5234562056208191,2,0.9999999996042253,3.957746449730465e-10,0.9999999996042253
124,0.2469879518072289,0.4928580453363719,2,0.9999999999616311,3.8368756954777557e-11,0.9999999999616311
125,0.2489959839357429,0.4713130653939103,2,0.9999999999923528,7.64725252392375e-12,0.9999999999923528
126,0.251004016064257,0.5728285377977907,2,0.9999999828574061,1.7142593913351686e-08,0.9999999828574061
127,0.253012048192771,0.5763452287501027,2,0.9999999778483939,2.2151606143421417e-08,0.9999999778483939
128,0.2550200803212851,0.4343208969634959,2,0.9999999999994456,5.544761853204362e-13,0.9999999999994456
129,0.2570281124497992,0.4994833781909644,2,0.9999999999236975,7.630254044367424e-11,0.9999999999236975
130,0.2590361445783132,0.5405692237633517,2,0.9999999983825505,1.6174495382751446e-09,0.9999999983825505
131,0.2610441767068273,0.5002478135718478,2,0.9999999999120028,8.799713776652619e-11,0.9999999999120028
132,0.2630522088353413,0.5729061242537066,2,0.9999999827405962,1.7259403767487506e-08,0.9999999827405962
133,0.2650602409638554,0.5526158433605328,2,0.9999999958963992,4.103600735765223e-09,0.9999999958963992
134,0.2670682730923694,0.6807414454132199,2,0.9999667114510787,3.328854892126118e-05,0.9999667114510787
135,0.2690763052208835,0.4157302795673839,2,0.9999999999997372,2.628443686034742e-13,0.9999999999997372
136,0.2710843373493976,0.5323737955190033,2,0.9999999989254149,1.0745851659243784e-09,0.9999999989254149
137,0.2730923694779116,0.4735045380348479,2,0.9999999999813816,1.8618414715766362e-11,0.9999999999813816
138,0.2751004016064257,0.5985293996479749,2,0.9999998926285378,1.0737146208913285e-07,0.9999998926285378
139,0.2771084337349397,0.4248431162662358,2,0.9999999999992453,7.546922341861886e-13,0.9999999999992453
140,0.2791164658634538,0.5859379485448986,2,0.9999999530411958,4.6958804268881445e-08,0.9999999530411958
141,0.2811244979919678,0.5118451214760684,2,0.9999999996624724,3.3752762376409263e-10,0.9999999996624724
142,0.2831325301204819,0.5075321109512827,2,0.9999999997306104,2.6938961289122646e-10,0.9999999997306104
143,0.285140562248996,0.4545612682147369,2,0.9999999999914664,8.533598630330038e-12,0.9999999999914664
144,0.28714859437751,0.5370911130589395,2,0.9999999978636793,2.1363205798444326e-09,0.9999999978636793
145,0.2891566265060241,0.6650732954353222,2,0.9999917572272968,8.242772703062778e-06,0.9999917572272968
146,0.2911646586345381,0.5803142225867178,2,0.9999999620683127,3.793168731417671e-08,0.9999999620683127
147,0.2931726907630522,0.6365598149560623,2,0.9999986484710881,1.3515289118059417e-06,0.9999986484710881
148,0.2951807228915662,0.7235327915404344,2,0.9997111090695802,0.0002888909304198399,0.9997111090695802
