vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7,posterior_component_8
1,-1.0,-1.3802148857635972,7,0.9792484654922777,0.020745177515030296,9.411290705685254e-238,6.551625444795731e-20,4.328099544993869e-06,0.0,2.0288931469213644e-06,0.9792484654922777,3.1609933236758024e-104
2,-0.987878787878788,-0.9590986482482142,7,0.9429085414497773,0.05688802818268309,6.007351835405916e-221,2.033624942147648e-20,0.0001916110010056741,0.0,1.181936653376523e-05,0.9429085414497773,7.01141240232553e-107
3,-0.9757575757575756,-0.887864102198466,7,0.9374108335816562,0.062192526687853675,4.7915273089788044e-216,2.736970256683191e-20,0.0003848798498737099,0.0,1.175988061637153e-05,0.9374108335816562,3.5303127506259594e-106
4,-0.9636363636363636,-0.9929860305233188,7,0.9450726473082645,0.05477959709606172,5.1780593404958466e-217,9.343423362568284e-20,0.00012940833333707384,0.0,1.8347262336696687e-05,0.9450726473082645,1.0146939277835977e-103
5,-0.9515151515151516,-0.9152074984116436,7,0.9398209470126702,0.05988930859196214,5.986940556442862e-212,1.2502921606331058e-19,0.00026881454947336316,0.0,2.0929845894239676e-05,0.9398209470126702,4.246618683062335e-103
6,-0.9393939393939394,-0.8407258537084675,7,0.9369044514023227,0.06252783908641117,4.764614358769475e-207,1.6959443578266295e-19,0.0005455121338439752,0.0,2.2197377422063855e-05,0.9369044514023227,1.8432435646471904e-102
7,-0.9272727272727272,-0.7016255350183385,7,0.935726772228288,0.06204288161249147,3.998311135952617e-200,1.6113387808222738e-19,0.0022154072998163215,0.0,1.493885940419785e-05,0.935726772228288,1.6556343875613509e-102
8,-0.9151515151515152,-1.145279027795577,7,0.9418732434897731,0.05807941644672519,7.210789442712791e-212,1.893598981354064e-18,3.855189716045919e-05,0.0,8.788166341370817e-06,0.9418732434897731,1.2960188720325024e-96
9,-0.9030303030303032,-0.8549240137885359,7,0.9355666169292622,0.06395402395204929,3.5785172771019133e-200,1.3281256352060991e-18,0.0004376831645179574,0.0,4.16759541705431e-05,0.9355666169292622,3.5245740528963556e-98
10,-0.8909090909090909,-0.4801509622066359,7,0.9357433516289625,0.04402711488527647,5.013077569756723e-186,3.805748040373348e-19,0.0202227006849304,0.0,6.832800830563317e-06,0.9357433516289625,9.378100792537058e-101
11,-0.8787878787878788,-0.4742434959161663,7,0.9393559249104518,0.04109932917971974,1.5509084115220919e-183,7.71550086977392e-19,0.019534112337589386,0.0,1.0633572239031621e-05,0.9393559249104518,1.797611515500986e-99
12,-0.8666666666666667,-0.5631459477781774,7,0.9465021554677872,0.046605300015983536,5.726662108082855e-184,2.6166841134098364e-18,0.006855518122337198,0.0,3.702639389206875e-05,0.9465021554677872,3.5634501708840183e-97
13,-0.8545454545454545,-0.6017259722997738,7,0.9463989271728892,0.049177223857528846,7.76482167471753e-183,6.284246036164448e-18,0.0043589957404438886,0.0,6.48532291380277e-05,0.9463989271728892,2.0044541430906872e-95
14,-0.8424242424242424,-0.3539215351680671,7,0.92054475006168,0.025120169060872846,4.449077625792208e-173,3.3463439468027887e-18,0.05432322037006376,0.0,1.1860507383310967e-05,0.92054475006168,8.426711319494626e-97
15,-0.8303030303030303,-0.2770364602847275,7,0.8720056100870975,0.017422445383915592,1.3839941139321846e-168,4.18186643064375e-18,0.11056484889085749,0.0,7.095638129406965e-06,0.8720056100870975,2.3166111307713033e-96
16,-0.8181818181818181,-0.6621796339730067,7,0.9400750632995685,0.05752392986081492,9.54027366823451e-178,5.62125804118698e-17,0.0022562852330034583,0.0,0.00014472160661323726,0.9400750632995685,8.517540312626298e-91
17,-0.806060606060606,-0.8060077007788761,7,0.9143271545156354,0.0848806492357663,1.0872341886581084e-179,1.4812996149913572e-16,0.00070714870092547,0.0,8.504754767257748e-05,0.9143271545156354,6.072291230723826e-88
18,-0.793939393939394,-0.641937251403687,7,0.9392661366195829,0.05788989203352807,1.3510429796190406e-172,1.820659242830834e-16,0.002645641396714658,0.0,0.00019832995017413798,0.9392661366195829,2.167919163986405e-88
19,-0.7818181818181819,0.055702739118047,4,0.7997562191019777,0.0006323652244806963,5.363144652120991e-151,2.3003081950030777e-18,0.7997562191019777,0.0,6.560015882437887e-08,0.19961135007338277,1.2510799578354428e-95
20,-0.7696969696969697,-0.8532652079389782,7,0.8775133215043557,0.12186161203311609,3.8529877485453123e-174,8.034509235602151e-16,0.000584769400329595,0.0,4.029706219769266e-05,0.8775133215043557,1.6158414750670325e-83
21,-0.7575757575757576,-0.6092593430573986,7,0.9372863465951119,0.05891960915006826,6.206875142421481e-165,1.0121381306069968e-15,0.003497642354016237,0.0,0.0002964019008026759,0.9372863465951119,7.342879976860563e-85
22,-0.7454545454545455,-0.7734473214076172,7,0.8841411597720494,0.11466911618582426,2.5010853888498395e-167,2.1723394299102235e-15,0.0011121215771550672,0.0,7.76024649689809e-05,0.8841411597720494,8.624600187258657e-82
23,-0.7333333333333334,-0.4417138940911897,7,0.9553322377206191,0.030671063683598808,7.007058247424949e-156,2.2530877518626155e-15,0.01343022269589158,0.0,0.0005664758998882443,0.9553322377206191,3.5727077180035723e-84
24,-0.7212121212121212,-0.6829624482032159,7,0.9003724730995308,0.09720306184975036,2.3441530736351044e-160,5.923160523499921e-15,0.0022579391153461034,0.0,0.0001665259353668291,0.9003724730995308,3.1952879972110688e-80
25,-0.7090909090909091,-0.4399320227485417,7,0.9533620847826135,0.03245606295497818,1.4832149241895788e-151,7.519859825867696e-15,0.01339142660041149,0.0,0.000790425661989279,0.9533620847826135,1.1326883264596367e-81
26,-0.696969696969697,-0.7839584259431458,7,0.8188871040255332,0.17970953196680742,1.027655390045165e-158,1.5459520868696307e-14,0.0013736816867304508,0.0,2.9682320913502106e-05,0.8188871040255332,1.3286859384896994e-76
27,-0.6848484848484848,-0.2461728366800395,7,0.9281451785894063,0.010439757956194038,3.28202057672447e-142,1.5119082771791272e-14,0.0603070216948498,0.0,0.0011080417595346838,0.9281451785894063,1.971557692916456e-81
28,-0.6727272727272727,-0.1009854941609504,7,0.8139499308485828,0.003395380128083382,1.9866520019320854e-136,1.5747692166009727e-14,0.18198038057615273,0.0,0.0006743084471653771,0.8139499308485828,5.705468243264085e-82
29,-0.6606060606060606,-0.3980008456248131,7,0.9488670372085123,0.03087639886314521,4.6950526229290326e-142,7.069389293498365e-14,0.018868883593481406,0.0,0.0013876803347903145,0.9488670372085123,3.4456798160376757e-77
30,-0.6484848484848484,-0.3239956983848373,7,0.9462355209371077,0.01967806074510499,4.260528107558944e-138,1.1192253947642129e-13,0.03204045495856565,0.0,0.002045963359109653,0.9462355209371077,7.864910923148965e-77
31,-0.6363636363636364,-0.3054087188735351,7,0.942735322511642,0.018083518825375677,1.3480107579913952e-135,1.923936579260553e-13,0.03674509959987539,0.0,0.0024360590629144145,0.942735322511642,7.789167996254646e-76
32,-0.6242424242424243,-0.2123027134398434,7,0.9176446063309909,0.009097834729190513,2.904975591571436e-131,2.889062594265315e-13,0.06983768131306792,0.0,0.003419877626461774,0.9176446063309909,9.596984955882923e-76
33,-0.6121212121212121,-0.2318763416357097,7,0.9238067894274986,0.011189983314825805,9.08610277898845e-130,5.340312157968609e-13,0.061137071623562474,0.0,0.0038661556335791956,0.9238067894274986,2.6242954010887875e-74
34,-0.6,-0.0463766095138611,7,0.7887637988211025,0.002074830228155373,2.487825747993965e-123,5.937640416064418e-13,0.20499457862667148,0.0,0.004166792323476813,0.7887637988211025,1.9977933290254244e-75
35,-0.5878787878787879,0.0708502509326133,7,0.6037653242955835,0.0005506201435201927,1.0391516421774075e-118,6.35227579343317e-13,0.392984053119655,0.0,0.0027000024406059696,0.6037653242955835,8.395945712076274e-76
36,-0.5757575757575757,-0.314329396013588,7,0.9290898590713526,0.027863638936431567,7.349879089287716e-126,2.8707066307619108e-12,0.04031695683290204,0.0,0.002729545156443061,0.9290898590713526,9.572258837869342e-70
37,-0.5636363636363637,-0.1891384258275867,7,0.8994207610242048,0.009651141061407784,5.88321910912465e-121,4.610335170654243e-12,0.08423303045755641,0.0,0.006695067452220768,0.8994207610242048,4.25613160909282e-70
38,-0.5515151515151515,0.0772935867546459,7,0.6236308678386692,0.000535644090196319,5.421311470944763e-113,4.15918619109934e-12,0.3680176334889298,0.0,0.007815854578045749,0.6236308678386692,2.2184284526710185e-72
39,-0.5393939393939393,-0.3631216883996851,7,0.9018027683580199,0.058800268102193236,3.712008006191388e-121,1.1768895616661405e-11,0.03829593373389291,0.0,0.0011010297941250204,0.9018027683580199,1.20743961344414e-65
40,-0.5272727272727273,-0.4486897109145686,7,0.8327891030588174,0.13877395933821324,3.3159751972811933e-121,1.4746731206515282e-11,0.028232649093312984,0.0,0.00020428849490974156,0.8327891030588174,1.768889899196044e-63
41,-0.5151515151515151,0.0149601602766654,7,0.7208759524475139,0.001301934861279599,6.943157730331642e-109,2.966988273701297e-11,0.25881495172292157,0.0,0.01900716093861502,0.7208759524475139,4.234747115854689e-68
42,-0.503030303030303,0.0932086761534923,7,0.6114103179380784,0.0004910169800846056,2.059469006890418e-105,4.1661275859992716e-11,0.36627067003045377,0.0,0.02182799500972203,0.6114103179380784,5.0261238769097515e-68
43,-0.4909090909090909,-0.1262782194089003,7,0.8377489381377391,0.008094570553132095,2.6231718611739156e-108,9.67169253343048e-11,0.1432907962830917,0.0,0.010865694929320232,0.8377489381377391,5.409168903986089e-64
44,-0.4787878787878787,-0.0733059683998485,7,0.7928629837901677,0.004715344775282681,2.3263161061126692e-105,1.5722858179179187e-10,0.18617166917481068,0.0,0.016250002102510288,0.7928629837901677,1.485875890587949e-63
45,-0.4666666666666667,-0.0853717976815131,7,0.7937316248108783,0.005999906713582296,8.102861951980746e-104,2.541842211571419e-10,0.18618648692570197,0.0,0.014081981295653249,0.7937316248108783,2.7924830967234064e-62
46,-0.4545454545454546,-0.082475956959796,7,0.781670622347352,0.006389309456939124,5.675359111790437e-102,4.0582789937839304e-10,0.19852271607774727,0.0,0.013417351712133704,0.781670622347352,3.296317294018837e-61
47,-0.4424242424242424,0.2538506792724352,4,0.5916548373102392,5.164024630833652e-05,1.5292087665886975e-93,3.7551995155645064e-10,0.5916548373102392,0.0,0.04312657896170681,0.3651669431062259,9.115631567023281e-65
48,-0.4303030303030303,-0.0967057580055883,7,0.766064238089615,0.009533468588094713,9.977134345664274e-99,9.764437287250763e-10,0.21558316822189943,0.0,0.008819124123947118,0.766064238089615,8.00762226462785e-59
49,-0.4181818181818182,0.1105317913496938,7,0.546395601032877,0.0005588995838616577,6.3255755469901535e-93,1.5523760095990922e-09,0.4012385037949168,0.0,0.05180699403596856,0.546395601032877,1.5111823969230012e-60
50,-0.406060606060606,0.0068115543758174,7,0.6527716375965579,0.0028570910835385255,3.1739942545631995e-93,2.551145986163701e-09,0.3220978345438525,0.0,0.022273434224904996,0.6527716375965579,4.8731373646602775e-58
