vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7,posterior_component_8
1,-1.0,0.140628508444001,5,0.999999999998654,1.3460723801487614e-12,1.460711162155133e-176,4.139730303003087e-56,0.0,0.999999999998654,1.6979646137893728e-26,8.031178008162174e-101,0.0
2,-0.995991983967936,0.131821909300001,5,0.9999999999988229,1.177061290965771e-12,1.0507709719482062e-174,9.269601183127488e-56,0.0,0.9999999999988229,2.560947404987742e-26,1.7928658851728549e-100,0.0
3,-0.9919839679358716,0.0834256551849702,5,0.9999999999997854,2.1457690622768562e-13,2.5201584180410706e-170,3.373654529668778e-55,0.0,0.9999999999997854,6.2910541499326454e-27,2.1961666452882022e-100,0.0
4,-0.9879759519038076,-0.2009260397126717,5,1.0,2.934920482013379e-18,6.076314178566506e-151,2.866965116200522e-53,0.0,1.0,5.577254208710729e-32,1.1606080424879902e-101,0.0
5,-0.9839679358717436,0.0038387325689206,5,0.9999999999999828,1.725945355263776e-14,1.1681988866751633e-162,4.391988361159102e-54,0.0,0.9999999999999828,1.1584021131137783e-27,5.549285400940665e-100,0.0
6,-0.9799599198396792,0.2939392298554153,5,0.9999999985452596,1.4547404271792441e-09,7.785001158367854e-180,2.3775253195851114e-55,0.0,0.9999999985452596,1.1037446980567499e-21,1.0191138836410409e-97,0.0
7,-0.9759519038076152,-0.0597196558224867,5,0.9999999999999968,3.2687995932131487e-15,5.218267260343873e-156,5.727239651551894e-53,0.0,0.9999999999999968,6.115683240592421e-28,2.3188446082240083e-99,0.0
8,-0.9719438877755512,-0.3309836937079481,5,1.0,1.5659325993756826e-19,1.7823101578692104e-137,9.163918061108795e-51,0.0,1.0,4.4997888511929435e-32,4.627359346796299e-100,0.0
9,-0.9679358717434868,0.1546835754568602,5,0.9999999999810796,1.8920466324389287e-11,4.882968884524929e-167,1.426134760042768e-53,0.0,0.9999999999810796,2.945307046319574e-23,2.8067259422947106e-97,0.0
10,-0.9639278557114228,0.196360976156475,5,0.9999999998897042,1.102957474084047e-10,2.2109487185484202e-168,1.7399190697046699e-53,0.0,0.9999999998897042,3.843240655745565e-22,1.311341996081823e-96,0.0
11,-0.9599198396793588,0.2762903775601943,5,0.9999999978030818,2.1969181903925025e-09,3.6591003864409453e-172,1.1876834856470784e-53,0.0,0.9999999978030818,2.2074141356135175e-20,9.339140637221784e-96,0.0
12,-0.9559118236472944,0.4191886129187997,5,0.9999997109938911,2.890061088893539e-07,5.794607360802302e-180,3.137633833647986e-54,0.0,0.9999997109938911,1.4800377765430797e-17,1.3653243844266296e-94,0.0
13,-0.9519038076152304,0.4251398046887531,5,0.9999995916204759,4.0837952407085836e-07,5.01608028385126e-179,5.934115565106117e-54,0.0,0.9999995916204759,3.609434578839375e-17,3.667306261162334e-94,0.0
14,-0.9478957915831664,0.3733176248532808,5,0.9999999014683192,9.853168078112218e-08,2.11926465185688e-174,2.7615337737678856e-53,0.0,0.9999999014683192,9.419267455799923e-18,5.283865023342518e-94,0.0
15,-0.9438877755511024,0.5844110416548247,5,0.9999378734747543,6.212652518240747e-05,1.4743251753396076e-186,2.246445580947071e-54,0.0,0.9999378734747543,6.329333987882222e-14,1.376726653574317e-92,2.1028948800736e-311
16,-0.939879759519038,0.0650329312322504,5,0.999999999986233,1.3766989355978159e-11,4.0660316776225775e-152,2.678809760258227e-50,0.0,0.999999999986233,7.969088369198846e-22,3.0425710388120796e-94,0.0
17,-0.935871743486974,0.4930314800910745,5,0.9999941740325152,5.8259674786594556e-06,4.507689714725739e-178,3.970193187211343e-53,0.0,0.9999941740325152,6.166484299637373e-15,3.0798816942494146e-92,6.0860829e-316
18,-0.93186372745491,0.5404623577505875,5,0.9999750265234666,2.497347647040064e-05,8.946040242734972e-180,3.8246988973504832e-53,0.0,0.9999750265234666,6.302539555568742e-14,1.2147016226227219e-91,6.8231094071267e-310
19,-0.9278557114228456,0.1900185231756293,5,0.9999999979559885,2.0440115655267375e-09,4.267985172981779e-156,4.377089861697533e-50,0.0,0.9999999979559885,8.985887587995992e-19,2.3468764137165507e-92,0.0
20,-0.9238476953907816,0.1598554376742354,5,0.9999999986606252,1.3393747807445753e-09,7.588273171246167e-153,1.9806486916672953e-49,0.0,0.9999999986606252,8.991031167304841e-19,6.432393485574445e-92,0.0
21,-0.9198396793587176,0.3334477292501497,5,0.9999997923653662,2.0763463330086712e-07,1.4208682133736397e-162,1.7575962603307862e-50,0.0,0.9999997923653662,4.755004003272425e-16,5.164012185262171e-91,1.93e-322
22,-0.9158316633266532,0.3722283948604016,5,0.9999992316701259,7.683298705211867e-07,1.0315624689529183e-163,2.0088619173078003e-50,0.0,0.9999992316701259,3.495007626079465e-15,1.8988216704967891e-90,3.840786e-317
23,-0.9118236472945892,0.6768011502274875,5,0.9986447309222238,0.0013552689783091218,7.971786820631634e-182,1.452231242922352e-52,0.0,0.9986447309222238,9.946707365747068e-11,3.408306741663499e-89,4.952566650579707e-289
