vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7,posterior_component_8,posterior_component_9,posterior_component_10,posterior_component_11,posterior_component_12,posterior_component_13,posterior_component_14
1,-1.0,-0.0191755691237352,5,1.0,0.0,5.510139200581927e-78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.7685785229356725e-62,0.0,0.0,0.0
2,-0.995991983967936,-0.0018697280686759,5,1.0,0.0,9.683141995548572e-79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6226036475064433e-60,0.0,0.0,0.0
3,-0.9919839679358716,0.0186731553292777,5,1.0,0.0,5.219957750482281e-80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.982552176506594e-58,0.0,0.0,0.0
4,-0.9879759519038076,0.0837374522685717,5,1.0,1.1251406361988324e-292,9.033521152329873e-87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.13160725845369e-40,0.0,0.0,0.0
5,-0.9839679358717436,0.0962808065254507,5,1.0,2.2552463750784613e-284,4.371756166955698e-88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.077680475330028e-41,0.0,0.0,0.0
6,-0.9799599198396792,0.1331711828507149,5,1.0,3.191142855574442e-264,1.748825119087683e-92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0469118903976881e-33,0.0,0.0,0.0
7,-0.9759519038076152,0.164333803856444,5,1.0,2.0444519481876037e-247,1.373748964518275e-96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.108674563614337e-29,0.0,0.0,0.0
8,-0.9719438877755512,0.1806825094056653,5,1.0,4.050820234236302e-238,4.241115378345811e-99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.79885040310431e-28,0.0,0.0,0.0
9,-0.9679358717434868,0.2132600405360528,5,1.0,1.5940238341772538e-221,4.179412018013681e-104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.667178198442873e-23,0.0,0.0,0.0
10,-0.9639278557114228,0.2233218412371373,5,1.0,1.6243063768074541e-215,5.131874453865818e-106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.7917055774819943e-24,0.0,0.0,0.0
11,-0.9599198396793588,0.2254378265111376,5,1.0,1.237224119823049e-212,3.00347381612588e-106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.821675708018982e-27,0.0,0.0,0.0
12,-0.9559118236472944,0.2946411678323083,5,0.9999999999999827,6.305249804689069e-182,7.04035829696929e-119,0.0,0.0,0.9999999999999827,0.0,0.0,0.0,0.0,0.0,1.7284044862287397e-14,0.0,0.0,0.0
13,-0.9519038076152304,0.2858363995868888,5,1.0,3.252985107714222e-184,9.844901270051854e-118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0564280112927853e-19,0.0,0.0,0.0
14,-0.9478957915831664,0.3028517378292479,5,1.0,9.740975274311557e-176,3.213138389497498e-121,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.159171147094966e-18,0.0,0.0,0.0
15,-0.9438877755511024,0.3417464065213948,5,0.9999999999998685,2.2739931923626018e-159,9.732810944028396e-130,0.0,0.0,0.9999999999998685,0.0,0.0,0.0,0.0,0.0,1.3144863330308177e-13,0.0,0.0,0.0
16,-0.939879759519038,0.3505706690089831,5,0.999999999999972,1.90481274360863e-154,7.797273787830544e-132,0.0,0.0,0.999999999999972,0.0,0.0,0.0,0.0,0.0,2.7948541246134736e-14,0.0,0.0,0.0
17,-0.935871743486974,0.3837665095558078,5,0.9999999999484097,4.026112470502055e-141,7.552626233011669e-140,0.0,0.0,0.9999999999484097,0.0,0.0,0.0,0.0,0.0,5.159035593211365e-11,0.0,0.0,0.0
18,-0.93186372745491,0.4220357635144683,5,0.999999815241442,1.4169529675905109e-126,1.7618015504285783e-149,0.0,0.0,0.999999815241442,0.0,0.0,0.0,0.0,0.0,1.8475855809248422e-07,0.0,0.0,0.0
19,-0.9278557114228456,0.4448978151765998,5,0.9999973316280565,9.41316254017487e-118,9.5818084705e-156,0.0,0.0,0.9999973316280565,0.0,0.0,0.0,0.0,0.0,2.668371943364008e-06,0.0,0.0,0.0
20,-0.9238476953907816,0.4424729580822008,5,0.999999947442602,5.2488959296627636e-117,2.264533966455311e-155,0.0,0.0,0.999999947442602,0.0,0.0,0.0,0.0,0.0,5.255739776528006e-08,0.0,0.0,0.0
21,-0.9198396793587176,0.4728820470862951,5,0.9999944297470306,2.6189519767215725e-106,4.622923052822308e-164,0.0,0.0,0.9999944297470306,0.0,0.0,0.0,0.0,0.0,5.570252969597765e-06,0.0,0.0,0.0
22,-0.9158316633266532,0.5260233434588649,5,0.98098726918777,1.7283831132186922e-89,1.4537982035868387e-179,0.0,0.0,0.98098726918777,0.0,0.0,0.0,0.0,0.0,0.019012730812230105,0.0,0.0,0.0
23,-0.9118236472945892,0.5360452598816803,5,0.989760853785129,1.0755286428287774e-85,2.934188929320256e-183,0.0,0.0,0.989760853785129,0.0,0.0,0.0,0.0,0.0,0.010239146214871013,0.0,0.0,0.0
24,-0.9078156312625252,0.5888654923855494,11,0.6210028253361128,1.184222255438099e-70,5.31142188776577e-200,0.0,0.0,0.37899717466388705,0.0,0.0,0.0,0.0,0.0,0.6210028253361128,0.0,0.0,0.0
25,-0.9038076152304608,0.5918665751953682,5,0.710079341548111,4.31109783020122e-69,6.99774601394357e-202,0.0,0.0,0.710079341548111,0.0,0.0,0.0,0.0,0.0,0.28992065845188897,0.0,0.0,0.0
26,-0.8997995991983968,0.6116893255306013,5,0.5911862092197043,2.0364381055032817e-63,3.893102388343947e-209,0.0,0.0,0.5911862092197043,0.0,0.0,0.0,0.0,0.0,0.4088137907802956,0.0,0.0,0.0
27,-0.8957915831663327,0.5812121527016906,5,0.8618188973497068,4.375595811738492e-68,2.4672269624253937e-198,0.0,0.0,0.8618188973497068,0.0,0.0,0.0,0.0,0.0,0.1381811026502931,0.0,0.0,0.0
28,-0.8917835671342685,0.6440266089921616,11,0.6260338850976868,2.7024004975217436e-54,1.2158974704611842e-221,0.0,0.0,0.3739661149023132,0.0,0.0,0.0,0.0,0.0,0.6260338850976868,0.0,0.0,0.0
29,-0.8877755511022044,0.647068419355218,11,0.8190953432485817,1.8273854367984538e-52,3.0517615997848417e-223,0.0,0.0,0.1809046567514183,0.0,0.0,0.0,0.0,0.0,0.8190953432485817,0.0,0.0,0.0
30,-0.8837675350701403,0.656081057266218,11,0.9561548245206675,1.5830921023130588e-49,4.566886424992272e-227,0.0,0.0,0.04384517547933261,0.0,0.0,0.0,0.0,0.0,0.9561548245206675,0.0,0.0,0.0
31,-0.8797595190380761,0.6890080925984922,11,0.9658081622595438,1.2836741845630972e-42,3.311365187327474e-240,0.0,0.0,0.03419183774045609,0.0,0.0,0.0,0.0,0.0,0.9658081622595438,0.0,0.0,0.0
32,-0.875751503006012,0.722664301695408,11,0.9323731830703517,1.0354299883044882e-35,1.2409111682082219e-253,0.0,0.0,0.06762681692964842,0.0,0.0,0.0,0.0,0.0,0.9323731830703517,0.0,0.0,0.0
33,-0.8717434869739479,0.7314426947998753,11,0.9901938203908994,1.4145596721712674e-33,4.846245465070797e-258,0.0,0.0,0.009806179609100489,0.0,0.0,0.0,0.0,0.0,0.9901938203908994,0.0,0.0,0.0
34,-0.8677354709418837,0.7210650827068973,11,0.9999679330665737,1.7275987922445043e-34,6.065840118997257e-255,0.0,0.0,3.206693342626034e-05,0.0,0.0,0.0,0.0,0.0,0.9999679330665737,0.0,0.0,0.0
35,-0.8637274549098196,0.7702238236766229,11,0.9977237685173246,5.221837590599703e-26,3.8258152378945515e-275,0.0,0.0,0.002276231482675513,0.0,0.0,0.0,0.0,0.0,0.9977237685173246,0.0,0.0,0.0
36,-0.8597194388777555,0.7588839563352618,11,0.9999989260593816,2.8629063357160216e-27,6.707636610143818e-272,0.0,0.0,1.0739406184750084e-06,0.0,0.0,0.0,0.0,0.0,0.9999989260593816,0.0,0.0,0.0
37,-0.8557114228456915,0.7917410943891685,11,0.9999932674526448,5.860901080594507e-22,3.303511183470064e-286,0.0,0.0,6.732547355072751e-06,0.0,0.0,0.0,0.0,0.0,0.9999932674526448,4.7365521837644905e-300,0.0,0.0
38,-0.8517034068136273,0.7966128168303006,11,0.9999999651549497,7.537843331230312e-21,1.9605460791070879e-289,0.0,0.0,3.4845050189637185e-08,0.0,0.0,0.0,0.0,0.0,0.9999999651549497,5.529044573430616e-287,0.0,0.0
39,-0.8476953907815632,0.8130658555860195,11,0.9999999970461966,3.0434555716847806e-18,1.9535641146912842e-297,0.0,0.0,2.953803276962545e-09,0.0,0.0,0.0,3.1615e-320,0.0,0.9999999970461966,8.556103616266426e-269,0.0,0.0
40,-0.8436873747494991,0.8470130165675683,11,0.9999999153615162,1.50677211262453e-13,9.66025398004e-313,0.0,0.0,8.463833313751696e-08,0.0,0.0,0.0,4.117389369735e-311,0.0,0.9999999153615162,3.787789635133828e-243,0.0,0.0
41,-0.8396793587174349,0.8246018395930811,11,0.9999999999999933,8.180765837707831e-16,1.3251571671877638e-304,0.0,0.0,5.811812974844722e-15,0.0,0.0,0.0,1.54536437183e-313,0.0,0.9999999999999933,2.462142340527565e-243,0.0,0.0
42,-0.8356713426853708,0.8974910538116034,11,0.999998557696906,4.597198476233358e-07,0.0,0.0,0.0,9.825832464787383e-07,0.0,0.0,0.0,1.2413543496639657e-297,0.0,0.999998557696906,3.682077844062768e-202,0.0,0.0
43,-0.8316633266533067,0.8348023916107634,11,0.9999999999997007,2.993404709071048e-13,6.799734605606e-311,0.0,0.0,3.6842647154156925e-22,0.0,0.0,0.0,8.597068599099873e-307,0.0,0.9999999999997007,3.014760230237697e-219,0.0,0.0
44,-0.8276553106212425,0.8713552285394086,11,0.9999999993321307,6.678695167766492e-10,0.0,0.0,0.0,3.08592346311911e-20,0.0,0.0,0.0,8.030756851995123e-299,0.0,0.9999999993321307,5.203451847139523e-196,0.0,0.0
45,-0.8236472945891784,0.902237134317235,11,0.9999995622030385,4.377969616605665e-07,0.0,0.0,0.0,5.334610344822333e-19,0.0,0.0,0.0,4.585007108180131e-292,0.0,0.9999995622030385,1.2435944903172361e-175,0.0,0.0
46,-0.8196392785571143,0.9174760310610632,11,0.9999900873626006,9.912637399294752e-06,0.0,0.0,0.0,6.7352042252169954e-21,0.0,0.0,0.0,6.194369273052866e-288,0.0,0.9999900873626006,7.170097935734285e-162,0.0,0.0
47,-0.8156312625250501,0.9141626730887426,11,0.9999885524907285,1.1447509271749514e-05,0.0,0.0,0.0,3.512877494822515e-27,0.0,0.0,0.0,2.688694554126177e-286,0.0,0.9999885524907285,4.271519656487247e-155,0.0,0.0
48,-0.811623246492986,0.9248258176817412,11,0.999893608244037,0.00010639175596301401,0.0,0.0,0.0,1.334455591577743e-30,0.0,0.0,0.0,7.795071433824446e-283,0.0,0.999893608244037,1.1276457991242606e-143,0.0,0.0
49,-0.8076152304609219,0.9433988665250496,11,0.9984527873827976,0.0015472126172024073,0.0,0.0,0.0,3.2333804035622653e-32,0.0,0.0,0.0,1.0722952399358946e-278,0.0,0.9984527873827976,3.037889687826334e-130,0.0,0.0
50,-0.8036072144288577,0.9391876539256748,11,0.9958108629595879,0.004189137040412126,0.0,0.0,0.0,6.806612924439631e-40,0.0,0.0,0.0,1.0955198135495696e-276,0.0,0.9958108629595879,4.9212352366381785e-124,0.0,0.0
51,-0.7995991983967936,0.9796953257025944,11,0.9249549799036013,0.07504502009639863,0.0,0.0,0.0,9.563803585813491e-36,0.0,0.0,0.0,2.951208165756322e-271,0.0,0.9249549799036013,1.4811523721213818e-105,0.0,0.0
52,-0.7955911823647295,0.9760377306991512,11,0.8742210885615533,0.12577891143844672,0.0,0.0,0.0,6.782762734038894e-44,0.0,0.0,0.0,2.4724194885616353e-269,0.0,0.8742210885615533,5.212637375392427e-100,0.0,0.0
53,-0.7915831663326653,0.9835179692776516,11,0.6767499390750742,0.3232500609249259,0.0,0.0,0.0,2.6813353405818683e-49,0.0,0.0,0.0,1.2652058360715163e-266,0.0,0.6767499390750742,1.1184404472013002e-91,0.0,0.0
54,-0.7875751503006012,0.9529364485420052,1,0.9817394830306235,0.9817394830306235,0.0,0.0,0.0,3.3318578502452884e-68,0.0,0.0,0.0,4.752458765471993e-266,0.0,0.01826051696937659,1.2169153366368689e-92,0.0,0.0
55,-0.7835671342685371,0.9762533516230611,1,0.9835795957697279,0.9835795957697279,0.0,0.0,0.0,1.805126059246562e-69,0.0,0.0,0.0,9.673658336883823e-263,0.0,0.01642040423027217,2.1239684401658136e-81,0.0,0.0
56,-0.779559118236473,0.9767932350266004,1,0.9992703611502124,0.9992703611502124,0.0,0.0,0.0,1.7441316327446996e-79,0.0,0.0,0.0,8.443060155149742e-261,0.0,0.0007296388497875534,9.068503753398304e-76,0.0,0.0
57,-0.7755511022044088,0.9670287108451237,1,0.9999983760728036,0.9999983760728036,0.0,0.0,0.0,1.0041489021357761e-94,0.0,0.0,0.0,1.672912607375422e-259,0.0,1.6239271964298017e-06,1.4031685450940677e-72,0.0,0.0
58,-0.7715430861723447,0.9980562057808146,1,0.999959282738565,0.999959282738565,0.0,0.0,0.0,3.1351982065807324e-92,0.0,0.0,0.0,9.892519215002707e-256,0.0,4.0717261434877785e-05,7.164427149674634e-61,0.0,0.0
59,-0.7675350701402806,0.983183835973067,1,0.9999999904118775,0.9999999904118775,0.0,0.0,0.0,3.5476721668622e-111,0.0,0.0,0.0,1.1306456074666569e-254,0.0,9.588122465397705e-09,3.939402084821187e-59,0.0,0.0
60,-0.7635270541082164,1.009498346409426,1,0.9999997395280156,0.9999997395280156,0.0,0.0,0.0,2.0070160119034032e-110,0.0,0.0,0.0,3.3914788775935748e-251,0.0,2.6047198453425624e-07,2.861903624163805e-49,0.0,0.0
61,-0.7595190380761523,0.9768080909832014,1,0.9999999999999909,0.9999999999999909,0.0,0.0,0.0,4.305596108943526e-141,0.0,0.0,0.0,3.0629640407211235e-251,0.0,9.037514122319292e-15,3.680682899237987e-51,0.0,0.0
62,-0.7555110220440882,1.0337813654608028,1,0.9999999007052637,0.9999999007052637,0.0,0.0,0.0,5.4968959965567764e-123,0.0,0.0,0.0,5.920297579583769e-246,0.0,9.92947362602095e-08,2.166037524911847e-36,0.0,0.0
63,-0.751503006012024,0.9820287557524892,1,1.0,1.0,0.0,0.0,0.0,2.1754893319779416e-167,0.0,0.0,0.0,4.874227102354587e-247,0.0,7.797699672797135e-20,9.325571878300026e-42,0.0,0.0
64,-0.7474949899799599,1.004262184281446,1,1.0,1.0,0.0,0.0,0.0,8.933517428117407e-169,0.0,0.0,0.0,1.204283562140212e-243,0.0,3.731091697849146e-18,4.198696390176763e-34,0.0,0.0
65,-0.7434869739478958,1.0149999755214254,1,1.0,1.0,0.0,0.0,0.0,2.339614308105763e-177,0.0,0.0,0.0,5.17433047666326e-241,0.0,7.721161847323429e-19,8.485940529815562e-29,0.0,0.0
66,-0.7394789579158316,0.9864030080226256,1,1.0,1.0,0.0,0.0,0.0,2.355384792005225e-213,0.0,0.0,0.0,6.461094338493234e-241,0.0,1.3575276670611447e-29,6.669376009356412e-30,0.0,0.0
67,-0.7354709418837675,1.0128854465349706,1,1.0,1.0,0.0,0.0,0.0,1.1796221092317736e-211,0.0,0.0,0.0,3.5902069669897386e-237,0.0,3.73051519994385e-26,1.0531190661938266e-22,0.0,0.0
68,-0.7314629258517034,0.968641143941366,1,1.0,1.0,0.0,0.0,0.0,4.204856901981493e-263,0.0,0.0,0.0,2.2981942259194332e-238,0.0,7.963680840320196e-44,6.330485892679213e-26,0.0,0.0
69,-0.7274549098196392,1.019026053246643,1,0.9999999999999997,0.9999999999999997,0.0,0.0,0.0,1.4094386161727644e-242,0.0,0.0,0.0,8.694214835224448e-233,0.0,3.956297853597243e-32,3.222130644166139e-16,0.0,0.0
70,-0.7234468937875751,0.986397764434046,1,1.0,1.0,0.0,0.0,0.0,4.8529026734348105e-288,0.0,0.0,0.0,4.213660499511693e-233,0.0,1.4596466874026116e-47,8.252219512578109e-18,0.0,0.0
71,-0.719438877755511,0.9696922808497472,1,1.0,1.0,0.0,0.0,0.0,5.4e-323,0.0,0.0,0.0,1.7721468234855867e-232,0.0,3.536324848341254e-59,3.2329207485713076e-17,0.0,0.0
