left_cluster,right_cluster,distance,n_observations
4,43,0.002031092795289982,2
20,98,0.0034235926217934926,2
118,155,0.004490806849179077,2
121,176,0.005117654140881907,2
353,387,0.005433275805727254,2
332,401,0.005608738233212556,2
345,358,0.005944510970586795,2
149,351,0.006488969039915609,2
436,446,0.006626699819307087,2
36,114,0.006694423166283888,2
198,276,0.006700190803481702,2
398,453,0.006885815492971108,2
185,228,0.007064389510790531,2
271,301,0.0072004090317110215,2
456,494,0.0072792777638967365,2
78,137,0.0075618892240538315,2
34,56,0.008294318315535443,2
359,389,0.008311723660568269,2
79,89,0.008560803683669242,2
342,390,0.008804195009334354,2
457,492,0.008829780536254682,2
77,126,0.008870480420790399,2
366,403,0.00895826292052088,2
391,442,0.009141975962077319,2
106,501,0.009288982787073068,3
139,168,0.00944794592513711,2
203,268,0.009490991264895143,2
330,331,0.009813475911239433,2
265,293,0.009940124497948151,2
92,270,0.010480861451960475,2
42,108,0.010723158039842185,2
124,408,0.010728554638619324,2
315,319,0.011087981545034495,2
52,116,0.011875925937956267,2
169,509,0.011882797363777009,3
64,84,0.011981760635783384,2
117,361,0.012092103389208882,2
206,506,0.012120279293690715,3
466,490,0.01248191028133727,2
136,161,0.01312167372133652,2
138,178,0.013200026589995606,2
93,215,0.013372632857974461,2
144,354,0.013423108077690517,2
166,234,0.013709409585818252,2
162,254,0.013974144394518804,2
183,337,0.014046621071282999,2
132,449,0.014118958899182186,2
142,512,0.014458953747779713,3
90,115,0.014634671455626823,2
239,275,0.01466031953813478,2
376,381,0.014684528343615688,2
111,372,0.01476372045625197,2
284,299,0.015068052463079342,2
9,44,0.015811293162231108,2
380,396,0.01590275805596986,2
171,336,0.016034077801547423,2
147,175,0.016173146534493924,2
129,209,0.016259229334965614,2
360,386,0.016312790023196234,2
158,339,0.016358327465760387,2
85,112,0.01641397855012884,2
288,308,0.01656776021450863,2
184,205,0.01696634659594547,2
470,476,0.016986869175946478,2
422,425,0.01701963259081273,2
465,483,0.017038808113623394,2
410,463,0.017616395835128515,2
38,86,0.017779283304183408,2
182,406,0.017810294031150573,2
133,197,0.017921026528863113,2
356,505,0.018034134812699755,3
37,69,0.01812798245776033,2
17,74,0.018453696770784397,2
66,113,0.01853861657781545,2
217,238,0.018615056369137215,2
54,80,0.01871106342848333,2
433,508,0.01876498831959544,3
128,562,0.01924791761789583,3
150,510,0.019478536579264065,3
212,248,0.019590076504171116,2
35,521,0.019678891627414003,3
438,471,0.019760758638593622,2
511,542,0.019761404832809706,4
264,266,0.019926566641569464,2
91,571,0.020258363581788202,3
213,362,0.020276758020309434,2
472,564,0.020321788365650673,3
379,507,0.020374819190923203,3
352,412,0.020398046271064982,2
320,513,0.020584345006811028,3
45,170,0.020707313918134455,2
349,373,0.021005366891408125,2
6,76,0.021038804355097168,2
15,73,0.021058120182130484,2
224,244,0.021117304244486372,2
195,343,0.021190047829974867,2
191,526,0.021247533726265873,3
87,553,0.0213538038061448,3
194,335,0.0213625831265993,2
388,413,0.02227032738976276,2
385,566,0.022492708880154984,3
63,502,0.022536549233127,3
153,236,0.02259869862833775,2
156,383,0.023088401676646192,2
40,61,0.02335397255709825,2
140,148,0.023434614743911127,2
134,503,0.023556341499714247,3
131,548,0.02357883412916055,3
437,448,0.023605236725342735,2
24,29,0.024174018960574792,2
439,459,0.02418528797086371,2
302,305,0.02427110125216034,2
411,545,0.02442831884090297,3
340,522,0.02470015527502077,3
222,350,0.024993578178124295,2
365,569,0.025018368250317675,3
55,516,0.02539056266565895,3
259,297,0.025399859218918273,2
14,59,0.025433730264821888,2
258,277,0.02552853505430809,2
110,539,0.025772953597889288,3
188,591,0.0258602286920442,3
151,341,0.026451094436674195,2
28,67,0.02686770660489938,2
260,321,0.02698136885937576,2
53,534,0.02699605168092557,4
543,547,0.027184801209751395,5
419,429,0.027412738842148045,2
229,549,0.02747139751999576,3
1,100,0.027682205901480742,2
418,427,0.027741845488161013,2
460,461,0.0279917556608747,2
5,11,0.028294521365267958,2
181,190,0.028448425065088004,2
424,546,0.028522326538632757,3
97,613,0.028639560030194803,4
60,154,0.0287205783136606,2
481,520,0.028968878593076085,3
287,329,0.02935412050863659,2
30,47,0.029422745423193158,2
39,94,0.02946825458358237,2
120,533,0.02949006236632356,3
214,241,0.029693403787210967,2
231,257,0.02992576090540773,2
363,568,0.0300749038304677,3
8,597,0.030079389464272716,4
261,300,0.030441830659227703,2
226,462,0.030508398766533364,2
208,579,0.03057217479620174,3
278,583,0.030740599891273715,3
550,557,0.03081471070524954,4
72,102,0.030953503857786814,2
235,267,0.031166955191216556,2
250,594,0.03123933935723508,3
309,532,0.031245475616675816,3
477,480,0.031612481236083234,2
443,499,0.031668605745351186,2
233,290,0.031689143635433806,2
204,384,0.03181782264765056,2
415,600,0.03192684761866943,4
304,312,0.03250089160750807,2
187,593,0.03325510685819679,3
127,580,0.03354080452651611,4
99,625,0.03367001129181943,5
201,544,0.0337934885280968,3
517,587,0.034136506312935584,5
405,610,0.03432915863561866,3
541,556,0.03473636197934799,4
559,570,0.034840707381194234,5
280,370,0.03496731547312311,2
240,242,0.03582584694664263,2
200,216,0.036213449216066874,2
75,123,0.036217471131769756,2
152,605,0.036438324864254024,3
252,282,0.03651704935094814,2
377,504,0.03706898297871952,3
530,645,0.03715787351330117,6
202,515,0.037409679138719794,3
219,273,0.03750135505871682,2
0,96,0.037601144096207864,2
558,599,0.037646546225798494,4
146,612,0.03774166523636504,4
3,125,0.03841552421451897,2
157,519,0.03844489257068321,3
538,565,0.03847514897735821,4
589,646,0.038549308146603456,5
399,630,0.03891377834276555,3
46,518,0.03892976097200279,3
346,578,0.03912685367139409,4
531,551,0.0396650469305123,4
585,603,0.039810756032792376,4
317,327,0.040177362320459445,2
199,540,0.04019837157163032,3
70,107,0.04023256351002101,2
179,560,0.040253648076076856,3
122,607,0.040719129093022464,4
50,535,0.04081501267391138,3
421,473,0.04092183319067859,2
378,423,0.04095646370583697,2
348,355,0.04124693589101646,2
404,428,0.041723005704272946,2
441,523,0.04202349548938643,3
207,243,0.04213834148226641,2
32,62,0.04218986322173174,2
572,592,0.042264692537109676,4
218,537,0.04237599690506702,4
397,634,0.042675304997457565,4
103,641,0.04284883117305593,4
31,584,0.04286371430527016,4
269,368,0.043011168122057346,2
375,620,0.043280642023873696,4
316,325,0.04343473805504016,2
193,221,0.04351497490531536,2
371,614,0.043565943354910555,3
10,623,0.04369446941915396,3
621,668,0.0438621269544931,8
230,681,0.04458438069358632,5
281,283,0.044762336714010836,2
130,262,0.04484015997622029,2
555,606,0.044856218404039555,5
104,174,0.04503071380747946,2
165,694,0.045239485287716465,4
430,647,0.045608281294120104,3
458,586,0.0457438362634151,4
16,632,0.04582527584485914,3
57,639,0.0459370998167878,3
394,395,0.046037042365027335,2
245,649,0.0463536779222506,4
119,582,0.04648137211511716,5
82,524,0.046546075958056245,4
286,617,0.046715205643797275,3
344,364,0.047142579075139204,2
65,573,0.0471769989577978,3
172,334,0.04718350305800565,2
173,648,0.047263210073925734,4
95,402,0.047430482999958355,2
595,667,0.04746796357776699,6
467,497,0.04771445599057946,2
455,491,0.047731915091929956,2
196,223,0.048038631600106234,2
22,33,0.048287609561634665,2
653,669,0.04852757696129539,5
186,658,0.0493285982310464,3
18,27,0.04936852785393418,2
237,274,0.04939729158145665,2
622,692,0.04952801919337178,5
306,552,0.04971810105337347,3
445,495,0.04983368872194973,2
272,285,0.04988241608422629,2
409,608,0.0500728340736491,3
598,633,0.05023898766665257,4
291,292,0.05032971175098013,2
48,663,0.05054574443726906,6
484,666,0.050788763552157744,4
71,105,0.05120868386004317,2
253,577,0.05162025021310091,4
452,644,0.05177183817693785,4
41,662,0.05181056430701775,5
279,746,0.05261229053931915,4
369,680,0.05262236589406813,5
393,626,0.05280830524584088,6
26,708,0.05343507741153103,5
414,675,0.0535909213590385,4
232,596,0.053704500017873504,4
227,435,0.054213444857375524,2
496,498,0.05421814123727675,2
160,601,0.054327434746302715,4
525,536,0.05432751511811483,4
2,143,0.054806628521186514,2
81,699,0.05556827197618034,3
374,382,0.05586028695131239,2
671,706,0.05594540962982453,6
333,590,0.056436500088764635,3
432,734,0.05657793084574369,5
554,698,0.056646434485242904,4
567,714,0.05687493917025297,5
167,615,0.05721893533605038,4
529,635,0.05728965173744118,6
624,717,0.0574148636740588,4
400,659,0.057528201929782516,5
500,575,0.05768504428949496,4
440,468,0.05773868263930179,2
574,712,0.057936678763195755,4
249,718,0.05807292655171567,3
588,700,0.058179148654892585,4
690,709,0.058577596244948876,6
416,420,0.05858525714299371,2
417,686,0.05900202024548704,4
426,711,0.05953670558329432,3
636,651,0.059592835098809596,4
310,730,0.06006283872920789,4
83,640,0.060121670487946394,3
715,731,0.06062435135562029,10
101,677,0.061048185732219616,4
58,704,0.06111438397267944,5
650,665,0.061223317754810866,9
