left_cluster,right_cluster,distance,n_observations
413,414,0.00401474172552351,2
269,270,0.004170681519339157,2
433,434,0.0047196266075005535,2
366,367,0.004751785020995295,2
375,376,0.004896851384281808,2
349,350,0.005307613848925153,2
385,386,0.005846261846299183,2
259,260,0.006258284862308296,2
276,277,0.007027804205449561,2
429,430,0.007037011037681504,2
181,182,0.007610605640236954,2
153,155,0.00805872177264736,2
334,335,0.00820753446162041,2
184,185,0.008652930059796107,2
162,164,0.008910284353329656,2
478,480,0.008967423756647991,2
204,206,0.008998598455688756,2
201,203,0.009028077610670603,2
317,318,0.009148748790185695,2
192,193,0.009721585092923474,2
333,512,0.009755460696710159,3
444,446,0.009904495503798093,2
437,439,0.010081295060031584,2
322,324,0.010144468441293094,2
346,348,0.010241539237849416,2
108,110,0.010955405258138295,2
83,84,0.011281263925198891,2
2,3,0.011548800765468175,2
424,426,0.011712529800147073,2
304,306,0.011768792381382872,2
67,70,0.012027160789776678,2
166,169,0.012073377653886963,2
50,51,0.012080514223808547,2
142,144,0.012179676204274533,2
121,124,0.012183727666804086,2
209,211,0.012273873073294929,2
465,467,0.012565518597076348,2
408,410,0.01263439326833179,2
12,14,0.012838240836850355,2
361,364,0.012941496833388891,2
275,508,0.012971572118492458,3
227,230,0.013031486525040183,2
262,265,0.013108635870109362,2
16,19,0.013417376665534714,2
89,91,0.013553862073009317,2
82,85,0.013723160539859443,2
309,311,0.013859398593261942,2
368,371,0.013905523673459859,2
212,214,0.014163663633112241,2
398,401,0.01438968555117416,2
32,35,0.014618125049695077,2
143,145,0.014630589358256613,2
240,241,0.014883403825351336,2
412,537,0.015099260782774258,3
469,471,0.015211832616124295,2
15,543,0.015525970207308015,3
272,501,0.015957783600691042,3
112,116,0.016067688650162126,2
131,133,0.016198310901699202,2
168,172,0.01620613755389027,2
127,130,0.01628203645276852,2
340,344,0.016298422790231467,2
128,129,0.016305654915822445,2
163,167,0.016307931489280073,2
418,422,0.01641006570245002,2
24,26,0.016487415978700255,2
257,261,0.016697434121557116,2
316,518,0.016867228262220306,3
77,80,0.017118074763840654,2
288,291,0.017155715365404604,2
483,486,0.017303451461144113,2
55,57,0.01745816154601965,2
170,174,0.017845677125565576,2
389,393,0.017929407902933788,2
402,549,0.017969382717916732,3
135,137,0.01831053735210676,2
188,189,0.018500659756110552,2
252,255,0.018546715451050896,2
448,521,0.018817535462520886,3
445,449,0.019293665493418856,2
147,533,0.019308562598328794,3
72,530,0.019382166967829434,3
253,254,0.019556561356408958,2
207,516,0.019950825474137554,3
327,523,0.019997183451356596,3
228,233,0.02004024421303101,2
435,440,0.020063314501302408,2
109,114,0.020226346524177524,2
61,66,0.02024097032866221,2
474,479,0.0204102556700192,2
282,287,0.020665995997907458,2
159,511,0.020857833273220966,3
299,300,0.021111704784802354,2
337,342,0.02135610294068574,2
183,186,0.021789661251885317,2
310,529,0.021964004510636993,3
179,510,0.022307561511196797,3
293,295,0.022488770741633725,2
373,377,0.02252553131821511,2
374,379,0.022531867329879458,2
281,286,0.022603779594802833,2
354,358,0.022699109909992722,2
223,541,0.02295673534718412,3
492,493,0.023181771179398538,2
394,399,0.023414826991101693,2
99,103,0.023509852939010426,2
4,527,0.023627426294435573,3
195,199,0.023778932220077063,2
243,248,0.02387002573174642,2
171,531,0.023971217575072784,3
400,406,0.02404811024978545,2
405,411,0.02406844084161078,2
92,96,0.024072947349651007,2
200,583,0.024258256512455473,4
540,556,0.024353155517282912,6
154,160,0.024405731399900318,2
97,102,0.02454257282999942,2
343,345,0.025082327502543987,2
59,65,0.025087778181010167,2
421,427,0.025379826957144767,2
132,560,0.02542285254780409,3
180,513,0.025482261276216736,3
284,569,0.02590722283911873,3
98,101,0.02593554802912081,2
505,524,0.026064918581146776,4
312,314,0.02608989234579795,2
370,504,0.02626189045857552,3
205,517,0.026454495722221298,3
194,576,0.02655398021349387,3
176,178,0.026639794631149936,2
290,296,0.026735663989242132,2
496,499,0.0270004156661359,2
232,237,0.027187050584857497,2
149,152,0.02726409518613673,2
285,622,0.02742307452635619,4
74,79,0.027488620693409575,2
363,547,0.02758034928895013,3
246,552,0.027646008903956614,3
161,563,0.027761510790187363,3
219,225,0.02792747875662667,2
