left_cluster,right_cluster,distance,n_observations
188,189,0.004008227477260954,2
77,78,0.004008609777734307,2
67,68,0.004017398758520581,2
438,439,0.00401874948548907,2
232,233,0.004023396941988566,2
390,391,0.004037709113640647,2
70,71,0.004069602044218049,2
338,339,0.004110348035267137,2
127,128,0.004111364493761947,2
444,445,0.004139117090487928,2
431,432,0.004224301530520533,2
359,360,0.004317058431449774,2
169,170,0.004322986172808117,2
448,449,0.004365884795838512,2
247,248,0.004520471351024188,2
177,178,0.004562405996467127,2
110,111,0.004692362579667844,2
258,259,0.004700089748828108,2
278,279,0.0047069129625908375,2
479,480,0.004738019822738646,2
198,199,0.004781965189195553,2
321,322,0.004803355435584309,2
107,108,0.004821360124971001,2
291,292,0.004906992351651347,2
403,404,0.004945534751542218,2
172,173,0.004961077810893469,2
230,231,0.005000944077177639,2
303,304,0.005004804854838708,2
227,228,0.005018262293537707,2
90,91,0.005145369912874243,2
240,241,0.005231064530541703,2
180,181,0.00536193202843101,2
222,223,0.005548857162665199,2
130,131,0.005680914089991266,2
216,217,0.0057625110708836485,2
154,155,0.005957533976506048,2
204,205,0.006069051077869025,2
165,166,0.006155160440643518,2
236,237,0.0061705053754178025,2
119,120,0.00618858994109516,2
392,505,0.006205836154441555,3
477,478,0.006319842913070915,2
337,507,0.00632549394172598,3
116,117,0.006573572336301705,2
394,395,0.006646744124238785,2
133,134,0.006754153148949637,2
402,524,0.006797460188119646,3
398,399,0.0068387062035368965,2
348,349,0.006907750528562788,2
330,331,0.006908888413067382,2
371,372,0.007055272664419543,2
440,441,0.007155165543069434,2
328,329,0.00730101725583427,2
343,344,0.007328278345577576,2
361,362,0.007346418161590835,2
286,287,0.007358056982695935,2
182,531,0.0076000499469253855,3
121,539,0.0076064349637374705,3
369,370,0.007614864862477594,2
293,294,0.0076246993838967785,2
152,153,0.00768718280993725,2
72,73,0.007708297447187695,2
81,82,0.007789607269561937,2
125,126,0.00780008717211157,2
145,146,0.007840368498168934,2
296,297,0.007931836622562612,2
358,511,0.007931906627880937,3
350,352,0.008016228964413872,2
262,264,0.008017140557701388,2
206,208,0.008017736983104271,2
138,140,0.008022381245043784,2
340,342,0.008054969737570358,2
75,76,0.008058421312304873,2
317,319,0.008091638408115123,2
255,257,0.008100849400201763,2
249,251,0.008153199928069342,2
122,123,0.008168046538761298,2
269,270,0.008175528448290977,2
353,354,0.00833726873698182,2
334,336,0.008339733090203033,2
185,187,0.008451411606499825,2
194,196,0.008532639325374609,2
191,193,0.008592252835767249,2
305,527,0.00863979894906391,3
458,459,0.008655103603467142,2
124,563,0.008667710277181937,3
306,307,0.008669748917216771,2
384,386,0.008672626365717065,2
277,518,0.008704364776304024,3
272,274,0.008728280631425826,2
246,514,0.008755004980285494,3
280,282,0.008760309712165062,2
323,521,0.00879373621090265,3
299,301,0.008883126545211046,2
42,43,0.008991154260237853,2
112,113,0.009031771814199178,2
387,388,0.009040481227476855,2
213,215,0.009065006914976692,2
442,443,0.009072980173028263,2
377,379,0.0094929446891689,2
400,401,0.009572949488944025,2
203,536,0.00975303955684137,3
418,420,0.00977501260415156,2
254,256,0.009787873518305885,2
220,221,0.009789802926464225,2
366,367,0.009806188926412874,2
376,378,0.009821130561026459,2
410,412,0.009822109123867767,2
324,325,0.00985263341424816,2
405,407,0.009858521678090171,2
168,512,0.00990642242154655,3
267,268,0.009928545535157077,2
97,98,0.009951021585722837,2
320,592,0.009968049827572548,4
58,59,0.010026959110425565,2
332,333,0.01014789901130993,2
487,488,0.010151178537295929,2
314,315,0.010179729424739565,2
411,413,0.010429193739859356,2
159,161,0.010471376824901391,2
415,416,0.010522941124836196,2
374,375,0.010547005593708712,2
346,548,0.010587947520627186,3
219,534,0.010597961622795955,3
295,565,0.01061286573770064,3
61,62,0.010639310226131632,2
141,142,0.010659710803102445,2
451,453,0.010671096203761317,2
101,102,0.010750218084149086,2
260,517,0.01084554354445086,3
351,578,0.011065022409621934,3
135,136,0.0110942165468906,2
275,589,0.011326949287189683,3
225,528,0.011343354781742759,3
89,529,0.01135739497825796,3
429,510,0.011422469241821085,3
143,144,0.0115148341932291,2
283,284,0.011553317224175238,2
56,57,0.011570306122213771,2
312,313,0.011972006482923209,2
433,435,0.012027000900451763,2
209,212,0.012057198757254108,2
309,311,0.012102677379984727,2
149,151,0.012182216917488276,2
265,568,0.01219032592103102,3
218,604,0.012212253261811691,3
9,10,0.012224341473232956,2
302,593,0.012282967299821689,3
335,615,0.012298059222518387,3
424,427,0.012322391996687446,2
423,425,0.012408417715969188,2
200,201,0.012445900109847871,2
156,158,0.012526291394794031,2
406,546,0.012565753377720654,4
243,245,0.012583645936057559,2
242,530,0.012599571797589052,3
419,602,0.012621776667107405,3
380,383,0.012729720633525449,2
261,629,0.012768291355878656,4
92,94,0.012805188363662016,2
190,582,0.01285882152526674,3
192,581,0.012912663657414114,3
408,609,0.012963882359438132,3
176,179,0.013001395707831303,2
434,436,0.013180112858390332,2
318,573,0.01343286551139478,3
397,547,0.013526792599049452,3
115,118,0.013563359146366786,2
495,496,0.013626527603506019,2
276,588,0.013662927377923654,4
446,447,0.013801866850953325,2
99,612,0.013819751671135755,3
244,655,0.013965611477998345,4
195,520,0.014156059956294246,3
137,139,0.014210798065176526,2
356,566,0.014250990794873651,4
428,430,0.014325987939671166,2
288,523,0.014361863029050743,3
542,571,0.014396280926584803,5
207,210,0.01442545804580513,2
385,587,0.01446479657179691,3
226,532,0.01448952707758954,3
450,513,0.014612610435261002,3
347,553,0.014660242845362,3
160,163,0.01469080079094825,2
164,167,0.014747074801239464,2
426,650,0.014791437233894724,3
129,533,0.0149889013042089,3
457,460,0.015098250824477437,2
393,544,0.015122026275179817,3
327,549,0.01522602259556274,3
577,611,0.015464066310728995,4
171,610,0.015466147360025667,4
526,633,0.015642017306336877,5
202,601,0.016133665317719453,4
27,28,0.016212582218158602,2
364,605,0.016322522675568513,3
504,538,0.01637338436552099,4
310,586,0.016384289399847915,3
555,637,0.01656553015089144,4
345,683,0.01660635089732243,4
389,596,0.016644345253519613,3
469,470,0.01694332654518387,2
373,606,0.01701849175560148,3
464,465,0.01706442829721634,2
363,365,0.01725606640567923,2
569,641,0.017326216818798125,4
590,654,0.01732632930380278,5
30,31,0.01741717201415911,2
500,580,0.01742377508323327,4
381,680,0.017433856595290342,4
599,621,0.017539050154323804,4
238,672,0.017672617641694116,5
211,679,0.01783094118575331,3
618,620,0.017837235464343123,4
150,643,0.017937611319260797,3
454,456,0.017952225500343397,2
224,645,0.018121120414679375,4
552,608,0.018206304356842083,4
559,624,0.018268530554450053,5
357,630,0.018317001854681606,4
38,39,0.01836026696524004,2
326,613,0.018378923638207447,5
617,665,0.01854740425083509,5
515,663,0.01864691802695624,4
214,597,0.018657231693379503,3
591,669,0.018801943018413272,6
183,184,0.018883641425496492,2
368,558,0.01889718723167695,3
537,685,0.01906512866781322,4
109,522,0.01928215510453634,3
