left_cluster,right_cluster,distance,n_observations
498,499,0.004009633778582357,2
28,29,0.0040111674434896855,2
6,7,0.004013952833420665,2
129,130,0.0040352369591420065,2
398,399,0.004045994473416561,2
260,261,0.004086927587867686,2
293,294,0.004108323807840037,2
337,338,0.004112218196225234,2
68,69,0.004191904420486116,2
180,181,0.00420509023897917,2
335,336,0.004380156867207727,2
187,188,0.004499757368626092,2
416,417,0.004500027280825571,2
219,220,0.004608178409774711,2
138,139,0.004664796625259712,2
274,275,0.005005347223571801,2
62,63,0.00535223536324467,2
449,450,0.005669393594158395,2
134,135,0.005698459363682313,2
57,58,0.005747021081160302,2
461,462,0.005860670082469447,2
99,100,0.005869303420148114,2
396,397,0.006169466948610765,2
122,123,0.006517917411986406,2
295,296,0.006920820530179847,2
171,172,0.00704267821369535,2
213,214,0.007121454112958885,2
432,433,0.007265030021709825,2
179,509,0.0072989685104620314,3
97,98,0.008002320961412016,2
306,308,0.00801613887651356,2
313,315,0.008016283922606946,2
239,241,0.008109009796464386,2
361,362,0.008128767121522584,2
459,460,0.008150360842814024,2
477,479,0.008154254651593872,2
384,386,0.008281903463325357,2
355,357,0.00837554175433532,2
233,235,0.008416992549096166,2
445,447,0.008426444730994869,2
37,39,0.008751150641760234,2
71,73,0.008784185727254932,2
317,318,0.00888297372746974,2
276,278,0.009245186757833262,2
127,128,0.009459159297534983,2
109,111,0.00958949301231551,2
385,387,0.01001700494730609,2
229,231,0.010159018068183794,2
380,381,0.01019869951154568,2
217,513,0.01024632274110531,3
277,515,0.010305426160068416,3
440,441,0.010337751840608055,2
159,161,0.010643182806398425,2
205,207,0.010766443471569133,2
492,494,0.010824611882519689,2
340,342,0.010875602487677515,2
142,144,0.010981911527917483,2
87,88,0.011012313783367714,2
45,47,0.011139417919023693,2
320,322,0.01145954048317367,2
351,352,0.011536012976864714,2
485,487,0.011573035052799491,2
9,11,0.011750679622668559,2
140,141,0.011784325146569805,2
434,436,0.011909106262637463,2
411,414,0.0120373777047642,2
152,155,0.012058697348651896,2
307,310,0.012237710916309671,2
153,156,0.012342600277248763,2
407,408,0.012345225746854805,2
131,503,0.012396051974055342,3
26,27,0.012494400286726196,2
21,23,0.01255733160128727,2
271,272,0.012756009246335211,2
428,430,0.012849841530510478,2
70,72,0.012857087240724178,2
165,167,0.01291217631699065,2
78,79,0.01334502167771578,2
262,265,0.013583508088903996,2
189,191,0.013629692230337838,2
330,333,0.013793573062572414,2
401,403,0.01403700829424397,2
455,458,0.01420520312865901,2
382,536,0.01424095182155179,3
126,523,0.014304151078440679,3
225,226,0.014427107750679872,2
279,543,0.014521690337939784,3
404,405,0.014589970106195381,2
341,555,0.014594559156532906,3
376,378,0.014811919957714822,2
443,539,0.014889848873769783,3
427,429,0.014901040930296292,2
177,528,0.01493353214632323,4
107,110,0.01520844790839188,2
248,250,0.015278612699049746,2
425,591,0.015501433317156978,3
49,51,0.015589566116916963,2
209,553,0.015866280405762254,3
227,230,0.01587135848009489,2
268,573,0.01602513209861023,3
284,288,0.016032540173410787,2
255,259,0.01607028035493401,2
158,162,0.01607128252019949,2
391,395,0.016075616247867488,2
81,85,0.016080453809913797,2
493,497,0.016087156167687532,2
132,133,0.016124897075571916,2
1,2,0.016136947757856644,2
211,215,0.0162172862407759,2
115,117,0.016325612207223332,2
328,329,0.016532110913953103,2
482,561,0.016566583522190474,3
267,270,0.016598020914033874,2
365,369,0.016698526262136627,2
321,325,0.01680106007440331,2
474,476,0.016865238801247146,2
314,531,0.016963344579628337,3
464,467,0.017010850857473017,2
343,347,0.01760051346482671,2
121,124,0.017650667381236728,2
468,472,0.017882677655519437,2
245,594,0.018176637978498104,3
143,147,0.018460100175281376,2
512,565,0.01866984165460686,4
446,517,0.01870706258267381,3
466,520,0.018940135022705543,3
402,406,0.018967188649751873,2
157,160,0.019020050680959223,2
383,583,0.019048024171864783,4
104,521,0.01913005478359191,3
113,545,0.019191011621465436,3
438,442,0.01932370352262345,2
393,522,0.019406171525767034,3
364,368,0.019410859106350625,2
331,580,0.019475746240457815,3
84,604,0.01950341782581351,3
495,605,0.0195886595133513,3
194,197,0.0196562790059735,2
83,577,0.019736948008368442,3
527,574,0.019820300429725306,4
36,540,0.01983434686749855,3
544,570,0.019860778126429862,5
174,525,0.01993204521453632,3
20,24,0.019961570211061524,2
196,201,0.020243368151053733,2
418,422,0.020297233463879127,2
353,358,0.020330512031390205,2
77,80,0.02041482811818207,2
281,283,0.020452386697111802,2
14,15,0.020483314739948993,2
534,582,0.020631359283910498,4
483,535,0.02063901119893858,3
90,93,0.020740308902682865,2
348,560,0.020821381841242815,3
514,518,0.020889476353111676,4
221,549,0.021019430155425803,4
490,491,0.02105901096564058,2
50,54,0.021069193837649443,2
556,622,0.02116201491609041,4
569,587,0.021207390775342977,4
228,232,0.021243879301031308,2
198,203,0.021252792323238567,2
242,244,0.021380634534808478,2
372,589,0.021460335681096426,3
95,529,0.02147867677378944,3
224,655,0.021646243541615075,5
178,183,0.021787177888262205,2
202,597,0.02183412894442735,4
388,389,0.02197694855972288,2
501,571,0.02215405924059024,4
216,526,0.022283990359312257,3
273,612,0.02233214855093538,3
465,617,0.022472779199770282,3
538,547,0.022478603484047517,4
247,252,0.022568381460119948,2
334,510,0.02284050503832935,3
150,154,0.02284118754800515,2
324,327,0.02312825083002056,2
448,590,0.023145791934136437,4
297,300,0.023187928995801254,2
431,595,0.02330756688492538,4
223,598,0.023316234724579284,3
469,473,0.023362421622572745,2
481,486,0.023421765744645853,2
298,524,0.023591007209708602,3
312,530,0.023756155954114545,3
360,533,0.02380097235452353,3
346,618,0.023983865821075444,3
206,212,0.02406355594512972,2
253,257,0.024087933013266335,2
370,371,0.024180578563094492,2
568,627,0.024353911279519646,4
471,475,0.024417050029645806,2
35,40,0.02477381288437243,2
60,66,0.02477799195442691,2
345,653,0.024789048187122225,4
166,552,0.024896849717337056,3
236,238,0.02515190846544213,2
309,616,0.025359930176432944,4
392,546,0.02539684080610672,3
164,169,0.02552369540008749,2
114,116,0.02558641485401881,2
89,91,0.025619717081247207,2
316,559,0.02562726410285179,3
420,421,0.025708676188697287,2
64,65,0.025823885560516634,2
478,615,0.026445970907944105,3
287,600,0.026581896667893175,3
326,332,0.026606146515111537,2
624,678,0.026687359344387707,7
435,639,0.026717116708974076,5
282,286,0.02723012633309023,2
367,686,0.027952638621348082,4
366,633,0.027957513456119645,3
256,505,0.028149323406845443,3
48,558,0.028200480272180622,3
43,44,0.02823574452693079,2
289,290,0.028281838539959782,2
548,663,0.028337604063607285,5
170,173,0.028357659507338796,2
304,311,0.028360981059327946,2
409,581,0.028723722377713843,3
504,626,0.028729092448950513,4
182,592,0.028758535018609463,5
585,673,0.028784797558647175,6
74,541,0.029074026302718728,3
118,630,0.0290923416630544,4
303,684,0.0292763018220239,4
452,453,0.029358290146928707,2
76,638,0.029381119804065048,4
394,400,0.029442944432843843,2
148,676,0.029910863702214553,3
137,658,0.030064016044174142,5
285,292,0.030275161012134594,2
105,593,0.030352551465190766,3
537,695,0.030386512841643794,6
269,671,0.030430961560023433,4
551,709,0.03058514300218865,9
301,506,0.030651293452014856,3
412,413,0.030728013659288574,2
246,674,0.030907533112120925,3
564,631,0.031108202093839757,4
623,645,0.031124252938933332,6
614,703,0.031136683170873397,5
579,637,0.031227221973801435,4
379,628,0.03138658628528059,5
426,680,0.03147837933066471,5
410,659,0.031690309980147845,5
237,243,0.031717838180104825,2
588,675,0.03194804489775387,6
339,634,0.031965216980684816,4
193,511,0.03207382691022444,3
168,176,0.03207487673923273,2
52,657,0.03214400058858364,3
439,710,0.03278799667355435,6
120,125,0.03289034098651142,2
101,102,0.03327503792704355,2
186,190,0.0336620005188315,2
254,740,0.03368591768412344,4
685,698,0.03384629900816594,7
601,714,0.03404961874584025,5
463,650,0.034054630473776375,5
17,649,0.03409520568372056,3
608,665,0.03414997213085684,7
620,682,0.0342265579136294,4
350,735,0.03448608440454679,7
234,681,0.03475980181229421,4
374,375,0.0347680980415914,2
204,210,0.034907855146858714,2
264,736,0.035219486207494405,5
251,662,0.03541757611802733,3
576,696,0.03552239498025895,5
61,694,0.03553387441976415,3
291,711,0.03601270574895499,3
145,566,0.03602685466661841,3
103,108,0.036156509551910104,2
195,661,0.03616541400696532,3
94,96,0.0361665036368658,2
373,613,0.03617223578247801,3
667,670,0.0361974647351839,7
199,644,0.03619909761513101,3
136,606,0.036302537959828116,3
542,567,0.03631532250640707,4
415,424,0.036480314347925556,2
92,664,0.03649099595967235,4
621,689,0.036492293499819,5
550,599,0.036543972425065324,6
507,687,0.036663267901123085,5
146,563,0.0368363403100368,3
149,732,0.03684484830744396,6
488,611,0.03710502616416509,4
454,457,0.03725836874511109,2
59,519,0.03744831756673824,3
82,647,0.0376015615103735,3
377,690,0.037667710857207735,3
185,744,0.03824093209951169,5
489,683,0.038532602891531056,3
677,750,0.0389501843227616,6
642,700,0.03974769197633929,5
354,359,0.03978011155893197,2
679,717,0.039979246852885474,4
704,746,0.04007889862006247,7
