left_cluster,right_cluster,distance,n_observations
114,115,0.0040081583120244214,2
107,108,0.004010201303407259,2
120,121,0.004017649777803658,2
199,200,0.004021273422700251,2
347,348,0.00406014479319105,2
162,163,0.004072025012814035,2
229,230,0.004077429768432259,2
417,418,0.004089183438169373,2
167,168,0.004116608637947027,2
12,13,0.004130859048646689,2
341,342,0.004152279238832682,2
436,437,0.004159280879112038,2
245,246,0.004169967794686487,2
263,264,0.004177749891009842,2
370,371,0.004187366906272018,2
321,322,0.004238433687215482,2
201,202,0.004243084505891987,2
444,445,0.004293043250108142,2
223,224,0.004361906170479535,2
194,195,0.004369939615182181,2
305,306,0.004466226786804801,2
250,251,0.0044698763402683615,2
217,218,0.0044727515074181046,2
324,325,0.004501664481480556,2
378,379,0.004543417606259885,2
111,112,0.004619751285080486,2
21,22,0.004632849803206326,2
95,96,0.0046830910528309865,2
76,77,0.004691924628862864,2
287,288,0.004750007254142185,2
227,228,0.004824454535624554,2
212,213,0.005054146696384056,2
326,327,0.005080925782413924,2
208,209,0.0051367519063914135,2
380,381,0.00526833257527281,2
146,147,0.005268617034993043,2
270,271,0.00542781761707911,2
205,206,0.005468509701140135,2
254,255,0.005629602107276672,2
299,300,0.0056675407021076684,2
130,131,0.005748863930783962,2
315,316,0.005804730651430381,2
144,145,0.005813073121137339,2
183,184,0.005853064748136831,2
180,181,0.006037390842473091,2
178,179,0.006143871556694993,2
349,504,0.006149922172837487,3
332,333,0.006194472495585968,2
187,188,0.006300852136293372,2
340,510,0.006380770910740687,3
353,354,0.006432781827709244,2
480,481,0.00644600059687707,2
85,86,0.006548637068323488,2
169,508,0.0065901238576016605,3
317,541,0.0071682042788924275,3
67,68,0.007216287062089576,2
275,276,0.007356432342891966,2
453,454,0.007422787055242681,2
253,538,0.007501042487164173,3
272,273,0.007579877645242087,2
26,27,0.0076512807521239914,2
61,62,0.007692281810425388,2
128,129,0.007759775408761141,2
142,143,0.007785597648580991,2
382,534,0.007977699485385067,3
63,561,0.008014250166900733,3
388,390,0.008020824764678375,2
174,176,0.008029680055356007,2
4,6,0.00806077398052451,2
170,172,0.008093517531718199,2
278,280,0.008152093028918388,2
355,357,0.008176699454683963,2
51,53,0.008216859882529678,2
78,528,0.008217574906391578,3
164,505,0.008245668473834197,3
236,238,0.008250043019654646,2
5,7,0.008252129796491228,2
123,124,0.008321065957646478,2
91,93,0.008330132239275414,2
71,73,0.008382386950737357,2
35,37,0.008437264293570928,2
