left_cluster,right_cluster,distance,n_observations
197,198,0.0020073553398039525,2
237,238,0.002633603088742101,2
33,35,0.004027349099060579,2
132,134,0.004254231065553863,2
58,60,0.004394969908574893,2
53,55,0.004634460788006201,2
241,242,0.00475305939492165,2
77,79,0.004956137503759452,2
114,115,0.005136102609445844,2
37,39,0.005497170530635451,2
464,465,0.005574290850854768,2
87,90,0.006059916844329126,2
178,181,0.006086262519359456,2
100,103,0.006645228771459656,2
19,22,0.0066748999376978245,2
169,172,0.006944045403867338,2
120,124,0.008021947517072772,2
24,25,0.008048206054555826,2
13,17,0.008152642912850727,2
38,42,0.008159709581104915,2
75,76,0.008191196228218265,2
49,52,0.008258145068099432,2
109,113,0.008268854518764994,2
23,27,0.008345689188058352,2
292,296,0.008409494663980803,2
64,66,0.008437482129358936,2
230,234,0.008499884933612065,2
143,145,0.0086174517725999,2
78,80,0.008999992661361794,2
40,44,0.009092209477412507,2
91,94,0.009268761869112173,2
259,263,0.009291068910048599,2
128,129,0.009326938531775124,2
10,14,0.00946014425667901,2
199,204,0.010033890821399919,2
28,29,0.010045882991353996,2
43,509,0.010195100749054359,3
496,498,0.010253602589365045,2
117,118,0.010451532537461899,2
156,159,0.010510999898887223,2
102,104,0.010531249788481844,2
381,386,0.010551205012760344,2
346,348,0.010613015112637993,2
71,72,0.010614396713001203,2
397,402,0.010615315371295272,2
88,89,0.010629590462819725,2
357,362,0.010703431918035869,2
473,478,0.010750741978844713,2
160,164,0.01136351724010068,2
106,522,0.0114041416287974,3
3,6,0.011439494588594246,2
418,422,0.011477362660172534,2
379,384,0.011950353489474607,2
48,54,0.012025972688540843,2
227,233,0.01203027179191868,2
502,535,0.01210209500018878,4
454,460,0.012111715665180064,2
320,326,0.012146381436591535,2
20,523,0.01229259993574746,3
47,521,0.012308737706877803,3
34,519,0.012325208623168268,3
116,122,0.012391079284527427,2
359,365,0.012482902420922674,2
270,276,0.012570985164590773,2
0,4,0.012576884219411937,2
206,212,0.012742190542314319,2
135,141,0.012831734124970053,2
137,139,0.012915476913892986,2
36,529,0.013009117083013517,3
210,215,0.013157103495923129,2
337,342,0.013296626761797643,2
99,530,0.01353379917446157,3
31,517,0.01360453588831306,3
82,511,0.013665909731279952,3
255,262,0.014041470700957636,2
310,313,0.014055431720079795,2
224,229,0.01411364493574382,2
388,394,0.014196415570639784,2
266,271,0.014200808452732876,2
147,154,0.014271234207375054,2
144,151,0.014385513020662172,2
268,275,0.01440475634782029,2
8,518,0.014488860099519055,3
449,456,0.01468536362568842,2
171,174,0.01481725298225972,2
41,45,0.014842635516805577,2
286,290,0.014948605251644473,2
74,528,0.015059140709384055,3
247,254,0.015386940259785915,2
9,564,0.015500340750893734,3
108,513,0.015530599942567724,3
56,504,0.015581772107555854,3
1,550,0.015892153396902274,3
158,166,0.016055641252254338,2
375,377,0.016319883808560642,2
398,544,0.0164027344746095,3
