left_cluster,right_cluster,distance,n_observations
97,98,0.002004008044500527,2
418,419,0.0021306521893131505,2
372,373,0.0022562412590424004,2
4,5,0.0022615381232336616,2
206,207,0.002441148397796228,2
106,107,0.0024735952248489176,2
348,349,0.0027546411123445798,2
243,244,0.0028443736174026436,2
68,69,0.0030074558857942114,2
250,251,0.003126504817114666,2
287,288,0.0032630591082948458,2
384,385,0.0036912222729851207,2
324,325,0.003894004259136052,2
376,377,0.004001444225495869,2
99,101,0.004008165704810144,2
175,177,0.004008476610821327,2
83,85,0.004136305995033845,2
231,233,0.0041822908253424905,2
205,504,0.00428943493004218,3
462,463,0.004308680616281127,2
210,212,0.0043135750298700145,2
27,29,0.004379615639526948,2
430,432,0.004389122896330154,2
350,352,0.00441784756994255,2
201,203,0.004418078778534796,2
13,15,0.004527564485274966,2
298,300,0.004529228887039079,2
76,78,0.004555279826368697,2
23,25,0.00460841426269614,2
116,117,0.004611182949943924,2
469,471,0.004830648964412597,2
113,115,0.004860508151687273,2
12,14,0.004891484452701597,2
389,391,0.0049513425072344784,2
65,66,0.005236351259850747,2
406,408,0.005505706894112087,2
54,56,0.0056186506976724695,2
453,454,0.005718854999573185,2
130,132,0.0057543204776493535,2
184,185,0.005777547073749024,2
467,468,0.005877882899626076,2
53,536,0.005906513831644925,3
387,511,0.005969238570543693,3
71,74,0.006012199017039559,2
137,140,0.006012364546249695,2
121,124,0.006016922066661556,2
417,501,0.006029188710446462,3
394,397,0.006056743712873168,2
242,507,0.006156448232143175,3
123,126,0.0061830193219273525,2
227,229,0.006224430506023411,2
320,323,0.006236461590592992,2
38,41,0.006363420042818284,2
260,263,0.006406182515144549,2
103,514,0.006428612533340772,3
439,442,0.00653860344717838,2
480,483,0.0066584924430292125,2
109,505,0.006675350888455778,3
333,336,0.006681190758825489,2
414,416,0.0067258361116079865,2
456,457,0.006777046510228429,2
356,359,0.006786814771342815,2
52,55,0.006850299667788003,2
369,370,0.00694631686465637,2
424,427,0.006979381617312428,2
44,45,0.007002039044855115,2
235,237,0.007007705770442988,2
218,220,0.007067785807082927,2
246,548,0.0072262209111336505,4
279,280,0.0073999175343541935,2
282,283,0.007399975812965865,2
433,436,0.007509319031481088,2
192,194,0.0076236049440540675,2
93,96,0.007706160592802921,2
253,509,0.007800007289739197,3
353,355,0.00787571163516043,2
7,9,0.007894488305231769,2
88,90,0.007976198148943714,2
147,151,0.008020402799104376,2
161,165,0.008022950240280617,2
274,278,0.008046737810056614,2
47,50,0.008069478682217909,2
326,330,0.008073280941252082,2
484,488,0.008208800554515491,2
17,19,0.00839092140710165,2
225,228,0.008451713375100636,2
482,486,0.008483537147010039,2
292,296,0.00849249020330628,2
437,555,0.008526584087775478,3
295,297,0.008586047868633904,2
127,549,0.008586818359517275,3
16,18,0.00861108126779324,2
34,37,0.008639947053379098,2
48,51,0.008649683040578632,2
245,247,0.00868988965093288,2
118,529,0.00878142314224776,3
230,232,0.008851953670464997,2
518,524,0.008925794809592729,5
112,531,0.008961115331658245,3
125,545,0.00898207448012826,3
178,180,0.008993202824393387,2
128,538,0.009014497201744218,3
26,28,0.009033477127799878,2
1,2,0.009092084315999626,2
271,272,0.009213053132788286,2
310,311,0.009225618261516067,2
122,590,0.00926914979945818,4
517,550,0.00995195869944452,4
143,544,0.009990333309972968,3
366,371,0.010028498896693862,2
449,537,0.01004457808453553,3
339,344,0.010154367094409445,2
81,82,0.010156873383020867,2
58,60,0.01035589886970549,2
357,362,0.01038714683346181,2
472,477,0.01042548637866023,2
20,24,0.010450125323791049,2
481,556,0.010488406884097863,3
294,526,0.0105248049198357,3
450,455,0.01061751455840728,2
141,146,0.010663705966122589,2
346,523,0.010679324285425791,3
317,318,0.010704224378180121,2
79,80,0.010730168716310173,2
401,405,0.010898315673980932,2
290,293,0.010899928200341828,2
428,564,0.010902380535678219,3
461,519,0.010936783987091334,3
306,605,0.011015019479680562,3
102,104,0.01103264006540117,2
342,345,0.011035752629044857,2
358,561,0.011046164375403011,3
188,572,0.011110740311692329,3
36,40,0.011173795809316905,2
193,196,0.011224587201892821,2
67,543,0.011267493741107432,3
489,583,0.011382370131604681,3
281,284,0.011464111079680716,2
407,410,0.011476496562381403,2
200,597,0.011620640898311574,6
441,444,0.011624707532374436,2
443,445,0.01167052175089318,2
302,304,0.011835386223950329,2
412,535,0.011894286234795926,3
92,500,0.011989783164028898,3
420,426,0.012063679877598689,2
8,503,0.012066475073609173,3
215,221,0.012075829731898136,2
309,314,0.012101743101620604,2
395,398,0.01212785039141235,2
423,425,0.012153511296805256,2
266,604,0.01222382897892799,3
62,64,0.01224577936120557,2
301,307,0.01232312359420227,2
533,542,0.012348162281240572,5
153,159,0.012350477590353966,2
404,638,0.012726099516895935,3
211,216,0.012802523526157157,2
217,222,0.012832252738420175,2
409,411,0.013240335575403111,2
160,166,0.013268703846106603,2
331,582,0.013295423203201213,3
596,607,0.013329583339102813,6
474,540,0.013339608315863945,3
214,567,0.013365903601099613,3
525,532,0.013436000018404228,4
393,399,0.013439394858583052,2
378,381,0.013533218714980378,2
234,240,0.013535381269445422,2
42,592,0.0135422592706364,3
248,254,0.013651477318359986,2
541,581,0.013803415503622312,5
252,574,0.013835881470491973,4
108,111,0.013837318382536514,2
182,600,0.013867000034143189,3
213,520,0.014005528943199477,3
39,46,0.014031423252162101,2
269,276,0.014107477014849523,2
204,209,0.014167497014439074,2
576,603,0.014171805641103371,4
32,521,0.01425049632596307,3
466,470,0.014270782080596192,2
31,528,0.01432034885913197,3
569,580,0.014376636794675837,4
421,546,0.014496742229026152,4
361,368,0.014525165074721706,2
303,589,0.014541442073978499,3
599,601,0.014589578695689881,6
256,257,0.014630583286651328,2
10,591,0.014701140285248973,3
120,598,0.014704329013415054,4
75,508,0.014706456082112799,3
321,328,0.014823668910228885,2
338,341,0.014898748167113715,2
156,578,0.014938443355850229,3
219,226,0.01507904673181143,2
262,268,0.015128298762841481,2
459,610,0.01518158851349839,4
134,138,0.015208505427513858,2
94,573,0.015246411908659054,3
135,139,0.015287848601871434,2
91,577,0.015303621765377603,3
379,386,0.01546088681581053,2
157,164,0.015645709507848597,2
512,661,0.01569530373125783,5
575,614,0.015810913746125525,4
224,662,0.015837278365836444,7
95,644,0.015896381834905212,4
552,669,0.015964707737385907,5
173,674,0.01599489847609683,4
438,446,0.016112278434311168,2
329,337,0.016153054277233264,2
476,617,0.016193646060000278,4
189,195,0.016204514143113833,2
516,612,0.01621213160441718,4
171,179,0.016290585687584007,2
145,152,0.016292872275188476,2
629,673,0.016479450575036837,4
197,632,0.016575718234130652,4
264,270,0.01659096888541586,2
267,273,0.016694957131069957,2
87,699,0.016717977269789783,4
86,89,0.01674855895880373,2
332,340,0.016791294648666986,2
491,499,0.01686985082682905,2
168,176,0.016904740632039922,2
136,620,0.017130194614972574,3
285,637,0.017154477093013695,3
22,680,0.017179463074971094,4
551,692,0.01759765967081115,4
73,77,0.017637276419656466,2
186,634,0.017746261672620375,3
84,527,0.01786045160164338,3
602,616,0.017862069106286023,4
595,690,0.01788909760184561,7
374,563,0.0179941776854532,3
534,635,0.0180178543392228,5
621,631,0.018026154795341944,6
286,587,0.018066655590060737,3
475,712,0.018117023272410618,5
422,429,0.01813976304755381,2
0,679,0.018221076683018624,5
150,155,0.01822292557225915,2
493,586,0.018270514682698132,3
172,579,0.01852147634489181,3
299,686,0.018525699470206554,4
43,633,0.01859050491731905,3
400,643,0.018654267405178802,4
513,609,0.018676542344393445,4
149,158,0.018695741318027256,2
133,606,0.018748679331576736,5
431,440,0.018790204237168925,2
238,706,0.018795653558053984,8
114,557,0.018823207330385838,4
347,354,0.018842014917186945,2
249,258,0.018939623885792824,2
319,704,0.019262009458298174,6
255,553,0.019307995534897617,3
375,380,0.019315630778972453,2
390,649,0.01956554552195459,3
448,697,0.019619700606611196,5
33,35,0.019671815207764246,2
49,671,0.01979703587766261,6
585,664,0.01982076020812454,5
490,494,0.019849874875186527,2
351,611,0.019863416993372837,3
21,665,0.020151515159580077,5
452,458,0.02045774289992695,2
144,154,0.02050770282003629,2
61,691,0.020539692949369335,4
701,714,0.020703959063059843,7
223,657,0.020735366168524644,3
105,110,0.02079329055045543,2
289,745,0.020821513622810303,5
571,640,0.020893570469607693,4
383,702,0.02090194056187878,3
492,636,0.02128755562415689,4
465,615,0.0214077685265713,3
434,650,0.021425045271295524,3
530,663,0.021438645264879486,5
327,334,0.021459069385034706,2
413,624,0.021497359630017643,3
435,522,0.021638022875114158,3
241,568,0.021683161385395073,5
622,628,0.021709262436372563,5
199,639,0.021823664551811853,7
388,667,0.021842878163488608,3
367,705,0.021962868496054173,5
312,316,0.022016841024964092,2
562,676,0.022247712439533357,4
630,723,0.02237770553565329,4
651,719,0.022428905323405746,5
261,696,0.02260471019364922,3
59,70,0.023050934639349516,2
131,142,0.023346996064417484,2
473,777,0.023529256239740337,4
30,708,0.023531574497554157,6
710,751,0.0235860016459363,4
608,694,0.023669512151255522,6
187,718,0.023794512307848008,5
656,747,0.024160578530868695,7
403,415,0.024196820385942626,2
6,766,0.024310096400635108,6
623,736,0.024367435236132048,7
716,726,0.024699994554651328,5
190,709,0.024823598093712644,5
666,759,0.024835185075676086,5
335,756,0.02484326287430262,7
672,783,0.024866368416707602,9
259,755,0.02497467646908208,3
724,776,0.02499365428421553,6
565,762,0.02513637052982882,8
148,703,0.0253182662337827,3
167,744,0.02537743222839663,4
485,739,0.025385115131664825,6
670,757,0.02540160989103433,5
392,654,0.025524523057785842,6
734,753,0.02556056045638607,11
693,765,0.02572218577308392,5
451,560,0.0258958055440158,3
305,313,0.026014104496431607,2
170,183,0.026089976067519276,2
365,787,0.02610595329300828,6
682,689,0.026117695893440304,6
539,725,0.02622703208059751,4
684,778,0.02628777566419896,7
722,732,0.026566311201171686,5
11,802,0.026614149244326816,7
678,785,0.02662016252187909,9
652,769,0.026853498473185404,6
382,735,0.026951717700894842,4
642,784,0.026988288414673527,7
641,819,0.02699668617736975,5
515,824,0.027350136483719138,6
72,730,0.027360600545044945,3
749,768,0.027388612082563834,4
675,763,0.028025166373193522,8
163,715,0.02817375146813765,3
746,789,0.02857201706057165,7
464,760,0.028737192726720973,6
343,754,0.02892732908097688,3
733,827,0.028972722325045393,11
625,738,0.02897636647799448,5
308,618,0.02898448406597448,4
265,720,0.029009571425398138,3
396,659,0.02909469569935713,3
713,799,0.02910481245379324,7
360,364,0.02972952067095954,2
688,791,0.029731403101951458,7
547,786,0.029956287013839056,5
100,717,0.030185167306526955,5
805,821,0.0302556513325304,7
3,584,0.030337077372081224,3
627,839,0.030491104641327246,9
495,497,0.030550454795665757,2
655,812,0.03084273393149638,5
683,792,0.031028139346601286,7
363,758,0.0310402849237659,3
660,813,0.03120124966378839,6
658,771,0.03120956415232042,5
646,741,0.031238985926265544,8
181,191,0.03127521837596448,2
645,774,0.03240498376699176,6
648,773,0.032601025238738535,7
566,695,0.0326101903587241,4
554,770,0.03261409115543235,10
570,844,0.033158597205272235,5
402,806,0.0332645640363939,6
129,817,0.033689516416574444,12
793,811,0.033976657910303985,10
594,752,0.03401096484642515,10
510,653,0.03419713716155217,4
700,742,0.034348578693087155,4
698,835,0.03485604277870077,6
502,857,0.035031235289497135,5
748,816,0.03554152309993117,10
63,829,0.03555231817781864,7
707,850,0.035786370487686445,9
728,838,0.03642321406604181,11
743,779,0.03652052474606987,8
767,797,0.03711301960537587,6
593,876,0.037226839126952065,9
559,800,0.037456407181946774,9
626,782,0.037576985522068174,6
647,864,0.03758798552794863,6
613,803,0.03793693720600503,9
668,808,0.03813465070429447,11
737,822,0.038144599985682155,12
764,814,0.03835168944179247,8
687,750,0.038857189405680365,11
836,870,0.039173416688090594,18
174,731,0.039296124115470205,4
291,863,0.039366064626433564,8
823,852,0.03946027591227753,9
588,853,0.03958925114669093,12
711,788,0.04030995112975752,4
558,780,0.04051329182468778,4
619,681,0.04053218736615872,4
790,840,0.04095348415968527,7
677,727,0.04158356825623071,5
236,239,0.04162937449338412,2
804,889,0.04165552805204911,16
781,825,0.04168488223528758,10
830,887,0.041689361515504196,16
833,851,0.041917250307790685,13
478,854,0.04227883867418064,3
729,818,0.04273036254115074,9
798,873,0.04289023166534572,12
842,856,0.043232743358823024,12
815,886,0.0434985245110395,16
506,807,0.04401402641557941,9
685,775,0.044082980510994026,5
882,902,0.04418009742648478,19
761,869,0.0441992964253782,12
315,820,0.044529225454383085,3
795,810,0.04463029732455922,10
721,834,0.044947140201375385,7
479,879,0.04497486426298349,9
277,809,0.045651870671480126,4
868,877,0.046148023852748465,21
858,861,0.04637339391844589,8
828,859,0.046567518181251495,14
849,875,0.04730910870392859,15
862,880,0.048128139826784495,12
831,892,0.048639135148413136,15
796,841,0.04876127047062715,17
487,496,0.04879245457601732,2
837,891,0.04888274335241609,7
843,899,0.04910826874909974,9
865,885,0.049498084785592825,19
801,845,0.05089570988944639,5
855,872,0.05106979994518053,9
740,832,0.052181528886937834,7
202,846,0.052187212058193766,8
867,874,0.052690326705964165,11
57,878,0.05327691562350265,12
866,908,0.05441530770908393,17
498,905,0.055103227946725654,4
169,907,0.055117316066049554,13
794,901,0.056606533098960195,18
847,903,0.05743174390553758,18
860,893,0.05749318210658711,17
198,890,0.05831159478533032,19
322,898,0.05854991129676391,8
895,906,0.059133297770853716,13
884,942,0.05969567998802387,25
826,881,0.06015915348077292,14
927,933,0.060542428419589484,15
920,938,0.06281055013181648,21
913,935,0.06327125160197343,24
894,897,0.0634226170183654,16
896,910,0.06424222005413045,13
772,939,0.06451214035932201,20
275,918,0.06506016314122684,5
888,950,0.06651966373330541,24
460,883,0.06682377102079921,7
